,0,1,2,3
0,"Reviewed yesterday
",Winnipeg,"Winnipeg's classic park from an era where city parks were a central point of town or city planningOften referred to by older people as ""City Park""Includes the zoo plus picnic area , plant conservatory as well as upscale restaurant in main pavilion",4
1,"Reviewed 3 days ago
","Calgary, Canada",Came here in June 2016 and walked all around the park. Enjoyed it and it was quiet with no problems from anyone. Would come back here again.,4
2,"Reviewed 4 days ago
","Winnipeg, Canada","This park has lots of parking, picnic locations, sculptures, a park devoted to little ones, bike paths, a zoo - what more do you need? The city has invested millions into this location and its very well maintained. A must see for every visitor.",5
3,"Reviewed 6 days ago
","Oakville, Canada",The park was nice and the zoo was great. Lots to see and do especially in the summer it's not a park for people with disabilities.,5
4,"Reviewed 1 week ago
",Northern Minnesota,We spent most of a day there.. Lots to see. The art was very interesting and well presented. Nice to have interesting places to see even in the off season.,5
5,"Reviewed 1 week ago
","Winnipeg, Canada",Great day for seeing several zoo animals out as the weather was balmy and the Curchill exhibit was so impressive . We managed to get great photo shots of the polar bears .,5
6,"Reviewed 1 week ago
",,My best friend got married there about 7 years ago in September and it was so beautiful. The garden was well taken care of. I loved it. It is one of my favorite places in Winnipeg.My visit was Sept. 2010.,4
7,"Reviewed 1 week ago
","Winnipeg, Canada","The park is really beautiful and has many things to see and do. The Leo Mol and English gardens are beautiful to walk around. There are large grassy areas for kids, picnic areas, walking trails. You can take a ride on a steam train and also visit the zoo. The Polar Bear exhibit is fantastic. If you get hungry the...",5
8,"Reviewed 1 week ago
",Winnipeg,"Amazing ,beautifully landscaped. Duck pond that is a skating rink in the winter,picnic area in the summer,long snow slides in the winter.Warming hut for the skaters in the winter and a place to cool off in the summer. Year round family restaurant with takeout in the summer for ice cream,burgers etc. for those that don't want to stay inside. There...",5
9,"Reviewed 1 week ago
",,"The perfect spot for a relaxing stroll, family bike ride, playing with the kids in a unique playground, an outdoor movie night, sculpture garden fantastic zoo and so much more. This place is a gem.",5
