,0,1,2,3
0,"Reviewed 2 weeks ago
","Sudbury, Canada",We loved our stay at Bruce Peninsula National Park. We camped for one night and hiked to the Grotto and Indian Head Cove before heading out.,5
1,"Reviewed 2 weeks ago
","Toronto, Canada","this is the most beautiful place in Ontario, A must see for anyone living here or visiting. It is magically beautiful and peaceful. The colors are phenomenal.",5
2,"Reviewed 31 December 2016
","Toronto, Canada","We visited the park during the winter holidays hoping to see Indian Head cove and the grotto covered in snow.The roads into the park are maintained, however only parking lot 2 is accessible as parking lot 1 (the closer one) is blocked off during the winter season. Therefore, we had to park at parking lot 2 and take the...",5
3,"Reviewed 30 December 2016
","Oakville, Canada",The National Park admission is free for 2017. We have an annual membership because we have a second home on the Bruce Peninsula. We go to the Park Visitor Centre often. We take the grandchildren who love the exhibits and Bruce the stuffed black bear.There is a wheelchair accessible trail portion of the Bruce Trail adjacent to the visitor's...,5
4,"Reviewed 21 December 2016
",Ireland,We took a boat tour to flower pot island and on other days walked around the national park to the Grotto and indian head cove.,5
5,"Reviewed 19 November 2016
","Toronto, Canada",A great place to explore and go hiking. The Bay's water is gorgeous and the trails allow a lot of exploration and tons of photo opportunities.,4
6,"Reviewed 18 November 2016
","London, Canada","We use the park all throughout the year. The walking trails are awesome, the staff excellent and the scenery priceless.",5
7,"Reviewed 1 November 2016
",,"this park is fantastic! the main trail is great for all ages and is so smooth you can take a stroller on it ! well kept, very clean.the trail takes you down to the bay. absolutely stunning view! you can work your way down the cliff too and swim the water and if you are strong enough because it...",5
8,"Reviewed 17 October 2016
",Toronto,We were a group of 12 who visited in October 2016. Great for hiking. We parked in parking lot P1. Had our picnic lunch in our of the sheltered picnic station. It had a large picnic table and a roof top. Offered some privacy between other picnic station. We visited The Grotto hat was 30 minutes walk from parking lot....,5
9,"Reviewed 12 October 2016
",,A very large park that has so many different attractions and different places to go. A park pass here will get you into many different locations. There are so many possibilities for adventures all within a short distance. The grotto is a must visit if you've never been.,5
10,"Reviewed 7 October 2016
","London, Canada",I grew up with a cottage in Port Elgin and can't believe I've never been here until this summer!After seeing social media posts about Flower Pot Island I did a bit of research and decided to just stick to the Bruce Peninsula. We stayed at a hotel in Southampton and did the day trip up to Tobermory! Our original...,5
11,"Reviewed 30 September 2016
","Toronto, Ontario, Canada","Tobermory is beautiful as is the national park. Worth the drive. I'd stay over night unless you live nearby,.",5
12,"Reviewed 28 September 2016
",,"We started our trip at the visitors centre, There we learned about the history and the flora and fauna of the area . Friendly knowledgeable staff,",5
13,"Reviewed 27 September 2016
","Hamilton, Canada","This was our first camping experience in a national park (as opposed to a provincial park) and we were quite impressed though there were some things about the park we felt were worth sharing:First of all, the rates. They were very reasonable (about half that of provincial) however there were less amenities (no showers!) and they did charge for...",4
14,"Reviewed 24 September 2016
",,"I loved seeing this side of Ontario!!We came to see the grotto, but the ""Indian Head"" was amazing and easier to climb around on and there were lots of beautiful beaches and views along the path - will definitely go back.Hard to get in because of limited parking, we were told to come early in the morning (7...",5
15,"Reviewed 23 September 2016
","Windsor,Ontario,",Bruce Peninsula National Park and the adjoining underwater park is a place o numerous delights. It has a lovely Visitors Centre with a small museum and very helpful staff. And it has the viewing tower--not recommended for those of age 65 or better--the climb is a heart stretcher.But there is so much more. in Spring there are the wonderous...,5
16,"Reviewed 22 September 2016
",Prague,"The camp in the park is really nice - despite the fact that there're no showers (you're always close to the lake :). I didn't have enough time to do the longer trails, but even the one to the Grotto is really nice - I'd strongly recommend taking the Marr trail though (it goes through nice areas and is not...",5
17,"Reviewed 22 September 2016
","Chesterfield, Michigan",This place is a must see. Wonderful hiking trails at different levels and well marked paths. We even traversed up the 7 flight outlook platform to get an awesome view of the region...Very much enjoyed the day!,5
18,"Reviewed 21 September 2016
","Toronto, Canada",We went for a hike at 9 am and haven't seen many people. Left around 1pm and the parking lot was full.Beautiful trails! The Bruce trail from the grotto to the Boulder beach is pretty tricky. Only take it with good shoes!,5
19,"Reviewed 20 September 2016
",Illinois,The Georgian Bay is beautiful but the Grotto area is crowded. We enjoyed the Halfway Log Dump area much more.,5
20,"Reviewed 20 September 2016
","Hamilton, Ontario, Canada","If you want to view an amazing sunset.. head here. It's hard to find water access in Tobermory and this place has it all. It does have a few picnic tables, and washrooms as well. Apparently it's one of the few sand beaches in the area.",4
21,"Reviewed 19 September 2016
","Toronto, Canada","A wonderful park, part of great park chain that goes along escarpment from Niagara to the tip of Bruce Peninsula (and goes further through Manitoulin island and on). Beautiful nature, great geological formations, and lots of different trails to enjoy, from tiny for half an hour to long for a couple of weeks/months to tread by foot.",5
22,"Reviewed 14 September 2016
","Presque Isle, Michigan","Aside from the beautiful vistas the Bruce trails offer something for everyone. Difficult rocky climbing, longer rocky & root exposed trails and smooth wheel chair accessible trails. Stop at the Park headquarters in Tobermory and pick up a trail map & information if you are coming in from the north or go to theBruce Peninsula Nat. park web site....",5
23,"Reviewed 13 September 2016
","Philadelphia, Pennsylvania",Best swimming hole ever at - rare hot Sept day allow us to swim for over an hour in crystal clear water can see 100 feet down - Great experience - you can rent wet suits and snorkels in town or go on tours in Tobermory. Really worth a visit - 15 hour drive from Philly.,5
24,"Reviewed 13 September 2016
","London, Canada",This was our first camping trip to the park and would return.Very large park so if you like hiking this is the place.Quiet park with very large camp sites for good privacy.Cyprus Lake a great swimming beach or for canoeing or kayaking. Large sandbar so no fishing off of the shore.Kayaks can be ordered and delivered...,4
25,"Reviewed 12 September 2016
","Niagara Falls, Canada","This summer we rented a cottage in the Bruce Peninsula National Park. I've been here a few times, yet I'm always a,axed at the beauty of this place!The water is incredibly clean and clear (Seriously, it looks like Caribbean Water) and there are awesome hiking trails.Sometimes we forget the beauty that Canada holds.",5
26,"Reviewed 12 September 2016
",Ottawa,"Some of the best hiking ever!Clearly marked trails with various difficulty levels, beautiful scenery, camping, swimming....its here and the setting is spectacular!Shout out to the parks personal! They repeat the same information all day and yet they make it sound like its the first time they've said it. As well, this park is extremely clean.Will definitely be...",5
27,"Reviewed 11 September 2016
",Canada,"beautiful scenery, clear and clean water. beautiful trails. Flower pot Island is a must visit place. Hiking is easy, not challenging at all.",5
28,"Reviewed 11 September 2016
",,"Absolutely beautiful national park with amazing trails, scenic view, and gorgeous beaches. The grotto is out of the world.",5
29,"Reviewed 10 September 2016
","Owen Sound, Canada",The visitor information centre just south of the tub is a wealth of information and great displays. Informative film of the area to start then viewing a good number of displays progressing from the start of time to now. I had been there a number of years ago and it had no where the info that it does now. As...,5
30,"Reviewed 9 September 2016
","Toronto, Canada","My bestfriend and I travelled to Tobermory for a few days in August. Having heard rave reviews, we decided to check out the Bruce Peninsula National Park on our way back to Toronto. We also heard about the crowds prior to our trip, so we made sure we were there by 9am, on a Tuesday morning. Sadly, we were among...",2
31,"Reviewed 8 September 2016
","Mississauga, Canada","If your up near Tobermory you should definitely make time to visit the flowerpot island. Yes at first it seems pricey to get their as their are only 2 main cruise companies that offer rides their for $40-$50/person but you will be glad that you went, its absolutely amazing to see something that looks like it came from a postcard...",5
32,"Reviewed 8 September 2016
","Toronto, Canada",We noted that we needed to be there early as parking spots are limited within the park. We weren't just sure how early we needed to be and ended up arriving there around 8:30am on Saturday of the Labour Day long weekend and were turned down the entry. The next day we arrived at 7:30am and got in without a...,5
33,"Reviewed 8 September 2016
","Mississauga, Ontario","I echo the sentiments of Caz T , a reviewer whose review helped me make the decision to go up to Cyprus Lake/ Grotto with my family last weekend! The pictures don't do it justice.I cannot say enough about how wonderful it was to experience the waters (although a bit choppy the day we went). No debris, no seaweed,...",5
34,"Reviewed 6 September 2016
","Barrie, Canada",Went here for 3 days and 2 nights with my friends.To rent the camp site was $60 for the 3 days with one car parking. Additional parking is $11.70 a car a day and you can park it on site or there have a big lot you can park it in.They sell wood and ice here but its...,5
35,"Reviewed 6 September 2016
",,It was an easy hike to the Grotto with the only minor challenge was climbing down the cave. The water was refreshing and view is beautiful.,5
36,"Reviewed 4 September 2016
","Toronto, Ontario","Nice trails with some very nice views. Depending on which trail you go on, some are fairly flat, some through woods with lots of roots and rocks. The trails are clearly marked, so you just need to pay attention and you won't get lost. But please wear proper hiking shoes, we saw 2 guys in particular, wearing flip flops taking...",4
37,"Reviewed 3 September 2016
","Kincardine, Canada","Don't go if you don't appreciate as close to a natural environment you can get while still trying to provide sufficient level of amenities to make it comfortable. BUT if you do appreciate a natural environment you will not be disappointed by the mostly forested acreage, non-motor boat lakes, good hiking trails with flat and also challenging portions, access to...",5
38,"Reviewed 1 September 2016
","Toronto, Canada","Wow, this place is break taking. We hiked to Grotto and spent time in the cave. It was hard for my little one to get down to it, but we made it. Don't bring valuables because you can't bring them down with you. Water is crystal clear and blue, but freezing. Worth the drive!",5
39,"Reviewed 31 August 2016
","Dortmund, Nordrhein-Westfalen, Germany","We walk the Bruce Trail for a week and it was so dissapointed!Es waren viel zu viele Menschen unterwegs , die Seen waren ausgetrocknet....",2
40,"Reviewed 31 August 2016
",,Visited the Tobermory area in August 2016 and we enjoyed it very much. We hiked in the national park a number of times and enjoyed the beautiful scenery and trails. Perfect for couples and our kids enjoyed it too.,5
41,"Reviewed 31 August 2016
",,"Very nice view. The cost was 11.50 per car which is pretty cheap. You have different trails to hike. There is a beach area and the grotto to visit. The water is very cold, but i think it is worth it. You must be careful because the water is deep and the rocks are slippery. If you could wear water...",5
42,"Reviewed 30 August 2016
",NB,"We took the 2km trail from P2 to Indian Head. The walk is mostly flat, with some hills. It's well shaded. Parts have a boardwalk that's in need of some upkeep. Watch for damaged/missing boards. Lots of tree roots to trip on too, so watch your step! Sturdy footwear is a must!Cypress lake is beautiful and warm, a nice...",4
43,"Reviewed 29 August 2016
","Dundas, Canada","This National Park is filled with great hikes many that meet up with the Bruce Trail.The parking lots for the trials near Cyprus Lake fill up quickly, get there early.Recommend:Horse Lake TrailMarr Lake TrailBruce Trail to Indian Head Cove, the Grotto & Boulder BeachSinging Sands TrailLittle Dunks Bay Trail",4
44,"Reviewed 29 August 2016
","Toronto, Canada",The park visitor center is a lovely place to visit. The staffs there are very nice. There are on site events from time to time. We helped them release a female butterfly and learned some interesting facts about the butterfly. We also joined an event talking about snakes. The kids loved it. In the visitor center you can also watch...,5
45,"Reviewed 27 August 2016
",Niagara Falls,Excellent paths for hiking and unbeatable views of the georgian bay. Take the time to go to the grotto- you wont regret it!,5
46,"Reviewed 26 August 2016
","Meaford, Canada","We almost consider ourselves locals and have been coming here all our lives. It wouldn't be summer without a trip. Some years we camp, and other years we come for the day. We have seen this park evolve over the years. It has become much more accessible (great) and a whole lot more crowded. The last few years it has...",3
47,"Reviewed 25 August 2016
","Ontario, Canada","Bruce Peninsula National Park is filled with great hiking trails for all levels of ability. Dont miss the breathtaking views at the Grotto, but make sure you wake up early to beat the rush. Floods of people start arriving as early as 8:30AM. The only negative aspect of the park was the garbage. It was extremely disappointing to see a...",4
48,"Reviewed 24 August 2016
","Ann Arbor, Michigan",We recently traveled to the Bruce Peninsula National Park. This is a beautiful area with magnificent scenery. On one side you have the Georgian Bay and on the other Lake Huron. Water on the Huron side is warmer. Just driving up there is wonderful.Everyone is very helpful in guiding you to your destination. If you don't want to camp...,5
49,"Reviewed 24 August 2016
",Pittsburgh,This park is fantastic. We hike 3 different spots on the Bruce Trail. Hiking boots a must.The trails are very rocky.Even the ones from the visitor center. Wonderful views.I would highly recommed kayaking out of Dunk beach to the next bay on the left.The water is so clear and blue with large boulders.This was the highlight of our trip.,5
50,"Reviewed 23 August 2016
","Philadelphia, Pennsylvania","Drove 3.5 hrs from Vaughan. Tourists info center advised us to get there early, before 9am if we want to visit the Grotto. Sure enough, parking lot full when we got there 10:30am. Headed for Halfway Rock by driving v. slow over unpaved road which resulted in our van in a dust bath! Hiked 20 min. before we arrived at...",4
51,"Reviewed 23 August 2016
",,The park is stunningly beautiful but the crowds make it a bit difficult to enjoy. We were camping with two other families. The campsites are small and offer very little privacy. There are no comfort stations with showers but the toilet blocks were spotless and well maintained. Even the composting toilets on the trainside were clean.There are several trails...,3
52,"Reviewed 22 August 2016
",,"There are so much to see, to do and too experience. If you can not camp there, at least start early in a day. It really needs at least a whole day. Please don't forget your swimming suit. Water is clear and warm in August.",5
53,"Reviewed 22 August 2016
",,"It was beyond i ever imagined.I travel across the world to see these views.The Grotto was breath taking, flowerpot island was just stunning! make sure you take a comfy running shoes and snacks..washrooms are available everywhere.Can't wait to go again",5
54,"Reviewed 22 August 2016
",,"ONE of my favourite prestine place of all times to visit. ..everything is amazing...I saw 3 snakes, visited the lookout point, the cove, and went down to the water cave... the previous day I did Tobermory, took the glass bottom boat and then hiked Fowler pot Island",5
