,0,1,2,3
0,"Reviewed 1 week ago
",Hamilton,Its worth the climb upstairs to see the views!! Nothing on top except a perfect view of snow and frozen lakes.It gives you an idea of where things are as well.,4
1,"Reviewed 3 weeks ago
","Courtenay, Canada",This fitting memorial to the Bush Pilots is easy to find and offers a beautiful 360 viewpoint of Old Town and Lake - a must if visiting Yellowknife,3
2,"Reviewed 4 weeks ago
",,"A good place to visit for the views of the town and bay. Climbing the snow covered steps can be a bit of an adventure, but it doesn't take too long. A monument and plaque to the bush pilots who bolstered the economy of the Northwest, and good views. Worth the 10 minutes you'll spend here.",3
3,"Reviewed 4 weeks ago
","Atlanta, Georgia","Even in -15C degree weather I'd recommend climbing up the stairs to the monument to check out the view. The viewing platforms at the top of this hill around the monument offer 360 degree views of lake and city. In our visit in February, you could see the ice landing strip for aircraft with skis, vehicles driving out on the...",5
4,"Reviewed 4 weeks ago
","Hermosa Beach, California","I wasn't planning on going to the monument but had nothing else to do while waiting for a table -- so glad we went up there, it doesn't look high the but the views are worth the effort. It is more windy up there so be prepared at the bottom to bundle up at the top.",4
5,"Reviewed 4 weeks ago
","Charlottetown, Canada","While visiting Yellowknife one of the highlights to see is the Bush Pilots Monument, standing high above the city it is very impressive",5
6,"Reviewed 9 February 2017
","Gananoque, Ontario","Pilots monument is a dedication for the pioneering bush pilots who blazed a trail to open the north. It is a great place to take a view of Yellowknife history and some beautiful scenery. The stairs to the monument take a bit to climb. There are restaurants nearby like the historic Wild Cat Cafe, Dancing Moose Cafe, Yellowknife Glassworks. For...",5
7,"Reviewed 9 February 2017
",,"Good view of the whole town at a very convenient location. Walking distance to local restaurant. Most importantly, we saw beautiful aurora right on it!",5
8,"Reviewed 9 February 2017
",,"On a hill, you can see the beautiful view of the frozen lake and the snowy houses around you. Worth a go but really need to stay warm. Strong wind.",4
9,"Reviewed 7 February 2017
","Rockville, Maryland","nothing too spectacular, but def. a place to visit when you are in the old town and want a view overlooking the old town and the lake area (since there is not much to see in the old town.)",3
10,"Reviewed 1 February 2017
","Los Angeles, California",Worth the climb to the top.You get rewarded with the most panoramic and beautiful view ofYellowknife and the frozen lakes.Dress warm if you're there in winter.It is windy and really cold.,5
11,"Reviewed 24 January 2017
","Toronto, Canada",I went there to see sun rise and I saw pink sky and sun came up from mountain that I could take the best shot photos,5
12,"Reviewed 3 January 2017
","Toronto, Canada",Its really worth travelling through town and making the short climb to the memorial. The views of Yellowknife and Great Slave Lake are spectacular.,5
13,"Reviewed 31 December 2016
","North Ogden, Utah",A few stairs up and you have a beautiful view of Yellowknife and the lake. It's a little breezy up there so be better prepared than I was. Dress warm. I was there in December.,5
14,"Reviewed 29 December 2016
","Niteroi, Brazil","The monument is atop a hill, so you have a great view of the town and the Great Slave Lake.A must do for some panoramic photos.",3
15,"Reviewed 28 December 2016
","San Francisco, California",We were staying in Old Town and this was recommended for both historical reasons and also a convenient way to spot an Aurora without heading out of town. We headed up around 9pm after peaking at the AuroraMax camera and sure enough there was a streak right across the sky. WIth the city lights it isn;t a perfect place for...,5
16,"Reviewed 9 December 2016
",,"It gives a great view of the lake and the town. Unfortunately, the abundant graffiti made it seem slightly dodgy. Easy stairs make the climb suitable for most people",3
17,"Reviewed 11 November 2016
","Toronto, Canada",Lots of stairs to climb but gives a good view of Yellowknife and especially where the float planes land. If you are there from Sept until end of May make sure you are properly bundled up and have mitts and hats. It can get windy and cold up there.,5
18,"Reviewed 3 November 2016
",yellowknife,Great view of Yellowknife. Can see the city and house boats. Nice to sit and watch the float planes. Not easily accessible for people with wheelchairs.,5
19,"Reviewed 23 October 2016
",,"If the weather is no good or cloudy in Yellowknife, it is impossible to watch Aurora. But if you rent a car from airport, you can spend one day in town area to have fun!",4
