,0,1,2,3
0,"Reviewed yesterday
",,"Was a lot of fun. Ate in the 360 Restaurant and while it was pretty expensive, the food was AMAZING! View was even spectacular enough to pull my teenagers eyes away from her phone!",5
1,"Reviewed 2 days ago
","Hudson, Canada","Great views sure, but what a cash grab. 38$ to take an elevator to the top. Then another 15$ to go a bit higher. 30$ photo opportunity. Be prepared to spend cash to see the city from a very cool view.It's just one of those things, if you're in Toronto you've got to go to the top but expect...",3
2,"Reviewed 2 days ago
",New delhi,"1400 feet from ground , from the elevators till the top floor its an experience!!.You have to be there to believe it. It takes a min to get to the top floor and it has the most breathtaking views. The whole downtown can be see from here . And the open you can walk or blown away by the...",5
3,"Reviewed 2 days ago
",,"Just like last year, back to Toronto and this is a must to do attraction. Night views are amazing. To be repeated soon",5
4,"Reviewed 3 days ago
","Stratford, Canada","The CN tower is a symbol of Toronto and a must see. You don't appreciate the size of the building until your standing in its mammoth shadow. The views are amazing.-tip buy tickets online, save a bundle.- go towards the late afternoon for nicer pictures-must see both during the day and at night",4
5,"Reviewed 3 days ago
","Mississauga, Canada","The CN Tower is probably the most well known spot in Toronto, and it lives up to the hype. Going to the top, there are amazing views at any time of day. You can even have the opportunity to stand outside of the CN Tower behind some netting, although you'll get the best pictures from the indoor observation deck. If...",5
6,"Reviewed 3 days ago
","Niagara Falls, Canada","The CN tower hosts a magnifcent view of Toronto's entirity. On a clear day, you can see for a hundred kilometers of the surrounding horizon. The skypod takes you in just over 1 minute, up to the top. There is a lovely revolving restaurant with a great menu. I would recommend the CN tower to any tourist or local looking...",5
7,"Reviewed 3 days ago
","Toronto, Canada",We clubbed our visit with the 360 Restaurant otherwise you will end up paying 40$ per person just to go up the elevator. Reservation at the restaurant gets you to the top and the only thing you spend on is food. The night view is to die for and it is definitely at least a one time activity visiting/staying in...,5
8,"Reviewed 3 days ago
","Woking, United Kingdom","Great views of the city and lake, could just about make out the buildings in Niagara.Also Went on a day when the sky pod level was free - normally $12 extra.",5
9,"Reviewed 3 days ago
","Newport, United Kingdom","This is a must do in Toronto, learning all about the built and history.The lift goes so quick and you have views out of the windows in the lift. The glass floor may take you a few minutes to walk on, but you must do it, we were told to lie on the glass floor and take a selfie. Go...",5
10,"Reviewed 4 days ago
",,"Visited Toronto numerous time, the weather was great and there was no wind. Just so happened that the 1464ft Skypod was open. Well worth the extra entry fee to get up this high. Great experience.",4
