,0,1,2,3
0,"Reviewed 6 days ago
","Leamington, Canada","Wife and I with our date nite here to see The Irish Rovers on St. Paddy's Day. Have seen a few concerts here at the Colosseum, this one as always, top notch. Staff was more than helpfull, giving directions and answering ?'s..This was actually the quickest time out of the Casino ever, as we have an hours drive home after.",5
1,"Reviewed 1 week ago
",Windsor,"The review I would give is a ""I will be returning experience"". thank you to all the dealers and servers that make my casino visits fun and memorable. Look forward to the next visit hopefully I win big, lol.",4
2,"Reviewed 1 week ago
","Toronto, Canada",I usually stay on business and don't tend to use the other facilities I.e. Casino or restaurants. This visit I did attempt to eat at the hotel. Went to The Artist. After being seated was basically ignored. No one came to serve or even acknowledge we were there. After a 10 min wait we left. Hard to find an option...,3
3,"Reviewed 1 week ago
",Redford,"Team members are the best and the comps ate good, too. A great place to spend a couple hours or even a couple days!",5
4,"Reviewed 1 week ago
",,"We went to Cosmo's Bar for drinks and music. The band that played was amazing, and had the audience dancing and singing. We watched a couple get engaged. The drinks were good and we were able to find a table immediately.",5
5,"Reviewed 1 week ago
",Windsor,"Coming to Caesars Windsor is like stepping on to the red carpet. I have stayed several times, Augusta Tower my favorite preference. I am in a wheelchair and the wheelchair accessible rooms are outstanding. It has a walk in shower, hand rails by the toliet, I can easily use the sink and for my wife, if chooses to have a...",5
6,"Reviewed 1 week ago
","Windsor-Essex-Pelee Island Region, Canada","The buffet features two meat specials ie. beef and ham, or pork and beef. A great selection of foods. You have your seafood, chicken, pizza, salads, cooked to order foods, soups, pastas etc. Desserts too numerous to mention. The only beverages not included are alcoholic which you can purchase separately. The price is modest at under $30.00 .",4
7,"Reviewed 2 weeks ago
","Richmond, Virginia","Hotel is fine and what you expect - nothing notable there.7 star players - stay away. The hosts at the casino are some of the worst in any Caesars property. The games are fine, the dealers are fine, but the perks, benefits and treatment by the hosts - TERRIBLE.For the average gambler, you likely won't notice a difference....",1
8,"Reviewed 2 weeks ago
",,"The gambling floors are lovey and offer many options! The music is nice, bands and bars, lots of options to keep one entertained.",5
9,"Reviewed 2 weeks ago
",,Great stay at Caesars. Room was a great size with nice large bathroom and a great view of GM HQ across the river. This is my second stay and i was not disappointed. Great location downtown.,5
10,"Reviewed 2 weeks ago
",,"Stayed here overnight while going to a Red Wings game. Beautiful Hotel, with courteous staff. I'm not much of a gambler, but I had fun playing the slots in the casino. Legends (inside the casino) is a nice sports bar as well!",4
11,"Reviewed 2 weeks ago
",Farmington Hills,"Will go back. Good time custom suck and took too much time, but that has nothing to do with casino.Dkirby9208@yahoo.com. This was senior bus trip. I did not spend the night. Bathrooms were very clean. Important to me.",5
12,"Reviewed 3 weeks ago
","New York City, New York","This one might well be our favorite casino property. it's an expansive property, two floors, and non smoking casino area. Lots of machines and tables too. Nice service, though the drinks aren't free.",5
13,"Reviewed 3 weeks ago
",Saginaw,very good place to play an relax. very friendly atmosphere and good workers and not too tight machines,5
14,"Reviewed 4 weeks ago
","Atlanta, Georgia",Like the fact you cannot smoke in there unlike the casinos in detroit and michigan... need more entertainment sometimes and it is a little slow that you feel yourself in goast town sometimes,3
15,"Reviewed 4 weeks ago
","Windsor, Canada",The rooms are always comfy and clean. Shows are entertaining. Food at the Artists Café is great . Will be back many more times,5
16,"Reviewed 4 weeks ago
","Tecumseh, Canada",The staff at Caesars are very welcoming and helpful.My daughter and I had a very positive experience spending the afternoon gambling.Although we did not win we support the casino since it brings revenue to our city.,5
17,"Reviewed 4 weeks ago
",,Windsor Raceway dominated this casino. There should be cheaper food options for those wasting money in here. The security sucks at their job but get payed over $20/hr. Friend has purse stolen and then 5 hrs later was returned with only the money missing. They could have credited friend with $60 slot play for the harassment caused. Play the genie...,1
18,"Reviewed 5 weeks ago
","Dearborn, Michigan",Me and my wife and buddy and his wife came over the weekend and we had an amazing time ! Great atmosphere. Will be back soon,5
19,"Reviewed 14 February 2017
",,"Fantastic rooms and views. Great view and entertainment. Lots of food choices and of course the casino itself. Always therapeutic, lol. Love the pool and spa .",5
20,"Reviewed 14 February 2017
",NA,Always as expected . Fun for all and a good nights rest. Checkin and checkout easy. Johnny Rockets great before gambling for food and ice cream for all.,5
21,"Reviewed 13 February 2017
","Windsor-Essex-Pelee Island Region, Canada",Great destination. There is plenty to do with slots and tables. Many restaurants to choose from and beautiful rooms overlooking the Detroit River or city view.,5
22,"Reviewed 13 February 2017
",Essex,"Always a great time Ceasars is an experience everyone should take part in either to gamble eat or enjoy the entertainment.It is always clean and people are friendly.The rooms for an overnight stay are spacious and clean,the beds are very comfortable and the amenities are there if you need them.I would stay at Caesars again anytime.",4
23,"Reviewed 7 February 2017
",Hamilton,hard to get on a crap table as they are reserved for high rollers. they need a high rollers room with a crap table. one of the players they reserve a table for should be locked up away from the general public.,3
24,"Reviewed 1 February 2017
","Windsor, Canada","If you are interested in Black Jack, Craps, or slots you will be right at home at Caesars. This is a first class casino with top name shows.",4
25,"Reviewed 1 February 2017
",South Woodslee,Have seen numerous shows here and never a disappointment is easy to get to No Border issues. The after show night life at Cosmos is always great and the hotel rooms always clean . Love the pool and spa for a great relaxing night or weekend .,5
26,"Reviewed 1 February 2017
","Windsor, Canada","On January 28 we went to Caesars to have lunch and see the Dancing with the Stars show at 3:00pm. We arrived at 11:30, dropped the car at valet and headed to get the tickets . .... on to lunch at the Cafe.... split the sliders, crab fritters and steak dinner followed by mini dessert selection . ....great food with...",5
27,"Reviewed 24 January 2017
",Windsor,bring lots of cash because you will need it. Tightest machines I have ever experienced. Not just one time but every time I visit Caesar's Windsor. I will not return there ever and since Greek town is so close to my location it is worth the exchange and the tolls to go there. I can play for hours on a...,1
28,"Reviewed 22 January 2017
",Windsor,"I wanted to add additional information regarding the casino at Caesars Windsor. I was on my way out after having a great afternoon of play. I noticed a new slot machine with a vacant chair. I am not sure of the name but it was Cops and Robbers. I sat down, loaded some money and pushed the button for a...",5
29,"Reviewed 17 January 2017
","Tilbury, Canada",If you have a function to put on this is the place to do it. If you are just looking for a good place to eat this is the place. There are quite a few good places to eat inside Caesars Windsor. If you want some great entertainment this is the place to go.,5
30,"Reviewed 17 January 2017
",Brampton,"Stayed at the hotel Thursday and Friday night. Excellent hotel service, love the security of the elevators. Would love to hear country/rock music instead of the loud music. The people that are spending the money in the machines are over 40 years and enjoy nice music NOT crazy loud music.The young folks can go rock and party at the...",5
