,0,1,2,3
0,"Reviewed 2 days ago
","Belleville, Canada","The tower has a good interactive audio tour that you can line up your site line with the small tour audio/visual screen and click on different landmarks or directions to learn about the history and interesting facts. We would have liked to experience the restaurant but it is closed from 2-5, we were there at 3. Great way to learn...",4
1,"Reviewed 3 days ago
","Calgary, Canada",I rook my granddaughters here for brunch. The ride up is free if you are eating in the restaurant.The food was good and prices were a little high.It's always a great way to see Calgary and the mountains.,4
2,"Reviewed 4 days ago
","Calgary, Canada","My bf, being new to Calgary, was so excited to take me to the tower and the restaurant as one of our first dates.Yes, the view and the glass bottom floor are cool - but the restaurant sucks really bad, and we will never go there again.Our frumpy and greasy-haired server was rude from the very start. Being...",1
3,"Reviewed 4 days ago
","Calgary, Canada",So i went with my family for lunch to celebrate my birthday and it was amazing the elevator is very very quick and the top is so worth it there is a glass walking area which over looks the road and is a perfect picture spot i would say.,4
4,"Reviewed 5 days ago
",,"Great views from the top of the tower, really enjoyed the galss walkway very scary! Get a great 360° view of the city and mountains. Feels like your in amoungst the buildings",4
5,"Reviewed 6 days ago
",Hazenmore,"Having previously lived in Calgary, am very familiar with this attraction. Went in July of 2016, construction going on, skyscrapers blocking views that years ago was not blocked. Very expensive, for view now, can get great views from Scotsman's Hill, other areas of Calgary that you do not have to pay.",3
6,"Reviewed 1 week ago
","Frankfurt, Germany","For 18$ we got on the Calgary Tower with a very nice view over Downtown, Stampede and the Rockies. Overpriced.",4
7,"Reviewed 1 week ago
",Hamilton,"I live in Ontario and while visiting Calgary, my granddaughter and I went to the Calgary Tower. We only went to the 5th floor observation level (our time was limited) but what we did see was pretty cool. It is very similar to the Skylon Tower in Niagara Falls, Ontario but shorter than the CN Tower in Toronto, Ontario. We...",5
8,"Reviewed 1 week ago
","Fort McMurray, Canada","If you are going to visit, for the best bang for your money go eat dinner & save the $18.00 for viewing. It will cost you around $60-100 for a good meal for 2 people. The views on a clear day are amazing of the mountains & the city",4
9,"Reviewed 1 week ago
","Calgary, Canada","We went to the revolving restaurant for a special anniversary dinner! The food was fantastic, very well prepared and presented. There was a wide variety of different foods featured on the menu. The view of Calgary was very beautiful and ever changing. Well worth the cost of dinner!",5
10,"Reviewed 1 week ago
",NA,Just to see this structure is amazing! I did not get to go up but it is a must see at night! The tower can be spotted as you are going into the city or peeking between the buildings!,4
11,"Reviewed 1 week ago
",,"While the Calgary Tower is slowly being dwarfed by the surrounding office buildings, it still offers some tremendous views of the city and mountains. The area with the glass floor was a nice surprise and delighted the boys but maybe not those with a fear of heights. We went up in the later afternoon and it was great to see...",4
12,"Reviewed 1 week ago
",Sylvan Lake,The 10min it took check out the place was good! Views are pretty but for 50$ for a family to go it's not worth the price.,3
13,"Reviewed 1 week ago
",,Went to Calgary Tower as the first thing I did when I got to Calgary (and got over my jet lag) you can either pay and only go to the observation deck or you can book to have a meal in the revolving restaurant and get access to the observation deck for free (I recommend this option). You get a...,5
14,"Reviewed 2 weeks ago
","Calgary, Canada","Naturally any tower is exciting and worth going up. It's a thrill. But they are always expensive. Look for brochures at hotels (or maybe online) that have coupons in them for saving money on the elevator ride (lift). Remember to do what makes sense. Go on a clear day so you can see the Canadian Rockies in the horizon, Canada...",4
15,"Reviewed 2 weeks ago
",,It is very fun to eat at the top and watch as your view is constantly changing. The food was as good as the view.,4
16,"Reviewed 2 weeks ago
",alberta,"A little pricey, but the view is still pretty decent, although there are lots of other taller buildings around now. The transparent balcony is pretty cool. The restaurant takes advantage of their exclusiveness, which is apparent in the menu prices.",3
17,"Reviewed 2 weeks ago
",,It was incredibly expensive for the admission to ride the elevator. It makes more sense to spend that amount of money on lunch or dinner at the Restaurant and have your elevator admission comped.,4
18,"Reviewed 3 weeks ago
",,It's expensive. Great view. Kids were not too impressed. It's extra cost to go to restaurant! I liked it,3
19,"Reviewed 3 weeks ago
","Oldbury, United Kingdom","This a must do attraction if you are in Calgary as it is such a big well recognised land mark, the panoramic views are stunning and well worth a visit you must do the glass floor at the top as long as your not scared of heights",5
20,"Reviewed 3 weeks ago
","Winnipeg, Canada",this tower does have some amazing views and is worth the price but compared to other towers it is underwhelming but a nice place o visit all the same,3
21,"Reviewed 3 weeks ago
","Calgary, Canada",Great city views from the top. Transparent floor in one section gives you an unsettling feeling to walk across.,4
22,"Reviewed 3 weeks ago
","Calgary, Canada","The newly redesigned lobby at the bottom of the tower is a refreshing change. The flow is a little confusing, but probably because I was trying to work out all the changes after yearly trips all of my life. The tower is always fun - the glass floor a challenge to many - fun to watch who balk at walking...",5
23,"Reviewed 3 weeks ago
",,It worth the price even if you only stay half an hour .The view is spectacular and if you have the time I'm sure having dinner up there worth it also .A city with a scenic tower means it has something to admire and share .I've been there several times and will return for dinner one day...,4
24,"Reviewed 3 weeks ago
","Houston, Texas","I was in Calgary for 1/2 a day and wanted to do something to get to know it, and the Calgary Tower happened to be across the street from my hotel. I paid my $18 and rose to the top. I walked around the viewing platform and headed back down in less than 10 minutes. It was a great view...",3
25,"Reviewed 4 weeks ago
","Thornhill, Canada","Stands out because it's red, and unlike the surrounding buildings. Makes for nice pictures and is easily accessible.",4
26,"Reviewed 4 weeks ago
","Cairns, Australia","I was really excited about this venue as many had raved about it.The view was outstanding as you slowly revolve around to see the entire Calgary landscape. It was snowing so it was even more memorable. The service was superb with the attending staff checking regularly. They were courteous, attentive and polite.As an ex chef though I was...",3
27,"Reviewed 4 weeks ago
",,"It's a nice way to see the city. Make sure that it's a nice day so that you can see the mountains. Even being overcast a it was today, it was still a good experience. Something you must see when in Calgary.",5
28,"Reviewed 4 weeks ago
",Calgary,"While this landmark is an impressive readily identifiable tourist icon, it fails to deliver in the restaurant department. It is notoriously expensive and the food falls fall short of expectations. Our advice would be to go for the views, but don't stay for the food.",3
29,"Reviewed 4 weeks ago
","Vancouver, Canada","It costs $18 (for adults) to go up. Once you're up there, you get a nice 360 degree view of Calgary. There's also a little glass area where you can challenge your fear of the heights. I would say that in every city it's suggested that you go up to one of these tall buildings. That said, I didn't think...",3
30,"Reviewed 5 weeks ago
","Winnipeg, Canada",The Calgary Tower is the place to go in downtown Calgary if you ran out of things to see or do. I went to the Calgary Tower on my first visit to Calgary. I was very impress by the views the tower offered... breathtaking view of the city and the Rocky Mountains in the background. Unfortunately the tower is not...,4
31,"Reviewed 5 weeks ago
",,this was a cool thing to see and the restaurant up there rotates so you get to see all the different views. The food was excellent too.,4
32,"Reviewed 18 February 2017
","Brooks, Canada","Our group of eight, one of which was from Europe, that had been in Calgary in 1988 and had seen and heard that there was a revolving restaurant and had it in his mind to go up there upon returning, he was not disappointed.Our timing was perfect at sunset blending into the nite sky.The pricing fair, food good,...",5
33,"Reviewed 14 February 2017
","Calgary, Canada","Go to the top of the tower on a clear day, views of Calgary and the mountains are wonderful. Walk outside on the glass floor if you dare. Elevator fee is waived if you have been to Lunchbox Theater first. Food very good.",5
34,"Reviewed 14 February 2017
","Calgary, Canada",I am terrified of of height and this visit was very challenging and rewarding for me and my childhood friend. We conquered our fear ....,5
35,"Reviewed 13 February 2017
",,"The view is unreal and people look small. That glass floor is a bit scary, lol.Going up the stairs takes forever and take a few breaks, legs were getting a real good workout. Restaurant has good food and service was wonderful. Gift shop on the ground floor has lots of different souvenirs from Calgary and Canada.",5
36,"Reviewed 13 February 2017
","Yass, Australia",We thoroughly enjoyed our visit to Calgary Tower. The views were amazing and the tower itself an impressive structure.,5
37,"Reviewed 13 February 2017
","Ellon, Scotland, United Kingdom","We visited here and researched before hand that it was most cost effective to have an express lunch at the rotating tower which includes access to the observation deck. This is certainly the way to do it! Makes the experience definitely worth it. We all enjoyed our meal, and most of us enjoyed the rotating experience. Afterwards we went up...",4
38,"Reviewed 12 February 2017
",,"Went up with my partner for a delightful Sunday brunch. The staff were wonderful and very accommodating. If you choose to buy a meal up top, and mention it when purchasing your ticket, they'll give you a ticket for the restaurant that will waive the entrance fee. A little more expensive, but neat to sit and eat on a oscillating...",3
39,"Reviewed 10 February 2017
","Calgary, Canada",lets be clear upfront. The Calgary tower is not the tallest building downtown. Maybe it used to be when it was built in the 80's but not more. That however does not detract form its charm. Its a icon of Calgary and the led lighting that was done to it changes with the seasons and occasions. The revolving restaurant on...,5
40,"Reviewed 8 February 2017
","Calgary, Canada","Having a vantage view of the great City of Calgary can be had with a visit to Calgary Tower. View is majestic and on clear days, allows you to also see the Rockies. Access though would be by public transpo as parking is rather expensive in Calgary.",3
41,"Reviewed 8 February 2017
","Calgary, Canada","Not aa good as it was,due to so many buiildings now vhiogher than theTower. But tower,has a good rrestaurant . Lots of parkng,right behind tower.",3
42,"Reviewed 5 February 2017
","Toronto, Canada","Now no longer the tallest building in Calgary, but there is still a great view. When we went up it was cloudy to the west so we missed the mountain view. At $18 it's a bit pricey for what you get.",4
43,"Reviewed 3 February 2017
",,It's a little pricey- but if you make lunch/dinner reservations (and order an entire) the admission to the tower observation deck is complimentary. It really is worth it to stay and eat for the difference in price.It's still a great view.,4
44,"Reviewed 3 February 2017
","Prince Albert, Canada",The building is just as high as I remember from previous trips. The observation area is cool. I wish I could jump off of it. Would make for a fun base jump.,4
45,"Reviewed 3 February 2017
",,"We had a great time at the Calgary Tower! The views were amazing and the glass floor was really cool. It feels really weird to stand on the glass floor! I had to step off it after a few minutes.We had brunch at the tower restaurant, which we had to prebook online. The tower admission was included as long...",4
46,"Reviewed 1 February 2017
",Canada,"It's a nice place to go but the prices are high for what they are offering, especially if you are a family of 4 and more.At the same time it's an unique place to visit with friends out of town.",4
47,"Reviewed 30 January 2017
",Orange,"Our experience at Calgary Tower was a big highlight of our winter trip to Canada. We made reservations at Sky 360, the restaurant located at the top of Calgary Tower. Admission to the tower is included with dinner, and we arrived 30 minutes prior to our meal to take in the city sights. Because the Calgary Tower was constructed in...",5
48,"Reviewed 29 January 2017
",De Winton,"We wanted to try it for the location alone. The food was fantastic...I ate every morsel. Unfortunately, a single mom with antsy child sat at next table. As we tried to enjoy a night without our kids, this child climbed all over the place. It really is a fun place to get dressed up to go to. You could stay...",5
49,"Reviewed 28 January 2017
","Toronto, Canada","It’s pretty nice, especially when its out of season and you can enjoy it when it’s almost empty. It’s not the tallest building in the city anymore but it still provides a great view out over the area. I spent quite a bit of time looking west towards the setting sun and the dark looming shapes of the mountains along...",4
50,"Reviewed 28 January 2017
",Delhi,"Among the most visited sites in Calgary. Amazing views of the city from the top, worth the price for sure.",5
51,"Reviewed 27 January 2017
","Drayton Valley, Canada","Recently travelled to this area for business. Thought about going to the Calgary tower, but thought twice about the entrance fee of $20.00. That's a little too costly for my taste to go view a tower.",2
52,"Reviewed 27 January 2017
","Jonesboro, Georgia","The Calgary Tower is a beacon in Calgary, although it is not the tallest building in the downtown core. There is a beautiful view of most of the city, but most definitely the Canadian Rocky Mountains.The ride up to the observation deck is unique, as the elevator is in the middle of the tower, there is video on the...",4
53,"Reviewed 26 January 2017
","Calgary, Canada",If you're visiting the city as a tourist then i would suggest going but if you live in Calgary its ultra boring. Might be fun to take kids there to stand on the glass floor.,3
54,"Reviewed 25 January 2017
",,"This is one place that most Calgarian's do not visit very often. They should though, because it is a great atmosphere, and wonderful food.",4
55,"Reviewed 25 January 2017
",Canada,"Calgary tower was once tallest structure in Calgary, not any more. Nevertheless it has it's own charm.",4
56,"Reviewed 25 January 2017
","Augusta, Georgia",We made reservations for 3 adults and one 11 year old for a 6pm dinner. We got there 30 minutes early to go up to the observation floor to check out the city before dinner. There was only a couple of other people on the floor so we basically had the area to ourselves which was nice. The glass floor...,3
57,"Reviewed 23 January 2017
","Calgary, Alberta","We have been to the Calgary Tower twice in the last six months, once in the daytime and most recently in the evening. There is only one elevator to take you up so there can be a significant wait time going up and coming down. The elevator has large panoramic photos on both sides of what you will see when...",4
58,"Reviewed 22 January 2017
","Lincoln, England, United Kingdom","Couldn't fault any of it really, brilliant to attend at any time of day/year, it was a cloudy day but you could still see the snow covered Rockies in the backdrop. Great view of the sunset and good place to take photos, through the glass floor looking into the street below. Rotating restaurant had great food, very attentive staff, left...",5
59,"Reviewed 21 January 2017
","Karalee, Australia",We thoroughly enjoyed this visit. The lift is good and smooth and doesn't seem to be going that fast but it must have. The views at the top by night are just fantastic and would be just as good in the daylight.,5
60,"Reviewed 19 January 2017
",,"For incredible 360 degree views of Calgary and a glimpse of the Rockies, the tower is the place to be. If you want more of an interactive experience, take one of the hand-held guides and a set of head phones when you purchase your ticket. The device allows you to tap various buildings and landmarks to hear about its history...",5
