,0,1,2,3
0,"Reviewed 2 days ago
","Winnipeg, Canada","We visited here this week, choosing to walk up the seven stories of ramps from exhibit to exhibit. The architecture, slendiferous. The displays: mind stimulating and something for everyone in different cultures and age groups. As a retired educator, I was quite surprised and delighted by how much I learned. The special exhibit on Canada 150 years old was wonderful.",5
1,"Reviewed 4 days ago
","Winnipeg, Canada","This museum is completely devoted to catastrophes brought upon by the empires and does not feature any other tribal wars or conflicts from other nationalities. Very expensive tickets and not worth the trip. Its great if you are a student doing a project, but I wouldn't put it on a must see list in Winnipeg - you can do your...",1
2,"Reviewed 5 days ago
","Toronto, Canada","Great exhibits, you can spend hours exploring. We went on a corporate event was only able to see a couple of exhibits. The tower was closed which is a shame would have love to have gone up for the view at sunset. Lots to learn and discover, the material is quite heavy but important non the less. Overall a must...",5
3,"Reviewed 1 week ago
",,"much of the suffering portrayed there was warped with a definite socialist twist on the Worlds injustices. Not to mention the horror of the nazis, emphasis is NOT placed on the atrocities committed by the international socialists as represented in the regimes of the former soviet union ,peoples republic of China, Cambodia, north Korea, you get the picture.The nazi...",5
4,"Reviewed 1 week ago
","Lincoln, Nebraska","I was a little hesitant to visit, but tagged along with some others we were traveling with and I am so glad I did. The architecture alone is worth going for. We went two hours before closing and saw every floor, but could have spent much more time looking at the exhibits. There was so much to learn about Canadian...",5
5,"Reviewed 1 week ago
",Grand Forks,Give yourself lots of time to tour the whole building. Lots of reading if your into historical data . The kids didn't get as much out of it but hopefully they will go back when there are older.,5
6,"Reviewed 1 week ago
","Rosenort, MB",Four hours was not enough time to experience all of the exhibits. So many stories under one roof. Looking forward to a followup visit.,5
7,"Reviewed 1 week ago
",Northern Minnesota,Didn't know what to expect when we went there. Hard to believe that we as a people can do that to so many cultures. Really opened my eyes and was very well presented. I would highly recommend it for all ages above early teen.,4
8,"Reviewed 1 week ago
","Winnipeg,Manitoba,Canada",Wonderful exhibits but there is a great deal of walking. The restaurant had an eclectic menu and well presented. A must see museum when in Winnipeg.,4
9,"Reviewed 1 week ago
","Winnipeg, Canada",First time to the museum but probably won't be the last. Very large interior but expect a fair amount of walking( you can use elevators though). Very technologically-oriented with many inter-active stations.Particularly informative and heart-wrenching exhibit on the Holocaust and many more exhibits which capture the essence of human rights from a global perspective.,4
10,"Reviewed 1 week ago
","Green Cove Springs, Florida, United States","Covers a large spectrum of human rights, some specific to Canada but most international. Everything from the Holocaust to modern day bullying. Much to take in, you could return again and again. Well worth a half day visit",5
11,"Reviewed 1 week ago
","Fort Frances, Canada",Great architecture. Second visit to the museum. There is a lot to see and is an interesting walk through the facility. Found many interesting exhibits and some have an interactive component that draws you in to learn more. The Canadian Museum of Human Rights is a tremendous addition to Winnipeg and well worth the time to visit.,5
12,"Reviewed 1 week ago
",Winnipeg,I was amazed by the spectacular architecture of the building and all the exhibits. Be prepared to spend a considerable amount of time as there is so much to see in this museum. There is also a restaurant and a gift shop on site.,5
13,"Reviewed 1 week ago
","Winnipeg, Canada",I was in awe of this wonderful museum and the thought and dedication that went into it. Not only was the building spectacular but the guided tour of the displays were heart wrenching and beautiful. This truly touched me emotionally. Bring tissues . Very impressive. Very lucky to have this legacy in my home city.,5
14,"Reviewed 1 week ago
",,"I was in town for work and we had a ""rain"" day. So instead of sitting around the hotel I decided to check out this museum that some of the locals recommended. Not what I expected, but much more! I think everyone should see this! Not just for the message, the powerful images, but the architectural triumph!",5
15,"Reviewed 1 week ago
",Winnipeg,I went to the museum really not knowing what to expect . I am not a museum person or so I thought. But this museum grabbed my attention right away with a huge interactive screen showing the world time line of human rights. The architecture of the building alone captivated my attention. The story of the aboriginal people is beautifully...,5
