,0,1,2,3
0,"Reviewed 3 days ago
","Sao Leopoldo, RS","Being new to Canada, we have a lot to learn. The museum is large, interactive, with a theatre, restaurant and plenty of parking. Museums are free Thursdays after 4. Family friendly and a fantastic history of First Peoples.",5
1,"Reviewed 4 days ago
",Toronto,"We visited the museum on a Monday morning and enjoyed it as it was not very busy. We visited the following exhibits: hockey, first people's hall, the grand hall, and the children's museum. Although I enjoyed the museum I felt that there was a large part of Canadian history missing. Non the less it was worth the visit.",4
2,"Reviewed 5 days ago
","Oro Station, Canada","This is the second time I’ve visited this museum and enjoyed it more than before. From prehistoric to present day, the insight provided about all aspects of our first nations peoples was interesting and enjoyable. There is enough information available to satisfy the more inquisitive minds and laid out in such a way the those visually dependent can flow through...",5
3,"Reviewed 1 week ago
",,The kids village is awesome. Children love it! Don't miss the tour about the Natives!And it's free on Thursdays nights.,4
4,"Reviewed 1 week ago
",,Your first vist will impress you. And you'll even enjoy the subsequent visits. I like the way the exhibits have been laid out. And it is free on Thursday evenings!,5
5,"Reviewed 1 week ago
",,I've been to a lot of museums and sadly this one was kind of boring. There weren't a lot of exhibits and many of the rooms were almost empty. If you're looking for a good museum about Canadian History this unfortunately isn't it.,2
6,"Reviewed 1 week ago
",Canada,"This place is huge so you either have to pace yourself and come for multiple visits, or skim over everything. Cine+ is fun, not quite as big as imax, but bigger than your average theatre.",4
7,"Reviewed 1 week ago
",YYZ,"Such a disappointing (and expensive) visit to this museum. Price of admission seems reasonable until you realize that there is only about 20 minutes worth of exhibits to visit. The Children's Museum is fantastic if you have very young children (max 8 years old). Anything older that than and you will be BORED. Visited the exhibits about Horse Power, Hockey,...",1
8,"Reviewed 1 week ago
","Ottawa, Canada","Went to the museum with my granddaughters and their parents on Family Day. It was crowded of course as was expected but the children loved it . The only issue here is the cost of the day. Visiting a museum in Ottawa is definitely very expensive, certainly not for low income families. It cost $14 to park, $68 to get...",4
9,"Reviewed 1 week ago
","Gatineau, Canada","So much to see, I specially enjoyed the second floor exhibits.....go see, I want to keep you in suspense.",5
10,"Reviewed 2 weeks ago
",,3d movie 'tiny giants' was amazing. A must see. Kids museum was good. Special exhibitions were just ok. Cafeteria has decent food and not to expensive,4
11,"Reviewed 3 weeks ago
",Sudbury,Visited here Family Day weekend. All of the exhibits were fantastic! The west coast First Nation exhibits were phenomenal! Would highly recommend this museum to anyone visiting the Ottawa region.,5
12,"Reviewed 3 weeks ago
","Montreal, Canada",Kids (ages 4 to 8) just love the children's museum! It is housed in the museum itself. Plenty of activities. Beautiful and extensive exhibit of the First Nations of Canada (of greater interest to adults and teens). The Canadian History Hall on the top floor will be available to the public in July 2017. Plan to spend a good 2-3...,4
13,"Reviewed 3 weeks ago
","Montreal, Canada","Exhibits are first-class. History hall is informative, interactive. Loved the Terry Fox travelling exhibit. Kids love the Imax movies. Big new exibit looks to be opening next week - Hockey in Canada !",5
14,"Reviewed 4 weeks ago
","Adelaide, Australia","Do invest in taking a guided tour to fully appreciate, the architecture as to why and reason for.... The exhibits are not great in number, but having them all explained brought them to ""life"", for a visitor from down under and also some of the local Canadians we visited with.Without the guide it would have been ""nice"".",4
15,"Reviewed 4 weeks ago
",,The biggest and richest countries museum with a small rural exposure.Shame... A waste of time and money,1
16,"Reviewed 4 weeks ago
",,"Unless you have small children who will enjoy the children's portion of the museum, give this a miss. Considering the size of the building, the exhibits are few and disappointing, and not worth the price of admission. Add to that the astonishingly poorly-designed underground parking (we spent 30 minutes snaking through the apparently already full lot, only to resurface and...",1
17,"Reviewed 5 weeks ago
","Dania Beach, Florida, United States","The museum is beautiful and we liked to exhibit really a lot. We were just a bit disappointed by the fact that, the museum being called ""Musée de l'histoire"", we were expecting something more related to Canada's history . Having said that, we extremely enjoyed the wide variety of views on the aboriginal culture displays throughout the museum. The last...",4
18,"Reviewed 5 weeks ago
",,"I'm from England and I'm use to museums rammed with lots of exhibits and lots to look at. I felt this museum was a bit bare and didn't have much on show. I felt it was actually quite boring and I came away not learning a thing. However, the walk from Ottawa to here is great.",2
19,"Reviewed 27 January 2017
",Alberta,This was a nice place to spend some time. The exhibits were extensive. Free on Thursday evenings so if you're on a budget or simply want a free entry (who doesn't) then this is a good choice.,5
20,"Reviewed 24 January 2017
","Regina, Canada",Well. What can I say. The business meeting cut short and I have a couple of hours. The museum is right across from the hotel. But only level 1 & 2 are open. As if the museum knows I don't have sufficient time should I be crawling through the whole place.So disappointed.,3
21,"Reviewed 21 January 2017
","Edmonton, Canada","A great walk from Ottawa (less than 15 minutes) across the Ottawa River, this was the best museum we visited in the Ottawa area. The origins of Canada, the pre-Canada history, and the many great accomplishments of this great country are all highlighted here. Friendly for kids, and amazing for anyone who appreciates the feeling of awe when your in...",5
22,"Reviewed 18 January 2017
",,"We had out of town guests stay with us over the holidays and I thought it might be fun to take them to a few tourist sites. I hadn't been to the museum in years - in fact, the last time I visited, it was still the Museum of Civilization.The big draw was the Napoleon a Paris temporary exhibit,...",5
23,"Reviewed 14 January 2017
",,The building is beautiful and when you walk in it is so welcoming and respectful of Indigenous Canadians to have the hall full of totem poles and long houses. Plan to be here a while as there is lots to see and do.,4
24,"Reviewed 10 January 2017
",Toronto,"I've been to this museum many times over the years, but with every visit there is always a new experience. The main room with the native exhibit is breathtaking. Not only are the displays great, but the views overlooking the water and parliament are some of the nicest in Ottawa.The focus this trip was more around the kids activities...",5
25,"Reviewed 6 January 2017
",Ontario,"I love this museum's collection of West coast totems. The aboriginal history is just great, so well done. Make sure and get a ticket that includes a 3D movie.",5
26,"Reviewed 4 January 2017
","Sarasota, Florida",We enjoyed our visit starting with the great hall and totem poles!! Continued on the lower floor -- using the gorgeous staircase to the next floor!! Children's Museum would be fun for the younger set!! Special Napoleon Exhibition was excellent!! Gold Rush Exhibit was interesting -- even can find out your weight in gold!!Not sure why the negative reviews...,5
27,"Reviewed 3 January 2017
","Sydney, New South Wales, Australia",If you go for no other reason then go for the First Nations gallery. Last time I visited I got held up by this place and I've returned twice and always get sucked in by the quality of the exhibit. This time round they also had temp exhibits on Napoleon and gold rushes. I thought the gold rush exhibit was...,5
28,"Reviewed 29 December 2016
",,"I was there for at least 4 hours. Wonderful exhibits! I wasn't crazy about the British Columbia Gold Rush exhibit but that's just me. I don't understand why there are so many complaints about the volume of Native history... that's the essence of Canadian history.The food was TERRIBLE. No vegetarian options, barely any options at all. I ate a...",4
29,"Reviewed 11 December 2016
",,Get to know Canadian history and culture. Busy! Popular! Go early to avoid crowds! I love the Totem Pole! Special area for young children. Restaurant works for families!,5
30,"Reviewed 4 December 2016
",,"As the title can tell we expected to learn something from Canadian History. However, there is actually nothing displayed on Canadian History.If you want to know more on Pre-Canadian History, please endulge yourself. Lots of displays on first nations. We found the Napoleon exhibit the most interesting of the museum.The kids loved the children's museum.",2
31,"Reviewed 4 December 2016
","Ottawa, Canada","Beautiful venue for a craft show. The exhibitors were interspersed with some exhibits in the great hall, making a unique experience, and a small ""free"" visit.The bad part of going here is the parking - limited spots, poor layout and bad visibility. Doubt they can do much about this, but would be great to see it improved.",4
32,"Reviewed 23 November 2016
","Ontario, Canada","This is a must see when visiting the Ottawa area. I never get tired of this place. It's great for adults and great for kids. The most mind blowing sight is when you first enter the Museum and pay for your tickets. Standing at the top of the escalator (there are elevators available), you will see totem poles, lots and...",5
33,"Reviewed 23 November 2016
","Ottawa, Canada","This place is great fun for adults and children. I have a different perspective as I have moved to the area and purchased an annual membership. When just going to the museum, it is great. I paid $135 for a family plus pass and it is worth it as I go often now. There is a big problem with communication...",4
34,"Reviewed 21 November 2016
",,"My tour guide was experienced and knowledgeable on most fields of the museum. There was ""so-so"" history on the aboriginal people. I have a witness, who said that most of what our tour guide was saying on the totem poles was false. but i didn't call him out on it.",5
35,"Reviewed 20 November 2016
","Belleville, Canada","This is a wonderful museum with many permanent displays and special collections. We saw the Indigenous Collections, Napoleon & Paris Special Collection, then a brief stop at the Postage Stamp Collection. We will need to go back again on our next trip to Ottawa/Gatineau, to see other collections. Recommend that you plan what you want to see before visiting. The...",5
36,"Reviewed 18 November 2016
","Rotherham, United Kingdom","I love history and am endlessly curious about and interested in the first people of Canada and the USA - so this was an ideal location for me. It's just a shame that we only had an hour, I could have been there all day! Thank you - this is an amazing venue.",5
37,"Reviewed 16 November 2016
","Toronto, Canada",Really excellent exploration of the history of aboriginal people in Canada. This is the most memorable part of this museum,4
38,"Reviewed 3 November 2016
","Horsham, United Kingdom","A fascinating place to visit both for the visual impact of exhibits like the Totem poles and for the insight into the lives and beliefs of the First Peoples of Canada.Well laid out,interesting and varied exhibits designed to appeal to a broad spectrum of ages and tastes.It also had a very pleasant cafe to help combat the chill in the...",5
39,"Reviewed 1 November 2016
","Hunter Valley, NSW",We visited this magnificent building recently but only had time to see one of the special exhibitions (which was wonderful). Would have loved to have had more time to explore. The museum café was located on the ground floor overlooking the river - worth visiting just for the view!!! Perhaps one day we'll return.,5
40,"Reviewed 1 November 2016
",Hamilton,Brilliant displays and fantastic guides with an I credible skyline view of the Parliament buildings across the river in Ottawa.Nature your history buffs appetite with this historic walk through the the ages. A must see when in Gatineau.,5
41,"Reviewed 27 October 2016
","Enniskillen, United Kingdom","I would have liked more time here.... next time! Lots to amuse children including a cinema, shop, cafe & many exhibits. Light & airy & very scenic walks outside, by the river.",4
42,"Reviewed 26 October 2016
","Chelmsford, United Kingdom","On the north side of River Ottawa this museum is not to be missed, the Grand Hall has the most amazing displays of the culture of the indigenous people of Canada. The building itself is stunning and the artefacts so beautiful and informative. All explanations are in both French and English and all the staff are bilingual. Within the museum...",5
43,"Reviewed 24 October 2016
","Ottawa, Canada","What used to be the Museum of Civilization until the Harper government renamed it to suit their agenda, this museum has something for everyone from children to adults. An Imax theatre has excellent films. The Children's Museum is delightful.The view of Parliament and the National Art Gallery from the outside patio is unrivalled.",4
44,"Reviewed 23 October 2016
","Tucson, Az","This is a beautiful setting and architecture and we thought it would be Canadian history, but for now, it is early native Canadian history only. The third floor which will show Canadian history since the arrival of europeans will open, they hope, in 2017 sometime. So, for now the best museum of native history that we've seen...totems, many displays and...",3
