,0,1,2,3
0,"Reviewed 3 weeks ago
",Cambridge MA,"I was pretty psyched to see the beautiful modern building that houses the Canmore Museum, but the exhibit space itself is very small and doesn't have much (visible) depth or breadth. Canmore is a town rich in history, so it was honestly a bit disappointing to see so little of it represented here.",3
1,"Reviewed 6 February 2017
","Belleville, Canada","Arrived some time after 11 am without realizing that the Museum only opens at noon on weekdays but they turned on the lights and let us in anyways. How nice is that? I particularly enjoyed the video interviews with locals and their experiences with the mining industry that shaped the town. My teenager watched the clips with me, tried out...",4
2,"Reviewed 4 February 2017
",,The winter carnival started here with an ice carving contest! It started at 9am. My advice- come later in the afternoon when the carving is almost done. Unless you want to swing by early just to watch the process. First time I've ever been to an ice carving contest! Canmore is lovely!,4
3,"Reviewed 5 January 2017
",,"The museum, located in the civic centre gives a great overview of the town's history and the heritage of mining which helped found the community. Though the museum is not large, the exhibits are of high quality and very informative.It also talks about the geological history of the mountains in the area and their formation.",4
4,"Reviewed 30 September 2016
",,"We thought we'd take a visit to the museum whilst we were in Canmore but wasn't expecting it to consist of just one room! lolThe admission price was $14, so wasn't exactly breaking the bank, however it took us literally 15-20mins to look around and most of that was spent playing with the super duper microscope they had. :)...",3
5,"Reviewed 16 August 2016
",Florida City,The staff is so friendly! I was very impressed with them. Interesting little museum that really gave us a feel for the Canmore history. Well presented,4
6,"Reviewed 6 August 2016
","Winnipeg, Manitoba",It was empty when we arrived. Not sure why? It is a quaint museum that offers some interactive activities and videos to give the history of the area.,4
7,"Reviewed 2 July 2016
","Coquitlam, Canada","There are a couple of interesting displays, kids liked especially the ""earth crust forming"" one, with layers of foam painted as earth crust and being pushed by tectonic plates upwards. I liked the glimpse into 1800 years, with old doctors' suitcase and medical instruments, old home and mining tools. There is a small TV room with documentary shows running all...",3
8,"Reviewed 16 June 2016
",,"Would not recommend. Quite expensive for a one room museum. Displays look ""well-funded"" which explains the admission fee however the content is lacking.",2
9,"Reviewed 24 April 2016
",Drumheller,"Revisited this museum again and found a lot of work had been done and new painting and the return of missing exhibits. I was there for at least an hour and found it was a great history resource of Canmore. Had exhibits about the explorers, the miners and the mines, sports and community, the terrain and the rocks, etc. There...",4
10,"Reviewed 18 March 2016
","Banff, Canada","Front reception were terrific with the local history, and also very friendly. It's a small museum so it wont take up too much of your time but has great artifacts, information that takes you back to the mining days, local landscape photographers. I was surprise to find out that the Canmore Nordic Centre was originally constructed for the 1988 Winter...",4
11,"Reviewed 28 January 2016
","Calgary, Canada",Just decided to stop in for something to do as the weather was not the best.......I was there for over an hour.The did one of the most touching displays of the damage that occurred a couple of years ago.THIS IS A MUST DO,5
12,"Reviewed 13 January 2016
",,I am not going to rate less than average as I understand this place was in a flood themselves. But as a MUSEUM this place is terrible. They asked for a donation for admission my wife gave them 5$ a head a total of 15$. Needless to say I wish I gave them only 5$ total. Just a few walls...,3
