,0,1,2,3
0,"Reviewed 5 November 2016
","Grosse Pointe, Michigan, United States","I enjoyed this stop on our White Pass drive. We got to see sled dog puppies and a few other animals, including horses, donkeys, and alpaca. We had the opportunity to take a sled dog ride but didn't. There was a nice gift shop here as well.",5
1,"Reviewed 28 October 2016
","Fort Myers, Florida","We took a bus tour up to the Yukon as an excursion from a cruise and man it was awesome. We had lunch at Caribou Crossing which was very nice, but not as nice as the staff. They have sled dogs, horses, goats, plenty of souvenirs and local honey, candy, and goodies. You can learn about the history of the...",5
2,"Reviewed 26 October 2016
","Greenville, Rhode Island","Great set up!!!! Great time!!!! Wish i had more time to stay!!! Loved the puppies!!!! Sled dog rides!!! And the museum was very interesting!!!! Food was okay. But all in all, i highly recommend that, if you are in the area, stop in!!!! You will not regret it!!! Trust me!!!",5
3,"Reviewed 20 October 2016
","Aberdeen, United Kingdom","While on our Alaskian cruise, we booked an 8 hour excursion to visit the Yukon, followed by the Yukon White Pass railway back to Skagway, this was the highlight of our 18 day holiday.We were bussed from the ship at Skagway, our driver was called Bruce, and we couldn't have got a better tour guide, he was first class....",5
4,"Reviewed 19 October 2016
","Honolulu, Hawaii","Lunch was great, people were friendly, souvenir shop had a lot of variety...museum was awesome, amount of time spent there was perfect. we would love to return there again, in the near future.",5
5,"Reviewed 17 October 2016
","Okanagan Valley, Canada",This is a awesome place to visit so many things to do in Carcross and something fo revery season great BERRY picking too close by happy trails :),5
6,"Reviewed 11 October 2016
",Mountain home,"What a lovely place! Great food, wonderful people! Loved the animals! This is a must stop on your trip!",5
7,"Reviewed 11 October 2016
","Auckland, New Zealand",A really good stop off for lunch on our coach and train tour to the Yukon. From the welcome as we entered the premises to a good hearty baked potato and chicken meal. The donuts were to die for too. The animal park had the natural Alaskan feel to it and again everyone made us feel so at home. Thank...,4
8,"Reviewed 5 October 2016
","Louisville, Kentucky","Part of a tour with a cruise, so very limited time there. Wish I had more time there. Food was so good!! Dog sled ride was awesome and I recommend doing it! I loved seeing all the animals and getting to feed them.",5
9,"Reviewed 5 October 2016
","Cambridge, Ontario",it was a wonderful bbq chicken lunch followed by an ice cream cone at the local store - a browse through the gift shop and off to the petting zoo and dog sleds - a fun day,5
10,"Reviewed 5 October 2016
","Perry Hall, Maryland",I enjoyed shopping at Caribou Crossing during my Alaska cruise! The people in the shop were very friendly and eager to help. The selection of items for sale was varied and well priced within my price range.,5
11,"Reviewed 5 October 2016
","West Vancouver, Canada","A little different to the stuff in Skagway, still as touristy, but a lot of fun to look around. Nice staff, full of good local info, and a good ice cream shop. mmmmm",5
12,"Reviewed 4 October 2016
",Innisfail,"Our first stop was lunch in the Trading Post Hut. Excellent, tasty lunch with endless donuts and coffee for dessert. The Wildlife museum is a must, such an interesting place for all age groups. The gift shop has a huge variety of gifts at reasonable prices. The husky dogs on view was wonderful to see and the hands on experience...",5
13,"Reviewed 4 October 2016
","Calgary, Alberta","Friendly staff, beautiful scenery and great food. You can't go wrong visiting Caribou Crossing. Great attractions as well.",5
14,"Reviewed 4 October 2016
","West Sayville, New York","Staff very friendly, interesting great little store with interesting gifts. The taxidermy museum was unbelievable. Would recommend this place for everyone.",5
15,"Reviewed 4 October 2016
",Fullerton,We left by motor coach from Skagway and had lunch at this site. Beautiful exhibits a delightful museum and lunch was served in a atmosphere of the Chuck Wagon days. We were able to feed the retired sled dogs and see the young puppies. They have built a replica of an early frontier village complete with covered wagons .,5
16,"Reviewed 4 October 2016
",Waipawa,"Well worth a visit, a step back in time . We had a great bus driver Lila , who really made the trip extra special.Make lots of time to fully explore the store and town .",5
17,"Reviewed 4 October 2016
","Highland, MI","We had a great BBQ chicken lunch and an even better fall dog sled ride. It is amazing how fired up the dogs get when they know they are going on a run. Great place, run by a wonderful outfit. I would return.",5
18,"Reviewed 3 October 2016
",,"We boarded a bus from Alaska Skagway (holland america) to Yukon as a day's trip and in time to come back before our ship departs. We ended our Yukon trip at this place before heading back to our cruise ship.Many animals here, including wolfs, lamas, dogs etcThere are also dog sledding activities.Also surprised to find that the...",5
19,"Reviewed 19 September 2016
","Moncton, Canada","I was not really sure what to expect, however our group of 4 ended up being pleasantly surprised!There is SO much to do here. Lunch, mining displays, petting zoo, animal museum and dog camp!We had very limited time here with the particular tour we were on. I wish it had been longer so that we could've seen more....",4
20,"Reviewed 18 September 2016
","Columbia, South Carolina","One option I had on my cruise package was to take a train from Skagway which I did. It was a great trip through rugged country going from the forest to tundra, passing the trail of '96 that was used during the Gold Rush days and into Canada. We boarded a bus and for a city gal seemed to travel...",5
21,"Reviewed 15 September 2016
","Kingston, Canada","I drove along the Klondike Highway for fun hoping to find some bears on my Yukon visit from Ontario. Instead, I came across Carcross Trading Post and I was intrigued by the history displays and taxidermy animal exhibit, which displayed DOZENS of northern animals. Most delightful of all was the Alaskan Husky puppies I met. There were 8 beautiful puppies...",4
22,"Reviewed 12 September 2016
",Tx,"Part of a cruise package. We stopped for lunch and had bbq chicken, coleslaw, rolls and donuts. Very tasty. The set up is rustic with lots of real sled dogs, puppies and assorted other animals. Nice stop on the road.",5
23,"Reviewed 12 September 2016
","Fort Nelson, Canada","We visit here at least once a year and spend the day.We love seeing the different types of animals in the museum and our favorite is definitely interacting with the animals outside! Puppy cuddles,dog belly rubs, cute goats eager for a treat and scratch on there heads, cute little miniature houses, a beautiful station, adorable donkeys,chickens, even a pair...",5
24,"Reviewed 11 September 2016
","Highlands Ranch, Colorado","A typical tourist trap - gift shop - small museum with a few animals on display - horses and several other animals to pet - dog sleds. But, do not be tricked into believing the mountain goats up on the side of the mountain are for real. They are not.",4
25,"Reviewed 10 September 2016
","Gulf Breeze, Florida, United States",We loved the stop at Caribou Crossing during our Skagway excursion on our recent Alaskan cruise. Our only disappointment is that we didn't have more time to enjoy everything they had to offer. Lunch was delicious and offered a vegetarian option as an alternative to bbq chicken. Some really tasty local beers were available for purchase and if you're in...,5
26,"Reviewed 6 September 2016
","Bolivar, Ohio","We took an excursion from our cruise stop in Skagway.It was a beautiful drive from Skagway with very interesting, varied scenery.We were here for about 1 1/2 hours.There is a world class museum full of taxidermy. There are animals native to the area as wellas Smithsonian quality displays of other wildlife.There was a dog sled...",5
27,"Reviewed 5 September 2016
",Sacramento,Great family adventure . Lots to do great food we had so much fun thanks everyone beautiful peaceful place,5
28,"Reviewed 5 September 2016
","Moberly, Missouri",Wonderful place to visit and have a great lunch followed by delicious ice cream for dessert. We really enjoyed the museum as well as the live animals and the opportunity to take a dog sled ride. Must take time to stop by if in the area.,5
29,"Reviewed 4 September 2016
","New Smyrna Beach, Florida",Trading Post is the largest store in this little town. It has lots of tourist items and little food shop.,3
30,"Reviewed 4 September 2016
","Georgetown, Ontario",My husband and I took The Whitepass and Yukon Route excursion and stopped in Carcross for about an hour and a half. The only thing I could complain about is that the stop in at the Caribou Crossing Trading Post was way too short. We spent time with the animals but didn't have enough time to go through the gift...,5
31,"Reviewed 3 September 2016
",Mississauga,"This visit was part of an excursion while on a cruise to Alaska. We are Canadians from Ontario so it was a big thrill to come here. The BBQ lunch was very good, wildlife centre awesome and seeing the sled dogs who were so cute. I would definitely recommend this place.",5
