,0,1,2,3
0,"Reviewed 1 week ago
","Regina, SK, Canada","I recently attended a Globe Theatre production at Casino Regina. This modern facility is excellent in terms of acoustics, visibility and comfort of the patrons. There is a relaxed atmosphere and the service is excellent.",4
1,"Reviewed 1 week ago
",regina,Wow the light were low the air was filled with excitment as the concert began a one on one with the audience the incredible TERRI CLARK. she slowed down to tell her stories between songs shared her love for her mom and Canada the talent with 11 different guitars . Wow the stage was set the staff in place the...,4
2,"Reviewed 1 week ago
","Melfort, Canada","It's kind of tradition, when we visit our mother-in-law, to go to the Sunday buffet at the show lounge in the Regina Casino. Sadly, it has become disappointing and poor value. Actually the little restaurant in the casino has become far more popular than their Sunday buffet event. The restaurant breakfast is just under $7.00 and it is great value....",2
3,"Reviewed 2 weeks ago
","Regina, Canada",At Casino Regina you have a great breakfast brunch on just about every Sunday. You have the restaurant every day in between. There are some good shows that come to the theatre. The gambling is lots of fun if you stay in your own limit. Best not to get more for that big win. Enjoy the fun.,4
4,"Reviewed 17 February 2017
","Prince Albert, Canada",Come to the casino every once in a while with friends. Always have a great time. This casino is clean with friendly staff. I still usually lose all my money. Well made drinks.,4
5,"Reviewed 15 February 2017
","Regina, Canada",Good for the price if you are card member. 5.50. Toast and eggs and bacon/ham. Hash browns are not crisp more soggy small cubed fried. But still a good meal for the price. Lots of people like the hash browns so all good.,4
6,"Reviewed 14 February 2017
","Regina, Canada","why anyone goes to a casino.... They get good live shows, the sight lines are excellent in the theatre, the sound at floor level is poor, as the sound booth is on the second floor and the sound guy can't figure it out. sit in the balcony for great sound.",1
7,"Reviewed 5 February 2017
",,We went for breakfast and a little gambling. The food was good and the staff was friendly. Loved that it was a no smoking casino!,5
8,"Reviewed 28 January 2017
","Regina,Sask.","I went to the casino on a Monday afternoon around 1:30 and had no problem finding a parking spot in the lot. It was quiet in the casino – restaurant was empty, no waiting at the cashier or players club desk. Plenty of machines were available except “Lightning” slots which were all occupied when I arrived and also when I...",3
9,"Reviewed 26 January 2017
","Saskatchewan, Canada",Probably the most impressive casino the Indians have to offer. Two or three times larger than most in the province and a great variety of machines also very nice lounge and restaurant. Nice show rooms if you're coming here to see a concert and right downtown not like the foolishness in Saskatoon where you have to drive to the middle...,3
10,"Reviewed 19 January 2017
",Regina Canada,Friendly people and great service ! The Show Lounge is a great theatre for all kinds of performances. Not Vegas but a super clean and professional.,5
11,"Reviewed 18 January 2017
","Saskatoon, Canada",Played a bit and won enough to pay for a nice meal for my wife and I. The playing area was well spaced and very well maintained. the eatery was clear with good portions and tasty dishes.,5
12,"Reviewed 13 January 2017
",,"The Casino Regina exceeded our expectations! The staff were all so lovely and eager to find out more about us and where we were coming from. There is a huge selection of machines, great music and a few different areas to get food. I was surprised at the lack of choice for drinks, but I guess I understand alcohol and...",4
13,"Reviewed 19 December 2016
",Regina,"to me it seems as if your laughing and having fun, security will come and say your intoxicated then escort you out",1
14,"Reviewed 14 December 2016
",Saskatoon,"It is a great casino. Very clean,staff personable, casino offers alot of promotions & free slot play. Good restaurant.Conviently located to a hotel & a mall without going outside. With Sask winters this is important.",4
15,"Reviewed 7 December 2016
","Regina, Canada","I went to the Casino on many occasions because I had a friend with dementia who wanted to go there. I have actually enjoyed playing the slots in my life, but basically this casino, like all of them, is a place full of people wasting their money on games they are bound to lose most of the time. Parking in...",1
16,"Reviewed 4 December 2016
","Regina, Canada",We went to the restaurant for a meal and then to the Doc Walker concert. Food was just OK but Show Lounge experience was very good. I would recommend sitting in the booths at the Show Lounge vs tables. Waitress service was very quick and efficient. Concert was very good!,3
17,"Reviewed 3 December 2016
","Regina, Canada","Went to the casino on a Sunday for brunch .Plenty of food and good >You can have am omelet made to your specifications and how big you want it.There is always a lineup for them,There is bacon,sausages eggs,salads other kinds of meat with pleny of buns bread and fresh fruit along with a great assortment of desserts and waffles with...",5
18,"Reviewed 27 November 2016
",,Food menu averageQuite friendly. Above average serviceTried a few of the bar snacksWine was reasonably priced,4
19,"Reviewed 21 November 2016
","Regina Beach, Canada","A large group went to a concert in January 2016. The venue was great,parking was easy, finding our way to the show was simple. Drinks were very easy to get,affordable. Great sound from way at the top we were. Will go again in future.",3
20,"Reviewed 11 November 2016
","Carnduff, Canada",You don't always walk away a winner but you ALWAYS have a good time! Poker room is a nice place to be and the staff is friendly and accommodating.,5
21,"Reviewed 6 November 2016
",Thunder Bay,Great place to see live bands with a Las Vegas feel. Well staffed for entire evening and very clean. I love what they have done to the building. Lots of slots and table games. No double deck blackjack. My only complaint,5
22,"Reviewed 1 November 2016
",West Kootenay,"Went there twice, mainly because we were hungry and wanted to eat. Were told there was a ""food court."" What it was: one food booth with expensive deep-fried stuff. Being on a low-carb diet, I ordered some chicken wings and a side salad. The salad was a tiny paper box of lettuce with two slices of cucumber and a small...",2
23,"Reviewed 17 October 2016
","Regina, Canada","The Casino in Regina is massive, no shortage of space. It has an old-timey casino feel to it. The food leaves something to be desire but the real shining star is the show lounge. They have really stepped up their game recently with the acts they bring in, shows have table service and the prices are very decent.",3
24,"Reviewed 12 October 2016
","Regina, Canada","Love the old building and the decor is nice, but as with amy gambling, the payouts are not great, unless you are a high better. You hear of people winning jackpots but these are the people who bet $3/spin or more. The show lounge could have better entertainment, from time to time they do have some decent shows.",3
25,"Reviewed 12 October 2016
",saskatoon,"Come to this casino to try your luck on all sorts of machines or gaming tables,I have always done very well and so can you.",5
