,0,1,2,3
0,"Reviewed 4 days ago
",,We visited the Cave and Basin in late March. We took advantage of the Canada 150 free access. The cave was beautiful and it was very neat to see the natural hot spring in the cave and outside the cave in the basin. The other hot springs that we visited in Banff are just swimming pools filled with the spring...,3
1,"Reviewed 5 days ago
",,It is in the town area a popular site for tourist. Before you go there make sure you first go to the Banff Information Center and ask if it is opened.,5
2,"Reviewed 6 days ago
",Hazenmore,"Fantastic history of how evolved and found. Sulphur smell and cave like setting. Fantastic job at closing in pool and making open area for banquets, weddings, etc.",5
3,"Reviewed 6 days ago
","Calgary, Canada","Another National Historic Site I visited, taking advantage of the free entry to all National Historic Sites in 2017, on the occasion of 150 years of Canada. I strongly recommend the Discovery Tour, about 45 min, which takes you through the key spots of the site, and the knowledgeable engaging guide explains the history of the place. After taking the...",5
4,"Reviewed 1 week ago
",CA,"The cave, historic springs facilities, and the boardwalk trail were a lot more interesting than I imagined. We spent a couple hours exploring. Don't miss the movie upstairs on the history. It's well done. The big screen National Park movie is hard to see in the main hall. Well worth walking up to the spring above the cave. It was...",5
5,"Reviewed 1 week ago
","Medicine Hat, Canada","This was so amazing went there twice. This was the first Federal Park site in all of Canada. Lots of history, excellent knowledgeable staff.",5
6,"Reviewed 1 week ago
","Drayton Valley, Canada",It was neat to read on the history of the Cave and Basin. We went while it was free for the 150 year celebration. I don't think I would pay to see this otherwise.,3
7,"Reviewed 1 week ago
","Edmonton, Canada","I brought my young daughter here, and she loved the cave pool, as well as looking for the tiny Banff Springs snails in the basin pool.I think it is worth a visit, especially with children. I visited the first time when I was a child myself. However, we visited in the winter this time, and I prefer the site...",4
8,"Reviewed 1 week ago
","Calgary, Canada",it was boring and the cave/ basin was tiny and not worth the trip. Not worth the cost for entrance. Save your money do something else.,1
9,"Reviewed 2 weeks ago
","Regina, Canada",This year for the 150th anniversary of Canada one has free access to some of the Park sites. This is one of the free sites.,5
10,"Reviewed 2 weeks ago
",Alberta,We went cross country skiing and really enjoyed it. People are also hiking. The scenery is beautiful.,5
11,"Reviewed 3 weeks ago
",,Imagine being the men that found these hot springs and caves coming out of the ground! We do this area during the winter time when no one else is around and hike the trails. It is so incredibly peaceful. The views are astounding and the history will humble you. This is a must see and do especially in the winter...,5
12,"Reviewed 3 weeks ago
","Maple, ON",A great place to learn a bit of history. We were pleasantly surprised and glad we spent an hour exploring.,5
13,"Reviewed 4 weeks ago
","Brisbane, Australia","Very interesting, make sure you explore the outside area and the hot springs to the rear of the building",5
14,"Reviewed 4 weeks ago
","Dublin, California","While in Banff, suggest you visit Cave and Basin. It provides a historical perspective of the area which is quite interesting. We were there in winter and had the place to ourselves. There's a nicely done museum and the actual hot spring that was discovered years ago. One could easily spend half a day here reading museum material and watching...",5
15,"Reviewed 4 weeks ago
",,"The place is great for families,couples,solo. Canadas 150 birthday so the place is free. you can spend an hour or more here. There is stairs and it was really icy so take your time.",5
16,"Reviewed 11 February 2017
","Seattle, Washington",Not too impressive. Doesn't worth to pay to visit the Cave and surrounded areas. I would rather go somewhere else if time is objective.,3
17,"Reviewed 10 February 2017
",,Good spot if you have a few free hours. Really neat to see natural hot springs in a more natural setting. Was free when we visited with Canada 150. Close to town. Worth seeing the first ever national park and the history of the Park service!,4
18,"Reviewed 9 February 2017
","Innisfail, Canada",Very informative about the history of Banff National Park. Lots of pictures and displays showing original hot springs. Beware of strong sulfur smell from hot springs. But it is certainly beautiful caves,4
19,"Reviewed 1 February 2017
",,I wasn't expecting too much from this pit stop and it didn't surprise me or disappoint me. Glad I went but probably wouldn't go again when I eventually return to the incredible town of Banff!!!,3
20,"Reviewed 26 January 2017
",Alberta,great for families wanting to know the history behind the springs-static displays with pictures and a description of how the hot springs were found and brought a vibrancy to the area for years to come. Interesting to know what is behind the springs. Make sure to visit before taking in the soothing waters. Great for all ages and accessible as...,5
21,"Reviewed 22 January 2017
","Saskatoon, Canada",I'm not much for history so I wasn't that impressed with this place. If you have a discovery pass use it to see this place but I personally wouldn't pay full price to get in. When you first get there you have to walk up this slope that is far from the parking lot. There are two basins with one...,3
22,"Reviewed 19 January 2017
","Calgary, Canada","This is the birth place of Canadian Parks. It's a fabulously done trip into the past. Today, we took one of the trails and enjoyed the amazing quiet if the forest ending at a frozen falls and Sundance Canyon. Very Family Friendly.",5
23,"Reviewed 17 January 2017
","Banff, Canada",This little hot spring is where Parks Canada started a century ago. It's worth a visit if you're into natural things. The extremely rare Banff Park Snail can easily be seen in the sulphur algae floating in the hot spring . This is the only place in the world where this snail lives.,5
24,"Reviewed 17 January 2017
","Whistler, Canada",Great gift shop and a nice walk from town to get here. Free with your National Park pass for 2017. Imagine what is was like in the 1800's to stumble upon this hot spring.,4
25,"Reviewed 15 January 2017
",London Ontario,"Nothing exciting but you get to see the original hot spring as viewed by the pioneers. The park has done a great job in preserving the past. It's like stepping through a time portal, we'll preserved in it's natural splendor. Lots of signage advising you not to dip your hands in the water because it can disrupt the ecosystem. Unfortunately,...",5
26,"Reviewed 15 January 2017
","Calgary, AB","Been here a couple times, lots to see and lots of walking if you take an hour go through everything. Since the renovations in 2013 there is a lot here now, the cave itself, indoor exhibits, outdoor exhibits, and the walkways in the woods above the facility. Well worth the visit for a little Bannf history you probably didn't know...",5
27,"Reviewed 4 January 2017
","Calgary, Canada","This historical site in Banff is very picturesque in winter. We've been here before in the summers walking the trails and always enjoyed it. But, this time it was much more interesting to see with the snow on the mountains and on the trees next to the hot spring. It was magical outside even though the temperature was at -27...",5
28,"Reviewed 4 January 2017
",Banff,"Great presentation, fun and informative, an excellent way to learn about Banff. The cave is unique. The whole visit does not take too long, probably between 1 and 2 hours you can see everything. Then go for a walk and don't miss the display about the war prisoners. For Canadians and non-Canadians, a bit of history that is rarely told.",5
