,0,1,2,3
0,"Reviewed yesterday
","Bonshaw, Canada","A wonderful discussion about how news is changing led by Peter Mansbridge with Susan Ormiston, Rex Murphy, Ian Hanomansing, Rosie Barton, Mark Critch and Tom Murphy. The theatre venue was perfect... from arrival to departure, the Center delivered a professional entertainment experience. Sound, lighting, flow, post event reception all were superb. Live streaming to Facebook was interactive and engaging. I...",5
1,"Reviewed 1 week ago
","Newmarket, Canada","we focused on the Visual Arts Gallery and Historical displays and were very impressed. Excellent facility, collection and knowledgeable staff and a great gift store. Certainly worthy of the #1 rated must see attraction for PEI",5
2,"Reviewed 3 weeks ago
","Victoria, Canada","The art gallery at the Confederation Centre of the Arts in Charlottetown is small, delightful, and welcoming, with diverse local exhibits. We went in a February, late on a very snowy Sunday afternoon, to be welcomed in by the front desk staff. The art on display was interesting - some we liked, and some we did not. There was also...",5
3,"Reviewed 3 weeks ago
","Boca Raton, Florida","This company went out of the way to accommodate us. This was not their season, yet they provided a walking tour for two. The woman doing the tour came to us dressed in full costume which along with the surrounding buildings gave us a feel for what the era was like. We did this first thing in the morning off...",4
4,"Reviewed 17 February 2017
","Charlottetown, Canada",very organized...excellent staff...excellent show...very compfy seats...balcony great place to be...can see and hear everything really well,4
5,"Reviewed 6 February 2017
","Halifax, Canada","I'd not been in Mavors before it was a very good choice. They had a good selection of red wines, and I took full advantage of the wintertime promotion that was underway. I ordered a sweet potato corn chowder that was excellent, served with fluffy mashed potatoes and root vegetables. The special included a chocolate dessert that I offered to...",4
6,"Reviewed 18 January 2017
","Prince Edward Island, Canada",My family and I have never had a bad experience at the Confederation Centre of Arts. There is not a bad seat and the sound is spectacular. There is nothing we don't have on our little island including top notch musicals and plays. Come and see for yourself and enjoy the island way.,5
7,"Reviewed 5 January 2017
",Dieppe,What a two and half hour musical is realy like? Really relaxing and enjoyable with music that was beautiful to my ears. Even the young adults seem to enjoy and take great interest in this show. Great concert hall the Confederation Centre of the Arts. A must see for visitors on the Island. Very busy in the Summer but worth...,4
8,"Reviewed 28 December 2016
","Charlottetown, Canada","Always enjoy the Confederation Centre, it's very comfortable and have enjoyed many plays , and shows at the Centre . Seating has always been good and unobstructed.Tickets are easy to get through the on line Centre services .",5
9,"Reviewed 19 December 2016
","Simsbury, Connecticut","Every time one turns around there is yet another venue with yet another excellent show offered in it. The Confederation Center is a sight to behold. The gift shop is wonderful and worth the visit, show or not.",5
10,"Reviewed 19 December 2016
","Charlottetown, Canada","I have never been disapointed witth a performance at the Confederation Centre. The seating is superb, the renovations are excellent and the performances are top quality!I've been to Broadway and a few other major theaters in the US and CONFEDERATION CENTER IN CHARLOTTETOWN IS ON PAR!",5
11,"Reviewed 8 December 2016
",Bangor,"Hi,With the newly completed renovations, there is not a bad seat in the house.We say Moma Mia from the $25.00 seats on the side. For 2017, we will definitely order in advance for this same seating area. And, for this price, we will enjoy maybe 3 different shows.",5
12,"Reviewed 14 November 2016
","Pictou, Canada","For a city the size of Charlottetown, the Centre is an incredible venue. I was lucky enough to see Mama Mia there. The stage is very close to all seating areas, the sound is superb, and when you exit the theater itself, you enter into a unique artisans' gift shop.",5
13,"Reviewed 9 November 2016
",,Greatest long running show. Very family orientated. Love the story and music. My cousin was Anne for two years. The Confederation is a wonderful building. A must in the heart of the city.,5
14,"Reviewed 31 October 2016
","Beijing, China","Confederation Centre of the Arts has lots to offer year round and to all age groups. They have a beautiful gift shop, and a great restaurant. Lots of fun.",5
15,"Reviewed 27 October 2016
","Kamloops, Canada","We went to see Belle Sours here. The show was very funny, and the cast had amazing voices. This show was playing as Anne of Green Gables had finished its run for the summer season. If you like to laugh this is a great show. What would you do with a million trading stamps?",4
16,"Reviewed 20 October 2016
",Darwin,Moderately interesting arts and cultural Centre with some local history also. Won't take long and worthwhile.,3
17,"Reviewed 20 October 2016
","Minehead, United Kingdom",Very retro concrete building with an interesting gallery and facilities. Free entry and a nice way to while away some time in a cultural environment,4
18,"Reviewed 18 October 2016
",,"Wonderful theater with a restaurant, gift shop and gallery on site. Fantastic world renowned live theater productions in a classy environment. ""Anne of green gables"" and ""riverdance"" were two of our favorites. Not to be missed on your visit to quaint Charlottetown.",4
19,"Reviewed 18 October 2016
",,"My husband and I took our two ""young adult"" children to this play and we all loved it!!! The settings and seats were awesome and The music and dancing phenomenal. We could not have asked for a better evening out.",5
20,"Reviewed 17 October 2016
","Halifax, NS",Such a fun filled show! Acting was great as was the music and venue! The audience was on their feet dancing and singing!! Thanks for a wonderful night of entertainment!,5
21,"Reviewed 28 September 2016
","Taber, Canada","The play was excellent, the actors brought the charactersTo life. I was captivated by the beloved story of a orphan girlNamed Anne spelled with a e on the end.Truly Prince Edward Island is a magical place, sandy beachesQuaint houses with flowers every where. Great seafood,Friendly people on every street planning my next tripSoon.",5
22,"Reviewed 26 September 2016
",Abbotsford BC,"There were many new displays on - one was Graeme Patterson's animation and it was funky but good! THere were also two floors of art by an artist Landon McKenzie sponsored by the Kelowna Art Gallery . Her work was a little vague - but again, artistic and interesting. The best part was watching the confederation video in the replica...",5
