,0,1,2,3
0,"Reviewed 13 February 2017
",Gull Lake,"The prairies are flat, or at least so many say, are they wrong! Let Cypress show you how wrong. Camping, paddling the lake, swimming, top quality restaurants, ice cream shop, you name it you can find it. Want lots of excitement then grab a rope and sail through the trees, hop on a horse or just sit and relax! Camping,...",5
1,"Reviewed 9 January 2017
","Medicine Hat, Canada","Nice campgrounds with all the amenities a person would need. has a pool to swim or just sit and relax, beach is nice water is ok. park has couple of resturants, a store and a gas station as well as a nice golf course.. can rent paddle boats, canoes and paddle boards.. something for everyone",4
2,"Reviewed 21 September 2016
","Brockville, Canada",I was recently on a photographic tour of Albert & Saskatchewan. The folks I was travelling with spent a couple of nites at the parks Resort so I took advantage of the RV park facility. All I can say is the it is one of the best facilities I've had the pleasure of staying at.It is well run and...,5
3,"Reviewed 7 September 2016
","Sherwood Park, Canada",This is a nice destination worth returning to. The campgrounds are really nice and the outhouses had flush toilets and running cold water. They provided ample fire wood. The outdoor pool looked nice and there is mini golf. We saw a couple ice cream stores and the convenience store had everything you would need. There is even a restaurant. The...,4
4,"Reviewed 5 September 2016
","Saskatoon, Canada","There is a something for everyone's interests: swimming, kayaking, hiking, driving tours, food, astronomy presentations and telescope viewing, concerts, information sessions, horseback riding, go-carting, zip lines, and camping under the starts. Great place to visit.",4
5,"Reviewed 5 September 2016
","Prince Albert, Canada","We visited Fort Walsh, the Conglomerate Cliffs and the winery where we had a tasting and a picnic lunch....perfect day easily reached from Maple creek.",5
6,"Reviewed 4 September 2016
",Calgary,"I found the Sask. Tourism material overstated what I found to be the actual Prov. Park experience. Nonetheless, I enjoyed the endless vistas and the quiet spaces. Within the ""Centre Core"" the attractions are surrounded by stands of lodge pole pine. That obscures the views of the rolling hills. I was hesitant to head out alone on the trails due...",4
7,"Reviewed 3 September 2016
","Halifax, Nova Scotia","I lived in northern Manitoba during my formative years and did a lot of travelling on the prairies, first with my family and in later years, on my own. I got to a lot of places, but one I repeatedly looked at on the map and never got to was the Cypress Hills of SE Alberta and SW Saskatchewan. Last...",5
8,"Reviewed 1 September 2016
",,"A hidden jewel in Southern Saskatchewan! So many great trails to drive or hike. Beautiful scenery, cliffs, hills- took our breath away quite a few times. A well-kept park, peaceful and enjoyable.Will definitely be back in the future!Do take the zip-line tour...amazing!",5
9,"Reviewed 31 August 2016
","Calgary, Canada","Located in the beautiful Cypress Hills is this park. Lots to see and do in the area. There is a small lake with boat rentals and a beach area. As well, there are many other summer activities to do. The park has a resort hotel if you want comfort, however there are lots of areas to camp if this is...",5
