,0,1,2,3
0,"Reviewed 12 February 2017
",Ontario,"We just finished competing I the Yukon River Quest, and Gerties was a great place to have some fun and relax. Bar, Gambling Hall, and a stage show reminiscent of the dance hall shows of the gold rush era with a little audience participation. Defiantly a fun stop in Dawson. A few beers and I tried the lasagna, all was...",4
1,"Reviewed 17 January 2017
","Whitehorse, Canada","Gerties is the oldest gambling casino in Canada! It is certainly value for the money paid at the door, the stage entertainment is well done and inclusive with audience. Such a nice atmosphere to be in for an evening activity",5
2,"Reviewed 13 January 2017
","Salt Lake City, Utah",This is a must do venue in Dawson City. Not like going to Las Vegas. It has a small town feel to it. The shows are excellent!,5
3,"Reviewed 4 January 2017
",,We saw Diamond Gerties and it looked like fun.The place was buzzing and everybody enjoyed themselves. The drinks were reasonable priced and we also saw and talked to lots of locals .The dancing girls were very good and had the crowd (one of them was my hubby @74) participating . It was all done with great humour. It...,5
4,"Reviewed 27 October 2016
",Unity,"The shows were fantastic - highly recommend people make an evening of it. The performances were excellent with humor, great singing and dancing; very entertaining. Tons of fun (even if you aren't a gambler - go for the shows!); so glad we stayed up late to watch all the evening's shows.",5
5,"Reviewed 17 October 2016
","Whitehorse, Canada","Gerties is the oldest casino in Canada and was the first to have gambling, entertainment and liquor on the floor at the same time. The casino was established via an act of the Canadian Government and to carry on the history of the Yukon Gold Rush. Season tickets may be purchased if you are visiting Dawson a few times in...",4
6,"Reviewed 12 October 2016
",,"We were told by locals that this is a must see! We went early to buy our passes and then walked around until the first show. There were three shows, 8:30, 10 and midnight. Each one getting progressively more risqué. There are tables for black jack and poker, there is also slots and roulette. There is an upper ring for...",5
7,"Reviewed 11 October 2016
",Cape Town,we felt that we had stepped back in time as we watched Gertie and her girls. They put on three shows a night which become raunchier as the night wears on.,4
8,"Reviewed 7 October 2016
","Palmwoods, Australia",This was a great night. Tickets cost can13 and that was unlimited entry for the year!! The show was great as was the atmosphere. Was disappointed in my meal - overpriced and more an entree size but other than that - great fun!,4
9,"Reviewed 1 October 2016
","Brisbane, Australia","We went there on recommendation from our tour leader and had a super time. It took a while to get served but the place was packed and we didn't mind.The entertainers were very good, the dancers did a great job and to get some people (hubby ) on the stage made for a fun time.Lots of locals there...",5
10,"Reviewed 25 September 2016
","Edinburgh, United Kingdom","The final show of the season is always a bit special, and this was no exception.The artists put all their souls into it, and the place was rammed; I believe they stopped people coming in. There is a good bar and eaterie here too, to ease any financial losses from the tables or slot machines. This is a working...",4
11,"Reviewed 25 September 2016
","Diamond Bar, California","A fun tourist attraction made for you to feel like it's the 'old days'. It's large and loud, with drinks and a nice little cancan show.",3
12,"Reviewed 22 September 2016
","Hinxworth, United Kingdom","Diamond Tooth Gerties as always a good,place to spend the evening watching a show, snacks etc available.",5
13,"Reviewed 19 September 2016
","Custer, Washington","Good show, fun entertainment. Arrive early for a good seat. We'd heard there was a restaurant...not so much...more of a snack bar.",4
14,"Reviewed 17 September 2016
","Brampton, Canada","Enjoyable 3 shows, fun at the black jack table knowing this was the first Canadian casino. The dealers and staff are helpful and encourage you to learn the games. Loved the atmosphere of the gold rush days and that locals also go here. It adds to the feel of this incredible town.",5
15,"Reviewed 14 September 2016
","High River, Canada","Definitely worth the $12.00 which gets you 3 stage shows. Between shows they have slot machines and gambling tables to spend your money on as well as food & alcohol. We stayed for only one show, however it was very entertaining, great dancing and signing with audience involvement.",4
16,"Reviewed 13 September 2016
",Switzerland,"We had loads of fun spending our evening at the hall. The Cancan girls are doing a really good job and we even tried our luck in the Casino. Friendly stuff, good drinks and a really good show.",5
17,"Reviewed 12 September 2016
","Campbell River, . B.C.","Stopped in to see the show. Cover charge was $12.00 each, but you are the allowed in every day that you are in Dawson City, so great deal. Show was fun, the singer was really good. Had a few laughs when they pulled some men on stage.",4
18,"Reviewed 12 September 2016
","Paris, Ontario","This was part of our Holland America tour and, to our surprise, it was a great night out. We're not gamblers but we wanted to see the show. I had expected some sort of cheesy tourist rip off but I was pleasantly surprised. ""Gertie"", the singer, was very talented and the can-can dancers were energetic and lively. Gertie worked the...",5
19,"Reviewed 10 September 2016
",BALLINA,"Sometimes when you travel you see shows like this advertised and think oh no not for me, well this is not to be missed it is very professional, the singer/entertainer was wonderful and the 4 can can dancers on a par with Follies in Paris it was pretty amazing to find this quality in Dawson City. There are 3 shows...",5
20,"Reviewed 9 September 2016
","Melbourne, Australia","The casino is a non-profit one, with all proceeds going back into community projects, which by itself, is a good reason to support the show.An 'old west' theme Casino and revue/can-can show. There are 3 shows a night and the dancers were energetic and friendly (they'll drag ""volunteers"" from the audience and after the show, provide photo opportunities). We...",4
21,"Reviewed 5 September 2016
",,"This place was surprisingly authentic, classy, and all out spectacular! Each of the 3 nightly shows is very different and goes all out, so definitely recommend you make the time. Gertie, when we were there, proved she could sing anything and everything, from oldschool kankanesque pieces to bon jovi. Costumes, acting, even volunteer participation were all a win- even if...",5
22,"Reviewed 4 September 2016
","North Suburbs, IL","This place is a riot. What a fabulous show they put on. Gertie has a beautiful voice and great stage presence. Her girls, as she calls them (the can-can dancers) are true professionals. They dance their hearts out. They have 3 shows a night - I don't know how they do it! They do not push the drinks which is...",5
23,"Reviewed 3 September 2016
",Illinois,We pre purchased show tickets as part of our Holland American tour and we're glad we did. The show was high energy and very entertaining. The casino offered up to date slot machines that were fun to play.,5
24,"Reviewed 2 September 2016
",Pamiruru,Good old saloon can can girl show at this place. This is about my 4th time here in5 yrs. Each trip to Dawson has to include a stop here. The visitors center offers coupons for free drinks. IIt's a good show so don't miss it.,4
25,"Reviewed 1 September 2016
","Elyria, Ohio",Attended the show with our tour group and enjoyed an evening of music and dancing. They serve a limited menu and gambling is available. The atmosphere puts you in the spirit of the old west. If you are in Dawson city this should be included in your itinerary.,4
26,"Reviewed 29 August 2016
",,"Admittance was 12 bucks, and good for the rest of the season. The performance is corny but not bad, the building is interesting, and the girls are cute. Worth it even if you're not gambling.",4
27,"Reviewed 26 August 2016
","Ithaca, Nebraska","Enjoyed the music and atmosphere of Gertie's. They got the audience involved with the dancing girls-picking ""willing"" men out of the audience. It was great fun and lots of laughs. We stayed for 2 of the 3 shows. Posing for pictures was great too!",5
28,"Reviewed 26 August 2016
",,What a wonderful evening entertainment superb service and even gambling if you are inclined fantastic step back in time,5
29,"Reviewed 25 August 2016
","Ontario, Canada","The price is right, the drinks are good, the atmosphere makes the place. We came for the first show and stayed for the second one. We would have stayed for the third but we were too tired to stay until midnight. We had a balcony seat so our view was quite good - the show was great fun, with dancing,...",5
30,"Reviewed 24 August 2016
",Florida,Fun place! Nice show with good singer and dancing girls. Takes you back to the Klondike days. Snacks and drinks are reasonable.,5
31,"Reviewed 22 August 2016
",N.J.,"Gerties is a must when in Dawson City. They feature a bar, slots, and some gaming tables. Dance hall show was a reminder of the gold rush days.",4
32,"Reviewed 22 August 2016
","Greer, South Carolina","Well, in this mining town of years past ... this is about the only place for visitors. Go to the first showing, as it gets crowded. The locals appear to have the game tables taken up as regulars. Service is sloooow. Could be due to difficulty in getting help in this isolated place up north in the Klondike.Short show,...",2
33,"Reviewed 19 August 2016
","St. Johns, Florida","Fun fun fun.Nice singing and dancing in an old time saloon atmosphere. Three shows a night with costumed high kicking girls. One ticket gets you in any time for a season, so stay for the next show or come tomorrow night.",5
34,"Reviewed 16 August 2016
",,The show is worth the visit. The performers are talented and the show fast paced. Loved the can can girls and the mistress of ceremonies! And the little live band with piano player and drummer! Its a great space and liked that the proceeds go back into the government coffers. Well done!,4
35,"Reviewed 15 August 2016
","Philadelphia, MS",Nice show with some talented entertainers. The theme of the show keeps you interested and the ladies really play to the audience. It is a must stop for your first visit here.,4
36,"Reviewed 15 August 2016
","Everett, Washington",A really good Can Can show and we blast watching the MC interacting with the audience. After the show we have a couple of drinks and gambled while waiting for the next show. Gerties is a great fun place.,5
37,"Reviewed 15 August 2016
",BONNYVILLE,"Our first time in Dawson City. This place was recommended to us, and we were glad we went. Well worth the price of admission. Excellent entertainment! Would have loved to see more shows.",4
38,"Reviewed 14 August 2016
","Denver, Colorado","We went for the 10:30 p.m. and had so much fun we stayed for the 12:30 show. Both were different and they were a blast! The waitresses and dealers are dressed in period costume so it makes it like a blast from the past. There is a small eatry with pizza and it was dry, but when you are drinking...",5
39,"Reviewed 12 August 2016
","Bellflower, California",Darling show. Popular spot. We'll worth the $12. Count on getting your guy teased with a front seat. 3 shows a night with each one getting more risque.,5
40,"Reviewed 12 August 2016
",,"There is a casino, bar and delightful 30 minutes show each evening. Shows are presented 3 times each evening and all 3 shows are different. Table service can be slow so get your drink at the bar and find a spot to sit. Arrive about 15 minutes before the show as most people arrive just as the show begins and...",4
41,"Reviewed 11 August 2016
","Rio Hondo, Texas","Dawson City is an authentic gold rush town. A visit to Diamond Tooth Gerties is a must. $12 will get you a ticket to watch the show and to visit and participate in the Saloon and gambling casino. This ticket allows you entrance for the duration of your holiday which is fantastic value. There is 3 shows per evening, all...",5
42,"Reviewed 10 August 2016
","Vermilion, Canada","This is a great place to visit. For $12, you can get in to see all three half hour shows in the evening (8:30, 10:30 and 12:00), and if you keep the ticket and want to go back on another night, you just have to present the ticket and you will get in at no additional charge. The shows were...",4
43,"Reviewed 10 August 2016
",South Brisbane,For $12 entry you can come in as often as you like while in town and this includes a great one hour show complete with Can can girls. The whole town has been preserved in this era and it is a wonderful way to experience that bygone time and the casino hall is a lot of fun.,5
44,"Reviewed 9 August 2016
",Iowa,"The casino is small but also acts as a theater which a nightly show. The have one ""Red Dog"" table which is extremely rare to see. It is a non-profit and they use the extra money to put towards the schools. For that alone it is worth the trip.",4
45,"Reviewed 7 August 2016
","Richmond, Canada","Over the course of three days we saw all three shows, the singers and dancers are very good. It's very much how I expect a dance hall from the 1800's to be. With the added bonus of a small casino. There is a $12 entrance fee that is good for a year, so if you're in town, go back and...",4
46,"Reviewed 5 August 2016
","Washington DC, District of Columbia","This establish serves liquor, some bar food and has gambling. All that is about c-. lead singer reminds you of Ethel Merman and the show is out of the gold rush and very entertaining. Take your camera, take a lot of pictures and keep a few.At the end of the show, the girls come out for photographs. They are...",4
47,"Reviewed 4 August 2016
","Uxbridge, Canada","Diamond Tooth Gertie's is exactly what you'd expect of an 1890's themed venue - dancing girls, casino games and alcohol! Each of the three evening stage shows, held at 8:30, 10 and midnight, have different songs, costumes and choreography so it's great to see all if you have a chance. We had wonderful time at Diamond Tooth Gertie's. We highly...",5
48,"Reviewed 3 August 2016
","Sugar Land, Texas","Whether you plan to see the show or not, you must pay $12 to enter because the casino is in the same large room as the show. So play some games and watch a fun 30 minute song and dance show that will take you back to the mining days in Dawson",4
49,"Reviewed 3 August 2016
","Cincinnati, Ohio","The show here is a lot of fun and not very long. Sit up front if you want them to make a fuse over you (but get there early for one of these tables). The food is ""bowling alley"" type food so eat before you arrive.",4
50,"Reviewed 2 August 2016
","Toronto, Canada","We have seen this show several times, most recently last Sunday. It is always a fun evening.Gertie (Amy Soloway) has a high-energy singing voice and a contagious sense of fun. This is her 8th summer as Gertie, and her show has become well-known across the Yukon. The dancers are professionals who combine traditional gold-rush routines with more modern styles....",5
51,"Reviewed 2 August 2016
","Hollywood, Florida","Well it was supposed to be a great show. But it was average for us and other people traveling with us. Lacking comedy, but gets the crowd involved",3
52,"Reviewed 1 August 2016
","Cobden, Canada","About 30 years ago, Gertie's was the only legalized gambling casino in Canada. Now it's just one of dozens, so it should try harder to be unique. The staff - entertainers, dealers and servers alike - dress in Gold Rush era costumes, and most of the games reflect that period as well. But the dozens of slot machines (which I...",4
53,"Reviewed 30 July 2016
","Juneau, Alaska","We don't enjoy gambling, but the dancing show was very fun and the atmosphere was not to be missed while in Dawson City! Food was available and better than expected.",4
