,0,1,2,3
0,"Reviewed 4 days ago
","Red Deer, Canada","We have come to the gardens to see every season. The free tour is a must. If you don't take the tour you miss so much. Very well laid and thought out, very deep in culture, amazing and beautiful. Take the time to spend here and take the tour, otherwise you may be disappointed.",4
1,"Reviewed 1 week ago
","Tokyo, Japan",They were renovating the pond so they cut the price in half which was fair. (Wish hotels that were renovating made a similar offer). I caught up to the tour which helped to understand the garden better. There is a public park which is part of the same place and free. It was totally closed for pond renovation. It should...,5
2,"Reviewed 1 week ago
","Grand Marais, Minnesota","We visited while the Garden is undergoing some repair, while the pond was not full, you could still see all of the beauty and pride the caretakers of the Garden have. It was really lovely and educational. Worth the trip to Chinatown!",4
3,"Reviewed 1 week ago
","Melbourne, Australia","A lovely garden that is pretty typical of other Chinese gardens. If you are passing and have an our to spare, then this is not a bad way to do it",3
4,"Reviewed 3 weeks ago
","Newcastle, Australia",A marvelous presentation of the botanical culture transformed us from the street of a big city to another time and place. Close to Chinatown and some great lunchtime restaurants too. What a great day out!,5
5,"Reviewed 3 weeks ago
","Vancouver, British Columbia","No matter what the season is this a wonderful pay-for-use city garden. With authentic architecture and materials imported from China, this meditative tea garden is a place to come and spend some quiet time. This is the first scholars garden to be built outside of China. Based on a Suzhou Chinese garden, it shares the same plants as you find...",5
6,"Reviewed 4 weeks ago
","Toronto, Canada",We walked to go to this garden only to find it closed and when we peeked through the gate in the back it looked filthy. The pond has dried up and there was filth at the bottom. There was a sign saying they were charging an entrance fee. Please walk to the back and peep through the gate before getting...,1
7,"Reviewed 4 weeks ago
","Vancouver, Canada",I went there for a night event and free entrance for me because my friend got tickets. I feel very relaxing while I wAs there. I would definitely go back during daytime.,4
8,"Reviewed 4 weeks ago
","Henderson, Nevada",The beautiful garden was built by master Chinese gardeners and it is an oasis in the middle of the city. It also has some cultural and historical exhibits.,5
9,"Reviewed 14 February 2017
",,"A garden walk that brings you to a quiet peace filled space. A bit out of the way, but well worth a quiet walk through the garden.",5
10,"Reviewed 14 February 2017
","Denver, Colorado","It's beautifully landscaped and very peaceful place. It's open to the public and no admission fee. If you are to visit Chinatown, I would recommend to stop by at this garden. It won't take , much of your time since this place is small.",4
11,"Reviewed 13 February 2017
","Vancouver, Canada",This is a very good match to the garden of the same name in China. Every details has been done with care. Make sure you have the historical information. There are special ceremonies and presentations that make this place even more special.,5
12,"Reviewed 30 January 2017
",Surrey,Very beautiful gardens in Chinatown with jasmine tea served at the end of the tour. A very enjoyable experience.,5
13,"Reviewed 29 January 2017
","Manchester, United Kingdom","My visit to the garden was very enjoyable. On arrival I was advised a tour was due to start so I waited around. The tour was very informative and I learned a lot about yin/yang, the idea of balance and how it is reflected in every aspect of the garden. It was also interesting finding out how the garden was...",5
14,"Reviewed 28 January 2017
","Rochester, New York",The Dr. Sun Yat-Sen Chinese Garden is surprisingly quiet and tranquil considering that it is right in downtown Vancouver. There are little paths along the Bamboo trees that you can walk around. There is a pond with some nice views to take pictures or just relax.,5
15,"Reviewed 23 January 2017
","Miami Beach, Florida",I have been here a few times for the garden and the pond. The pond is well recreated down to the color. There are tons of koi in the pond. One side of the garden requires a donation.,5
16,"Reviewed 21 January 2017
","Manning Park, Canada",Very very interesting garden; went in the fall and would love to go back in the spring when the trees are in bud;,5
17,"Reviewed 19 January 2017
",,"When recently visiting Vancouver's Chinatown (or the few things that are left of it) we felt uplifted when we ventured into the garden as the surroundings were so desolate and run down. The garden was a still haven of contemplation and rest, beautifully laid out and maintained, with views opening up after every turn. The iced over lake and the...",4
18,"Reviewed 8 January 2017
","Bridgewater, Virginia","As a contrast to the botanical garden, we visited the Chinese garden. It was very peaceful and extremely beautiful and serene.",5
19,"Reviewed 7 January 2017
","Bangor, United Kingdom",Going into this place really felt like you were leaving the city behind. Luckily got there just in time for the tour- which I would recommend because it's easy to over look a lot of little things in the garden without knowing what they mean. Lovely to walk around though- and bigger than it looks at first sight!,4
