,0,1,2,3
0,"Reviewed 18 January 2017
","Burlington, Canada",I loved visiting my first lighthouse in PEI. It is a very well kept sight. We went to the top of the lighthouse and the view is spectacular. A must visit.,4
1,"Reviewed 21 November 2016
",,Great little souvenir shop in lighthouse. We could see a couple of seals out in the water. Nice little drive to get there.,4
2,"Reviewed 9 November 2016
",colchester,Do pay and up to the top of the lighthouse as the views are worth every penny. Nice shop with plenty of souvenirs if that is what you are looking for and the cafe is very welcome when the wind is blowing strong.Well worth the trip and not crowded when there on a blowy September Monday,4
3,"Reviewed 9 October 2016
","Bowral, Australia",9th October and there is very little open on the north east coast on a Sunday. So we were so pleased to find this stunning lighthouse on the far easterly point of PEI. Best of all there were clean restrooms and a cafe which was opened. Hats off to the gentleman running this small eatery. We had the seafood chowder...,5
4,"Reviewed 1 October 2016
","Hamilton, Ontario, Canada",We stayed in PEI for a week in August just past. We decided to visit the Lighthouse. What an amazing view.....just spectacular to me. My daughter and I went to the very top of the lighthouse for the full view. We also go to see some seals!We also ate at the adjoined restaurant. I had the seafood chowder which...,5
5,"Reviewed 29 September 2016
","Seattle, Washington",The raw ocean against the red beach rocks is a must see. Strong wind almost blew the wife away!!! Interesting place to visit and let your mind wander of the old days.,5
6,"Reviewed 11 September 2016
","Los Angeles, California","A long drive but worth the time. No guide here, but nice collection of photos and such all the way to the top. Great views from the top of the sea. There was a nice gift shop and restaurant.",5
7,"Reviewed 11 September 2016
","Barrie, Canada","Iconic PEI lighthouse. Eastern most point of the island, Definitely worth a visit. Take a few minutes to enjoy the stunning views of the rugged coastline and where the tides meet. Interesting little gift shoppe also on site. Take the time to browse, can find a few hidden gems, Lighthouse can get busy with tour groups. Take care in parking...",4
8,"Reviewed 31 August 2016
",,"It's a small but interesting place to see. You can actually see Nova Scotia from there. The gift shop is not too bad, prices are better than Charlottetown.There is snack bar...4$ for grill cheese",4
9,"Reviewed 30 August 2016
",,One of the better known lighthouses on Prince Edward Island ! East Point Lighthouse is located on the most eastern point of PEI... The grounds of this location are very well kept & a beautiful place to visit ! We stopped here along our travels driving through the Points East Coastal Drive. One of many lighthouses you can visit along...,4
10,"Reviewed 28 August 2016
","Thunder Bay, Canada","We drove out here so that we could say we'd been to both ends of PEI (also North Cape). We took the scenic drive to get there, it was quiet and pleasant. A great view and smell of salt in the air. There was one seal floating around in the water. Definitely bring your camera. We had lunch at the...",4
11,"Reviewed 25 August 2016
",,"Lighthouse museum, gift shop and cafe at the East end of PEI. We didn't pay to see the lighthouse, but had a look around the grounds and gift shop. The view was nice, but the kids were museamed-out by then so we decided to move on. If you are at the East end of PEI, stop by for the view...",3
12,"Reviewed 24 August 2016
","Ocean City, Md","Nothing spectacular however if you're driving around the island, it's one of those places you stop. I wouldn't go out of my way together and probably wouldn't return. Nothing negative, just not my thing… Maybe if I had kids with me they would enjoy it more",4
13,"Reviewed 16 August 2016
","Smithville, Canada",We spent a rainy day in PEI driving to this lighthouse. The view was lovely & so were the lighthouse staff. The kids bought some cute souvenirs from the gift shop. A nice mix of cheesy souvenirs with some authentic PEI crafts. FYI the final ascent to the top of the lighthouse is ladder style with hand rails.,4
14,"Reviewed 10 August 2016
","St. Catharines, Canada",Made it here and received our certificate for visiting the West and East points of P.E.I. from the lovely ladies in the gift shop.We climbed the 62 steps to the top of the lighthouse. 4 sets of stairs. The last set being steep and very much like a ladder.The view from the top was lovely and worth the...,4
15,"Reviewed 9 August 2016
","Cleveland, Ohio","This lighthouse has adequate parking, clean bathrooms, a gift shop, and a small cafe. We watched the waves for a few minutes and saw about 10 seals. There is an extra fee for the lighthouse tour.",4
16,"Reviewed 8 August 2016
",,Great little walk from the park to the lighthouse on the boardwalk. Lots of historical facts posted and a gorgeous sunset. Watch for poison ivy!,5
17,"Reviewed 7 August 2016
","Lethbridge, Canada",We didn't expect to see seals when we visited this easternmost point of Prince Edward Island. There were several of them out in the water. Beautiful views. Nice gift shop.,4
18,"Reviewed 1 August 2016
",,"The best part about coming all the way out here- the staff in the cafe. They were super friendly. The view was ok- very windy and rainy that day, cool to see the massive waves. You have to pay to go up in the lighthouse, not much of a view there. We opted out.",3
19,"Reviewed 28 July 2016
","Yellowknife, Canada","This small but pretty lighthouse is located at the very end of eastern PEI and offers nice sea views (sea on 3 sides plus we also saw the Magdalen Islands ferry crossing). Entrance is $6 and it is really worth visiting. Inside there’s a small but interesting museum with lighthouse’s history and some old equipment (radio, original bulbs of all...",4
20,"Reviewed 25 July 2016
","Boston, Massachusetts","This is a nice spot to spend 20 or 30 minutes at to admire the coastal scenery, worth a visit if you're in the area. But there's not that much to see. Admission to the inside of the lighthouse is a little expensive at $6 per person.",3
21,"Reviewed 25 July 2016
","Montreal, Canada",We visited the lighthouse at the east point. It was nice but pretty basic. We spent 2 hours driving there and maybe 20 minutes standing around. It was more of a check in the box for us.Have fun and don't miss North Cape! ;),3
22,"Reviewed 13 July 2016
",,we visited this light while staying in Charlottetown. It was a manageable drive to the tip of the island and back. The light and grounds are nice and fairly well maintained.,4
23,"Reviewed 9 July 2016
","Aylmer, Canada","I have been here many times. Amazing view. I can't believe the way it is changing though. Six years ago there was a parking lot across the road, now it is all eroded away. Anyway- we enjoyed our lunch and visit here. This is the first time I have seen the water so calm.",5
