,0,1,2,3
0,"Reviewed 1 week ago
","Comox Valley, Canada",Well worth a tour of the Southern Lakes.The tour that included Carcross was very interesting & a significantly historical area in The Yukon / Whitehorse area.,5
1,"Reviewed 2 weeks ago
",north vancouver,"This lake is so Beautiful, the color, the view is breathtaking, this is the place to stop to admire the view",5
2,"Reviewed 14 February 2017
","Vancouver, Canada","Went here in February, 2017. It's covered til about May (says the locals) and we didn't see the colours of the lake, but it still is a great drive coming up and beautiful landscapes with mountains in the back. Will definitely come back in the summer months to see this!",5
3,"Reviewed 13 February 2017
",,This Beautiful must see lake. Is a green as a Emerald from what is was named after. And with a Restaurant right around the corner its a perfect place to have a small lunch or dinner. With fantastic service you can have a nice snack and head out for the lake. This is a beautiful lake and a must see...,5
4,"Reviewed 17 January 2017
","Whitehorse, Canada",On the road between Whitehorse and Carcross. In the right light the lake is stunning. There is a road side pull over with interpretive signs.,5
5,"Reviewed 19 December 2016
","Whitehorse, Canada","This little lake is on the way to Carcross, Yukon and Skagway, Alaska. If you are in the Whitehorse area, the drive to Skagway is a must. One of the most beautiful drives I've ever done...if you hit it on a good day that is! If it's foggy in the pass, it's a TOTALLY different trip!",5
6,"Reviewed 7 December 2016
","Whitehorse, Canada",This is a lovely stop to take in the scenery and the Lake. I will not tell you about the green of the lake as you should take the time to read the information sign. One of many lovely spots to stop and also keep an eye out for wildlife. Please do not feed and wildlife and stay in your...,4
7,"Reviewed 28 November 2016
","Brampton, Canada","Was beautiful place to visit, amazing view and pretty good weather. Can't wait to visit in the summer with warmer weather.",5
8,"Reviewed 23 November 2016
","Nullagine, Australia","Beautiful even when frozen! Wow! Such pureness, crisp and freshness!! How refreshing! Easily located along the highway this is such a welcome break to stretch and breathe! There are also useful Yukon and Southern Lakes maps and brochures at the visitor board. Highly recommended stop even in winter! I can imagine the crowd in summer!! Hope you find this useful",5
9,"Reviewed 14 November 2016
","Whistler, Canada",Something not to miss while you are in the Yukon so pretty with the colours and got some great pictures. worth going to see!,5
10,"Reviewed 21 October 2016
","Edmonton, Canada","Drove from Whitehorse to Carmacks, then the trip to Jake's Corner and back to Whitehorse. Emerald Lake is a beautiful stop along the way. The explanation board is very interesting.",5
11,"Reviewed 19 October 2016
","Whitehorse, Canada","It's a lovely point of interest. Nice photo opportunity if you have the chance. If you partake in the Klondike Road Relay in September, you'll find this gem on Leg 7. A nice distraction from laboring up the hill!",5
12,"Reviewed 16 October 2016
","Horn Lake, Mississippi, USA",My husband and friends of ours went with Joe Ordonez of Rainbow Glacier Adventures up into the Yukon during the summer of 2015 and one of our stops was at Emerald Lake. I have never seen a lake such shades of green before. It is due to volcanic ash. This is absolutely beautiful. There was a bit of a breeze...,5
13,"Reviewed 15 October 2016
","Whitehorse, Canada","Always stop by when travelling to Tagish, Carcross or Skagway. The best is when there is no wind. It is beathtaking - a must see!",5
14,"Reviewed 12 October 2016
",,Across from Spirit lake on the south Klondike highway is this absolute beauty of a lake. The transition in colour is magnificent. We stopped on a cloudy day but the colours still blew us away. Pictures won't do it justice.,5
15,"Reviewed 1 October 2016
","Myrtle Beach, South Carolina","We rented a Jeep in Skagway and our destination was Emerald Lake. It was quite a long drive, but beautiful scenery along the way. When we began our trek, the fog was extremely thick... however, it dissipated after a few miles. We enjoyed the fact that we could listen to a Cd and book to help with our self guided...",5
16,"Reviewed 29 September 2016
","Brisbane, Australia",This lake lives up to its name...Emerald Lake. We had a BBQ lunch before walking around part of the lake. A very relaxing place to visit.,5
17,"Reviewed 22 September 2016
","Ellenton, Florida","If you happen on Emerald Lake on a sunny day, you won't believe the colors. There is a large pull off so it's an easy stop. The lake is crystal blue, with bright, bright green around the edges. You would think it's fake if you didn't see it for yourself. Great stop for photos.",5
18,"Reviewed 21 September 2016
","Toronto, Canada",This is a must-see. This lake is very close to Whitehorse on the South Klondike Highway. Beautiful route to drive. DO NOT MISS A VISIT TO EMERALD LAKE.,5
19,"Reviewed 16 September 2016
","Brampton, Canada",Colours were intriguing. It was raining a bit and it added to the experience. Good photo area. Thanks to our bus driver for the stop.,3
20,"Reviewed 15 September 2016
","Vancouver, Canada",Name speaks for it self . Colours were amazing. Definitely spot to stop for anyone and especially for a camera crazy people :):):),5
21,"Reviewed 11 September 2016
",,Reminds me of the Yellowstone Prismatic Spring with its beautiful colors. Can't get enough of nature's wonders.,5
22,"Reviewed 10 September 2016
",,"Only stopped for a few minutes to take some photos, but this is truly a beautiful lake.A must stop when driving between Skagway & Whitehorse",5
23,"Reviewed 7 September 2016
","Hollywood, Florida",What a view from the highway. The multiple colors are so beautiful the water just sparkles. Must see as your driving past,5
24,"Reviewed 6 September 2016
","Toronto, Canada","As you are driving south from Whitehorse, just north of Carcross, you will find the pullout for Emerald Lake. It is worth stopping if it is a sunny day as the lake then takes on a beautiful colour - hence its name. Also nearby, on the other side of the road, is the World's Smallest Desert - another free pullout,...",4
25,"Reviewed 4 September 2016
","Fort Worth, Texas",Definitely worth stopping along your journey to view and take some pics. It's an amazing color! Easily viewed from the highway.,5
26,"Reviewed 2 September 2016
",United States,"Choosing to take a Yukon Scenic Tour with Peter Luchetti, guide extraordinaire, was so much wiser than taking the railway. Our small group was able to see the shades of vivid green in Emerald Lake on a rare sunny day! This view adds to our memories of our magnificent Earth's natural wonders!",5
27,"Reviewed 29 August 2016
","Gatineau, Canada","We stopped there on a Tour of Carcross City and Southern Lakes with the Touring Company: Who What Where. To truly admire the color of the lake, be sure to go during the day but also try to pick a sunny day.We heard that it's one of the world's most photographed lakesEmerald Lake is a lake in the...",5
