,0,1,2,3
0,"Reviewed 3 weeks ago
","Port Dover, Canada","The Emily Carr House was closed when we were in Victoria, however, we were able to walk the grounds and read the informative plaques with Emily's paintings and beautiful sayings. I look forward to visiting when the home is open and we can walk within. The grounds and home are beautiful. Thank you for having the gates open!",5
1,"Reviewed 3 weeks ago
",Central Saanich,The garden and sun room are beautiful but the care and attention given throughout the house to convey the influences and personality of Emily are wonderful. I have seen many Emily Carr exhibits but this venue provides a far more intimate insight into who Emily was and how she lived. Well worth the visit!,4
2,"Reviewed 3 weeks ago
",,"I think It's fair to say that, the reason this attraction works is because of Jan Ross. She is a former Art History student that fell in love with everything Emily Carr. Being so passionate about the old and the new that Carr's work brings her is a wonderful thing to get to see a glimpse of. She is very...",4
3,"Reviewed 24 January 2017
","Johannesburg, South Africa",This gives you great insights into one of the best west coast artists of all times. A must see in any tour of local cultural places.,4
4,"Reviewed 15 December 2016
","Hamilton, Canada",I am from Victoria and my elderly mother who is a huge fan of Emily Carr was visiting for a short period of time and Jan Ross the director at the Emily Carr House was anything but helpful. Their phone number listed on the website does not work because it is hooked up to a fax machine and when you...,1
5,"Reviewed 2 December 2016
",,Wonderful little museum for those who want to lean more about Emily Carr and art on the west coast. Make sure you check the schedule before dropping by.,5
6,"Reviewed 31 October 2016
","Duncan, Canada",Very welcoming staff and openness to show and share the information about Emily Carr and her works. Nice to have a cup of tea and cookie upon arrival and sit on Emily's porch to enjoy it.,4
7,"Reviewed 8 October 2016
","Suffolk, United Kingdom",We were first introduced to the art of Emily Carr nearly two years ago and had wanted to visit her house here in Victoria then but the opportunity didn't arise. We were so pleased that we made it this time. This is a gem which has been lovingly cared for making every effort to recreate the house as it would...,4
8,"Reviewed 26 September 2016
","Parksville, Canada","A wonderful peice of history, highly recommended. Great stories great people. Would love to go there again",5
9,"Reviewed 21 September 2016
","Maple Ridge, Canada","This is a former residence in a quiet neighborhood, several blocks from the downtown waterfront. You will learn about Emily Carr and her work which illustrates the natural history of British Columbia and documents the culture of the First Nations. An added bonus was a exhibition of works by a Vancouver artist and illustrator Jen Burgess, whowe works are inspired...",4
