,0,1,2,3
0,"Reviewed 2 weeks ago
","Silverthorne, Colorado","The Eskimo museum is an excellent collection of history and culture of the Churchill area. One can spend a lot of time examining the numerous sculptures and learning the stories behind some of them. There is also a huge stuffed polar bear and walrus, among the displays. The museum has a small, but very nice gift shop..",5
1,"Reviewed 3 weeks ago
",,Small museum dealing with Inuit culture. Well organized displays that let you learn about the culture through works of art. Interesting carvings and good audio commentary for independent travelers.,5
2,"Reviewed 3 weeks ago
",Auckland,"Great place full of history and we'll worth a visit when in Churchill. Great little gift shop also, great books and gifts for people back home.",5
3,"Reviewed 4 weeks ago
","Harrisonburg, Virginia","Really enjoyed not only the handmade displays but also the incredible animals, tools and means of transportation. Well worth the time",5
4,"Reviewed 11 February 2017
","Winnipeg, Canada",You can find the most interesting stuffed animals and remains as well as miniature carvings. It is the best place to find Inuit art for sale. a good selection of soap stone carvings as well as prints and postcards.,4
5,"Reviewed 5 February 2017
","Winnipeg, Canada",An easy way to spend a couple of hours in Churchill. Lots of exhibits and history with quite a few audio explanations. I enjoyed listening to the info on the artifacts and looking at the stuffed animals. A really neat place that has a great deal to iffer,4
6,"Reviewed 27 January 2017
","Sunset Valley, TX","This is the type of museum that really helps you understand the history of the area and the native peoples. If you have an extra hour in Churchill, this is a must see.",5
7,"Reviewed 24 January 2017
","Saintes, France",A fascinating museum with a local expert on hand to talk you through the numerous displays. There is also a interesting shop selling a wide range of books and souvenirs there too.,5
8,"Reviewed 27 November 2016
","Lake City, Minnesota","A must visit place...traces history through a nassive, impressive collection of native arts and artifacts. Very sharing, knowledgeable curator and staff.",5
9,"Reviewed 23 November 2016
",NA,Amazing carvings and helpful staff... great place for souvenirs. Highly recommend visiting here! Outstanding,5
10,"Reviewed 18 November 2016
",VIRGINIA BEACH,"Everything you could possible want to know about Inuit people, the Itsanitaq Museum. Amazing artifacts, carvings, jewelry, tools, paintings, displays, and a great curator, Lorraine. She knows everything about the First People. It's a small place but full of items with a small sovign",5
11,"Reviewed 18 November 2016
","Yoder, Indiana",This was a very thorough exhibit of Eskimo cuture and art. Many items in the gift shop were Canadian-made. There's a full-size birch bark canoe! There were many taxidermied specimens of the Arctic as well. The tiny Eskimo carvings were interesting as well as almost hard to see!,5
12,"Reviewed 17 November 2016
","Winnipeg, Canada",If you go to Churchill you must take the time to see the Eskimo museum. It is fantastic. The number of pieces and the self guided tour aids were fascinating.,5
13,"Reviewed 16 November 2016
","London, United Kingdom","This was a very interesting museum, so much to look at. It also had the best gift shop in Churchill. I bought my souvenirs and little gifts there on my last day.",5
14,"Reviewed 16 November 2016
","Sydney, Australia",A small but compacted history of Churchill. Proceeds from the sale from the gift shop go directly into maintaining and improving the museum,4
15,"Reviewed 15 November 2016
","West Hollywood, California","Well curated, and our guide was very informative. The carvings and art work are amazing. It is a brief touch with a culture that is much ignored.",5
16,"Reviewed 14 November 2016
","Flin Flon, Canada",This small but excellent museum is a must see on your trip to Chirchill. It is very well done and treats all subjects In an honest and respectful manner. The history is so well explained visually and verbally that it leaves you wanting more. The artifacts that have been recovered are amazing and well perserved.,5
17,"Reviewed 13 November 2016
",Burlington NC,"This is worth a stop to get a tour of the wealth of material that is a relatively small facility. I learned a lot about the history of the area, in particular about the native peoples.",4
18,"Reviewed 12 November 2016
","Waukesha, Wisconsin","Wonderful little museum. Excellent collection of Inuit artifacts. The gift shop has a ton of books, Inuit art, and many other items. Reasonable prices, and the proceeds stay in the area",5
