,0,1,2,3
0,"Reviewed 1 week ago
","Canmore, Canada","A good primer on Calgary's historic centre by Mohkintsis (Blackfoot for where the Bow and Elbow Rivers meet).They've got some cool stuff to see, much of which is in text form. Thus, it's better for older young people if you bring children. It's very encouraging that they are starting to include more indigenous content and awareness.The Fort is...",4
1,"Reviewed 4 weeks ago
","Calgary, Canada",I have been to Fort Calgary a few times I have been for the Christmas Market as well as Brunch You can go around and check the displays when you are there,5
2,"Reviewed 16 February 2017
","Olds, Canada","A lot to read and see. Learnt a lot about the history of Calgary I did not know. Friendly, knowledgeable employees answers any questions you have.",4
3,"Reviewed 14 February 2017
",,"it was more than what I expected. it looks like an old theme park, but once you get in, you will forget about it and just enjoy!",5
4,"Reviewed 1 February 2017
",Lima,"Great quick glimpse into YYC s past: stories, anecdotes, pictures..etc.If only the displays could also be in other languages (french for example...canada is bilingual after all)",4
5,"Reviewed 29 January 2017
","Calgary, Canada","Great experience. Food well prepared. Menu had two sections, from the kitchen and the buffet. Ordered from the kitchen then went to buffet.Made to order omelets.Servers attentive without being obtrusive.Large room, never felt crowded, not rushed to complete meal.Value good for the price.",5
6,"Reviewed 17 January 2017
","Calgary, Alberta, Canada",We found this museum a couple of years back. For its tiny little size it is a great museum and has some really great interactive displays. We go once a year when friends come to visit and they always have veryngreatnthigns to say.,5
7,"Reviewed 27 December 2016
",,"We have enjoyed several visits to Fort Calgary for fabulous brunch experiences. Reservations are always recommended, especially for busy times like Mothers' Day, Fathers' Day, Easter etc. The menu is always amazing, with both buffet and a la carte choices. Gluten-free options are extensive and delicious. Families, seniors, couples are welcome and treated well by knowledgeable and friendly staff. Friends...",5
8,"Reviewed 22 December 2016
","Brisbane, Australia","As we were only in Calgary for the day, we went here to learn a little about the area, whilst still being within walking distance of our hotel. It wasn't that big but had plenty of information available. We took our time and spent around 2hrs wandering through and even had a game of pool.",3
9,"Reviewed 14 December 2016
","Edmonton, Canada",The food and the atmosphere is excellent. Service is great and selection of food is wide and varied.,5
10,"Reviewed 18 November 2016
",,"Visited Fort Calgary this morning. It's mostly geared towards school aged children with lots of interactive displays ect. As for adults it's still interesting to read the birth of Calgary.Everyone was super friendly, even had the security guard take my pictures.",5
11,"Reviewed 14 November 2016
","Calgary, Canada","Excellent venue for brunchGood selection of everythingRoast Beef, Primerib, omelets etcGood price point and easy to navigate as brunch goes",5
12,"Reviewed 21 October 2016
",,More a history of Calgary than a museum of the fort as that no longer exists. As a museum of Calgary it really is quite good.,4
13,"Reviewed 8 October 2016
","Prague, Czech Republic","We decided to go there at first during our stay in Calgary. Then we took a walk from the Fort, go along the river up to the city centre. Wonderful!",4
14,"Reviewed 7 October 2016
","San Jose, CA","I knew nothing of the history of Calgary, and this Fort was a surprise. It was laid out as a museum, with a walking path, in a way exposing the visitor to the history and sights of Calgary's past. I remember a ""pharmacy"", with old-fashioned bottles of chemicals set up as they hmay have been in a pharmacy. Old electrical...",4
15,"Reviewed 5 October 2016
","Charlottetown, Canada",My husband and I did the tour of Fort Calgary while visiting our son. I wasn't sure what to expect but it was well worth the visit. We enjoyed learning about the city and how the RCMP came about. A must see while in Calgary.,4
16,"Reviewed 2 October 2016
","Salinas, United States","We weren't sure what to expect, but thought there would have been some of the old fort to see. That was not the case. They have done a great job of recreating the fort inside of a new building. The history of Calgary was interesting and well represented by photos and artifacts from different periods. The area outside where the...",3
17,"Reviewed 1 October 2016
","Wichita, Kansas","This is a good attraction for a rainy or cold day since most of the exhibits are indoors. There are lots of signs that explain the history of the fort and the development of the Royal Northwest/Canadian Mounted Police, Canadian Pacific Railroad and the city of Calgary. The exhibits show the what the daily life was like at the fort...",3
18,"Reviewed 29 September 2016
",Camp Hill,I was disappointed with the presentation of the Fort. The welcome was friendly but the map of the interior was confusing. What I presume was the old Fort had a lot of potential but seemed to be being used for meeting spaces.,3
19,"Reviewed 27 September 2016
","Gloucester, United Kingdom","Anyone who lives in the city will already know this, but for people arriving in Calgary for the first time be aware that this is a museum of Calgary's history housed in a reproduction of the fort. Interesting exhibits about how the city was founded as a Mounties post, to the building of the railway and through to WWII. There...",3
20,"Reviewed 23 September 2016
","Oxford, United Kingdom",This is a small museum with a number of outside areas. I visited here on what was unfortunately a rather rainy day so perhaps didn't see this place to its full potential as I didn't fancy walking around in the rain more than I had to...Nevertheless what I saw (the museum centre) is pretty good. Some of the way...,4
21,"Reviewed 22 September 2016
","Perth, Australia",Been in Calgary over two years now and I had no idea about any of its history. If you had told me that Calgary was founded in 1993 I would have had no reason to question you. I came here because my parents were in town and their isn't much else to do in Calgary. I wasn't really expecting much...,3
22,"Reviewed 20 September 2016
","Aurora, Ohio","The Ft Calgary Interpretive Center is a really interesting and informative exhibit depicting the early history of Calgary. For those of us not familiar with Calgary's history, it was very helpful. There are many, many, rooms that have been decorated to depict the era being depicted. We liked the Hologram type pictures that showed Calgary at different times in its...",4
23,"Reviewed 19 September 2016
","Sheffield, United Kingdom",Very interesting and informative . Nice start to the teaching of the history of Alberta history.Spent a couple of hours here.,4
24,"Reviewed 18 September 2016
","Titchfield, United Kingdom",This is ok to do if you have the time but is a bit lacklustre. The statues and information is informative and gives a sense of what occurred on the site.,3
