,0,1,2,3
0,"Reviewed 2 days ago
","Westborough, Massachusetts",We absolutely loved this place. They do such a fantastic job with costumes and the people really get into character. We have boys 9 and 12 and they loved it. Get there early to take a tour. We went into every building. the eaing options are a bit limited. We took home some rum and bread which were both very...,5
1,"Reviewed 4 days ago
","Oakville, Canada",This is one of those places you can go to several times and not take everything in. If you have a chance have the turkey dinner at the inn and it is beyond worth it. From the singing in the streets to the firing of the canon this place is amazing I have been there twice and plan to go...,5
2,"Reviewed 1 week ago
","Vancouver, Canada","Visited the fortress as one of our daily excursions on a New England cruise. This was such an interesting place with very good tour guides and volunteers. It you love history, than this place is for you! I would definitely go back as the restoration of this location is not yet complete. You need to allow at least 2 hours....",5
3,"Reviewed 1 week ago
","Cape Breton Island, Canada","If you are a history buff than this place is for you, very authentic and you can spend the whole day as long as you don't mind strolling..You can even enjoy some olden days food.",5
4,"Reviewed 1 week ago
","Cape Breton Island, Canada",The history here is amazing and to see the park employees in period costumes is so fun. I wish we had more time so we could have taken in a number of the historic walks. There are guided tours available for a price but you wouldn't have to take any of the tours if you didn't want to. As far...,5
5,"Reviewed 3 weeks ago
","Virginia Beach, Virginia","We spent three weeks driving through eastern Canada and the fortress ranked right up there in our top three favorite activities. It is well preserved and the conservation and restoration efforts have been top notch. There's much to see, excellent reenactors on hand to flesh out and bring alive the exerience, a good museum. You can easily spent three hours...",5
6,"Reviewed 14 February 2017
","Nova Scotia, Canada","Once you walk through the gates you're really taken back in time. With the park Employees in full character playing the time and place where they belong, it is amazing . Be prepared to spend at least a half day here. Ask questions, any questions you will be amazed at the answers. If you love history, you will love Louisbourg....",5
7,"Reviewed 13 February 2017
","Yarmouth, Canada","We love visiting Louisbourg as a family. My husband always went with his family and we've kept up the tradition. The kids love running in the wide open spaces, watching the reenactments and having a molasses cookie and apple juice for a treat.",5
8,"Reviewed 13 February 2017
","Quebec City, Canada",We visited on a rainy day with our five kids aged between 3 and 10 years old. We all had a great time. The site is beautiful and interesting. The actors are great and knowledgeable. We assisted a presentation describing habits and customs and the class system. It was really interesting. There is a free activity booklet for kids. You...,5
9,"Reviewed 30 January 2017
","Sydney, Australia","I visited the national historic site located in Louisbourg, Nova Scotia. I can honestly say I haven't had an experience like it.The animators are very polite even in the heat of summer! My personal favourite part of the fortress was the eighteenth century field musicians preforming throughout the day.The field musicians had incredible costumes just like the other...",5
