,0,1,2,3
0,"Reviewed 2 days ago
","Baton Rouge, Louisiana","Gas town is a fun place to visit, from the old buildings that make you feel you were in Vancouver 100 years ago, to the Steam Clock and neat restaurants. Just don't go too far along or things go down rapidly with plenty of homeless people and it turns sketchy fast.",4
1,"Reviewed 4 days ago
","Vancouver, Canada","This area will lead you in a trip to the past, probably to the beginning of the beautiful Vancouver, where the traders used to come to sleep, eat and drink. The buildings and constructions are well maintained and it is culturally vibrant. During night time the lights make this area more pretty, and the pubs give an atmosphere of happiness....",5
2,"Reviewed 5 days ago
","Honolulu, Hawaii",Another nice place to get some souvenirs for your family and friends! A little more pricier here than you'd find it in the downtown area of Vancouver or even at Granville Island. Lots of homeless people down there if you walk down the wrong street but they keep to themselves. Saw some human feces and urine smell in some places...,4
3,"Reviewed 1 week ago
","Portland, Oregon","This is a nice spot to visit for its historical architecture. It also has a number of nice shops and restaurants. The Steam Clock is so unusual, and one of the signature things to see in Vancouver.",4
4,"Reviewed 1 week ago
","Welwyn Garden City, United Kingdom","Gastown has some nice stores and an old brick style aesthetic; unfortunately the homeless problem can be shocking. We've been several times and have been asked for money (which is an everyday occurrence in Vancouver anyway), saw blood pouring out of a addict's arm and saw another man injecting drugs between his figures. If you want to visit, go in...",2
5,"Reviewed 1 week ago
","Stevenage, United Kingdom","The historic area of downtown Vancouver is a great place to explore on foot, lots of historical local sights, restaurants, and coffee houses. There is a great vibe about the area and one of the 'must see' parts of the city.",4
6,"Reviewed 1 week ago
",NA,"Gastown offers a big variety of calm and cozy cafés as well as small stores and souvenir shops inviting everyone to come in and relax. If you visit Vancouver, you definitively have to go there and see the steam clock in Water Street as well.",5
7,"Reviewed 1 week ago
","Quesnel, Canada",A wonderful heritage area of the city. A variety of different architectural building styles. Good variety of shops close to sky train and Canada Place. Cobble stone streets and gas lamps abound. A lot of history here.,5
8,"Reviewed 1 week ago
",,Nice place to visit for sightseers. Lots of souvenir shopping options. Recommend for first time visitors.,5
9,"Reviewed 1 week ago
","Seattle, Washington",Both in Gastown and in Yaletown there are loads of restaurants to choose from. Great shops and good people watching,5
10,"Reviewed 1 week ago
",,Lots of artisan chocolate shops coffee roasters clothes shops bars and restaurants very interesting and easy to walk around,5
11,"Reviewed 1 week ago
","South Island, New Zealand",Oldest part of downtown old buildings tastefully restored steam clock was the highlight for me.Unfortunately after dark the area is best avoided due to the street people and drug use.,4
12,"Reviewed 1 week ago
","Brisbane, Australia","Went down to gas town to have a look and there were some really nice shops and restaurants down there. Two attractions down there to see as well. Found it getting a little on the rough, turning into a not nice neighbourhood with a lot of rough sleepers down there. Didn't feel unsafe but felt a little uneasy at that...",3
13,"Reviewed 1 week ago
","Everett, Washington",We walked all around town and ended up in Gastown. We explored Black Frog since they offered an affordable meal in a local pub. I wish I could have seen the city during the day but this was still a lot of fun and a lot of history!,5
14,"Reviewed 1 week ago
","Mougins, France",We were on our way to Granville island but decided to have a stroll through Gastown before ordering a car.I think if you have a couple hrs to kill and like looking in tourist giftshops its good. We saw the famous steam clock and took photos and wandered in and out of various stores-very nice wood carving one but...,4
15,"Reviewed 1 week ago
","Saskatoon, Saskatchewan, Canada","Had a great time on a walking tour with 9 food and beverage stops. Loved all the cobblestones, beautiful restaurants and historic sites.",5
16,"Reviewed 1 week ago
","Montreal, Canada",Odd area. High end shops but lots of homeless people. Beautiful old buildings. Street parking is tricky but there's a parking lot where you can pay for the day on Water Street.,3
17,"Reviewed 1 week ago
","Vancouver, Canada","Gastown is a unique part of the city. It has some historical buildings that have been upgraded and renovated in the western section. It has rundown buildings and many poor people living in the eastern section, near Main St. The western part has become home to film schools, university and art students, souvenir shops for the cruise ship passengers, and...",4
18,"Reviewed 1 week ago
","Vancouver, Canada","Wander the streets in this area and see old vancouver. Funky shops and good places to eat. Take a tour if you want more or pick up some information and visit galleries, gift shops, native jewelery art and more. You may want to wait by the old clock for when it strikes the hour and learn the history of Gassy...",4
19,"Reviewed 1 week ago
","Medellin, Colombia","My favourite place in VC!! You will find many souvenirs store, great restaurants and an ancient arquitecture.",5
20,"Reviewed 2 weeks ago
",,"I have lived in Vancouver all my life and Gastown is my favorite neighborhood in the downtown core and one of the best in the entire city. It offers great boutique shopping, coffee galore, the best cluster of restaurants and bars. In the day, Gastown is a great place to grab coffee (Buro, Revolver, Timbertrain, Starbucks....JUST KIDDING) and walk through...",5
21,"Reviewed 2 weeks ago
",Alameda,"We have been to Vancouver many times over the last 40 years and it is a beautiful, crowded city. The city has changed so much-not all for the good. We were wondering around Gastown and stumbled on an area of incredible sadness. Blocks of homeless, strung out people stumbling, walking and living on the street. Avoid the Hasting St. Area....",2
22,"Reviewed 2 weeks ago
","Port Ludlow, Washington","Gastown is nice, especially at night with all the lamps and the steam clock. Shopping is decent, like most downtown areas. I would not plan on eating in Gastown unless you have reservations as the restaurants fill up pretty fast especially on the weekends. It's worth a drive by or a quick walk through but parking is scarce or expensive.",3
