,0,1,2,3
0,"Reviewed 1 week ago
",,This is a 130 year old building with very impressive architecture and heritage. Should be one of the must sees in Regina. The decore inside is very impressive.,5
1,"Reviewed 1 week ago
",,"Whether you want to attend their wonderful Canada Day Celebrations, or visit for their Christmas Celebration and have horse and wagon ride.. It is fun for everyone. They offer a Tea once a month, or if you prefer you can order a lunch and have a picnic with your significant other. There is a wonderful garden to walk in on...",5
2,"Reviewed 1 week ago
","Regina, Canada",An impressive museum furnished in the style of the Lieutenant Governor at the time of formation of the province of Saskatchewan. Once the entire country from just outside Winnipeg to the Rockies was governed from here. in the new wing is a history of the crown in western Canada. And on some weekends there is the popular Victoria tea.It...,4
3,"Reviewed 3 weeks ago
","Saskatchewan, Canada",I have brought my mother twice to the government house. We came once in the summer and then again in the winter when it was decorated for Christmas. Walking through the house is wonderful. Seeing the house how it would have been decorated was truly magical. It is a relaxing home to walk through at any age. I real gem...,5
4,"Reviewed 4 weeks ago
",REGINA,This is one of the must see in Regina. This shows the reratige of government in Sask. it is very well preserved & easily assessable to all.,5
5,"Reviewed 1 February 2017
","Regina, Canada",We went for high tea which they have at different times of the year and did the tour of government house. Very interesting to go through the house and enjoy life as it was,5
6,"Reviewed 30 January 2017
",,We brought the out of town family to see what Regina has to offer. The young adults and children loved the dress up room. The ornate rooms were spectacular and a good time was had by all ?,4
7,"Reviewed 17 January 2017
",Regina,"Charming décor, fascinating stories, authentic artifacts, and even a resident ghost will delight you. The ""Once-Upon-A-Time"" Room is a place for children to make-believe.",5
8,"Reviewed 14 January 2017
","Regina, Canada",Special tea with delicious food that was unique and fun. The tea is delicious. I want to know how they make their tea. So good.Definitely worth trying!,5
9,"Reviewed 4 January 2017
","Regina, Canada","Last winter i went here with my boyfriend, my sister and her boyfriend. We were really interested to know more about this building and just trying to do interesting things in Regina. I feel like we may have looked a little out of place, as we weren't a school field trip or maybe the clientele they are used to seeing...",5
10,"Reviewed 3 January 2017
","Regina, Saskatchewan, Canada","For people who likes historical places . Old furniture , squeaky flooring , antiques . To see how government persons lived along time ago .This place especially nice at Christmas time with all decoration around.",5
11,"Reviewed 21 December 2016
",,"A step into Government House in Regina, Saskatchewan is like a step into a past that celebrated warmth, beauty and a touch of whimsey. For the time of the tour, it is easy to imagine oneself the resident of this graceful manor. Transported in time to an era when hospitality equalled the esteem one held of one's guests; when all...",5
12,"Reviewed 19 December 2016
","Regina, Canada",We took our friend that was visiting from Ottawa to Government House in early December. The house was eleborately decorated for Christmas. Our tour guide was very informative. It was a pleasure to see and learn about the history of the home. It is definitely worth seeing again.,5
13,"Reviewed 19 December 2016
","Regina, Canada",What a beautiful residence! The architecture and decorating is amazing. Such a rich Saskatchewan heritage here. The Christmas decorating is fabulous and worth touring! There will be a special family event being held at Government House on New Years Day to kick off the150th birthday for Canada.,4
14,"Reviewed 14 November 2016
",Regina,This beautiful building is a very important piece of Saskatchewan's history. It was Saskatchewan's Lt. Governor's residence and office for many years. Now it is a museum with beautiful furnishings and a very interesting history. There are guided tours and special teas held throughout the year. The Lt. Gov. holds a New Years Day Levee here each January 1st. Tours...,5
15,"Reviewed 1 November 2016
",West Kootenay,"Loved the old furniture, settings, the conservatory. Great tour, really friendly people. Got a good taste of the history of the buildings and the people who had resided there. Entertaining.",5
16,"Reviewed 15 October 2016
","Vancouver, Canada","We had a tour of this charming,elegant building and enjoyed it thoroughly.The inside is so well preserved and it's interesting to see the era.the building isn't huge so it takes about a half hour to go through it. I believe everyone who visits Regina should visit this attraction. I'd say it is a must see if you want to see...",5
17,"Reviewed 12 September 2016
","Regina, SK, Canada","I recently attended a reception at Government House in Regina, Saskatchewan. I found the staff to be courteous. Upon entering we were guided to the reception room and offered a glass of wine. There were a number of senior folks present. While there can never be sufficient seating at a gathering of this type, what would help is if there...",4
18,"Reviewed 12 September 2016
",,My mother was in a nursing home next door and this was our favourite place to visit. The Commissionaires are very friendly and knowledgeable about the artifacts in the building. The grounds are immaculate and always have beautiful flowers.,5
19,"Reviewed 31 August 2016
","Regina, Canada","I have lived near Regina for many years and never visited Government House in all that time. I am very glad I have rectified this recently. There is much to look at in the house and if there is an interest Victorian teas are available, and I hope to partake of soon. You can have a guided tour or go...",5
20,"Reviewed 29 August 2016
",Lima,"Was nice to see so many rooms open to the public, beautifully restored. The tour guides are very knowledgeable and we were able to look into the vault to see all the dishes and hear the story behind it - our understanding is that normally this is not open for public viewing but it is an anniversary year. Grounds were...",5
21,"Reviewed 22 August 2016
","Regina, Canada","We attended the Government House Historical Society Antique Auction this past weekend. I was able to also enjoy the historic building and contents and appreciate the well-manicured grounds. For visitors to Regina, the capital of the province, it is worth noting that this was the historic home of the Lt. Governor in charge of the entire Northwest Territories which, in...",5
22,"Reviewed 14 August 2016
","Regina, Saskatchewan","This building first served as the Lt governor residence and is decorated as it would have been then. It's a great place to experience and learn some Saskatchewan history. If you have more than 1 family, call ahead and book a tour guide for your group. I felt our kids got more out of the visit with the knowledgeable guide...",5
