,0,1,2,3
0,"Reviewed 30 January 2017
",Québec,"I've been to West block of Grassland National Park around the end of septembre.The temperature was still pretty warm ( about 25 ) and I've spent two days there.I saw the bisons and the prairies dogs colony, I also heard a rattle snake but I changed path and I avoid any problems I guess.I did 3 or...",4
1,"Reviewed 28 December 2016
","Guelph, Canada","My hubby and I stayed at Grasslands for one night in June 2016, and it was absolutely fantastic. Grasslands National Park was just one stop of many on a cross-country tour (Guelph to Vancouver Island and back) that we did over the course of 3 weeks.Grasslands had not been included in our original plans, but I am so glad...",5
2,"Reviewed 24 October 2016
",,We did the eco tour in the car. Unfortunately there had been some snowfall a few days before and it had frozen so the routes were quite dangerous in parts but we got our alive! Be warned - it's dirt tracks throughout and for most of the highways surrounding the area too! We got stuck in mud on hwy 18...,5
3,"Reviewed 5 October 2016
","Portland, Oregon",We stayed in a teepee at the Grasslands park and we loved it. There were wooden benches all along the side of the very large teepee. You can rent a cot but we slept on our pads with our sleeping bags. There was a gas grill that's shared by the 3 teepees but only one other teepee was occupied- with...,4
4,"Reviewed 21 September 2016
","Brockville, Canada","Recently I had the pleasure of traveling in southern Saskatchewan to take pictures. What an enjoyable tour. The roads are no hell, but the photographic opportunities more than make up for it, and the people I had the pleasure of conversing with were top drawer.In an ever changing world it's one of the places you might want to check...",5
5,"Reviewed 16 September 2016
","Victoria, BC","We had the pleasure of visiting Grasslands National Park in southern Saskatchewan and were very pleasantly surprised. This is a park that people definitely are going out of their way to get to and it showed, judging by the number of visitors on the day we were there. It seemed that we were alone most of the time, except for...",5
6,"Reviewed 16 September 2016
","Minneapolis, Minnesota",We called to make sure which time zone they were in. I was told 'yes we are in central mountain time zone'. Didn't make sense so we took the chance and drove there. They were open but closing soon. It was a small visitor center but filled with lots of information. The drive there and back gave us plenty of...,4
7,"Reviewed 2 September 2016
","Ottawa, Canada","Grasslands NP is one of the few places left on the prairies where the ecology is reasonably intact. It is spectacularly beautiful as well. Prepare for the conditions, and go.",5
8,"Reviewed 25 August 2016
",,"This National Park is a diamond in the rough. It is full of interesting wildlife such as Bison, Prairie Dogs, Antelope, Burrowing owls, and a variety of birds. We sat and watched the Prairie dogs for several hours. It is so peaceful and there is great hiking. If you want serene, visit Grasslands National Park",5
9,"Reviewed 13 August 2016
",,This is a fantastic place. We spent all day watching the animals and enjoying the peace. We only left as sunset. It is one of the best places we have ever been to.,5
