,0,1,2,3
0,"Reviewed 4 days ago
","Halifax, Canada","The design of this building captured many people's eyes and myself! If you want see the whole city, I recommend you to got to the top of the building free access to everyone. Sometimes there're also orchestra performances on the 1st floor. Check their website.- Coffee shop- free wifi (no password needed)- computer- washroom",5
1,"Reviewed 6 days ago
","Nashville, Tennessee","Haligonians are very proud of their new library, as well they should be. It serves not only as a repository of books but also as a vibrant community center of sorts. From its fun external design (it's meant to look like a pile of books) to its modern, light-filled interior, the place hums with activity. Espresso shops on both the...",5
2,"Reviewed 1 week ago
","Bible Hill, Canada","This is a must on your list of places to see and things to do while in Halifax. The design, both inside and out, is fascinating. The layout allows for lots of private space to read or study. Everything is well marked and presented. The children's section is very well thought out. When we were there, the library was extremely...",5
3,"Reviewed 1 week ago
","Halifax, Nova Scotia, Canada","fantastic for a quiet read orA GOOGLE SEARCH and more. a coffee and snack at Pavia goes well with a good novel, or trip to the children's area with the young book enthusiast Go to the roof for a look over downtown Halifax.",5
4,"Reviewed 1 week ago
","Halifax, Canada",A must see when visiting Halifax! The Library won multiple architecture awards when built and is more than a conventional library.,5
5,"Reviewed 1 week ago
","Halifax, Nova Scotia, Canada",Just walk through this amazing structure and you'll be greatly rewarded. Multiple exciting and inviting spaces which house activities from A to Z.,5
6,"Reviewed 1 week ago
","Halifax, Canada",A beautiful building that is well laid out and the small Cafe serves great food at reasonable prices,5
7,"Reviewed 1 week ago
",,Locating books and media items is easy to do. The library 'flows' and is bright and airy. Staff are courteous and always willing to help. The roof-top cafe and outdoor eating area are great for summer as well.,5
8,"Reviewed 2 weeks ago
","Bridgewater, Canada",Really impressed with the exterior and interior of this new library. Great views on top of the building on the patio (closed in the winter though). The bistro/cafe area looked really good but I didn't stop for food or coffee. A welcome addition to the downtown area!,5
9,"Reviewed 2 weeks ago
","Calgary,Alberta",This is the best library you would every visit. Dont mind the teenager and ladies with multiple kids. Just go on higher floors and leave level 2 for ladies with multiple kids (>3-4).,5
10,"Reviewed 2 weeks ago
","San Diego, California","I can understand why this library won so many awards. It is a gem. New urban, public spaces have, sadly, become few and hard to find. This library is both grand and intimate. Its graceful architecture makes one feel like they could be in any grand city space in the world, but it is also accessible for everyone.",5
11,"Reviewed 3 weeks ago
",,"Not bad for a public library and good reception and customer service. Also, it is clean and beautiful.",5
12,"Reviewed 3 weeks ago
","Cape Broyle, Canada","It was a great experience to visit a busy library. People of all ages were in the library! We stopped by to see the building, but if I lived in Halifax I would certainly be a patron of the library.",5
13,"Reviewed 3 weeks ago
","Boca Raton, Florida",I didn't go in. We did a drive by where I got out of the taxi for about 10 minutes and photographed this very interesting building. Definitely swing by if in the area.,4
14,"Reviewed 3 weeks ago
","Dartmouth, Canada","Easily accessible by bus from anywhere in the greater Halifax area. Modern, clean, features music and art on weekends",5
15,"Reviewed 3 weeks ago
","Halifax, Canada",The new public library is a breath of fresh air is downtown Halifax. The modern architecture has been welcomed by the locals and the library is a hub of activity. Remember to go to the top floor for the fantastic cityscape views.,5
16,"Reviewed 3 weeks ago
",,"I am very impressed by the library, any visitor or resident should ""check it out"". Halifax is lucky to have such a wonderful central library.",5
17,"Reviewed 3 weeks ago
","Halifax, Canada",Love this place. Great coffee shop inside. Music is sometimes played live in the theater. Multiple levels with great seating. Lots of magazines to browse. Friendly and helpful staff. AWESOME!,5
18,"Reviewed 4 weeks ago
","Arviat, Canada","My friends and I dropped in here while visiting Halifax. We had heard a lot about the library and had some time to kill and we were walking by and decided to visit. Very glad we did! It's a beautiful and very relaxing building. Lots of material to browse and read, great reading nooks, good WiFi, a cafe, rooftop seating,...",5
19,"Reviewed 4 weeks ago
",,"This library showed up on most ""Top Ten Things to Do in Halifax,"" so we decided to check it out. This wound up being the highlight of the trip for the kids! It's a gorgeous, modern, efficient and well-planned library. We recently read ""Escape from Mr. Lemoncello's Library,"" and the first thing my boys said was that this library looked...",5
20,"Reviewed 18 February 2017
",,Fabulous library... open and bright and comfortable chairs ..great magazine section...I've always thought that one can tell the kind of town one inhabits by its library and Halifax has a really really good one!!,5
