,0,1,2,3
0,"Reviewed 2 days ago
",,Great spot to visit during late spring-fall. Can easily enjoy a quite and private walk. Cafe on location is great. Lots of beautiful flowers and trees,5
1,"Reviewed 4 days ago
","Hamilton, Canada",What a beautiful place to visit. You can stroll at your leisure and it's so peaceful and quiet. You can sit and just watch nature. It's a place where you can spend a whole day enjoying the tranquil atmosphere. I would definitely go again.,5
2,"Reviewed 4 days ago
","Halifax, Canada",Not large but lovely garden. A place where you you can enjoy the summer weather besides Water Front. Close in Winter.,3
3,"Reviewed 5 days ago
","Langley City, Canada",The Public Gardens in Halifax is a must see when you go to the Maritimes. The flowers abound and the fragrances surround you as you stroll over bridges and along meandering paths. My personal favorite was the dahlia gardens. So many varieties and colours! Truly one of the most peaceful tours I have ever done.,5
4,"Reviewed 1 week ago
",,"A great escape from the city streets. Quiet, clean, relaxing, lovely sights like the water, gazebo, gardens, etc. Would go back again.",4
5,"Reviewed 1 week ago
",,No visit to Halifax is complete without a stroll though this beautiful English garden . Level paths for mobility challenged with lots of benches rest on.,5
6,"Reviewed 1 week ago
","Bible Hill, Canada",Often on our trips to Halifax we will wander the Public Gardens. The landscape is always changing as the spring and summer progresses. Quite often there are wedding groups in the park and this is always fun as well as interesting to watch. The bird and animal life is another interest here. Because the park is so central it is...,5
7,"Reviewed 1 week ago
","Halifax, Nova Scotia","The Halifax Public Gardens is a 16 acre oasis of beautiful Victorian gardens, pathways and water features in the heart of the Downtown. It is a tranquil place for strolling, relaxing or reading. You may even find the occasional chess match under the shade trees or take in a free evening concert throughout the Summer.",5
8,"Reviewed 1 week ago
","Halifax, Canada",I love this park. Just a great place to stroll and enjoy the beautiful flowers in the summer or sit on a bench under a tree and have a little snack or meal.,5
9,"Reviewed 1 week ago
",,Memorial Gardens in hub of uptown Halifax is a relaxing delight in the middle of a busy and vibrant part of Halifax.It is planted beautifully and is in full bloom. Afternoon music at the Gazebo.....how civilized,5
10,"Reviewed 1 week ago
",,In the heart of the city the gardens are beautiful. Lots is shade if it's a warm day. Entertainment may be scheduled in the gazebo. Lots of ducks in pond.Much of the trees were damaged years ago with Hurricane Juan. Things are looking good,5
11,"Reviewed 1 week ago
","Halifax, Nova Scotia","I can't recall the dimensions... but you enter a fenced in green space in the middle of the city.Duck pond, multiple different types of trees and the lilac bush that my children have played in for 45 minutes without coming out... it's the size of a house.1. Kids and Family place2. Couples and picnicing3. Center stage...",4
12,"Reviewed 1 week ago
",Nova Scotia,"The Public Gardens is a beautiful place for a stroll, any time of the year. We are very lucky to have this beautiful place in the middle of our city!",5
13,"Reviewed 2 weeks ago
","Montreal, Canada",Beautiful public gardens! We were easily able to find parking along one of the major boulevards by the Gardens. We really enjoyed the short time we spent in the Public Gardens and we were especially impressed by the tranquility. Everything and all the displays were immaculate--we would have liked to spend more time here!,5
14,"Reviewed 2 weeks ago
",UK,"I used to walk along here everyday on the walk to work, except in the winter. Beautiful scenery to distract from a stressful work day.",5
15,"Reviewed 2 weeks ago
",,"Must see part of Halifax only a couple minutes from Citadel Hill. Quiet, peaceful and historic. Great place for a pic nic or to just relax and observe the landscaping.",5
16,"Reviewed 2 weeks ago
","Halifax, Canada","I love when the Halifax Public Gardens opens in April as that is when I know that Spring is finally here. It's truly a beautiful Victorian garden. I take a peaceful stroll along the paths and remember when I brought my daughter here when she was a little girl, 40 years ago. The landscaping is beautiful as are the pond,sculptures,...",5
17,"Reviewed 3 weeks ago
","Dartmouth, Canada",Beautiful in summer. Wonderful place to spend an afternoon walking through and admiring the natural beauty. Clean and quiet. No pets allowed.,5
