,0,1,2,3
0,"Reviewed 6 days ago
","Mississauga, Ontario, Canada",I highly recommend seeing both the low and high tide if possible. Just amazing to see how the tides work in person. The low tide allows for great pictures with the Hopewell Rocks. We stayed overnight and came back the next morning to see the high tide which was shocking to see the difference and the change overnight. We were...,5
1,"Reviewed 1 week ago
",,Have visited the place numerous times over the years. It never grows tired. Do it on foot or by boat it is marvelous.,5
2,"Reviewed 1 week ago
",,"Given that we don't live very far from the rocks, this wasn't my first trip however; it was still quite enjoyable. For anyone planning a visit, i would make sure to check the tide schedule because if it's high tide, you can't get to the ocean floor so the trip is not as much fun. Once you see it at...",5
3,"Reviewed 1 week ago
","New Brunswick, Canada",Be sure to check the tide tables so you can plan your trip according to low tide. You can see these beautifully formed rocks and walk on the ocean floor. Check out the tiny town of Alma on your way.,5
4,"Reviewed 1 week ago
","New Brunswick, Canada","We wanted to take our kids for a trip around our province and to take in the awesome sights and one such place was Hopewell Rocks. We walked the beach, viewed the cavarans and then watched to tide come in until the only thing present were the trees on the rocks.",5
5,"Reviewed 2 weeks ago
","Hamilton, Bermuda","At the Hopewell Rocks you can walk on the ocean floor and minutes later watch the ocean waves rush in leaving your footprints thirty or forty feet below the surface. The ""rocks"" themselves show eons of erosion and wear from two tidal washes per day. Once part of the forest, they now stand on the shore - exactly as in...",4
6,"Reviewed 4 weeks ago
","Arviat, Canada","This is a great family stop. Great views and a lot to learn. It's pretty amazing to be able to walk on the sea floor, and there is a ton of coastline to explore. Just don't be caught by those tides! The interpreters on site were friendly and knowledgeable.",5
7,"Reviewed 4 weeks ago
",,"Hopewell Rocks, located just outside Moncton NB, hosts beautiful walking trails, scenery, and of course, the famous Flower Pot Rocks. The information center is well equipped with gift shops, washrooms, and a very fascinating learning area for people of all ages.",5
8,"Reviewed 5 February 2017
","Devonport, Australia","Make sure you have time to visit at both low and high tides. You can walk around the rocks on the sea floor at low tide, take lots of photos. Then come back at high tide and take more photos with the rocks isolated by the water. We walked down each time but caught the little shuttle buggy back up...",4
9,"Reviewed 5 February 2017
","Baltimore, Maryland",I am originally from the Philippine Islands - I grew up to see tidal changes ... but never standing beside a 40-70 ft tall rocks at the moment & 12 hrs after --- the only thing I will see are the tips of those same rocks when the 44 ft tide comes through. You have to see both scenarios to...,5
10,"Reviewed 30 January 2017
","Bangor, Maine","We had an awesome fall trip to Hopewell Rocks. We timed our visit during low tide, as anyone wanting to take in the full experience should. We chose to walk down instead of taking the golf cart type shuttles. There were a lot of people there but there is still plenty of room to explore and to get away from...",5
11,"Reviewed 17 January 2017
","Twin Falls, Idaho","Hopewell Rocks is truly an amazing place to see the change of tide level, along with the rock formations. Well worth going. We did not take a formal guided tour, just walked around. The admission price lets you return the same day, so you can see both high and low tides. Our schedule allowed us to do this and it...",5
12,"Reviewed 10 January 2017
","West Bend, Wisconsin",Standing on the ocean floor and looking up a rocks that in a few hours will be islands. Hopewell Rocks has the largest tidal changes in the world.,5
13,"Reviewed 30 December 2016
","Boston, Massachusetts","This is worth the drive or trip to NB. Spectacular visit. Make sure you explore the place with one of the guides. They are knowledgeable, friendly and entertainment.",5
14,"Reviewed 19 December 2016
",,"very very cool great ocan vistas, incredible rock formations, ""flower pots"" are a natural wondergo at low tide or dont go at all... high tide you have some great views but the experience is walkjng out on the tidal flatslots of uphill walking so eat after, not before ;-)use the shuttle golf cart service if you have...",4
15,"Reviewed 10 December 2016
","Vineland, New Jersey","The weather was lousy. Foggy. Still, this is a natural wonder that should not be missed, especially if you are nearby.",5
16,"Reviewed 8 December 2016
",,"Talk about the power and awe of nature. My kids kept saying ""there are usually fish swimming around here where we're walking"". This experience is a must. We had a beautiful day and enjoyed some of the muddy spots. Grateful to have somewhere to hose off at the top of the stairs. If you're going to pay the extra for...",5
17,"Reviewed 5 December 2016
","Blind River, Canada","If you can only see this site once, try to be there for low tide. We just made it in time before the water was starting to encroach on the rocks. There were a lot of people, but not overly crowded. Due to the time we arrived, we took the shuttle down to the top of the stairs and then...",5
18,"Reviewed 4 December 2016
","Chicago, Illinois","Such an incredible phenomenon. A great place to stop and witness one of nature’s wonders. It was very majestic. My only recommendations are to wear good shoes, lots of rocks, and walking. Check times for the tide.",4
19,"Reviewed 30 November 2016
","San Diego, California","Stopped here on the day after the Canadian Thanksgiving holiday & the day after the park officially closed for the season. It was unique that you can still park outside the grounds & walk in & still see the rock formations. An added plus was you literally had the place to yourselves (no crowds, tourists, etc.). We walked down the...",5
20,"Reviewed 26 November 2016
","North Oxford, Massachusetts","A must-see attraction if you are in the area. Definitely go at low tide so that you can walk along the ocean floor. We didn't get a chance to stay for high tide, but I've heard that's worth it as well. Great experience overall!",5
21,"Reviewed 16 November 2016
","Windsor, Canada",Absolutely amazing! We came in the afternoon just before sunset and it was fantastic. Walking between these huge rocks was a great experience.,5
22,"Reviewed 12 November 2016
","Pennington, New Jersey",My family and I were excited to see the low tide at Hopewell Rocks and this place didn't disappoint. We came here and spent a few hours watching the tide draw out and we saw some pools of fish and other critters. Wish we saw the high tide at this spot and hopefully will come back to see it in...,4
23,"Reviewed 11 November 2016
","North Andover, Massachusetts","Behold the wonder of moon's effect on planet earth!!! A magical place to explain your kids the tides and gravitational forces at play. Make sure you check up to date calendars on low and high tide timings. We reached there around ~7AM spent few hours on the beach admiring 40+ feet rock formations from their base, while it was low...",5
24,"Reviewed 8 November 2016
","Calgary, Canada","if this spot isn't on your bucket list, then it should be! Absolutely amazing! the day we were here they experienced tides of over 40 feet! totally Amazing! the park itself is very well laid out with very knowledgable staff!",5
25,"Reviewed 5 November 2016
","Manchester, PA","I did not even know about the Bay of Fundy, but hubby did. And I'm so glad he shared his want to go there. The park itself was closed, but there is ocean access and when else can you walk on the ocean floor, only to see it totally underwater just 6 hours later. This is a MUST DO.",5
26,"Reviewed 30 October 2016
","Poole,UK",The whole place was well laid out and signposted and there were helpful staff to help. There are a lot of steps if you want to go down to sea level but the views from the clifftop are great,4
27,"Reviewed 27 October 2016
","Kamloops, Canada",This is a great place to visit to get a real idea of the size of tides in the bay of Fundy (some of the highest tides in the world). There are exhibits inside but the real show is spending time here to go down to the seafloor and then watch as the tide comes in and rises 40 to...,5
28,"Reviewed 24 October 2016
","South Lyon, Michigan","We visited the in the October off season and so we had to walk around closed signs and barriers. However, I am glad that we did. The rocks are unique and beautiful. They are reminiscent of stacked rocks we saw in Iceland a month ago.",4
