,0,1,2,3
0,"Reviewed 2 days ago
",,"What a great market, they even have indoor parking.Fruits, veggies, maple syrup, yummy bakeries next door, an amazing spice shop, a fabulous pizza place (try the montréalaise slice but follow it with a run), VERY good Turkish delight, smoothies, Poutine, flowers, seafood, and did I mention the chocolate shop next door?What a fun adventure.",4
1,"Reviewed 1 week ago
",,"I love the Jean Talon market. Even in the winter, we can buy very good produce. It is an interesting place to stroll and take in the colors, the scents, the tastes.",5
2,"Reviewed 1 week ago
",Indianapolis,Visiting from the US and wanted to stroll through. Produce looked very good. Stopped and had a crepe which was average. Enjoyed looking around and if I lived there I would buy goods from there often!,4
3,"Reviewed 1 week ago
",,"Great fruits and veggies, floral for sale and lots of extras like bakeries close by and coffee shops.",5
4,"Reviewed 1 week ago
","Laval, Quebec, Canada","If you're looking for a place that offers a diverse array of home-grown produce, this is the place to go. In addition to a farmer's market, this place boasts some of the best cafes and restaurants this side of town. You will not be disappointed!",5
5,"Reviewed 2 weeks ago
","Kingston, Canada","This huge market (smaller in the winter time) is a great adventure for anyone interested in food. In Spring, try the product of the different maple syrup vendors. Very good priced on maple syrup can be found here.",5
6,"Reviewed 3 weeks ago
",New Jersey,This market is a great place to feel the vibe of the city. There are so many wonderful food vendors to sample. Get a little something at multiple places and then sit at a table in the middle and watch the people go by.,5
7,"Reviewed 3 weeks ago
","Winnipeg, Canada","Best farmer's market there is! Fabulously fresh fruits and vegetables, some vendors have fresh cut produce available for sampling. It not only sells produce but meats, fish, cheeses, spices, nuts (you have to try the little nook at the back that sells sweet and savory nuts!), soaps, sauces, maple syrup, flowers plus several areas to buy ready made food to...",5
8,"Reviewed 3 weeks ago
","South Kingstown, Rhode Island","You could spend hours here (we did) looking at all of the food, produce and merchandise. Vegetables and fruits were very fresh, even though most are out of season. I'm sure it is even better in the summer when more of the outside venues are open. Plan to have extra time if this is your last stop on the way...",5
9,"Reviewed 4 weeks ago
","Vernon Hills, Illinois","We have farmers markets in the states, but nothing quite like this place. In warm weather, it takes up approximately two-three square blocks with most of the area covered and indoors. The array of fruits, vegetables, meats, cheeses, exotic items and just about everything else that can be consumed are displayed so beautifully. Hungry? Find something to eat and drink...",5
10,"Reviewed 5 weeks ago
","Chicago, Illinois","This place is an eater's dream! Wonderful fresh fruits & veggies for sale, and every vendor has fresh cut produce laid out on plates for sample. The samples are all fresh and delicious! Great place to get a crepe, macaroon, and try the fresh fruit samples while walking around taking it all in.",5
11,"Reviewed 18 February 2017
","Appleton, Wisconsin","Great place to eat some fresh fruit or grab another snack like crepes, sandwiches, beverages, or macaroons. You can also buy flowers or other items. It is sheltered so a nice place to visit if it is raining.",4
12,"Reviewed 15 February 2017
","San Salvador, El Salvador",I had a wonderful visit to Jean Talon Market. It was autumn and colors were amazing. I bought everything for an entertaining dinner; even flowers.,5
13,"Reviewed 13 February 2017
","Laval, Canada","Jean-Talon market is the place to see unique stuff! Fresh fruits and vegetables! and mostly, enjoy the unique side of Montreal - diverse, rich and cool!",4
14,"Reviewed 6 February 2017
","Mauldin, South Carolina",Larger than Atwater market and has lots of eateries and grocery stores around. Great place to shop and buy produce.,5
15,"Reviewed 3 February 2017
","Louisville, Kentucky","Even in the cold of winter, which it was for this, our 3rd visit, the market is a great place to experience real Montreal. It's about a 3 block walk from the nearest metro station (Jean-Talon). If you like vibrant colors you'll be very satisfied here. Beautiful food and flowers. There are plenty of places to grab a bite to...",5
16,"Reviewed 30 January 2017
","Bloomington, Indiana","After reading the reviews in trip advisor, we wanted to check it out le marche Jean-Talon around Christmas. After several tastings, we bought great pear, raspberry and apple brandies similar to calvados which I love. The alcohol level was much lower though...Also here, you can find local maple syrups, great selections of cheeses, jams, fruits and other produce. Recommended !",4
17,"Reviewed 28 January 2017
",,"We had not visited in the winter, and found this place equally if not more pleasant than the summer, with less tourists and the same great food stalls and restaurants. As it is well enclosed, full protection from the foul wether",5
18,"Reviewed 16 January 2017
","Albany, New York","I read about this place online and decided to go. They've got a great selection of produce, cheeses, and meats.",4
19,"Reviewed 15 January 2017
",,"Our most recent visit to the Marché Jean-Talon was the second weekend of September: Harvest time!The market was hopping. Fresh produce to the left of us, fresh produce to the right of us!Lots of locals were visiting and stocking up.Noticed a lot of tourist (identifiable by their guidebooks) looking around and taking pictures.",4
20,"Reviewed 12 January 2017
","Brantford, Canada","I visited and shopped at the Jean Talon market today and was very impressed! Awesome selection of fruits, veggies, nuts, cheese and so much more.Take your time, peruse, sample and relish the choices!The market is clean, well organized and features an amazing array of culinary ingredients for every chef!A must visit !!",5
21,"Reviewed 11 January 2017
","Austin, Texas","For those that haven't seen what a typical French market looks like (or those whom would like a refresh) this market is a great choice. Rather big, many things to see, plenty of things to taste, pretty flowers, many locals. Would strongly recommend if you have the extra time.",4
22,"Reviewed 11 January 2017
","Saratoga, California","This place is clean, well organized, and offers great produce at reasonable prices. My husband had a quiche at one of the stalls and it was very good too.",5
23,"Reviewed 10 January 2017
","Merriwa, Australia","Found my way to the markets about midday. There are a number of different stalls - vegetables/fruits, flowers, fish monger, Italian and patisseries. But today I found it a bit lacking in atmosphere. Nonetheless I can understand why locals would choose to shop here. There was high quality products with reasonable prices.",3
24,"Reviewed 9 January 2017
",,"A covered food market in Little Italy. From fresh produce to butchers to pastries, a great place to see real food sold by real people in an authentic setting. One can even eat there or take food to go to eat at home. A slice of Old Montreal.",4
25,"Reviewed 4 January 2017
","New York City, New York","I love markets, and this market was overfowing with fresh, colorful in season produce (we came in July). Each fruit vendor has a line of in season strawberries, blueberries, oranges, honey melons, peaches, nectarines, plums, mangoes... and many serve free samples so you can make sure they are sweet. There are a couple cheese/dairy and meat vendors. I'd recommend grabbing...",5
26,"Reviewed 4 January 2017
","Laval, Canada","Jean-Talon Market is a fun place to visit. There are lots of different people from different part of the world, young and old, all going to get their fresh fruits and vegetables. There is also cheeses, sausages and much more. I love going there even just to walk around. Very nice market.",4
27,"Reviewed 3 January 2017
","Brisbane, Australia","This market is amazing... I love markets and this one does not disappoont. A large variety of produce, meats, seafood, bakery, i even found awesome cashews and pistachios. Lots of honey and maple syrup as well as delicious food stalls. Must see!!",5
28,"Reviewed 30 December 2016
","Brookline, Massachusetts","We enjoyed a walk around here, inside on a cold day. You could pick up a wide variety of produce and products to take home, souvenirs (we got some maple syrup popcorn), or there were even a few places to sit and eat. There were more shops lining the sides of what I think is the summer outdoor portion of...",4
29,"Reviewed 27 December 2016
","York, Maine","My family likes to visit the Jean Talbot market whenever we come to Montreal. Great produce, great meats/fish/poultry, great pastries, and lots of fun shops nearby. A must do experience in Montreal",5
30,"Reviewed 27 December 2016
","purgatory, mn","I love a good market and this one did not disappoint. It was two days before Christmas, so the place was packed full of people, but that was part of the fun.Lots of local products are featured in the stalls, maple syrup is especially prominently sold everywhere you look - as well as maple butter, maple candy, maple baked...",5
31,"Reviewed 23 December 2016
","Brantford, Canada","Nice to visit and grab some food. Various different types of food, but sadly in a hotel room without a fridge so could not pick up everything we would have liked. But grabbed some cranberries for christmas dinner and some snacks for the day. We will be back...",4
32,"Reviewed 15 December 2016
",Maryland,"I had read in a blog that you could eat your way through Jean-Talon market and that is exactly what we set out to do. Mission accomplished. They had a wide variety of products even in early winter and it was a pleasant lunch hour (or so) spent strolling along through the stalls, eating what looked tasty, and picking up...",4
33,"Reviewed 10 December 2016
",Boston,what a fun and beautiful market! we loved the time there! eating veggies and cheese! drinking coffee and having crepes!,5
34,"Reviewed 8 December 2016
","Talent, Oregon","My friend who lives in Montreal told us that this is THE place to get your produce, and she was right. Since we stayed in an apartment, it was perfect. I was amazed at just how many different things were being sold at this market (things I didn't expect, like peppers), and we were there towards the end of the...",5
35,"Reviewed 3 December 2016
",OCEANSIDE,"the best place to shop for ""food"" gifts = Honey - Maple syrup -Check out olive olive great gifts also little shoppes",5
36,"Reviewed 27 November 2016
","Boston, Massachusetts","We started our day at this market....ate a delicious crepe, bought some fruit and baklava, and wandered around the stalls. It was a very pleasant place to spend an hour, especially on a rainy Sunday.",4
37,"Reviewed 27 November 2016
","Quispamsis, Canada","This was our first visit to the market and we were incredibly impressed. Dozens of vendors selling produce, bakery items, meats, cheeses, oils, seafood and much more. We had a delicious bagel and coffee at Oh Bagel which was outside the main market - they were making the bagels on premise which you could observe. We arrived early and had...",5
38,"Reviewed 27 November 2016
",new hampshire,Always worth a stop! Fresh produce and cheese and butcher shops and baked goods. Everything looked delightful!,4
39,"Reviewed 26 November 2016
",Toronto,"No trip to Montreal would be complete without a visit here! The market is produce-heavy, with some places to eat, unique shops, and specialty food stores as well. I LOVE the produce. We have never seen larger, fresher local fruits and vegetables, and we left wishing we had to cook that night instead of being in a hotel. See my...",5
40,"Reviewed 22 November 2016
","Brno, Czech Republic","You love to cook? You like to try new things? Are you a foodie? Or you are just interested in local market with some of the freshest products available?Then, this place is for you! You will see a variety of products sold by many and many vendors and producers. Everyone is super-friendly and you can feel the vibe. Really...",5
41,"Reviewed 21 November 2016
",,"This is a great place to load up on cheap and excellent local produce (especially in the summer months when the outdoor booths are operational). Lots of selection for cheese, maple syrup, raw meats and baked goods as well. There are plenty of places to eat here too. Its a bit north of the city, so I don't find it...",5
42,"Reviewed 19 November 2016
","Chicago, Illinois",We ended here on a good tour that we took. Lots of fresh produce and flowers to choose from as well as restaurant/stalls on the outside. The only reason I didn't give 5 stars is because there are not a lot of places to sit and eat your food.,4
43,"Reviewed 19 November 2016
",Canada,"We always love it here. Wonderful fresh fruits and veggies, bakeries, butchers, cheese stores and so much more. Plan to spend at least 3 hours and bring lots of shopping bags. Try to park close as you will need to take several trips back to your car if you are a big shopper. There are washrooms and pay parking underground...",5
44,"Reviewed 17 November 2016
","Schenectady, New York","Open indoors all year and outside spring/summer and fall, this marketplace offers a wide array of specialty foods and fantastic fresh produce. All you need for a fantastic lunch or dinner awaits.",4
45,"Reviewed 16 November 2016
","Brno, Czech Republic","Have you heard about this market? No? Then you should make sure you are going to visit it next time. This place is unbelievably vibrant and full of so many traders offering you the best produce.You can just walk around and see, also in case you are interested in buying anything, most of the time you can taste it...",5
46,"Reviewed 15 November 2016
","Bathurst, Canada",We go here every time we are in Montréal. Amazing produce selection. Well worth the visit a must if in montreal,5
47,"Reviewed 14 November 2016
","Edmonton, Canada","We went to Jean Talon Market as it was recommended 1st on Trip Advisor for markets in Montreal. What an amazing place! I could only wish that we would have markets like this that were year round in Alberta. The main market was full of cheese, fresh fruit and veggies and baked goods. Surrounding the main market, there were stores...",5
48,"Reviewed 14 November 2016
",,Dear food lovers. Make yourself a favour and grab some fresh veggies and fresh food in general..!! :),5
49,"Reviewed 14 November 2016
","Halifax, Canada",Incredible!Absolutely awesome!Our plan was to cook a great meal for the family. We had already called and reserved an organic turkey with an excellent place called Boucherie Prince Noir. It was spectacular.What we didn't expect was to be overwhelmed by all the other merchants and their high quality foods that covered any delight desirable.The merchants are...,5
50,"Reviewed 10 November 2016
","Hobart, Australia","Took a few minutes to find the market after exiting the subway, but once we did, wow! We quickly decided we'd be having a picnic for lunch and set about procuring cheeses, breads, fruits and other goodness. Everything was wonderfully fresh, and the market was a joy to spend time in.",5
51,"Reviewed 2 November 2016
","Salt Lake City, Utah","You must see this market- a never-ending plethora of amazing colors, food and so much more! Coffee shops and live music fill the air with wonderful smells and live music!",5
52,"Reviewed 30 October 2016
","London, United Kingdom","Even though we went in late October, when the climate wasn't ideal, this was well worth a visit.This is a proper working market with a focus on fruit, vegetables and other fresh produce. There are also some great places to eat.I could imagine that during the late spring, summer or early autumn this would be a fabulous place...",4
53,"Reviewed 26 October 2016
","Santiago de los Caballeros, Dominican Republic","This is a nice, colorful and small market. You'll get fresh products and there's also a small bookstore with nutrition and recipes books. But if you're not into cooking or buying food maybe is not worth the visit. I enjoyed taking pictures to all those colors.",4
54,"Reviewed 25 October 2016
",Tampa,"All the vendor's have been vetted and only top notch vendors sell their products there. There is a wide variety of: produce, honeys, canned fruits and jam type items, charcuterie, spices, restaurants, fresh oysters, cheeses and the list goes on. It is more expensive than Attwater market. I was able to find some great items as unusual gifts. In the...",5
55,"Reviewed 23 October 2016
","Toronto, Canada",The produce is so fresh and there are so many varieties. Price is very reasonable for the quality. All the goods are well displayed that just strolling in the market is already an enjoyment.,5
56,"Reviewed 22 October 2016
","Washington DC, District of Columbia","Friends had told us about Atwater Market, but a local Tourist Office recommended Marche Jean Talon instead. Our only regret is that we waited until our last day in Montreal to visit it. Jean Talon is easily accessible on the Metro and largely outdoors--so perfect for nice weather and at least a half day's visit. The produce is terrific--raspberries, blackberries,...",5
57,"Reviewed 22 October 2016
","Stavanger, Norway","Just a few minutes walking from the Jean Talon metro station. Big stalls with a lot of diffrent fresh fruit, vegetables and all kinds of cheese.",4
