,0,1,2,3
0,"Reviewed 3 days ago
","Mississauga, Canada","Lake Ontario overall is beautiful! You can view it from many different towns/cities in Ontario, with a few beaches along the way.",4
1,"Reviewed 6 days ago
","Barrie, Canada",Did a cruise for about an hour. Saw some great views of the Toronto sky line. Visited the islands too. Tour was great and you got to see some historical building's? and get to know the history of the lake and it's usage.,5
2,"Reviewed 1 week ago
","Tegucigalpa, Honduras","This lake is huge, can be easily confused for an ocean. I have had the pleasure to enjoy it from multiple points. There are many parks and access points. The water is clean, but cold.I have also enjoyed riding a bicycle along the lakefront bike paths. If you don't have a bike, you can always rent on an hourly...",4
3,"Reviewed 1 week ago
","Montreal, Canada","Walk near the lake, great view and good place for photos. In March still windy and cold and the ability to really enjoy the beauty and sunshine",4
4,"Reviewed 1 week ago
",,"Being a person from a coastal city, when someone says they will take you to the beach, I expect to see waves that you can surf. However this is a beach with a difference. Visited a place called the boardwalk and the only words to describe it would be beautiful. Did a morning walk and caught the sunrise over the...",5
5,"Reviewed 2 weeks ago
","Ajax, Canada",Lake Ontario is huge freshwater lake with Canada (Ontario) on one side and United States (New York State) on the other. It is about 85km (53mi) at the widest point and it's length about 311km (193mi).Many major cities border on the lake along with countless towns. The Canadian side which I am most familiar with and will talk briefly...,5
6,"Reviewed 2 weeks ago
","Toronto, Canada","Truly great if you're the outdoors type. Either for fishing or on the motorboat, this is a must-do / must-see.",5
7,"Reviewed 2 weeks ago
","Niagara Falls, Canada",Loved this lake grew up swimming in it camped by it you name it did all at the lake . Alot of viewing place along the lake every where .Beautiful long walks nice pieces of drift wood. Just a place to go and relax .,5
8,"Reviewed 3 weeks ago
","Toronto, Canada","An Amazing Lake, but with so many areas highly built up along the shoreline and not much public land by the lakeside you really have to search out those spots next to the lake that have parking and access rights",3
9,"Reviewed 4 weeks ago
","Toronto, Canada","This is a nice run! I do it even during the winter. Sometimes i start at Old Mill subway station and follow the Humber River traiI to the Lake (3km). This is the best part of it, were the river joins the lake, once in the lake Ontario, sometimes I take to the West to Lakeshore all the way to...",5
10,"Reviewed 4 weeks ago
","Bayside, New York","We stopped by a lake front park along Lake Shore Blvd on our way to downtown Toronto. It was a very scenic lake. I don't know if it was just the weather that day, but the water was really blue. It almost looked like the Caribbean. It was a great place to take pictures with the natural beauty of the...",5
11,"Reviewed 17 February 2017
","Binbrook, Canada",We enjoyed a beautiful winter morning by walking along the Harbour and enjoyed the outdoor skating rink.,5
12,"Reviewed 16 February 2017
","Toronto, Canada","This is barely a lake and practically an ocean. If you cross it, you'll reach Buffalo. Lots of islands to see and lots of boats in the summer time.",5
13,"Reviewed 8 February 2017
",,"Love going to Lake Ontario in Toronto but also nice in Etobicoke, Scarborough, Port Credit, Oakville, etc. In Toronto, head to the Scarborough Bluffs, the Beach, Queens Quay as lots of boardwalks, shops, patios, cruises, beaches, artists to stop and visit. Can limit walking as desired. Love all those areas.",5
14,"Reviewed 5 February 2017
","Toronto, Canada",I teach and certify SCUBA students in this lake and for the most part it is clean. Temperature varies depending on season and weather patterns. Overall a good body of water to keep cool in summer.,4
15,"Reviewed 1 February 2017
",,"Peaceful, beautiful, and super romantic! Definitely worth the trip and stopping by when in Toronto! So much to do.",5
16,"Reviewed 25 January 2017
","Greenville, South Carolina",Maybe the prettiest of the Great lakes with the Toronto skyline and the CN Tower. The shoreline is very well laid out.,5
17,"Reviewed 18 January 2017
","Manila, Philippines","During my stay in Toronto, I visited the park where I can be by the lake. During summertime, the area gives you a feeling of peace and calmness wherein you can see ducks swimming in the lake. Makes me want to join them as they seem to be enjoying the water a lot, During winter, visiting the park still gives...",4
18,"Reviewed 18 January 2017
",,I love going to the Lake. The view of the city from there is spectacular. The Toronto waterfront has greatly improved over the years.,5
19,"Reviewed 11 January 2017
","Toronto, Canada","Lake Ontario presents s all with many avenues of pleasure....Boating, boat rides on the ferry's, fishing, swimming, strolling about enjoying the lake breeze's, skating and wind sailing in both summer and winter. It is the true gem Ontarian's enjoy on a daily basis.",5
20,"Reviewed 2 January 2017
","Toronto, Canada","Lots of stuff to see and enjoy all along the shore-line. Harbour-front area has lots of culture (art galleries/theatres) and recreational opportunities (ice rinks) as well as restaurants and pubs. Go a bit further to the East or West and there are beaches and less populous locations with spectacular wildlife- ducks, geese and cardinals. The air is clean, the sky...",4
21,"Reviewed 30 December 2016
","Toronto, Canada","If you have a walk in the Humber Bay park, or along the shore line of Colonel Samuel park you will find not only nature environment but lots of wild birds, swans and butterflies. The sound of the lake water hitting the sand beach or the rocks is very relaxing. When you walk there at sunset you are rewarded with...",5
22,"Reviewed 28 December 2016
","Toronto, Canada",A great place for a walk in good weather is by lake Ontario either on the west end of the city starting at Park Lawn or the east end at the Beach .,4
23,"Reviewed 2 December 2016
","Athens, Greece",if the weather permits it .. its a nice walk...near the water and the nature...you can see squarels in the trees...dogs... everything,4
24,"Reviewed 1 December 2016
","Stellenbosch, South Africa","I visited in winter, so the weather wasn't great, but still it was nice to walk on the beach and see the gulls.",4
25,"Reviewed 28 November 2016
","Saratoga Springs, New York","Lake Ontario is nice at every corner. Toronto has a beautiful boardwalk area, Queens Quai. In Kingston you can walk for miles and enjoy the bluest views. In Missisagua you can watch boaters and geese alike. Lake Ontario is just the best. And I am talking ALL YEAR ROUND",5
26,"Reviewed 24 November 2016
","Clearfield, Utah","A must see, make sure you have plenty of time , we only had a day to spend in Toronto, but a very nice city with plenty to do along the lake shore and on the lake itself.",5
27,"Reviewed 22 November 2016
",Peru,"It never ends! Beautiful view, breathtaking... loved to spend time just walking and enjoying the view",5
28,"Reviewed 20 November 2016
","Sydney, Australia","On a free weekend in NY, what better way to spend a day that to be up early, fly north over the border and spend the day with old friends over a wonderful lunch in a new city and then back to NY.Crazy, but life is full of crazy moments.Once Air Canada deposited me at the Pearson Toronto...",4
29,"Reviewed 12 November 2016
","Rayleigh, United Kingdom","Wife though this was the sea, it looks that large. Had a trip on a boat to the islands and its impressive.",5
30,"Reviewed 11 November 2016
",,This 'great lake' provides a vast expanse of fresh water and is the home to many fishing and boating enthusiasts.,4
31,"Reviewed 10 November 2016
","Ashford, England, United Kingdom",It's great to walk down to the waterfront and just sit down. You can relax and listen to the sights and sounds of the busy city. Depending on where you choose to go on the waterfront you can even watch the planes taking off and landing from the city centre airport. Excellent value as it's all free!,5
32,"Reviewed 10 November 2016
","Somerset, United Kingdom","We are from the U.K. and stayed in Toronto, Burlington and Niagara, each time we were by the lakeside.Each time it was amazing in different ways.We were lucky with the weather and had sunshine our whole trip so we saw the lake at its best.We were surprised that there were not more water sports taking place.We...",5
33,"Reviewed 30 October 2016
","norfolk,uk",had a little walk by the lake and until you look out at the lake you dont realise how massive it actually is....worth a visit,5
34,"Reviewed 25 October 2016
","Raleigh, North Carolina",Lake Ontario is beautiful and very relaxing place. I enjoyed being on the shore and seeing the beautiful nature and listening to the peacefulness. There are lots of places where you can eat and drink and just rela,5
35,"Reviewed 25 October 2016
","Barcelona, Spain","During the summer, I was in Toronto to visit a friend and see my niece. From the start, I was taken to some sights, and went on a small ferry to a nearby yacht club for a barbecue dinner. The view and feeling was wonderful.Some days later, I was taken to another place....well over an hour outside and we...",5
36,"Reviewed 22 October 2016
","Crown Point, Indiana","In the past, I would never consider waterfront as a destination for Tourists. At least the area by the waterfront is clean, everyone rides bicycles, the parking is not super complicated, the street food is decent and sitting and staring out at Lake Ontario is one of the better ways I have spent some of my time in Toronto. The...",4
37,"Reviewed 17 October 2016
",gottaluvflying,Lake Ontario is beautiful and to be on the shore and able to admire the natural beauty is just so peaceful and relaxing.There are lots of places where you can eat and drink and just relax and enjoy the vista.,5
38,"Reviewed 17 October 2016
","Glasgow, United Kingdom",We visited many areas at the lake side. Most are beautifully kept and nice to visit/picnic/walk. Still can't get my head around a lake that I can't see the other side of. Got to be seen but you can never see it all.,5
39,"Reviewed 16 October 2016
",Adelaide,This 45 minute boat cruise was part of the hop on hop off bus ticket. It was a great way to get out on the lake and see the city from the water.,5
40,"Reviewed 14 October 2016
","Overland Park, Kansas","Fun to walk by the shore, plenty popular with the locals, beautiful scenery year round I would imagine, in the fall it was great.",5
41,"Reviewed 13 October 2016
",London,"If there was a bridge between the Falls and Toronto, apparently it would take you only 22km to travel between these two locations. Because you have to go round the lake to the falls, this takes you some 2 hours.It is massive, with great restaurants and small places to sit near it, great town with amazing architecture and vineyards...",5
42,"Reviewed 8 October 2016
","London, United Kingdom",On my many visits to Toronto I always made time for some activity down by the lake no matter what the season. I ate there in the Pael Restaurant and the Irish Pub on the corner. I hired a sail boat with friends and poodles about on the lake. We had a team cruise on the lake (my goodness is...,5
43,"Reviewed 7 October 2016
",,"It's our go to spot ... anywhere along the shoreline in Toronto at The Beach or Humber Bay...plenty of walking and biking paths. The Beach has a popular dog park, a community garden and volleyball courts. Additionally, the Beach neighbourhood is great for finding a good meal; plenty of choices here including the Sunset Grill which is a brunch favourite....",4
44,"Reviewed 2 October 2016
","Dundee, United Kingdom","The immensity of this lake is hard to be credible, it is more like an ocean! Beautiful views and options for water sports.",5
45,"Reviewed 2 October 2016
",stoke on trent,"This is a great area to walk, refreshing after the city smells and traffic noise. Very clean and great for the dog if you have one.",5
46,"Reviewed 1 October 2016
","London, United Kingdom","Really lovely just to sit have a drink or lunch . People watch Lots of boat trips you can take round the lake On liners , tall ship and speed boats .",4
47,"Reviewed 30 September 2016
","Melbourne, Australia","This is the largest local lake and is worth seeing, but I found it pleasant though unspectacular.Around the CBD Queens Quay area ('downtown' in North American-speak) the area is under utilised and a bit disappointing.Where is the vibrant architecture?I could not find a Chinese restaurant (although Chinatown is about two kilometres away at Dundas Street West).There...",3
48,"Reviewed 30 September 2016
","Bangor, United Kingdom",Lake Ontario is so huge that it is virtually impossible to tour its full length. It offers a huge range of water sports at various locations. It is extremely picturesque.,5
49,"Reviewed 30 September 2016
","Wetherby, United Kingdom","We did not actually visit Lake Ontario, but viewed it from an aircraft and also saw it whilst travelling between Toronto and Niagara. From this perspective, the sheer size of the area of water reminds of an ocean rather than a lake. It emphasises the extremely large size of Canada as a country.",4
50,"Reviewed 28 September 2016
","Hervey Bay, Australia",We were lucky enough to be visiting relatives who took us to many places on Lake Ontario. We were amazed at the size and grandeur.,5
