,0,1,2,3
0,"Reviewed 6 days ago
","Vancouver, Canada","We enjoyed this museum quite a lot. Highlights were the animal mounts and the history of the Yukon. Exhibit about building the Alaska highway was great, too, in honor of the 75th anniversary of this amazing human and engineering feat!",4
1,"Reviewed 1 week ago
",,"Family and everyone will enjoy. Tells the story of the gold rush with real artifacts, gives a real human touch to the whole story.",5
2,"Reviewed 1 week ago
",Never the same place,"This place was worth the long drive! Very interesting place, packed to the hilt with interesting pieces from history. There is no museum in the world like this one. I really hope to return one day!",5
3,"Reviewed 1 week ago
",,We visited this museum and found it very interesting .It had a lot of material and artifacts concerning the Yukon region .I would recommend this as a must see in Whitehorse .,5
4,"Reviewed 13 February 2017
","Whitehorse, Canada",This place has preserved the historical thing of the Yukon so very well. It is amazing to see the historical and cultural development of the Yukon,5
5,"Reviewed 27 January 2017
","Yountville, California, United States",With time to kill we took a local's advice and went here. There are several types of galleries including: First Nation; Gold Rush; early twentieth century; Alcan Highway; pre-history. We were charmed by the thoughtful presentation of their exhibits and the staff member. You will gain a greater appreciation of the area you traveled so far to explore.,5
6,"Reviewed 18 January 2017
",,The museum is a great walk back through history. With several mock ups and scenes from the past. This is a must see for tourists or even locals at least once..,4
7,"Reviewed 18 January 2017
","Chadds Ford, Pennsylvania","This Museum is good for young and old alike. It gives a wonderful overview to the cultural, historical and natural life of the area. Don't miss the gold rush galleries, we almost did. I wish we had had more time to spend there.",5
8,"Reviewed 4 January 2017
","Kingston, Canada",This museum is a wonderful example of community and territorial history. It's got a really great layout and covers everything of general interest from prehistoric to modern time. There's well written storyboards and interesting artifacts to get your imagination into the frame. I was fortunate to go in the off season and had all the time in the world and...,5
9,"Reviewed 1 January 2017
","Teslin, Canada","A great place to encounter Klondyke Gold Rush history. There were several samples of gold from the different creeks that were mined along with all different kinds of equipment to see,",5
10,"Reviewed 29 December 2016
",,"I was looking for things to do in Whitehorse, and the MacBride museum was a great budget-friendly attraction. Lots of visual and auditory displays, and plenty of information cards to read. Really interesting history of Yukon's origins!",4
11,"Reviewed 23 December 2016
","Langley, British Columbia",Museum details the history of the Yukon. Very well presented material; good stop to add into your walk around Whitehorse.,4
12,"Reviewed 21 December 2016
",,"Really nice museum. Spent three hours could of spent maybe one more, if we read everything , needed to leave due to 3 hour limit on parking meter. Nice afternoon, history, worth the money. $10cad",4
13,"Reviewed 18 December 2016
","Vancouver, Canada",I was lucky to go when there were few others there as I was able to take my time in front of exhibits and read/look at leisure. There is so much to see and learn about - well worth the visit! Don't forget to go to the outside exhibits as there is another building to go through. It was worth...,5
14,"Reviewed 11 December 2016
","Heidelberg, Germany","Very good overview of gold rush times with history, tools, etc. with a complete overview of animal life in that area.",5
15,"Reviewed 14 November 2016
","Whitehorse, Yukon Territory, Canada","I ove going to MacBride Museum event. They are fun, are about storytelling from first hand of people who have lived and experience the Yukon for quite some time. I enjoyed the feeling of cabinet of curiosity with all the collection material and stories of the north. My favorite permanent dispaly with Kate Carmack clothing. The museum will be under...",5
16,"Reviewed 8 November 2016
",,"Visited for a few hours when I was in Whitehorse.I loved the section with the animals, it was awesome! because you can see the actual size of them (really close, not like in the animal preserve, which is also very cool).Small museum, not crowded with lots of historical stuff (common things for every day use)",4
17,"Reviewed 3 November 2016
","Whitehorse, Canada",worht a go. has the most on Yukon history as well as mining. of interest to all who would more knowledge on the Yukon,4
18,"Reviewed 31 October 2016
","Whitecourt, Canada","loved the old exhibits of local artifacts AND old autos and train, not so much the stuffed animals ,the RCMP cabin was great ,with old phones,telegraph.",5
