,0,1,2,3
0,"Reviewed 1 week ago
","Knoxville, United States",What I most enjoyed about McGill University was the big green off of Sherbrooke--usually filled with students either rushing to class or lounging in between classes.,4
1,"Reviewed 2 weeks ago
","Red Deer, AB",By chance we found a paper advertising concerts in Montreal. We were able to attend a a concert given by their Baroque student orchestra and singers. It was amazing and very inexpensive. The University webpage can lead you to a list of the concerts during the year.,5
2,"Reviewed 2 weeks ago
","Kingston, Canada",A stroll across the McGill campus is a nice change from museums and shopping. Beware the massive road construction currently going on around it!,3
3,"Reviewed 3 weeks ago
",,Definitely worth a stroll through the campus to appreciate the city setting of this university campus.,4
4,"Reviewed 4 weeks ago
",,Have toured the campus a couple of times to meet friends and tour the university with my kids. Beautiful architecture.,4
5,"Reviewed 4 weeks ago
",Massachusetts,"We did a college tour which was interesting to us. As a place to visit, I think the campus is worth a stroll through and it also has a history museum that looked good. It is a fine campus which directly abuts the city of Montreal - it flows right into the tall buildings and is at the base of...",3
6,"Reviewed 17 February 2017
","Vancouver, Canada","I didn't intend to go by here, but I happen to walk too fast to waste enough time for a 3-day stay in Montreal without hitting this location. I'm glad I did. This university campus has some lovely buildings and is home to the Redpath Museum, a natural history museum. I regrettably didn't go in, but I would recommend it...",5
7,"Reviewed 12 February 2017
","Saskatoon, Canada","As we were traveling with two young kids, we only toured the Redpath museum. The museum dates from the late 1800s and is a real treasure. The building itself should be in a museum! The kids loved the taxidermy-all up close a personal. You will know what I mean when you see it. Super cool actual Egyptian mummies and artifacts....",5
8,"Reviewed 27 January 2017
","East Hampton, New York, United States","I am studying at McGill, so not sure I am addressing this from a tourist perspective, but it obviously a beautiful university campus in an urban environment. I literally exit my metro stop in Scotia Bank directly across from my faculty building on rue Sherbrooke. Easy to access, enjoy the beautiful campus even in Winter.",5
9,"Reviewed 8 January 2017
","Edinburgh, United Kingdom",This is known world wide as one of the best institutes of higher learning. I was astounded by its' beauty! Allow some time if you are going to look around.,5
