,0,1,2,3
0,"Reviewed 18 January 2017
","Whitehorse, Canada","Beautiful spot for a quick walk or a longer hike. Bring a picnic lunch if you have the time. There is a suspension bridge to take you over to the other side and head down to the right hand side for some beautiful photo opportunities. If you have young children, be prepared to hold their hands or carry them. Steep...",5
1,"Reviewed 18 January 2017
",,This place makes for a nice picnic and small hike type of day.. there are lots of trails well marked with trail maps so you can't get lost. With the water rushing through the Canyon it makes for a nice place to have a picnic. The suspension bridge is mostly wooden and metal wires and swings nicely. Some people in...,4
2,"Reviewed 17 January 2017
","Whitehorse, Canada",Makes a great outing on a nice day. In the summer walk the many historic trails in and around the canyon. If it is winter you can ski them. Makes for a great short hike or all day adventure.,5
3,"Reviewed 5 January 2017
",,"I really recommend you to see Miles Canyon, the walking before is so beautiful and miles canyon is a really nice view !",5
4,"Reviewed 29 December 2016
",,"The road is closed to vehicle traffic, however, you can walk down to the overlook and bridge going over the Yukon River. Beautiful historic area, where many lost their lives navigating through the canyon towards Dawson where the gold was waiting for them.",5
5,"Reviewed 21 December 2016
","Whitehorse, YT","Hidden away just minutes from downtown Whitehorse, Miles Canyon offers spectacular views, walking or biking trails, and a wooden suspension bridge over the canyon and the rushing Yukon River. No paved trails here once you leave the parking lot, just the beauty of nature. I recommend stopping at the lookout, as you drive to the canyon, and then a quick...",5
6,"Reviewed 21 December 2016
","Toronto, Canada","Miles Canyon is a must see for any visitor to Whitehorse. It's less than a 15 minute drive from downtown Whitehorse, and provides spectacular views from the cliffs overlooking the Yukon River. There are good walking trails, some with historic significance, and great backdrops for photos. The suspension bridge over the river provides a nice view of the river and...",5
7,"Reviewed 1 November 2016
",,This was the first hike we did on the first day we arrived in the Yukon! What a great site to see - never seen anything like it before! We were amazed to see that nature as beautiful as this exists in our own country.,5
8,"Reviewed 22 October 2016
","Ottawa, Canada","Visited this location twice in one day. Early in the afternoon went for a hike across the river from the lookout on the ski trails. A little rocky but the views into the canyon were worth it, wow. Then a little after midnight we went back to the lookout for some time with the aurora borealis, freaking amazing! I took...",4
9,"Reviewed 21 October 2016
","Edmonton, Canada","Unfortunately when we were there, the bridge was under construction but the canyon could still be seen. When you read the history of the area and the canyon, it is amazing what the pioneers and gold rushers went through in their quest.",5
10,"Reviewed 16 October 2016
","Horn Lake, Mississippi, USA","This was a nice little side trip. The trail along the canyon was beautiful. It was sunny when we were there and the sun made for some spectacular photos. They were working on the bridge when we were there so we were unable to walk across it, but we were there in the off season. Still, it is worth the...",4
11,"Reviewed 15 October 2016
","Vancouver, Canada","Wonderful small trails and a beautiful bridge, we had a nice time taking pictures with the dog. I suggest 1-2 hours to explore",4
12,"Reviewed 12 October 2016
",,We drove to Miles Canyon but unfortunately were not able to cross the bridge but the view from the vantage point was just as incredible. Beautiful mountain views and the water and just stunning.,5
13,"Reviewed 7 October 2016
","Vancouver, Canada",Awesome 10k run from the heart of downtown Whitehorse to the canyon.I had to cab it back as it was -3 and wasn't properly dress up for the weather but it was worth it.,4
14,"Reviewed 3 October 2016
","Victoria, Canada","Brought back memories from my early teens when we lived in Whitehorse. There's a decent parking lot now, and it's easy to view the canyon from the bridge (you can now cross to the opposite shore and walk along it for some distance, although the old MV Schwatka no longer plies the waterway.",4
15,"Reviewed 2 October 2016
","Montreal, Canada",Enjoy an easy amble along this beautiful stretch of the river. Take the high or low trail.Easy access from parking. A wonderful walk!!,5
16,"Reviewed 29 September 2016
","Whitehorse, Canada","This is a favourite place for our family to walk or to show tourists. If you have little ones, you will need to hold their hands or carry them as you explore. There is a lookout point, which we always go to first. Then we go to the walking path alongside the canyon and go across on a narrow walking...",5
17,"Reviewed 28 September 2016
",,Everyone visiting the Yukon must see this. The suspension bridge crosses the Yukon River to hiking trails on the other side. The bridge was temporarily closed due to repairs.It is a photographers dream.,5
18,"Reviewed 25 September 2016
","Lady Lake, Florida","Miles Canyon is in Whitehorse, and is a nice place to go for a scenic walk with lots of pretty views and fresh air. There is a suspension bridge that you cross to get from one side to the other.",4
19,"Reviewed 24 September 2016
",,I landed in Whitehorse. Picked up a rental car and drove to mile canyon. Around 10 minutes drive from the airport. This was a beautiful site. Amazing hiking trails. River and the lake are gorgeous.,5
20,"Reviewed 24 September 2016
",,"This canyon is a must-see when you visit Whitehorse. It is spectacularly beautiful with the turquoise Yukon River running through the canyon. In the summer months, you can take a boat tour through the canyon. There is also a beautiful trail that you can hike that goes along the rim of the canyon.",5
21,"Reviewed 21 September 2016
",Canada,It's a perfect place to go on a sunny day for views of the canyon and river. The walking trails on the far side (opposite the parking lot) are great for exploring.,4
22,"Reviewed 20 September 2016
",,Don't get too close to the edge..! Stunning place with lots of trails. However watch the edge. Many of the banks are undercut! Beautiful spot!,4
23,"Reviewed 20 September 2016
","Midland, Canada","Very scenic, full of cultural history, great paddle - with a serious challenge for amateurs! We only really had some experience in kayaks and as a result it was a challenging paddle for us. Beautiful landscapes. Worth it!",5
24,"Reviewed 19 September 2016
","Brisbane, Australia",An amazing view. The colors change in the tree was stinning with the river running through. Unfortunately the suspension bridge was closed for repair when we were there.,5
25,"Reviewed 16 September 2016
",,"Spent a couple of hours wandering around the area, amazing views and picture opportunities. Made more special by the sunshine!",5
26,"Reviewed 15 September 2016
",Arizona,The scenery is amazing. The power of the Yukon is channeled the the canyon right under your feet. Only 5 minutes from Whitehorse.,5
27,"Reviewed 15 September 2016
","Kingston, Canada",Beautiful view from either the look out point or at the bridge itself. You absolutely have to come here if you visit Whitehorse.,5
28,"Reviewed 13 September 2016
","Whitehorse, Canada","We lived in Whitehorse for three years and this was often a place we brought our family and guests who came to visit. You can make it a quick little walk & look or expand it to a nice little hike (longer walk). The terrain is easy and the views beautiful. Being so close to town, this is a great...",4
29,"Reviewed 12 September 2016
","Whitehorse, Canada",One of my favourite places to go hiking. The colour of the water is unbelievably green. Very beautiful spot for a picnic or walk.,5
30,"Reviewed 12 September 2016
","Whitehorse, Canada",Great place to go for a walk/hike. There are numerous trails and amazing views. A walk along the edge/rim to Canyon City is a must.,5
31,"Reviewed 12 September 2016
",,Definitely worth seeing. There's a lot of history connected to the canyon and it is very interesting.,5
32,"Reviewed 12 September 2016
","Whitehorse, Canada","better at dawn because the sun rises over the mountains. There are walking trails you can go hiking on. It is difficult to get to during winter, if you can get to it at all because the road is seasonal. It would be a fun snowshoe adventure in the winter.",4
33,"Reviewed 12 September 2016
","Pemberton, Canada","After traveling from Lake Louise through the Rockies and northern BC to the Yukon, Miles Canyon at best is worth a short visit for the pleasant view and a quick photo. It's nice enough and looks like it has some great trails for biking. Just nothing outstanding about it.",2
34,"Reviewed 11 September 2016
",,"My wife's itinerary of things to do in Whitehorse is visiting Miles Canyon. It is a fabulous place to see. The overlook of the river, the mountains, and the suspension bridge is just so nice to see. A plus at night to see the others lights. No obtructions and so quiet. During the day a little drive down you will...",5
35,"Reviewed 8 September 2016
",,The walk around the canyon is beautiful! So quiet and peaceful!Beautiful site for widowed and exploring!,5
36,"Reviewed 8 September 2016
","Toronto, Canada",Great place for walking. You cannot miss it. Take advantage of the Trail that takes around the lake. Beautiful place to walk in the fall.,5
37,"Reviewed 7 September 2016
","Hollywood, Florida","Nice view and plaques are informative, makes you wonder what it was like to be there when it was first used. How tough it must of been",4
38,"Reviewed 7 September 2016
","Calgary, Canada",Miles Canyon is a great park with lots of trails to enjoy. I really enjoy the canyon rim trail that follows the majestic Yukon river throughout the canyon. There are a few amazing photo spots on the rim pathway. Love it!,5
39,"Reviewed 6 September 2016
","The Villages, Florida",Drove to it twice...nice view of the canyon and a hanging bridge to walk over the canyon is provided. It is no cost to visit and walk around. There are several hiking trails which we only went a very small way on.,3
40,"Reviewed 4 September 2016
",,"I was so glad I listened to the other reviews on here that told me to go - so now I'm telling you - just go! Only minutes from Whitehorse and though there's lots of photos, they are never as good as in person. So beautiful, the bridge is great, but just to see the canyon and hear the water...",5
41,"Reviewed 31 August 2016
","Niagara Falls, Canada","We started our exploration of Miles Canyon at the Suspension Bridge. The hiking trails were wonderful as was the information provided regarding them. It allowed us to select routes that everyone in our party would be able to hike. Plan for a good number of hours, and wear good hiking boots.",5
42,"Reviewed 31 August 2016
","Nelson, New Zealand",This is an interesting walk of an easy nature along the sides of the water. It appears to be popular with locals but you are not crowded.,5
43,"Reviewed 30 August 2016
","Arnprior, Canada","Great little side trip when in Whitehores. We were there for a canoe trip but made the hike one afternoon before our trip. Hike to town takes a couple hours and trail not that easy to follow, Canyon is beautiful.",5
44,"Reviewed 29 August 2016
","Gatineau, Canada","We stopped there on a Tour of Carcross City and Southern Lakes with the Touring Company: Who What Where. This site is simply breathtaking. You just won’t be able to keep your jaw open. If you are in Whitehorse, make an excuse to go, it’s about a 6 min drive from Whitehorse. You can bike there as well but there...",5
45,"Reviewed 28 August 2016
",,Walked just a short way south of the suspension bridge. A beautiful spot for a hike just south of Whitehorse. The suspension bridge is a great photo spot - just remember not to jog across it or it will bounce!,4
46,"Reviewed 25 August 2016
","Clearwater, Canada",Parking is a bit tight but there are many trails to walk and explore along the canyon. A very scenic location.,5
