,0,1,2,3
0,"Reviewed 4 days ago
",,"Very nice picturesque site.Best time to visit it is winter, you can approach much closer than if you can in summer. Also the mist is less spread when colder.",5
1,"Reviewed 5 days ago
","Quebec City, Canada",A very nice place to visit summer or winter. Highter than Niagara Falls and partly frozen in winter. Nice ice climbing in the winter,4
2,"Reviewed 1 week ago
",Ontario,The falls are beautiful. Nice outting even in the winter. See them from the suspension bridge. Great place to take photographs.,5
3,"Reviewed 1 week ago
","Portland, Maine","We stopped here on a bus tour for a quick view while returning to Maine during Quebec Carnaval. The falls, at 276 feet tall, are the highest in Quebec province, and are located 12 km outside the city. They are spectacular indeed! They are located in a park surrounding the falls, which is the main attraction. Up close you can...",5
4,"Reviewed 1 week ago
","Michigan Center, Michigan",This is such a fun day trip from Quebec! Our teenager son loved it. We all got dripping wet from walking not even close from the falls!,5
5,"Reviewed 1 week ago
",Boston,We stopped by to take the tram to the top of the falls and walk across the bridge. Little did we know that the Tram is seasonal so it certainly was not available in February. BUT...the lake at the base of the falls was frozen and visitors were making the trek across the lake where visitors could get a unique...,5
6,"Reviewed 1 week ago
",Sheffield,"Only had a short time here but it is well worth the walk to the falls. We went late evening so not much open for food, drinks, etc.",4
7,"Reviewed 1 week ago
","Melbourne, Australia","we caught the bus out here which only took 30 mins or so. The falls are absolutely amazing and whilst they dont match Niagra, they are spectacular. The only disconcerting thing was that the Park at the bottom of the falls was closed and the gates werent open to get in, albeit maost people just jumped the gate to wander...",5
8,"Reviewed 1 week ago
","Lancaster, Pennsylvania","The falls are amazingly powerful, especially after a rainstorm. There is a good visitor's center for those not wishing to walk out in the rain or be splashed by the falls. It has a nice gift shop and coffee shop. But get wet anyway and walk out toward the base of the falls. If time permits, the stairs that go...",5
9,"Reviewed 2 weeks ago
","Toronto, Canada",Took the gondola down because being tourists I didn't realize if you just parked at th bottom you can access the falls for free. The gondola was cool you get to go over the falls and see just how tall they are. Not much time could be spent here unless you wish to climb the paths. Easily accessible from the...,3
10,"Reviewed 2 weeks ago
","Ottawa, Canada",Zip line great addition. Awesome views. Heritage building picturesque for functions. Gondola enjoyable for all ages. Leisure walks or hilly workout. Area is inspiring.,5
11,"Reviewed 2 weeks ago
",,"My wife and I visited MFP during our trip to Mont Sainte Anne. We did the zip lining, lift in the cable car and via ferrata. It was a great experience! When you're at the bottom of the falls you can get right up pretty close to the falls. Close enough that it is rather windy and you'll be soaked!...",4
12,"Reviewed 2 weeks ago
","Providence, Rhode Island","We purchased the couples pass which included parking and unlimited rides on the gondola. A relatively cheap tourist site, it is good for all all ages. There are several angles to view the falls. There is a strenuous path full of hundreds of steps if you want to make it tougher than normal. I would not recommend for older folks...",5
13,"Reviewed 2 weeks ago
","Silver Springs, New York","We visited the falls in early March so it was freezing, but was worth braving the cold to see. We stopped at the visitor center at the bottom and drove to the top, which I highly recommend seeing both views.",4
14,"Reviewed 2 weeks ago
",,I fel in love with Quebec city and the area around these falls. The landscape is amazing. If you are physically able there are stairs to go down the side of the mountain. If not there is a cable car which was fairly inexpensive. The stairs up were a workout. Walking right up to the falls was amazing but you...,5
15,"Reviewed 3 weeks ago
",,It's definitely a waterfall. But what's cool is that there are stairs and bridges that get very close to the water. Really fun and I would assume refreshing in the summer time. Easily accessible from a parking lot. Great scenery and beautiful trails. I recommend taking a helicopter ride over it then going for a hike around it. Enjoy,5
16,"Reviewed 3 weeks ago
","Toronto, Canada","It is worth visiting these falls either in winter or summer, for a difference experience in each. In winter the ice frames the falls and makes them a bit more hair-raising than usual. A great natural site not too far from the center of Quebec City.",4
17,"Reviewed 3 weeks ago
","Ottawa, Canada","A worthwhile trip even in winter, you'll see the true power of the falls in a new way with the thick peaks and spectacles of frozen water everywhere. Some access closes during the winter. Easy enough walk and if you want to save on the price of the gondola or don't like heights like me, pay for parking at the...",4
18,"Reviewed 3 weeks ago
",,Worth a visit to these falls to view from below and above. A nice family adventure. Even on a very cold day we enjoyed seeing the partially frozen falls from the suspension bridge. It is 15 minutes from Quebec City old town and a very easy drive.,4
19,"Reviewed 3 weeks ago
",DC Metro,"My family and I rented bikes while in Quebec and rode here to the falls one morning. Easy ride with well kept trails, and getting to the falls was easy. It was a refreshing stop, and the falls are pretty. Not bid and spectacular, but a pretty, natural setting.",5
20,"Reviewed 3 weeks ago
",NY,"Certainly worth a visit! We came by car and parked easily. Although the facilities weren't open (I guess the welcome center, stairs up to falls and gondola close for part of winter, though not sure why) you can still come wander around. First we park at the top, enjoyed the views of the river, crossed the suspension bridge. Then we...",4
21,"Reviewed 3 weeks ago
","Boca Raton, Florida",I did the Voirs Tour Quebec. It was a lovely photographic day. I missed so many stops for a quick shot. The leaves were changing and the reflections off the river were beautiful. We stopped for a staple of bread and syrup - that was interesting. The chocolate stop took way too long and I found it unnecessary. The copper...,3
22,"Reviewed 3 weeks ago
",,"The place is really stunning, it's amazing to visit with family, you can walk in the park and bring food to eat together",5
23,"Reviewed 3 weeks ago
",,one of the things to see in quebec city. go definitely at night ! wonderful whit the light true the fall.,4
24,"Reviewed 4 weeks ago
",,Kids enjoyed the gondola ride to the top and walking on the bridge over the falls.Really beautiful falls and well worth the ride from Quebec city,5
25,"Reviewed 4 weeks ago
","Sydney, Australia",The falls are very pretty- in winter all frozen! There is a suspension bridge that goes right over the falls letting you look straight down and out to the st Laurence river giving some very nice views. It's easy to get to from Quebec City- just take the 800 bus from several stops in the city and it takes about...,5
26,"Reviewed 4 weeks ago
","Yangsan, South Korea",The waterfalls in winter are beautiful. Easy trails and paths to walk to get different views. Some areas are shut down during the winter but still worth seeing. Good for people of all ages.,5
27,"Reviewed 4 weeks ago
","Tecumseh, Ontario, Canada","I was recently here and spent about an hour here with a large group and a guide. It was a very informative time and the views were awesome. It was very nice in the winter time, especially because the temperature wasn't too cold. I can only imagine how beautiful it is in the summer time. A lot of history here...",5
28,"Reviewed 4 weeks ago
",,"The river is frozen in winter and you can walk up to the base of the waterfall. It's beautiful! There is a visitor's center which has amenities and snacks, but it closes at 4pm. Only a short drive from Quebec City, well worth the visit!",5
29,"Reviewed 4 weeks ago
",,Great way to learn Canadian history and appreciate the beauty of nature at affordable price.Plan to return soon .,5
30,"Reviewed 4 weeks ago
","Montreal, Canada","Nice place to stop and visit, it wont take you more then 1-2 hours to get to the top & see the falls, i can imagine in summer its much more enjoyable as you can have a picnic/tan/read a book.i recommande.",5
31,"Reviewed 18 February 2017
",,Neat place to visit in the winter when much of the falls are frozen. Walking above the falls to take pictures is fantastic.,5
32,"Reviewed 17 February 2017
","Gatineau, QC, Canada",Walking on the bridge over the frozen falls is an experience that you will never forget! The view of the St-Lawrence River is amazing!,5
33,"Reviewed 17 February 2017
","Marietta, Ga","Worth the money. It was the last week of December, and there was snow on the ground with the falls partially frozen.",5
34,"Reviewed 15 February 2017
",,"It was breathtaking. It is also very close to Sainte-Anne de Beaupre Shrine and basilica, with its paintings, mosaics, stained glass windows and wooden sculptures. It portrays the important role that it continues to play in the faith of the people.",5
35,"Reviewed 14 February 2017
","Langley, Canada",So glad my husband wanted to see the falls. It was so pretty and to see ice climbers coming up the side of the frozen falls was really cool.,5
36,"Reviewed 14 February 2017
",,I live in Québec and each time I visit the Montmorency Falls... I'm always in awe. A must see for any and all tourists and locals to experience at least once. The history behind it is a very interesting part of our nation.,4
37,"Reviewed 14 February 2017
",Canada,"A great attraction for your family during your stay in Quebec. Pretty views. Not to far from the city, around 25-30 minutes. Possibility to use a stairway or a gondola to get up to the bridge.",4
38,"Reviewed 14 February 2017
",Rivière-Beaudette qc,"This small hotel is located on the St-Laurence River waterside, close enough to Quebec City.You will find there a good accomodation, clean rooms, free wi-fi and local calls, and a free continental breakfast.Small pet are welcome for a minimal supplement.Actually, this hotel is among your best choices for it's low cost and location.",3
39,"Reviewed 13 February 2017
","Newark, Delaware",Stopped by in February to see the frozen falls. Very interesting. There is a pedestrian bridge that crosses over the falls. You can also walk to a nice look out point that is probably 1/2 mile or so. If you would like to pay extra they have a cable car that you can ride for different views of the falls.Mostly...,4
40,"Reviewed 8 February 2017
",,Loved it. Went on my honeymoon and brought my daughter there a few yrs ago. It is a very beautiful place to visit.,5
41,"Reviewed 7 February 2017
","Seattle, Washington",We stopped here just for a quick visit on our way to Charlevoix. The water was frozen but it was still beautiful to see.,5
42,"Reviewed 7 February 2017
","Halstead, Kansas","Such an awesome place. We went to the top first, on the cable cars, and then came back to walk around in the lower area. The restaurant at the top wasn't open, which was the only drawback.",4
43,"Reviewed 5 February 2017
","New Castle, New Hampshire","We recommend that you arrive at the entrance at the top of the falls (you'll have to get good directions if you're driving for the first time in Quebec City, but it is easy enough), then walk across the foot\bridge that passes directly over the top of the 270-foot high falls that is half again the height of Niagara Falls....",5
44,"Reviewed 2 February 2017
","Morris Plains, New Jersey","Though it's not as grand as Niagara, Montormency Falls in Quebec as a lovely sight to see. After a few days in charming Quebec City, take an afternoon drive to Montormency and enjoy a sample of its natural beauty.",4
45,"Reviewed 1 February 2017
",NA,We just approached the falls from above but you can access from the bottom (parking might be better there).Stunning in winter but dress warmly. Wonderful views over QC.You don't need to spend a lot of time in winter.,5
46,"Reviewed 31 January 2017
",,"An amazing sight in the winter! Don't miss it, but do wear warm clothing!! We were here in the summer, but enjoyed it even more in the winter.",4
47,"Reviewed 30 January 2017
","Rochester, Michigan",The best way to experience a waterfall is to stand right on top of it. There is a suspended bridge built right on top of this water fall and you can literally stand on the center of the bridge and feel the power and magnificence of the waterfall. There is a trail that takes you down to a place that...,3
48,"Reviewed 30 January 2017
","Jefferson City, Missouri","We took a bus tour of the falls. There are several areas to view the falls, a climb to the top offers some lower views or if you can, keep on climbing. There is beautiful views from the bottom as well. PLUS, there is a zip line, didn't have the urge to do that. These falls are truly beautiful",5
49,"Reviewed 30 January 2017
",,"The falls were really beautiful, and seeing the climbers at the base of the falls was interesting. The parking was very expensive, however.",4
50,"Reviewed 29 January 2017
","Cheshire, United Kingdom","Went on a coach trip from Quebec city whilst staying for a week.Coach driver was brilliant, took us to the bottom of the falls to view from there and take photos, then drove to the top where we could walk over the bridge at the top of the falls,A long path to walk then some steps to climb...",5
51,"Reviewed 28 January 2017
","Watertown, New York",Just not as wide. It is a beautiful spectacular site. You can walk across the falls. Best if you don't fear heights. Great views. Across from Ile D'Orleans,4
