,0,1,2,3
0,"Reviewed 2 days ago
","Timmins, Canada","We visited Montreal, stayed downtown and visited several museums. We got a three day Museum/Transit pass which allowed us to visit up to 41 different museums and use the transit as many times as we wanted over the three days. It was very economical. The metro was conveniently located and fast. The Metro station was right across the street from...",5
1,"Reviewed 4 days ago
","Ottawa, Canada","As parking spaces are getting harder to fine and traffic in Mtl. is increasing the metro is a great way to travel. They have many different types of passes available check out their website stm.Great for children as an experince. If you have travelled to Paris ,London , Japan the metro lines are easy to figure out. Look for...",4
2,"Reviewed 1 week ago
","Pittsburgh, Pennsylvania, United States","Easy to use, easy to grasp, maps everywhere and very helpful agents. We bought a 3-day pass for $18ca and rode everywhere. Clean and comfortable. Saw no agressive behavior only politeness and Public Art.",5
3,"Reviewed 1 week ago
","Knoxville, United States","My only problem was actually finding the metro stations, which are rarely indicated by neighborhood signage and sometimes don't even have visible signs at the various entrances. Once found, the ticketing kiosks and navigation are fairly easy to comprehend and there are sometimes station agents that can help explain things.",4
4,"Reviewed 1 week ago
","Mississauga, Canada","If you take the metro you will be able to get around to most of Montreal. The service is generally good. The subway cars were generally clean, save for one that smelled like urine. Overall, a good experience.",4
5,"Reviewed 1 week ago
","Rexton, Canada","Avoid all the crazy driving in the city and immerse yourself in the city and how it gets around. A great experience once you get the hang of it. Be sure to grab a map at the ticket wicket. No need for a schedule, the next one is only a few minutes away. Hang onto your kids if they are...",5
6,"Reviewed 1 week ago
","Kennebunk, Maine","Our rental apartment was a 5 minute walk to the metro. We found it clean and easily navigable. We bought an unlimited pass for 3 days. It got us to whatever we wanted to visit in Montreal, it was usable even on the bus transport.",5
7,"Reviewed 1 week ago
","Montreal, Canada","Inexpensive, clean, safe and can take you anywhere in Montreal. Ticket machines may make you crazy when you try to understand them at first but it is a good way to visit the city. I live on the outskirts of the city and I myself take the metro to go downtown because it is more efficient than the car. Don't...",5
8,"Reviewed 1 week ago
","London, United Kingdom","Had to use the metro, found it reasonably easy as English speaking assistants are around to ask if a little confused.All okay ?",4
9,"Reviewed 2 weeks ago
","Kingston, Canada",The Metro is a quick and efficient way to get around Montreal. Tourists can buy various cards that provide discounts.,5
10,"Reviewed 3 weeks ago
","Montreal, Canada","there s no doubt thats faster than taking my car on rush hours ,u can reach the city in an hours from one side to another",5
11,"Reviewed 3 weeks ago
","Halifax, Canada","easy to access and very convenient for travelling the city, trains come frequently and easy to understand maps and stations.",4
12,"Reviewed 3 weeks ago
","Orlando, Florida",This is the most easiest way we found navigating through this beautiful city. The metro is fairly clean and the trains very much on time.,4
13,"Reviewed 3 weeks ago
","Madoc, Canada","Simply said: clean, efficient and on time! The staff are very helpful and great ambassadors for Montreal. You can move around the city without hassle or delays, the cost is also reasonable...a day pass for only $10. Great job Montreal.",5
14,"Reviewed 4 weeks ago
","Toronto, Canada","The Metro itself is very nice, and the rubber wheels still strike me, 50 years after I first used the Metro, as a great innovation. On the downside: the absence of escalators in many stations, and the absence of push buttons to open doors automatically are markers of a system that needs upgrading.",3
15,"Reviewed 4 weeks ago
","Seattle, Washington","The first metro line was opened in 1967 for the World's fair, and there are now 4 lines which zig-zag Montreal. There is NO metro to the airport and that's too bad because bus 747 (cute ) gets stuck in Montreal traffic and it makes for a very long trip. Some of the stations are old looking, water leaks and...",3
16,"Reviewed 4 weeks ago
","Winnipeg, Canada",there seems to be a Metro station within a few blocks of everything I wanted to do in Montreal. The lines are clearly marked and it is on different levels with color coding so easy to distinguish.,5
17,"Reviewed 4 weeks ago
","Clarksville, Tennessee","Although I walked to most of my attractions due to my hotel location, there were a few times that I had to depend on the Metro. Travel to Old Montreal, L'Oratorie Saint-Joseph du Mont-Royal and La Basilique Notre-Dame de Montreal are examples when this system was of great use.Ticket machines were readily available. On occasion when I had to...",4
18,"Reviewed 18 February 2017
","Appleton, Wisconsin","It's been over 15 years since I rode the London, Paris, Brussels, Rome subway so I can't remember quite so well, but compared to the NYC subway the Montreal subway was a smooth delight. Easy to get around and moved fast! Plus, the stations are decorated with beautiful unique artwork.",5
19,"Reviewed 15 February 2017
",,"Great system! Easy to use, and affordable....friendly staff that were able to speak in English well.Navigation was easy to figure out and the direction were clearly marked in French and English",4
20,"Reviewed 13 February 2017
","Montreal, Canada","Its the Metro and is the heart of montreal...that and bikes :P When it works, it's cheap, clean and fast...when it's down, its very very frustrating.",3
21,"Reviewed 6 February 2017
","Montreal, Canada","You can get around easily by subway in Montreal and it is safe at any time of the day. Taking the subway is an excellent way to people watch. From early Spring to late Fall, you can find public bikes at the exits of every station. Don't bother renting a car if you are staying downtown - parking can be...",5
22,"Reviewed 18 January 2017
",Vancouver,"Upside: range of fare options for your visit from single fare, day pass, and multi day passes. (3 bucks single fare).Clean stations, with some services ( food etc).However: LOTS OF STAIRS. MORE stairs. Have some stairs. The stations can be huge and confusing. Just follow the crowd. Upside, people are pretty helpful.From street level the stations aren't...",3
23,"Reviewed 17 January 2017
","Montreal, Canada","Easiest way to travel across the city, safe , relatively clean and fast . Some interesting artwork depending on the stations",5
24,"Reviewed 12 January 2017
","Montreal, Canada","We took the metro a few times. The stations are well distributed, the metro is clean and very often there are buses that can take you further.",5
25,"Reviewed 11 January 2017
","Saratoga, California","The Montreal Metro is easy to use, and not crowded even at 8:30 -9 am in the morning, presumably in the middle of the rush hours. It is also a great way of getting around when it is freezing outside.",5
26,"Reviewed 6 January 2017
","Greenfield, Massachusetts",Tourists...don't waste your money using cabs as your primary way to go places. The metro is a cost effective way to get around Montreal. Buy a 3 day ticket for 18 CAD and use the metro as often as you like. You can also ride the buses with the same ticket for no extra charge.I have been to many...,4
27,"Reviewed 5 January 2017
","Markham, Canada","The Metro is a great way to get around the city. They use a color coded system (easy to navigate). Take advantage of the All Day pass $10.00 or 3 day pass or there is an evening pass from 6pm-5am for $5.00. Go to any Information booth and get a map, determine where you would like to go & use...",4
28,"Reviewed 4 January 2017
","Sarasota, Florida",Great way to explore Montreal !! Many stations convenient to star attractions! Always felt safe -- never had long waits!!,4
29,"Reviewed 23 December 2016
","Montreal, Quebec, Canada",If you're a visitor to Montreal wanting to know more about our subway system (a.k.a Metro) here are some facts.Pros:- The trains come every 2 minutes on the busiest lines (green & orange) during rush hour.- The orange line is now slowly adding the new Azur state-of-the-art subway trains (to be completed by the end of 2018)....,3
30,"Reviewed 20 December 2016
",,"Montreal is a city to walk. If it's not cold or rainy, I highly recommend walking around. Distances are generally not that long, and you'll find a lot of interesting things in the way!That being said, when it's not possible or the distances are too long, the metro is clean, punctual and offers a great service. The stations are...",5
31,"Reviewed 20 December 2016
",montreal,"the montrel metro can take you any place you want. you can get a map showing the places to see in montreal. it is safe, and do not miss the underground shopping.",5
32,"Reviewed 17 December 2016
","Waddell, Arizona","Clean and very efficient. It is to me the best way to get around. ..and if you took the airport bus, your bus pass will be valid for the following 24 hrs. for unlimited rides on any of the metro and buses in the city.",5
33,"Reviewed 5 December 2016
","Niagara-on-the-Lake, Canada","We purchased a three-day pass which seemed the best deal for multiple use. Staff were friendly and quite helpful with directions. It's safe, clean and sometimes quite crowded.Lots of stairs and not many lifts which made it hard for me with a disability. there are four main lines with different colour codes. A good, fast, reliable way to get...",4
34,"Reviewed 29 November 2016
","Parsippany, New Jersey","This is one of the cleanest, most efficient subway systems I've ever ridden. Navigating the various lines is very easy, and there was a train every few minutes. It's a cheap way to travel around the city.",5
35,"Reviewed 26 November 2016
","Montreal, Canada","Don't drive a car. It could be very stressful due to all road construction/renovation... The metro is easy, fast, clean & comfortable (specially the new train on orange line?). With a minimum of walk you can go to any major landmark. Buy pass that suits your need (evening, family, 3days...) and you can combine with buses.Welcome!",5
36,"Reviewed 24 November 2016
","Cork, Ireland",This is a great way to see Montreal. You can get a 3 day pass and go everywhere for 18 dollars. We found it very useful to get to places like the Olympic village.,5
37,"Reviewed 24 November 2016
","Mexico City, Mexico","Montreal Metro is a convenient way to transport yourself from anywhere in Montreal, nice and affordable. Very Secure and Police is always looking around so it make it even safer! sometimes the metro stops but nothing too long. Always on time!!! you can rely on it to get around Montreal",5
38,"Reviewed 17 November 2016
","Kelowna, Canada","although I am an anglophone & the announcements are En Francais, I had no difficulties figuring out the well organized & color coded train lines. Compared to the sky train in Vancouver, this was much better organized, felt very safe, and was a great way to travel through the city.",5
39,"Reviewed 12 November 2016
","Montreal, Canada","Driving around Montreal has become a nightmare in recent years due to all the construction projects that are terrorizing neighbourhoods. Our nickname 'Coney Island' has no bearing to the famous NYC playground, but due to all the yellow construction cones that come out in May and stay until the snow comes in December. The Metro is now 50 years old,...",5
40,"Reviewed 12 November 2016
","Montreal, Canada","A great way to go around in a fast way without being affected by the weather. It's not too expensive, generally clean and safe. Often cool buskers playing music in the stations, now that's always fun. Just be ready for a lot of stairs, as escalators are not always present or do not always work and little stations have elevators....",4
41,"Reviewed 11 November 2016
","Miami, Florida",The metro is very efficient and clean. We used it to get to many places and it is also reasonable in price.,5
42,"Reviewed 10 November 2016
",montreal,Best way to visit Montreal nothing better then taking the Metro very easy to get around besides with all the traffic and construction stick to the Metro specially in Downtown Montreal ..,4
43,"Reviewed 8 November 2016
",Luxembourg,"We have been staying in Montreal for the past 10 days, although this is not our first visit. We like the metro because it is clean and efficient. Although the network is limited it connects the inner part of Montreal. We are always impressed on how clean the trains and stations are. The system has obviously been based on the...",4
44,"Reviewed 27 October 2016
","Allen, Texas","I have used all the major city subways in the United States (New York, Chicago, DC, Boston, etc..). I would have to rate this one higher than all of them. Clean, safe, efficient, fast, easy to find your bearings and locate the direction you need to go. If you are just staying a few days, you can get easily 1...",5
45,"Reviewed 25 October 2016
","Montreal, Canada",better for the tourists as most places we can also do/on foot. Also special rate different occassion,5
46,"Reviewed 23 October 2016
",,"The Montreal Metro system was inaugurated 50 years ago, in October 1966. The original 26 Metro stations that made up the network all had architectural designs that were different from one to another. This unique characteristic has been retained to the current 68 stations: each is a unique architectural experience. Some, of course, are better than others, but some are...",4
