,0,1,2,3
0,"Reviewed 4 days ago
","Minden, Nevada, United States","As you might expect at a visitors center, the staff was very outgoing and informative. They have a great selection of local products, too. Make this one of your first stops in Yellowknife.",5
1,"Reviewed 1 week ago
","Oakville, Canada",Has excellent information and what's even better is the certificate you can purchase along with the yellow knife pin which is free great people.,5
2,"Reviewed 1 week ago
",Hamilton,"We came here early in the morning. Warm greeting. Given 2 Yellowknife pins for free. Paid $3 and got our North of 60 certificate. This place believe it or not had the best prices for souviners. Lots of info, things to see. It should be one of your first stops and they help you with maps and suggestions of places...",4
3,"Reviewed 1 week ago
",Western Canada,I went there during my recent trip and it was well worth my time. the gentleman on the front counter was born in Yellowknife and was extremely knowledgeable on things to do. He gave me great tips on the Northern Lights but unfortunately I never saw them during my week there. It was just poor timing on my part!Be...,5
4,"Reviewed 1 week ago
",,"A must-go place for tourist in Yellowknife. The staff are very knowledgeable, giving you lots of information. You can ask them very thing about Yellowknife. Highly recommended!",5
5,"Reviewed 1 week ago
",,"Came to visitor centre at our arrival to get ideas and suggestions. Jessica, Jordan and Wylie were amazing and very helpful. Got lots of great suggestion. They were friendly and took the time to answer all our questions. Great service.",5
6,"Reviewed 1 week ago
","Fremont, California",Super helpful and welcoming.They give you a welcome gift. Then they go through all the things you can do in Yellowknife according to your budget and again the Canadian hospitality at its best.They have free wifi and computers for you to use.So much information!Thank you!,5
7,"Reviewed 2 weeks ago
","Brussels, Belgium",I stayed in Yellowknife 1 month and spend lots of time at the visitor center. All the team is really friendly and they give really good advice on things to do around Yellowknife but also know about aboriginal culture.Jordan helped me a lot with the aurora borealis viewing and Jessica knows everything on the activities around Yellowknife.Make sure...,5
8,"Reviewed 2 weeks ago
","London, United Kingdom","We were advised to pay a visit to the Visitors' Center at the beginning of our trip, and it certainly was a good idea. Tourism centers vary in use, but these guys were very warm and gave a nice introduction to Yellowknife. Wiley and Jessica were very helpful and friendly!P.S. There's a nice free souvenir (Yellowknife pin) to pick...",4
9,"Reviewed 2 weeks ago
","Vancouver, Canada","I was greeted politely by two receptionists, who were both eager to help me. Jessica helped me with not only a parking permit (HIGHLY recommended for any drivers, as it's free!), but also gave me a pin, Snowking Festival postcard, and some recommendations on hikes to see and roads to take. Definitely make this one of your first stops to...",5
