,0,1,2,3
0,"Reviewed 2 days ago
","Montreal, Canada","May be a nice idea to take the guided tour , as the information provided is astounding .If not the visuals are breathtaking ....a must see....",5
1,"Reviewed 3 days ago
",,A absolutely beautiful church with tremendous history. The organist happened to be there when we visited and the church organ was something to remember for a life time.,5
2,"Reviewed 3 days ago
",,"This was a second visit. Despite the crowd, foot traffic flowed well and people were reasonably respectful...it is a church, after all.",4
3,"Reviewed 4 days ago
","London, Ontario, Canada","I went in with my two boys (9 and 11) and did sort of a self-guided tour. It would have been helpful to have a little more information posted about the church and Catholicism but maybe we weren't allowed to ask questions....the people working there were pretty grumpy. If you ignored them, the church was visually stunning and an impressive...",5
4,"Reviewed 4 days ago
",,"The cost of $6 per adult is well worth being able to walk through this beautiful cathedral! The architecture, colors and ornate interior are beyond anything I've seen! A definite must see on Montreal!",5
5,"Reviewed 4 days ago
",Canada,I haven't visited the Basilica for a number of years but was interested to see what momentfactory would do with the interior. Bought tickets on line . They allow entrance at 5:45 for the 6 0'clock show. You can spend about 15 minutes walking around the basilica before the show starts although most people went to sit down. The light...,5
6,"Reviewed 4 days ago
","Wichita Falls, Texas",There are no words to give this place justice. Amazing. You will feel very spiritual being there. We were there with a high school choir group who sang and sounding fabulous with their voices in such a lovely place. We were there with the snow blizzard and all time low of -38 degrees. The artwork and detail was wonderful.,5
7,"Reviewed 5 days ago
",,"Dont hesitate to invest the 6 dollars entree, it is worthwile. Where the outside resembles tge ND of Paris tge interior does not at all, ir surprises in warmth beauty and rich symbolic arts. The lighting inside is very special due to tge roofceiling paintings and the colored glass.An absolute must see",5
8,"Reviewed 5 days ago
","Houston, Texas","There is a fee to enter the church and it's beautiful inside! The boutique shop is located outside of the church entrance and it had a large variety of charms, ornaments and rosary beads.",5
9,"Reviewed 5 days ago
",,"Amazing landmark with an amazing architecture! I was surprised that I had to pay a ticket to enter a church. Other than paying to get in the church, it is just beautiful and divine.",5
10,"Reviewed 5 days ago
","Fort Mill, South Carolina","I have travelled to Europe many times, and have seen the Sistine Chapel. While the Notre-Dame Basilica may not quite reach the level of the great cathedrals of Rome, it is certainly an outstanding and beautiful old church and is well worth the visit. We also attend Mass here, which was in French, but we knew what was going on...",5
11,"Reviewed 6 days ago
",CT,"We really were lucky because we arrived just in time for the English tour - most interesting. And, then a string instrument group from Medfield, MA played! They were incredible! An impromptu concert for us ~ made the visit magical!",5
12,"Reviewed 1 week ago
","Chicago, IL",Beautiful and calming. But what baffles me is why do they charge $6 to enter? Shocking. Have been all over the world and this is a first time. But if you go after 5pm its free.,5
