,0,1,2,3
0,"Reviewed 2 days ago
","Durham, Canada","Horse and carriage ride around the old city and fort is spectacular. Cannons, historic battle, sites and lots, of history.",5
1,"Reviewed 3 days ago
",,Always my go to when I want a change of scenery. Always fun to be able to speak and hear French. Looking forward to the next weekend.,5
2,"Reviewed 4 days ago
","Dieppe, Canada","Just a short uphill walking distance from Place-d'Armes subway station, Old Montreal is a delight to discover. The architecture is beautiful, the history fascinating, and a world of discovery awaits those who wander through its streets. An interesting little street I found is Ruelle Chagouamigon. It is situated between Saint-Paul, de la Capitale, Place Royal and Saint-François-Xavier streets. It refers...",5
3,"Reviewed 4 days ago
","Ontario, Canada","Interesting history, so many sites to see. Great place for walking and exploring. So many fun stores and views!",5
4,"Reviewed 4 days ago
",,"You feel like you are walking through the streets of a city in France! The buildings look very much like the old style you will see in Paris. The shop owners are very friendly and helpful and speak both English or french. Lots of restaurants, cafes, coffee shops, and bars! Well worth the walk from downtown!",5
5,"Reviewed 5 days ago
",,"If you travel to Montreal, take a walk in this area. Fills like you're in Europe. Beautiful architecture, nice places and of course Saint Lawrence River.",5
6,"Reviewed 5 days ago
","Montreal, Canada","Montreal is a great mix of European and North-American cultures. This is the place to see where it all started. Nice architecture, many good restaurants, bordered by the Old Port, performers during summer, caricaturists, bike and roller blades rentals, horse carriages... Makes you feel like you are in Europe. Everything is walkable, easy access to metro stations.",5
7,"Reviewed 6 days ago
","Maple, Canada","Even in the winter, thus place is breathtaking. Beautiful architecture, monuments and arts. Walking around seeing different cafes, stores and fun stuff. Great food.",5
8,"Reviewed 6 days ago
",CT,"We love just wandering the streets! Museums, shops and fun places to grab a bite or dine. The whole area is a delight.",5
9,"Reviewed 6 days ago
","St. John's, Canada","Every visit to Montreal must include time spent exploring old Montreal. There is so much to enjoy, even in March when the sun was shining but the snow was still on the ground. In Old Montreal you will find historical buildings with quaint shops and restaurants...and merchants happy to have you come in to explore. Spend some time in the...",5
10,"Reviewed 6 days ago
",,"I took my three daughters over the March Break and we loved the old world charm of Old Montreal! The people were incredibly friendly and despite the very cold weather, the food was great and the captivating history and chapels kept us entertained. On the REALLY cold days we went shopping in the underground city (far overrated) but nice for...",5
11,"Reviewed 1 week ago
","Chicago, IL",Its little France. All streets just like Europe and charmingly romantic. I would stay in hotels in this area. Everything is walking distance.,5
12,"Reviewed 1 week ago
","Adirondacks, New York",We came after the snow storm and it was difficult to walk on sidewalks. Otherwise it's a beautiful area of the city and worth exploring.,4
13,"Reviewed 1 week ago
",,"Walking in the streets of old Montreal is the most amazing experience. Explore it in the morning and in the evening. The history comes alive in the evening when you use a free app to guide you through your magical walking tour. You won't be able to stop your camera from shouting the most magnificent pictures of the doors, buildings...",5
14,"Reviewed 1 week ago
","Kelowna, Canada","Lovely area of Montreal with interesting old buildings, museums and lots of top class resteraunts. Also quite a few interesting shops, some more touristy than others. Plus a shop that sells a huge range of Christmas items all year round which was a bit unique.We visited while Montreal was having a huge blizzard but it was still great fun....",5
15,"Reviewed 1 week ago
",,"Old Montréal is amazing. Like walking through Europe. The shops and restaurants are great. So much to do, especially in the summer. I highly recommend you check it out.",5
16,"Reviewed 1 week ago
","Stockton, California","This was our first visit to Montreal, Quebec. What a beautiful city. It's filled with historical sites and modern flair. You can walk almost everywhere. Love it.",5
17,"Reviewed 1 week ago
","Great Barrington, Massachusetts","Old Montreal has great charm and character. Of the areas we explored during our weeklong stay, it was most definitely the nicest, with great restaurants and shops. The science museum is Also right there as is Notre Dame.",5
18,"Reviewed 1 week ago
",,"A visit to Vieux-Montreal or Old Montreal is a must on any trip to the city. Enjoy the Gallic atmosphere of Place d'Armes, the square where you have full view of the Basilique de Notre Dame de Montreal. Also opposite the church be sure to visit the Banque de Montreal museum showing the history of Canada's banking system and money.",4
19,"Reviewed 1 week ago
",Leicester,"It was incredibly snowy when we visited so much was closed but it was still a great place to spend an afternoon with shops, bars, great buildings and nice streets. A must see in Montreal.",4
20,"Reviewed 1 week ago
","Knoxville, TN","We stayed at La Petit Hotel for a night and walked around Old Montreal. Sadly, we had a snowstorm, so we didn't get to see as much as we hoped (which is why 4 stars instead of 5...What we saw was good, but not sure about the whole area!)We walked to Note Dame Basilica and to the underground city....",5
21,"Reviewed 1 week ago
","Corunna, Canada","I don't really have to fully review this... there is only one word - beautiful. It along with Quebec City are the only REAL historic Canadian places we have in this beautiful country that can compare to Europe and the world at large.Cobblestone streets, ancient churches, banks, architecture and a gastronomy mecca, this place is to die for!Do...",5
22,"Reviewed 1 week ago
","Sydney, Australia","I went to Old Montreal with my dad and my partner and after 4 nights there I have to say I left a bit disappointed. There's nothing negative I could say about Montreal in general, I think it's a beautiful place and there're great places to eat and to see. Unfortunately I think we thought it was going to be...",3
