,0,1,2,3
0,"Reviewed 2 days ago
","Durham, Canada","Street art, funky jewelery and art shops, tasty food. Always love old Quebec City great to visit lots of fun.",4
1,"Reviewed 2 days ago
",Ontario,"One of the most beautiful cities I have ever visited. Cobblestone streets. Shops, restaurants and history. Went in the winter, so we had to carefully go up and downhill. It should be beautiful in the summer.",5
2,"Reviewed 2 days ago
","Manchester, New Hampshire",Spend time here it is a great walking trip we ate at a outside cafe and people watched. Great way to spend a whole day,5
3,"Reviewed 4 days ago
","Ontario, Canada",Great area and history. Beautiful views and quaint cobblestone streets. Lots of fun shops and restaurants!,5
4,"Reviewed 4 days ago
",,Perfect vacation for a quick weekend visit. Stay two nights max and enjoy the amazing restaurants that Old Quebec has to offer!,5
5,"Reviewed 6 days ago
",Vermont,"The vibe here is so cool--old world with upbeat hipster. Restaurants everywhere with very good trendy, fresh food. Love the vibe in this little city.",5
6,"Reviewed 1 week ago
","Uxbridge, Canada",It's like a little piece of France in Canada. Beautiful old buildings and beautiful architecture every where. The ambiance and French flavour is lovely. A nice change from small town ontario! Lots of nice little boutiques and restaurants to spend quality time in.,4
7,"Reviewed 1 week ago
",,I wish i had a scooter... My knees hurt.. But so magical.. Bus tour.. Shopping and adorable boutiques,5
8,"Reviewed 1 week ago
",,"A journey back in time, in a dream and magical experience! When in town, do not forget to take a tour in a ""calèche""; this will be the best sight-seeing you have around town.",5
9,"Reviewed 1 week ago
","Edmonton, Canada","In town for work and had to check out old Quebec, and I'm really glad I did. The streets are wonderful, there are so many cool stores, restaurants and shops to check out and it was great getting to learn about the history of old Quebec. I'm hopeful I can come back some day and see the rest of the...",5
10,"Reviewed 1 week ago
","Sudbury, Massachusetts","We absolutely loved our trip to Old Quebec. Warm, inviting, fascinating, charming. There was so much to see and do. Such a large area to explore and we found it all wonderful. The history is on display everywhere you go. Everyone was so helpful and friendly. And the food was terrific. We cant wait to return and visit and explore...",5
11,"Reviewed 1 week ago
","Salt Lake City, Utah","Unlike Montreal, where the sheer size of the city extinguishes the atmosphere of authentic old world charm, this city retains the pleasure of Old World village life, and has not diminished since we were last here 12 years ago. Friendly to Americans and proudly French, I say congratulations!",5
12,"Reviewed 1 week ago
","Quebec City, Canada","Wonderful place full of sites , restaurant, museums and cafes…Very popular in vacation seasons so book ahead",5
13,"Reviewed 1 week ago
","Kingston, Ontario","We love visiting Quebec, especially the Old City. Great sight-seeing, wonderful accommodations and we have never found a bad restaurant/bistro/cafe yet. Always a wonderful culinary experience!!",5
14,"Reviewed 1 week ago
","Michigan Center, Michigan","We were here in August so the summer crowds had already left. The place is amazing, beautiful, romantic!Take your time to get lost through the old streets, don't rush!",5
15,"Reviewed 1 week ago
","Vancouver, Canada","Old Quebec is a beautiful city to visit. We were on a New England cruise and were able to walk a short distance to visit. It has wonderful shops, great places to eat. There are many artistic shops to see - particularly enjoyed the glass-blowing shop. Wear good footwear.",5
16,"Reviewed 1 week ago
","Danville, Kentucky, United States","Had a blast here. The history, the food and the sights are wonderful.Make a good romantic get away.Old Quebec is a definite bucket list location.",5
17,"Reviewed 1 week ago
",,"Old Quebec is such a beautiful place. The narrow cobblestone roads, lined with small shops and great intimate restaurants, makes you feel like your in the heart of a small town somewhere in Europe. There is so much to do and see in old Quebec, so make sure you take a comfortable pair of shoes. We had a great time...",5
18,"Reviewed 1 week ago
",Johannesburg,We had a ton of fun exploring old Quebec popping in me out of shops to warm up!! Lots of cute boutiques. Recommend,5
19,"Reviewed 1 week ago
","London, United Kingdom",I highly recommend a stroll around this beautiful city! The views are stunning over the river. The streets are practically unchanged for hundereds of years and aren't spoilt with neon signs.There really is an old feel to this place.A must see and one for the bucket list.,5
20,"Reviewed 1 week ago
","London, Canada","If you're a bit of a nostalgist or history buff, you'll love this place. Quaint shops, beautiful old architecture, cobblestone streets. Be careful, cars still use those narrow streets! Some of my pictures include Old Quebec from within the Fort walls.The people are very friendly. And even if your French is not very good (or non-existent), the people will...",5
21,"Reviewed 1 week ago
","Quebec City, Canada","Being from Quebec city, i offer you the pleasure of Europe right in your backyard, one of the oldest cities in North America, over 400 yrs old, Old Quebec is a fortified city with the Chateau Frontenac overlooking the St-Lawrence seaway, Romantic, ULTRA SAFE city, a city to visit for all ages . Quebec is beautiful in both winter and...",5
22,"Reviewed 1 week ago
",Sheffield,"Well worth a wander around the old town with quaint shops and houses, and beautiful squares. Hilly in places and cobbled streets.",4
23,"Reviewed 1 week ago
","Montreal, Canada",Very cute and interesting. Like a piece of the past. The river is so intriguing. A friendly setup and great restaurants.,4
24,"Reviewed 1 week ago
","Lancaster, Pennsylvania","Plan to spend a couple of hours minimum exploring Old Quebec. It is quaint, charming, full of great shops, and a lot of fun. Also good for those liking to take pictures - so much to capture digitally.",5
25,"Reviewed 1 week ago
",,"Best place to walk together, visit interesting City historic places, stop at local bistros, quaint hotels, street vendors and shows at every corner!",5
26,"Reviewed 1 week ago
","Toronto, Canada","Old Quebec offers for those who've not been over the pond a taste of the old towns you might encounter in countries across Europe, but with a French Canadian history and culture. Well worth a day/day and half to explore and equally enjoyable both winter and summer.",4
27,"Reviewed 1 week ago
","Moncton, NB","I really enjoy walking around Old Quebec, though when it's -30 degrees outside, it hurts your face to walk around.",5
28,"Reviewed 2 weeks ago
",,"You can enjoy walking in the lovely streets of Old Quebec. Shops, cafes, and restaurants are all around.",4
29,"Reviewed 2 weeks ago
","Portland, Maine","I recently visited here for my second time in 19 years. I was on an all-inclusive bus tour from Maine with two dear friends, and we stayed at the Chateau Frontenac. Last visit I stayed at the Hilton Hotel, just outside the old walled city. The city in the oldest in North America and was founded in 1608: it is...",4
30,"Reviewed 2 weeks ago
","Moncton, Canada",This is a must stop for anyone who's travelling and like sight-seeing. This place is very charming! Lot's of stops and restaurants to try!,5
31,"Reviewed 2 weeks ago
","Helsinki, Finland","When i walked on the street, it seems every walls tells the history and story. Old buildings really charming.",5
32,"Reviewed 2 weeks ago
",,"So we where in Québec City for a couple of days and we went up to the château Frontenac when we saw that during the winter, that that part of the old quebec was un-acceciable for weelchairs.",4
33,"Reviewed 2 weeks ago
","Toronto, Canada","If you haven't had the chance to travel to France and/or want to re-live French experience, this is the place to go. The streets are full of history, shops and restaurants that make you feel you are in France. People are extremely friendly and they speak English and don't get mad at you if you speak in English to them...",5
34,"Reviewed 2 weeks ago
","calgary, AB","Like stepping back in time. Well preserved and a lot larger than I remember when I was there as a kid. Fun looking at all the architecture and shops. If you don't speak French, it is not like the old days, you can get by very well with English.",5
35,"Reviewed 2 weeks ago
","Silver Springs, New York","We took a guided walking tour, which I greatly recommend if you don't know the local history. Was very interesting and the views were great.",5
36,"Reviewed 3 weeks ago
","Fredericton, N.B.","Beautiful area, rich in history, great food, and culture. People here are friendly, and very accommodating to tourists, I will be back.",5
37,"Reviewed 3 weeks ago
",,"The city has a vary European charm, even though locals speak deformed french you can easily get by (not a lot of English to be heard), Great food and a nice walk around the walls.",5
38,"Reviewed 3 weeks ago
","New York City, New York","Architecture is amazing, winter is super cold and pretty much everything is closed by 11 bit path the trip.",5
39,"Reviewed 3 weeks ago
","Bonavista, Canada","I absolutely love Old Quebec. The buildings, streets, restaurants, shopping and my favorite the Christmas shop. The last two visits were during winter so I am so looking forward to our trip in June. I am so happy that our buying group picked this beautiful city to have our tradeshow and can't wait to visit again. We always stay within...",5
