,0,1,2,3
0,"Reviewed 1 week ago
",Western Canada,This was a neat experience even at minus 30. There are all sorts of people walking around that are properly dressed. It is a little spread out but not hard to navigate. I really enjoyed the one way road at the far end of Old Town but you will need a car to see this part.,5
1,"Reviewed 3 weeks ago
",,"We went to two of the Art Galleries that were really nice--Old Town and Gallery of the Midnight Sun. They are next to each other. Nice art work and nice elegant souvenirs were there. We walked a little farther on down the road and went to a glass workshop at the Old Town Glassworks. We were able to sandblast ""etch""...",5
2,"Reviewed 4 weeks ago
","Hermosa Beach, California","We were there later in the day so not much was open. We were surprised how spread out it was... in cold weather we weren't up for a long walk, but even a short walk gave us a taste of the funky vibe here.",4
3,"Reviewed 4 weeks ago
","Charlottetown, Canada","While strolling around Old Town in Yellowknife, you will see many different colors of homes, some people call it Rainbow Valley! Very interesting place to visit!",5
4,"Reviewed 16 January 2017
","Singapore, Singapore",Have good tourist attractions. Down to Earth Gallery and Gallery of the Midnight Sun give information of the old town from the early days to present.Art and crafts Yellowknife available at the galleries.,4
5,"Reviewed 11 November 2016
","Toronto, Canada",The road is winding and getting on to Latham Island which is part of Old Town shows a prettier part of Old Town. The variety of home styles is interesting. Some of the houses are perched up on high rocks. If you go far enough along the road on Latham Island you reach D'elo which is a first nation neighbourhood....,5
6,"Reviewed 10 November 2016
",,"Great, lots to see, shops very interesting even if not buying, the outdoor store is worth a visit and the terrain is suitable for all to walk.",4
7,"Reviewed 12 October 2016
","vancouver, canada",The views of the lake are great from around Old Town and it has charming character with whimsical houses. Everything is an easy 20 minute walk away.,5
8,"Reviewed 18 September 2016
",Manila Philippines,"We stayed in Bayside B&B in Old town. And it was a good choice. The town have some great views.. of the Great Slave lake and even of Downtown from the Pilot's monument. There are restaurants with great foods, and some art galleries in this place",4
9,"Reviewed 17 September 2016
","West Palm Beach, Florida","Old Town is an eclectic mix of businesses in old buildings as well as modern residences. Be careful walking as streets, etc. are uneven. We went to specific stores, etc. rather than just wander.",3
10,"Reviewed 11 September 2016
","Lower Sackville, Canada","This is an area of the historic Yellowknife that you will want to explore on foot. Easy to walk around. Can drive, but mostly one-way roads, with limited parking. We kept going back to enjoy the food and shopping and scenery and interesting architecture.",5
11,"Reviewed 7 September 2016
",saskatoon,We loved the view. So many different ships and boats. Various little shops. We went to the rock view and the view was amazing. We could see old town quite well from there,5
12,"Reviewed 29 August 2016
","Montreal, Canada","so many things to do. coffee shops, glass shops and galleries with fur shops along the way. also, the views of the lake are breathtaking",5
13,"Reviewed 28 August 2016
","Ontario, Canada","Worth the time spent strolling through. I went twice, as the first time I went was on sunday, and not too much was open. It was much better the second time, and I had an app on my phone that talked about the historic sites there.",4
14,"Reviewed 24 August 2016
","Courtenay, Canada","trundled down from (new) town, the pub we were hoping to have lunch at was closed (?) but the shops and scenery were great. Especially the lookout and the hardware store.",4
15,"Reviewed 10 August 2016
","Peace River, Canada","A great place to unwind and get a feel of what it was like to be in the far North years ago. Be sure to eat at the ""Wildcat"". Also check out the Float planes at the water front. Pretty spot.",4
16,"Reviewed 24 July 2016
","Windsor, Canada",Old town has a charm about it. Lots of history and very quaint. Many delightful restaurants to fill your tummy. There is a wonderful brew pub with very delicious beer and very friendly staff,4
17,"Reviewed 18 July 2016
","Toronto, Canada",Walking through old town you can really get a feel for what life must have been like 100 years ago in the north. You can get an appreciation for what it must have been like to live in a small wooden structure year round right next to life today. Look for the Ragged A** road. There are a number of...,5
18,"Reviewed 18 July 2016
","St. Catharines, Canada",I really enjoyed walking through Old Town each time I have gone. The large shops are great (be sure you are buying local if you want a true souvenir). However I really enjoyed the small shops (some out of homes) and found many handmade local treasures. View from the top of the rock is quite spectacular!,5
19,"Reviewed 18 July 2016
","Edmonton, Canada","There are docks, colourful buildings, historical sites, and parks all over Old Town. The most memorable site was the residential buildings all coloured up.",5
20,"Reviewed 16 July 2016
",Toronto,"So many eclectic places to see, eat or do things at. A little something for all. Some really interesting history for the area.",4
21,"Reviewed 5 July 2016
","Toronto, Canada","Old Town is good for walking and chilling, but it looks pretty run down. It definitely needs a coat of paint or two, and it would be nice if someone can run a lawn mower and perhaps plant some flowers --- just to make it look a little prettier.",3
22,"Reviewed 26 June 2016
",,A very cool area. Charming at times. We rated all the restaurants 3 or 4 stars. Climbing up to the monument is a must--amazing views of Back Bay and Yellowknife/Houseboat Bay.,4
23,"Reviewed 23 June 2016
","White Rock, Canada","Visiting this area gives a sense of life when the community was developing. There are spots for food and beverage, the harbor, interesting old buildings and some newer homes perched over the harbor. There are some shops with local art and crafts.",5
24,"Reviewed 22 June 2016
","Grande Prairie, Canada","Yellowknife has limited activities and we were here to celebrate the longest day of the year. June 20 was super cool and the sun was up all night. Yellowknife is separated into three separate district, Old town, Newtown, and uptown.Old town is where the city of Yellowknife was born. Super important in the historical history of the city. Old...",4
25,"Reviewed 15 June 2016
","Lloydminster, Canada","Lots to see and do in Old Town. The restaurants were awesome. The views around the lake are amazing. We had a great time wandering around, eating and drinking in Old Town.",5
26,"Reviewed 1 June 2016
","Fernie, Canada","I did the walking tour of Old Town recently and had an amazing day. I went alone, so you don't have to worry about problems. I wandered around and looked at local art, had breakfast, and saw a lot of very interesting things. Bought gifts and sat on benches and had a wonderful day.Very relaxing,",5
27,"Reviewed 27 May 2016
","Yellowknife, Canada","Loads of artists, a real enclave- a must-see when you're in Yellowknife! There are plenty of shops with an eclectic assortment of goods.",5
28,"Reviewed 24 May 2016
",,Old town is very historical and very rustic. No matter where you come from you need to go to old town. You need to feel the beautiful history of Yellowknife. Once you cross the bridge from New town to old town you feel like you've stepped back time. But don't get fooled by the beautiful new homes built on Canadian...,5
29,"Reviewed 19 May 2016
","New York City, New York","after5 days searching the aurora, we moved to this old town area , it is more city look than our first super 8 hotel area. The taxi costed me 18'canadian dollars.",5
30,"Reviewed 4 May 2016
",California,"We spent the morning in Old Town. We had breakfast, wandered a few of the shops and galleries and really enjoyed all the nice, friendly folks we met. Very nice way to spend a few hours!",5
31,"Reviewed 3 May 2016
",,"Amazing friendly people,wonderful galleries,Bullocks Bistroe and Dancing Moose were super places to dine.Especially loved our visit with Laura,Dannyand their cat Silver!The Wildcat was not open till the spring...sorry to have missed the heritage site!",5
32,"Reviewed 26 April 2016
","Regina, Canada",Old town is my favorite part of yellowknife. Just to wander around. Very cool architecture and great views. A couple of cool shops there as well,5
33,"Reviewed 13 April 2016
","Toronto, Canada","Drive on the ice road, see the Northern Lights, Eat at Bullocks, Buy art at the Midnight Sun Gallery and the Glass Works.",5
34,"Reviewed 8 April 2016
","Chicago, Illinois",buy your Canada Goose coats there. eat at Bullock's or Dancing Moose Cafe. browse gift shops. watch planes take off by Air Tindi. visit the ice castle. and so on..,5
35,"Reviewed 8 April 2016
","Medicine Hat, Canada",Historic area just outside of the downtown with shops and galleries to wander through. Love this part of YK,5
36,"Reviewed 30 March 2016
","Calgary, Canada","A very charming and historical area of Yellowknife, full of local shops, galleries, restaurants and breweries. Take a walk, cruise some shops and have a beer, it will be time well spent. Also, the Dettah ice road starts near the old town, do not miss it.",5
37,"Reviewed 26 March 2016
","Ottawa, Canada","So the reviews are really like it is , theres some nice people and good places but then theres others that are totally not , so for this its a average mark, sorry",3
38,"Reviewed 22 March 2016
","Toronto, Canada","You will visit Old town. Little boutiques, cool restaurants, the Pilots Mounment and views of the bays",5
39,"Reviewed 22 March 2016
","Singapore, Singapore",Yellowknife old town is really old town. This town is just a couple of streets and could finished it within like half a day of walking around it. It was really pleasant to walk around:,4
40,"Reviewed 18 March 2016
","Bucks County, PA","Quirky and eclectic, with lots of little streets to wander around and many shops to stop into, plus the only brewery in town, and the best restaurant. Easy to walk out onto the lake from here as well",5
41,"Reviewed 17 March 2016
",,Small scale but a fun place for kids. We went there in a sunny afternoon and took a lot of good pictures. Only costs $5 per person.,4
42,"Reviewed 16 March 2016
","Sugar Land, Texas",Old Town Yellowknife offers the best eats and shopping experiences. Especially all the local artists items and collectables.,4
43,"Reviewed 15 March 2016
",Miami,"Yellowknife is a town with a lot of history. The first thing you do is go visit the Visitor Center and get your information before anything. You have so many difference nationality living there, I was surprise to find that they have really good places to eat. They even have their own brewery! Planning on going in the summer.",4
44,"Reviewed 15 March 2016
","Orillia, Canada",Old town is a beautiful part of Yellowknife. There are many things to see and many buildings to explore in the old town. It's also in a great location and you're surrounded by water and the lake on both sides of this peninsula. It is certainly worth the trip and the walk to see This Magnificent part of town.,5
45,"Reviewed 17 February 2016
","Calgary, Canada",We downloaded the Balado walking tour which was excellent - it was like having a personal guide that made for a wonderful and fascinating few hours. I think there are other good guides. It really helps understand Old Town and appreciate it much more.This was very worthwhile and a highlight of the visit to Yellowknife.,5
46,"Reviewed 13 February 2016
","Winnipeg, Canada","The Old Town of Yellowknife is the historical hub and the social heartbeat of this quirky and fascinating community. The buildings date back from the 1930s, which may not sound impressive, but given that they are mostly wooden miners' shacks, it is remarkable.In the winter, one can drive out on the ice and experience an ""ice road"", marvel at...",5
47,"Reviewed 13 February 2016
",,"It keeps traditional YK style. Very lovely small village you have to go. The most of sweet shops are here, and you will love there.",5
48,"Reviewed 11 February 2016
",minnesota,"a few nice and different little places to find native souvenirs and such, some hand crafted things. a nice little piece of culture history. Interesting buildings and area, some nice views of the lake.",5
49,"Reviewed 31 January 2016
","Ottawa, Canada",A short walk from the main business section of town. Some interesting old buildings along with new builds. On the lake and some great views. Yacht club gives a good vantage point. A new brewery and restaurant is a possible highlight although I didn't go in.,3
50,"Reviewed 19 January 2016
","Victoria, Canada","We did a drive through and around the town. Stopped by a few places. It is an interesting place, but nothing spectacular.The ice road next to it on the frozen Great Slave Lake we found it more exciting and interesting.",3
51,"Reviewed 16 January 2016
","Seoul, South Korea","Old town is just awesome. They have small stores along the way where you can buy souvenir. Also it's quiet and beautiful. There's also an access point to frozen lake, which is fun to walk on.",5
52,"Reviewed 31 December 2015
","Inuvik, Canada","I had heard of Old Town and was excited to go, but I wish I didn't. You could see all the signs that during tourist season it might be a happening place, but in October it was a complete waste of time. I spent three hours walking around and don't believe I missed 'the exciting bit' One nice gallery (Midnight...",2
53,"Reviewed 20 December 2015
","Adelaide, Australia","We booked an BnB for a week in the Old town. It is your best way to experience life on ice lake, the old building and sights around the area.Taxi to main dining areas and shopping is between $7 - $13 depending on where in Yellowknife.",5
54,"Reviewed 17 December 2015
","Vancouver, Canada","Not much to see except Pilot's monument. That place is worthy to see, you can see the whole town from there.",3
55,"Reviewed 11 December 2015
","Victoria, Canada","well if you are in Yellowknife, it is worth having a look - certainly better than wandering around downtown. But despite the few interesting sights (some of the homes, houseboats, float planes) - the main road is mostly a desolate collection of industrial buildings, many of which look empty or abandoned. Would much rather spend my time walking around the...",2
56,"Reviewed 22 November 2015
","Meaford, Canada","There are craft and gift shops, but walk south to Ragged A?? (can't use real name but it is what you think) Road and beyond, toward Great Slave Lake, and look at the houseboats. Then walk around the neighbourhood and look at the one room mining shacks that are still tenanted by people living off the grid - no running...",4
57,"Reviewed 13 November 2015
",,If you're going to Yellowknife be sure to tour around Old Town! There are so many neat houses and cool shops and restaurants to see!,5
58,"Reviewed 20 October 2015
","Westmount, Quebec","Old town was OK, but as we were there in the shoulder season a few places were closed. While it was a comfortable walk around the town, the cafes were all closed, there was little to see or do other than go into the gift shops, or go to the Glassworks. Also, Old Town isn`t well publicised, so while I...",3
59,"Reviewed 9 October 2015
","Toronto, Canada","The Old Town is very different from the YellowKnife downtown. It is a unique experience. There are some arts and crafts stores for shopping, then stop-by the Bullocks for dinner. It is quite windy there.",4
60,"Reviewed 8 October 2015
","Toronto, Canada",This may be a little out of the way but it's worth the cab ride. There are several highly rated restaurants in the area. We liked Bullock's Bistro so much we went twice in 2 days!Don't miss Pilot's Monument near Bullock's. It's a healthy climb up some steps and offers a wonderful view of the waterfront. Great photo opps!...,4
61,"Reviewed 17 September 2015
","Western Australia, Australia","The houseboats are fun to admire, you can check out the sea planes, there are some great novelty eateries and art galleries and it's a nice walk. Some of the cafes close early (around 4pm) so I'd suggest a midday visit.",5
62,"Reviewed 16 September 2015
","Thunder Bay, Canada","We stayed at a B&B in old town and walked everywhere. Lots to see, lots of history, galleries, shops and a few places to eat. Got to take our picture next to the Ragged A Road sign ( trip advisor wouldn't let me use the full A word) and got to see some of the old miners shacks. Lots of...",5
63,"Reviewed 15 September 2015
","Port Coquitlam, Canada","old shops, pier and dock where houseboats or going out for fishing trip; access to Great Slave Lake. Lots of little shops around. If you come in winter time, this is where you can enter to the ice castle.",4
64,"Reviewed 15 September 2015
",Valencia,"We visited Old town during both rain & Shine. You have to visit Old Town if you want to eat @ Bullocks, Great Fish Dinners, we ate there twice. The Dancing Moose is also in Old Town, very good for Fish & Chips. We also toured Yellowknife on a Float Plane which takes off from Old Town. Some unique homes...",4
65,"Reviewed 14 September 2015
",,"Parking isn't always easy in this area, so best way to explore is by walking in the area, enjoying the view of the colorful harbour, stopping in the shops & restaurants, galleries in the area.",4
66,"Reviewed 13 September 2015
","Fort Worth, Texas","Our hotel was up in the New Town area, and people told us to walk down to Old Town. It was about a 20-25 min walk down there (which mean uphill back to New Town). In fairness, it was a holiday, so not everything was open -- but I was not overly impressed with Old Town. In fact, I'm not...",3
67,"Reviewed 10 September 2015
","Yellowknife, Canada","I have lived in Yellowknife for more than 50 years. I have seen many, many changes there in my life time! It still holds a uniqueness that only Yellowknife could boast of. Although it is advertised as historic I think that this is not as much important as is its unique construction of home and home town characteristics. Many historic...",5
68,"Reviewed 4 September 2015
",2love2hike,Old Town is colorful and charming. There are shops and restaurants and lots of float planes to check out.,5
69,"Reviewed 3 September 2015
",Dallas,"Most of the buildings a older than me and very historical. There are some good views and interesting shops and places to eat. I like history so anything old, like me, is of interest. How could a person go to Yellowknife without visiting the old historical part is beyond me.",4
70,"Reviewed 1 September 2015
",Brimley,"There is a lot to see in the Old Town section of YK. Things such as the Wildcat Café, Bulloch's Bistro, the Pilot's Monument and so very much more. Old Town is easy to access from Franklin Avenue (the parking is pretty tight in places).",5
71,"Reviewed 1 September 2015
",,Real old town. Very basic. Lots of people walking around and biking. Went into two establishments with rustic original feel.,3
72,"Reviewed 29 August 2015
",Edmonton,Nice to have a walk around Old Town. Older architecture. Restaurants like Bullock's Bistro and Wildcat Care. Bush Pilot's Monument also located in Old town. About one to two hours to explore.,4
73,"Reviewed 28 August 2015
","Toronto, Canada","The best way to see Old Town is to walk it on your own. There is an app you can download that can help guide you. Information on the app is at the Visitor Centre or you can pick up a brochure at your hotel. The Wildcat Café and Bullock's, two famous restaurants are in the area and are great...",5
74,"Reviewed 27 August 2015
",Brandon,"A must to see! So many wonderful things to see by foot. Walking is the way to go! Take a bike if you wish, but just be aware that is very hilly, so you will get tired. Bring a snack for a picnic and water. Amazing",5
75,"Reviewed 26 August 2015
","Guanajuato, Mexico",If you want to visit the mall or a resturant even a bar you must go to old town the wildcat cafe is a must do!,5
76,"Reviewed 23 August 2015
","Toronto, Canada",Walked through old town with some friends. It is a wonderful experience and shows the passage of time with regards to mining ebb and flow associated with the town. Abundant street art and painting.,5
77,"Reviewed 16 August 2015
","Winnipeg, Canada","The Old Town of Yellowknife is the city's heart and history, and no visit to the territorial capital should miss spending time wandering through the neighbourhood.There is a very good walking guide app available from one's app store, and this adds immensely to the experience, telling a fine history of individual properties and the characters that made Yellowknife what...",5
78,"Reviewed 9 August 2015
","Saskatoon, Saskatchewan",Walking down to old town in winter is a brisk hike but worth it to warm up at Bullocks. Summer is also nice to go to a café by the water.,5
79,"Reviewed 9 August 2015
","Regina, Saskatchewan CANADA","A really neat place to visit. We stayed on one of the floating homes anchored out in the bay. Lots of neat little shops to wander in and out of, very unique restaurants, and a great view of planes taking off and landing in the harbour area.",5
80,"Reviewed 31 July 2015
",,If you don't want to walk there is a bus that goes to Old Town. Enjoyed looking at all the old buildings which give you a history of the area. Pilots monument gives you a good view of the city. Also wandered over to Lantham Island to look at the houses.,4
81,"Reviewed 28 July 2015
",,"Im glad to be here on summer time. The view at bush monument is stunning. An afternoon at the dock is perfect. You can almost have evrything at Old town, from B&B, to restaurant, to museum.",5
82,"Reviewed 9 July 2015
","Masset, Canada","August 2007, loved old town, funky little restaurants, spunky signs, quaint little houses, and all very walkable.",5
83,"Reviewed 8 July 2015
","Nanaimo, Canada","Highly recommend walking through old town on an afternoon in the summer, or driving through slowly in the winter. Visit the galleries, the dancing moose for lunch, or Bullocks/Wildcat for lunch/supper for SURE! Lovely waterfront area with a busy houseboat bay, and serene quiet back bay area.",5
84,"Reviewed 24 June 2015
","Halifax, Canada","Great place to go for a walk and experience the old Yellowknife. A few unique stores to visit and browse the local made items. A couple of very unique restaurants, like the Wildcat Café and Bullocks Bistro. The Pilots Monument is also located in this area. If you come to Yellowknife you must visit this area. Stop by the Old...",5
85,"Reviewed 21 June 2015
","Brockville, Canada","A must see when visiting Yellowknife. A few really nice shops, excellent scenery and includes the Wild Cat Cafe. You can't say you've been to Yellowknife unless the Wild Cat was on your itinerary",4
86,"Reviewed 20 June 2015
","Mississauga, Canada",A must visit type of area with a lot of history and some very unique restaurants and shops. Take your time and walk the streets,5
87,"Reviewed 12 June 2015
","Whitehorse, Canada",This place is getting a bit more touristy but there are lovely houses and quaint little areas in this historic part of Yellowknife. Definitely worth a walk around on a nice day.,5
88,"Reviewed 12 June 2015
","Kirkland, Washington",Old town gives you a sense of how Yellowknife started. All the buildings are cozy and on the shore of Slave Lake. .,5
89,"Reviewed 10 June 2015
","Whitehorse, Canada","A quick 20 minute walk down hill from downtown, this is an interesting area filled with history, nostalgia, architectural wonders and trendy must eat places! The gift shop gallery has a great selection of reasonably priced local art, pottery, carvings and other traditional souvenir items; Just Furs has a great selection to keep you warm; Make sure you drop into...",5
90,"Reviewed 9 June 2015
","Calgary, Canada",Fabulous shops and restaurants here. You will have a wonderful time visiting the general store and the local craft and artisan workshops. The restaurants are easily walkable,5
91,"Reviewed 28 April 2015
","Calgary, Canada",More history here than you would think.It was a great spot to view Yellowknife from Pilots Monument. And then there is the Wild Cat Cafe!,5
92,"Reviewed 20 March 2015
","Vancouver, Canada",Very quaint and rural. Ice castle's $ 5 admission was quite fun and going down the ice slide is a must! A few ice sculptures were magnificent!,4
93,"Reviewed 16 March 2015
","Port Macquarie, Australia","Loved walking down to Old Town and back in -31 deg, snowing, frozen lake, rustic buildings, designer new buildings.... fantastic",4
94,"Reviewed 13 March 2015
","Los Angeles, California","We took a city tour and went to the old town area. It was ok to learn about its history, but I am not necessarily jumping up and down.The houses built on stilts to prevent foundation cracking was interesting, but there wasn't anyone on the road during our entire drive.I wouldn't put this high on your priority list...",3
95,"Reviewed 13 March 2015
","Toronto, Canada","Not much to do in Yellowknife, so it was a good 15 min walking destination to the ice road and see the ice castle. Unfortunately, Bullocks Fish and Chips only opens at 4pm on Sunday.There was a fun fur shop and a gift shop to visit.",4
96,"Reviewed 5 March 2015
","Sydney, Australia",I joined a City Tour together with Ice Road Tour. The City Tour included an outlook tour + village tour. The tour was worth 1 visit. It was interesting to know that the houses at Yellow Knife do not have water pipes.,4
97,"Reviewed 21 February 2015
","Vaughan, Canada",It's on the shore of the lake and is at one end of the dettah ice road.ther is the Ice Castle that was under construction(built every season by a local inhabitant and made of ice and snow blocks).,3
98,"Reviewed 17 February 2015
","Yellowknife, Canada",Everyone should take the time to enjoy the view from pilots monument (as well as the goings and comings of seaplanes and house-boaters.) a multitude of good restaurants scattered about the base (iconic bullocks / wildcat ranging to contemporary moose cafe). A bit daunting on foot. There are a number of tourist shops scattered about. High prices but good quality...,3
99,"Reviewed 7 February 2015
","Toronto, Canada","I was driving there. The buildings are great, but its difficult to park since the road is one way, and there are other tourists coming. There is a road bypass to the great slave lake itself. And it is great to see the whole Yellowknife when you drive to Pilots Monument. But when I go there, its so windy that...",5
100,"Reviewed 26 January 2015
","Toronto, Canada","The best part of being in old town in the winter for me was access to the ice road. I walked along it 3 mornings in a row for hours and loved the expansive feeling of the frozen lake. The morning sunrise and light was gorgeous. Met some friendly people along the way, even got invited into one of the...",4
101,"Reviewed 14 January 2015
",Ottawa,"Yellowknife is definitely an interesting place to visit, and for us Old Town was the most interesting part. There are good places to stay (we liked the Bayside B&B), good restaurants (the Dancing Moose Café, the Wildcat Café, and Bullock’s Bistro), and a unique community that can easily be explored on foot.The most obvious feature of Old Town is...",5
