,0,1,2,3
0,"Reviewed 6 days ago
",Caledon,We visited the Olympic Park to have some fun at Wibit Sundays. It was a blast.The obstacle course is set up in the Olympic pool and we also had access to the diving platforms during our session.,5
1,"Reviewed 6 days ago
","Oakville, Canada",It's great the first time you go then you find out the tower was completed after the olympics were held in fact six month after they opened the tower. It has great views but in the city there is a better place to see the whole city and get great pictures. This is over priced and now over secured you...,3
2,"Reviewed 1 week ago
","Melbourne, Australia",They were renovating the main stadium when we visited the old Olympics area. It was worth it though to visit the biodome whislt we were there and to have a walk around the gardens adjoining the stadium.,3
3,"Reviewed 1 week ago
","Lancaster, Pennsylvania","The observation tower in Olympic Park is an amazing phenomenon - the slope of the tower is almost unreal, and the views down to the old Olympic Park and out over the surrounding countryside are great. The velodrome below (for bicycle racing) is in the shape of a bicycle helmet! Best seen from the top of the observation tower.",5
4,"Reviewed 3 weeks ago
","Ronkonkoma, New York","It was closed when we were there and undergoing construction. It still is an impressive structure and when you are allowed to go up to the top it is worth the trip,",4
5,"Reviewed 3 weeks ago
","Orlando, Florida",It was very cool walking the grounds of the Olympic park that hosted the 1976 summer Olympics. The tower is beautiful especially at night.,4
6,"Reviewed 3 weeks ago
","Vancouver, Canada","The Biosphere and Planetarium are worth visits. Otherwise unless you're heading to a sporting event, it is not worthwhile. There is a lot of construction. The tower is under construction and not accessible until May.",3
7,"Reviewed 18 February 2017
","Appleton, Wisconsin",We walked around the Olympic park while walking to the Montreal Botanical gardens. Looked cool and I would have done more if I had the time.,4
8,"Reviewed 15 February 2017
","Adelaide, Australia","The whole Olympic site is being upgraded and it's required. The paint is feeling off the facade and inside the windows are so grubby that you can barely see out (the whole idea of going up the tower), she's getting a few wrinkes at the age of 40. The glass lift incline is unusual and rather cool. I would like...",3
9,"Reviewed 9 February 2017
",Montreal,"Odd shaped but imposing Stadium which can be visited and a ticket to the top offers a romantic view of the city, 2016 was the 40 years exhibit of the 1976 Olympics with great history and memorabilia. Nearby Saputo Soccer Stadium, Planetarium, Biodome and Botanical Gardens/Insectarium complete the awesome foursome of Space for Life (Espace pour la vie). My favourite...",5
10,"Reviewed 21 January 2017
",,"If you come to Montréal you have to visit our monument. This was built in the 1960 and is still standing. Inside they host sports all year round, concerts, events. It's Montreal Eiffel Tower",4
11,"Reviewed 18 January 2017
",New York,"We visited this train by metro and it was quite a walk from the station especially with little kids. Although the whole walk turned interesting due to the Montreal Olympics storyboard you see and read alongside. We took a ride to the tower, visited the ever crowded biodome and the cafeteria really had some great food to offer. You could...",4
12,"Reviewed 15 January 2017
","Spotswood, New Jersey",Didn't get to go inside but just walking around on the grounds that held the Olympics is a nice thing to do. The history and the countries flags still flying around the grounds. I wouldn't spend a lot of time there but it was right across the street from the parking area of the Botanical Gardens and was well worth...,4
13,"Reviewed 15 January 2017
","Washington DC, District of Columbia","We're big Washington Nationals fans, so this automatically landed on our list when we visited Montreal. I enjoyed walking around the grounds and talking with my husband about Jonah Keri's Up, Up, and Away (an exhaustive history of the Expos). However, if you don't have a reason like this, the visit probably isn't worth your time. It's pretty expensive and...",3
14,"Reviewed 11 January 2017
",,Well. Parc Olympique is beautiful to behold from Mont Royal. Close up and you see what paying to much for something beautifully designed but badly executed gets you. I think it is a very great memory of the olympics for me and the potential for dreaming great dreams and the danger that graft can have on those dreams.,4
15,"Reviewed 6 January 2017
","San Francisco, California","After visiting the Biodome, we wandered over to the Stadium for the Tour of Montréal, where you can ride a funicular (think of an elevator and tram combined) to the top of the tower for some incredible 360-degree views of the city.",4
16,"Reviewed 4 January 2017
",gravenhurst,We came Jan and there wasn't much to see since the stadium was closed the hockey arena was closed and the memorabilia was closed. It was a really foggy day so the tower wasn't worth while doing.Neat to see the venue of where it occurred but not much for us to work with.,3
17,"Reviewed 3 January 2017
","Morristown, New Jersey","We spent the better part of the day checking out the Olympic Park. It was a nice visit, but a little cold as we spent a good deal of time walking from one locale to another. The biodome and tower were great to check out though.",3
18,"Reviewed 8 December 2016
",Las PInas,"As one of Montreal's iconic spots, this is a must for all travellers to this city.The Olympic rings area was a bit of a walk from the building but it was well worth it.",4
19,"Reviewed 6 December 2016
",,"Lovely place,beautiful people,safe place and clean.Take your family on a road trip and spend at least 3 weeks in Montreal in July...you will not want to leave !International Jazz Festival,the Metro(subway),Botanical Gardens,Vieux Montreal,La Ronde...beach! You will understand why immigration is so selective in this paradise.",5
20,"Reviewed 29 November 2016
","Parsippany, New Jersey","If you happen to be visiting the Biodome or Planetarium, it doesn't hurt to check out the stadium. However, I wouldn't make it the sole reason for a visit. Up close, the stadium is definitely falling apart. We saw sheets of plywood nailed down in places that had opened up, and cement spread over cracks that hadn't been painted over....",3
21,"Reviewed 24 November 2016
","Mexico City, Mexico","Amazing View of the Stadium just by walking around, if you like jogging, Walking or running, this is the place for you.. and in Summer excellent for rollerblading and biking!",5
22,"Reviewed 14 November 2016
","Sao Paulo, SP",I wasn't inside but it looks amazing the building and everything and just beside it there us this amazing planetarium which you guys MUST visit,5
23,"Reviewed 13 November 2016
","Wading River, New York","It was really nice going to the top to see the entire city. Otherwise, it wasn't too exciting. Lots and lots and lots of concrete - you can tell that the buildings were built in the 1970s and need some serious updating.",3
24,"Reviewed 11 November 2016
","Germantown, Tennessee",I enjoyed seeing the place. We were short on time so saw it briefly. I would like to return someday and take a closer look.,4
25,"Reviewed 9 November 2016
",,"I suggest you to take the shutter up to the high point , you will be able to see the montreal. I still remember my friend told me montreal is an island, surrounded by the ocean. And you can see the theme park up there( La Ronde).There is a museum as well. but unfortunately i did not have chance...",5
26,"Reviewed 9 November 2016
","Reykjavik, Iceland",We got there but didn't find anything interesting to do and returned swiftly. This seems to be just a series of structures and thats about it. Maybe we weren't informed enough but still there was nothing easily accessible such as museums or other glimpses into the Olympics.,2
27,"Reviewed 4 November 2016
",west yorkshire,Amazing views from the top of the tower but the gondola rides up the outside which is either a thrill or scary depending on your point of view. On the day we visited the tower was being painted by abseilers. Good attraction for engineers -lots of information about its construction.,5
28,"Reviewed 31 October 2016
","Boston, Massachusetts","There are a lot of other places to explore in Montreal than the Olympic Park. At best it's a pretty well maintained piece of concrete. It's pretty expensive to do anything and they just aren't very worth it. The observation desk is just OK. Personally, I'd say go enjoy other parts of Montreal before coming here.",2
29,"Reviewed 30 October 2016
",,I thought there would be more to do at the old Olympic site. It isn't as well kept as I thought it would be.,4
30,"Reviewed 25 October 2016
","Montreal, Canada","convention, close to Planetarium,Biodome,swimming inside,Halloween,Montreal souvenir,shopping Pie-1x",5
31,"Reviewed 22 October 2016
",Birmingham,"If visiting the stadium definitely do the tour. Interesting to see the building itself, but the tour adds context and shows the ways the stadium is still being used 40 years on. The tour guide was entertaining and informative, and gave the building context. A short tour (around 30 mins) but good value for money.Last tour when we went...",4
32,"Reviewed 21 October 2016
",,"In Montreal for work this week, but we were lucky enough to stay a few extra days. My girlfriend's highlight was the Habs game last night, mine was the Olympic Stadium tour today. Our tour guide, Jeff, was fantastic! He engaged everyone in the group and his stories about being a boy going to Expos games were entertaining and passionate!...",5
33,"Reviewed 21 October 2016
","Albany, California",I'm a masters swimmer and was craving some exercise during a vacation that included a lot of eating out. Swimming at the Olympic Park was a treat. The facility is impressive and very well maintained. Montreal residents make good use of it and the facility is easily reached via metro. The use fee is also quite reasonable. There are plenty...,4
34,"Reviewed 21 October 2016
","Los Angeles, California","The highly photographic stadium and tower look like a giant space ships, which is worth a look to start with, but within the olympic park there is a botanical garden, bio dome, a tower with view, and a few other smaller attractions. The bio-dome I was looking forward to the least, but ended up enjoying the most.",5
35,"Reviewed 20 October 2016
",Dublin,Not sure why there isn't one tour bus that does the city and the Olympic park. There definitely is not enough to see for two separate tours!,3
36,"Reviewed 18 October 2016
",,Visited the park with my family in October 2016. The view of the city from Olympic tower is awesome. But all entrance fees are very overpriced which is very disappointing. We chose to go only for tower without entering bio dome. Very nice memory of Montreal and 1974 Olympic games.,4
37,"Reviewed 17 October 2016
","Tampa, Florida","Excellent tour guide Jeff showed us all around the 1976 Olympics arena. He made it very interesting and fun, interacting with travelers from many countries. Highly recommended!",4
38,"Reviewed 17 October 2016
","Milton, Vermont","I recently visited Montreal with my extended family and we stopped by to see the Stade Olympique. There is a museum there with memorabilia and the history of the 1976 Olympics. I thought it was a bit pricey, and I wasn't alive in 1976 so I wasn't expecting to enjoy it, but my aunts and uncles really wanted to see...",5
39,"Reviewed 17 October 2016
","Igloolik, Canada",A Must see for the Historic value of a town that did not win Gold during its Olympics but remain a Modern art realisation that cost Canadians Billions in the after mat when McDo and Coke were not official sponcers of that ''Athletic'' dope event,5
40,"Reviewed 15 October 2016
","Wayne, New Jersey","This was not a ""Wow!"" location for me though I am glad I went. I purchased a ticket for the tour of the Olympic Park and the Montreal Tower (*remember to present your AAA or CAA card for a discount - ticket prices are rather steep for what you get).The tour is presented in a bi-lingual format (depending on...",3
41,"Reviewed 14 October 2016
",,I think that I was comparing this to Lake Placid which is still very active as an Olympic training area. Olympic Park has some lovely areas to walk through to enjoy nature. Very few original areas/buildings are there or repurposed.,3
42,"Reviewed 14 October 2016
","Memphis, Tennessee","The very iconic Montreal Olympics can be revived in your mind when you visit this beautiful arena. We didn’t go inside as it was not open, but just driving around and seeing the athlete’s quarters, the stadium, the pools was an amazing experience. Definitely pay it a visit.",4
43,"Reviewed 13 October 2016
","Northampton, United Kingdom",It us worth a visit just to see the shape of the buildings. Has been put to good use sin e the actual Olympics in 1978,4
44,"Reviewed 13 October 2016
","Green Bay, Wisconsin","We spent 3 days in Montreal at the end of a cruise and agreed that touring the Olympic Park was a priority. It did not disappoint. We live in Green Bay, Wisconsin and are huge sports fans, including the Olympics. This was a s close as we will every get to attending the Olympics, and it was amazing. Our tour...",5
45,"Reviewed 12 October 2016
","Edinburg, Texas","Great visit, only went inside one building g that had an exhibit but really enjoyed the exhibit there.Definitely worth a visit",5
