,0,1,2,3
0,"Reviewed 1 week ago
",,"If you have a penchant for politics or history, be sure to make a visit to Quebec's parliament. There are free guided tours throughout the week. You will have to take your passport to get past security but once inside you will be fascinated by the history of Quebec and get a real feel of this ""societe distincte.""",3
1,"Reviewed 1 week ago
",Vancouver,"My hotel was just across the street and so I decided to visit one morning during my stay in Quebec. I have no regrets: The building has an important, fascinating history. The guide who led the tour was extremely knowledgeable about Quebec's past and the practices and procedures of the assembly. The interior of the building is ornate and the...",4
2,"Reviewed 3 weeks ago
","Edinburgh, United Kingdom",The Parliament offers free tours and they are so worth it!! It's a beautiful building and the tour is very informative.,4
3,"Reviewed 18 February 2017
","Fort Lauderdale, Florida","In the center of the upper city this is unmistakably a building of the government and not to be missed. Just walking around is awesome to look at and they have scheduled tours if you go inside and get tickets with a time slot at a good rate. Currently, it is undergoing a massive construction project just like the US...",5
4,"Reviewed 16 February 2017
","Winnipeg, Canada","This is a beautiful building, situated right outside of the walled city. The guided tour was excellent, and the paintings in the building are definitely a must-see!",5
5,"Reviewed 13 February 2017
","Baguio, Philippines",We had a chance to visit the parliament building last july. My sister from Georgia took a 15 hour drive just to see us in Ontario. From there we went to Quebec to visit the beautiful scenic spots of Quebec.I was speechless staring at the place.Chateau Frontenac Hotel was the place where we took a lot of pictures.,5
6,"Reviewed 11 February 2017
","Appleton, Wisconsin",We took the free tour one day in French and the next day in English. It was about 45 minutes long and we learned some Quebec history.,5
7,"Reviewed 6 February 2017
",Houston Texas,"Great informative tour, inside fabulous. We heard the restaurant very good, it looked a nice place to dine but didn't try it. Also there is a cafe and gift shop inside. Don't miss this chance to experience more historic Quebec City.",5
8,"Reviewed 4 February 2017
","Toronto, Canada","The moment I saw the Parliament, I immediately liked it. It’s huge with its eight-floor building. There are quite a lot of things to visit inside, like the Parliament, a cafeteria and a restaurant, as well as a gift shop. The inside is quite majestic though. The guides are quite knowledgeable.However, what I liked the most was the edifice...",5
9,"Reviewed 26 January 2017
",,"The exterior design is fabulous. Although it was closed for maintaining , but many tourists were wandering around the building and took photos. Its neighborhood is well maintained and nice ( The fountain and the park).",5
10,"Reviewed 20 January 2017
","New Orleans, Louisiana",Interesting artwork and statues around the building. There is one day a week that is free to enter. I think it is Friday. There is much construction in the circle in front of the building.,4
11,"Reviewed 17 January 2017
","Crossville, Tennessee",The day we were there the Parliament Building was closed for repairs. we did however enjoy the exterior of the building & the grounds & statues were spectacular.,3
