,0,1,2,3
0,"Reviewed 2 days ago
","Ottawa, Canada","Wonderful place to visit with interesting events, such as Canada Day, the Christmas light show and many more, happening throughout the year. In the heart of downtown Ottawa, it is easily accessible and worth spending time to enjoy.",4
1,"Reviewed 4 days ago
","Ottawa, Canada","An excellent option for people of all ages and interests. For people interested in history, art, architecture, woodcraft, government, geology, bibliophiles and for kids to see where real government happens. I've enjoyed every tour I've taken over the years. The guides are very knowledgable and each tour seems different.",5
2,"Reviewed 4 days ago
","Toronto, Canada",you need to lineup early in the morning for tour tickets. we were there during march break. a bit of a zoo,3
3,"Reviewed 4 days ago
",Toronto,Our visit to Parliament Hill was inspiring. It is definitely worth taking the time to go for the tour and walk around the grounds.,5
4,"Reviewed 5 days ago
","Vaughan, Canada","The tour of the parliament building is fantastic. Our guide was very knowledgeable. The building itself is amazing. The view from the peace tower was stunning, although I guess the clear blue skies helped on that front",5
5,"Reviewed 6 days ago
",Florida City,"I have a personal fondness for Parliament, having worked inside for 25 years. I just feel the history, who has been in those halls, those rooms. What laws have been discussed and passed in that building. Making a better Canada. Every kid should visit, in hushed awe!",4
6,"Reviewed 6 days ago
","Mississauga, Ontario, Canada","Parliament Hill is a limestone outcrop measuring 88,480 square meters on the southern banks of the Ottawa River in downtown Ottawa and home to the Parliament of Canada. Originally, the site of a military base in the 18th and early 19th centuries, redevelopment of the Crown land began in 1859 after Queen Victoria chose Bytown as the capital of the...",5
7,"Reviewed 6 days ago
",london,It was wonderful to take the teenagers to the hill to see the buildings in person. They really enjoyed felt like part of our nation!,5
8,"Reviewed 6 days ago
","Oakville, Canada",The parliament is wonderful with allot of history and you learn allot about how the government is run and see the actual house floor and go behind the scenes. The gift shop is amazing also.,5
9,"Reviewed 1 week ago
",,When visiting Ottawa you must visit the Parliament Buildings just because it is so massive. The artwork and time that went into building this is incredible. You can take a free tour of the inside which is interesting but just standing outside and looking at the grounds is worth the visit.,5
10,"Reviewed 1 week ago
","Toronto, Canada","Kids fought us to not go on the tour but they loved it all. Great tidbits of information about the government, and the history of the buildings (library is gorgeous!) and clock bells play out over noon if you're there. Tickets for tour are first come first served and you access them across the road from the hill.",4
11,"Reviewed 1 week ago
",,Nice place to walk around! Walked all the way to the back side of the buildings and got a nice view across the river to Hull. Didn't go in this trip as there were long lines due to March Break.,5
12,"Reviewed 1 week ago
","Saskatchewan, Canada","There is so much Canadian history scattered around the Parliament buildings. We made it a point to visit our nation's capital just to visit this site. When you walk the grounds there are statue exhibits around illustrating some key moments in our history. There are typically tours inside as well, however we did not get to go in because of...",5
13,"Reviewed 1 week ago
","Toronto, Canada",The buildings are soo well preserved and very well organised free tour of the building. You could even see the House of commons discussions. Overall a wonderful experience.,4
14,"Reviewed 1 week ago
",Leicester,"Great sight seeing from outside - the buildings, the grounds, the statues are a must see. We didn't arrive in Ottawa until late afternoon by which time the free inside tours had all gone. If you want to add the inside visit to your itinerary then head early (by 9:00am) to 90 Wellington for the free tour tickets or you...",4
15,"Reviewed 1 week ago
","Ottawa, Canada",So lovely a great place to make family tradition. Looking at all the Christmas lights downtown and on parliament hill,5
16,"Reviewed 1 week ago
",,Very informative and organized. Wheelchair friendly. Security is very present and considering it is a government facility I still felt very comfortable and welcomed.,4
17,"Reviewed 1 week ago
",,"Came with my family on a trip to Ottawa, vast history with many things to learn. You can watch laws be passed in the gallery, pay for a tour of the place, get lovely souvenirs, and even lounge on the grass for a picnic.",5
18,"Reviewed 1 week ago
",,"A must see. Allow at least half a day as you can only go in with a guided tour. Ned to see the centre block, the peace tower and the clock, the library (which did not burn down during the 1916 fire) and the east block. Visit now as they will start major renovations next year and it could take...",5
19,"Reviewed 1 week ago
",,"Get ready for a nice walk around Parliament Hill, make sure you have enough space for lots of photos. Enjoy Parliament Hill in all seasons 27/7 and 365 days.",5
20,"Reviewed 1 week ago
","Ottawa, Canada","The Peace Tower is in the center block of the Parliament Building, during the summer they have tours through the building and the grounds. There are many famous statues of Canadian Hero's on the grounds as well as the Eternal Flame another tourist attraction. You can see the Gatineau hills from the back of the building as you walk around...",5
21,"Reviewed 1 week ago
","Ontario, Canada",Beautiful city. Our parliment buildings are a must to see as well as a walk on the Readeau Canal.The Govenor General's house is very interesting. Book ahead but even if you just walk the gardens it is lovely. You may even get a surprise and see our Prime Minister coming and going.The Gleeb is a wonderful artist area...,5
22,"Reviewed 1 week ago
",Chicago,Such a gorgeous edifice! The changing of the guard was exciting. It's well worth spending the time. It is a visit that would be enjoyed by all ages.,5
23,"Reviewed 1 week ago
","Falls Church, Virginia",Breathtaking tours and a walk through the history and contemporary governance of Canada. Weekend tours are best for all access to the building.,5
24,"Reviewed 1 week ago
","Ottawa, Canada",Do book these free tours in advance. You can go to their website. Tours are offered in many languages and for groups.,5
25,"Reviewed 1 week ago
","Ottawa, Canada","Parliament Hill and the Parliamentary Buildings are well worth a visit - even for those individuals not very interested in history and politics. Parliament and its grounds are the epicenter of Canada, our identity as a people and the representation of our values of inclusiveness, decency, tolerance, compassion and openness.When visiting Ottawa - no visit would be complete - if...",5
26,"Reviewed 1 week ago
",,"Neat to think of all the politicians that have shaped our country, gathering here, but nothing exciting to see.",3
27,"Reviewed 2 weeks ago
","Plymouth, United Kingdom","Worth a look if in ottowa for the day, seem well maintained and architecturally interesting , city is pretty ""visitor friendly"" compared to say Montreal",4
28,"Reviewed 2 weeks ago
","Toronto, Canada",Seeing the Canadian Government's place of action. Lots of statues and buildings to see. Good place to check out for sure.,5
29,"Reviewed 2 weeks ago
",,"the buildings are beautiful and I think its important for every Canadian to take it this site. the only issue was the chaos around parliament hill with the crashed ice event. they were dismantling the event after the weekend it just made the area a little confusing and some areas blocked off. generally there was lots of construction every where,...",4
