,0,1,2,3
0,"Reviewed 5 days ago
","England, United Kingdom","Quite hard to find, but well worth persevering. This museum has displays of the animals and people of the Northwest Territory. Also, the cafe is excellentr!",4
1,"Reviewed 1 week ago
",,"Looking for something to do on down time and saw this on Trip Advisor.Exhibits are very nicely laid out. I love the fact that there are specific rooms for most of the displays. Loads of information on plaques, large displays and audio information.I am from Canada but learned a ton of History walking through this Museum.Spot on!",4
2,"Reviewed 1 week ago
",Western Canada,"I went there expecting to be less than an hour but I was almost 3 hours. It is really well laid out and gives a real insight as to how the NWT came to exist and the hardships the earlier settlers experienced. This to me was time extremely well spent.By the way, the restaurant is highly recommended by the...",5
3,"Reviewed 2 weeks ago
","Vancouver, Canada","The exhibits are very well laid out and gave us lots of information on the aboriginal people of the north. The story and video of the moose hide canoe was amazing. It was really an eye opener to be able to look at how the people and animals survive and thrive in such harsh conditions. Well worth a visit, especially...",5
4,"Reviewed 2 weeks ago
","Vancouver, Canada","I was greeted by one of the receptionists, who was enthusiastic about telling me what kind of exhibits were on at the time, their hours, and where to start. A map of the centre was provided, and help got me oriented. Definitely worth the donation to learn all sorts of things north. Definitely makes me want to stay and explore...",5
5,"Reviewed 3 weeks ago
","Courtenay, Canada",Beautifully designed building with interesting and informative exhibits - be sure to make time for lunch or a snack at the Museum Cafe.,5
6,"Reviewed 3 weeks ago
","Yellowknife, Canada","The Mayors of Yellowknife and of Edmonton hosted a luncheon the other day at the museum cafe. Wonderful location, great room, great food. I'm looking for a reason to host my own event there.",4
7,"Reviewed 3 weeks ago
","San Francisco, California","good introduction of local culture, recommend to go there for 1st day. layout is easy to follow and display is surprisingly good.",4
8,"Reviewed 4 weeks ago
",,"Surprisingly extensive presentations, lots to see and reflect on. We caught the free tour, guide was very informative, a bit of a raconteur. Fun kids area with lots of play and dress up opportunities. Finish up with a snack or meal at the Museum Cafe.",5
9,"Reviewed 4 weeks ago
","Atlanta, Georgia","I was pleasantly surprised at the quality of this museum. We went on our last day in Yellowknife to escape the -15C cold outside. This museum has a good amount of exhibits to spend an hour or more but its not too overwhelming. There is a good balance of exhibits on the land, animals, history and culture.",5
10,"Reviewed 4 weeks ago
","Hermosa Beach, California","Informative exhibits on history, culture, and nature, set up beautifully so you can have a quick overview or really dive in and learn a lot. Highly recommended, you will learn and see new things.",5
11,"Reviewed 4 weeks ago
","Mexico City, Mexico",It was a great place to visit and understand more about the aboriginal cultures. specially the two rooms of animals (with a polar bear and a musk) and the room regarding the culture are of great interest. Totally recommended. The museum is open til 9 pm on thursdays and the rest of the days until 5 pm. It is within...,4
12,"Reviewed 4 weeks ago
",Nedlands,Must do whilst in Yellowknife. Provides you with a good background on Yellowknife and it's heritage.A number of very interesting displays .Great cafe for coffee or a light lunch.,4
13,"Reviewed 16 February 2017
","Courtenay, Canada","This indeed is a museum highlighting the north. Have a great kids play area on the main floor. The ""cafe"" is highly spoken of in the local area. Unfortunately is not open on Sunday(cafe).",5
14,"Reviewed 14 February 2017
","Toronto, Canada",This was a great museum with lots of things to see. I spent a couple hours here and didn't even get to all the exhibits. The best part of it all was that there is no entrance fee! I love that with museums because then you can come and go as you please and don't feel like you need to...,4
15,"Reviewed 5 February 2017
",,"We were lucky to joined in a morning tour guild, the gentleman was really informative and we learnt so much more NWT history and geographic knowledge from him.",5
16,"Reviewed 26 January 2017
","Singapore, Singapore","The museum is smaller than what we expected. The facts about the native people, their culture and their life challenges.",4
17,"Reviewed 11 January 2017
",,"Had lunch. Nice place for lunch and a visit. Beautiful building. Worth a visit. Lots of information, displays, artifacts.",4
18,"Reviewed 3 January 2017
",Virginia,Very nice small size museum with very good quality exhibits. We spent 2 hours here self learning about the native and their culture as well as the animals they hunts.,5
19,"Reviewed 1 January 2017
","Mississauga, Canada",It's a small place compared to big city museums but it still contained lots of information about Yellowknife & life up north.Worth a visit while I'm town!,4
20,"Reviewed 1 January 2017
","Eugene, OR","A beautiful building with multiple rooms that gives the visitor an overview of the people, resources, geology and development of the NWT",5
21,"Reviewed 31 December 2016
","North Ogden, Utah",I enjoyed this museum. It has displays that are put together very nicely. I enjoyed reading about the early history of the area.,5
22,"Reviewed 31 December 2016
","Singapore, Singapore",Super interesting to learn about the local culture. The exhibits were beautiful and well maintained!,4
23,"Reviewed 24 December 2016
","Lima, Peru","New building. Well-done exhibits. Learned a lot about the mineral and animal wealth of the region. Also exhibits on the people, their culture and their language, but did not have enough time to do that justice.",4
24,"Reviewed 16 December 2016
","Toronto, Canada",The center is a great place to find out more about the city. Be aware it opens only between 11 am to 2:30 pm.,4
25,"Reviewed 9 December 2016
",,"it is a beautiful museum located in central Yellowknife. The staff are great, the displays top notch, and informative to boot! A definite must see!",1
26,"Reviewed 16 November 2016
","Calgary, Canada","The museum is relatively small but has exhibitions of the region and its inhabitants and explorers. Very nice. I very much enjoyed the exhibit about the Norther cultures and diverse adaptions to the different food sources - brilliant. Although the caribou seem to struggle for some reasons, good to hear the polar bears and muskox have increased in large numbers...",4
27,"Reviewed 9 November 2016
",,"Thus has an abundance of arts and culture. Very broad range of colonial history with mining. Wonderful representation of the Norths culture, people, plants and wildlife.",4
28,"Reviewed 30 October 2016
","Victoria, Canada",It's awesome place to get some introduction about NWT. I like all the exhibits; the animals look real and the information is thorough. I highly recommend this place for family with children. The best thing is free admission.,4
29,"Reviewed 21 October 2016
","Hong Kong, China","Didn't expect we could see so much at this museum. There are lots of interesting, informative display and exhibits depicting the history of the aboriginal and the Northern Territories. Can't ask for more from this free admission museum. Highly recommend to family with young children and visitors who want to spend an hour or two during the day at Yellowknife.",4
30,"Reviewed 17 October 2016
",Moncton,"We recently held a reception at this venue, and it was beautiful. The staff were friendly, helpful, and receptive; the art displays were incredibly well set up and filled with emotion.",5
31,"Reviewed 14 October 2016
","Edmonton, Canada",This museum is a very well done tribute to life in Northern Canada. They have a wide range of displays featuring a number of different aspects of the history and development of the north and Yellowknife specifically. I was very pleased how they gave very significant and prominent attention to all of the aboriginal people groups that form the foundation...,5
32,"Reviewed 12 October 2016
","vancouver, canada",The museum is free with some neat exhibits. I loved the native bead word on display. There are also some cool pieces from the history of air travel to the north. Worth the time and a nice reprieve from the cold.,4
33,"Reviewed 10 October 2016
","Potomac, Maryland","A very fun and educational way to spend 2-3 hours. You learn a lot about the history of the place and some interesting artifacts. Being from the lower 48 US, it was interesting to see how humanity found ways to survive and thrive in one of the harshest climates on earth. The desolation of the NWT still has me in...",4
34,"Reviewed 10 October 2016
","Calgary, Canada",We toured this amazing facility while on our tour of Yellowknife this past August. It is amazing. Informative. Depicts a true picture of our north. A must see.,5
35,"Reviewed 5 October 2016
","Irvine, California","It's a very nice, well organized and informative museum. It covers local history, native culture. I learnt a lot",5
36,"Reviewed 3 October 2016
","Toronto, Canada","This place is free admission, and they have free tours on Wed/Fri/Sat at 11:45AM. It was sufficient to walk through the museum without a tour; the displays were quite informative and interactive.",5
37,"Reviewed 27 September 2016
",,Nice small museum for Yellowknife district. Lots of local display and information. A very quiet and comfortable place to spend an hour or two in the afternoon. Staffs are friendly and local artists on location to show off their talents.,3
38,"Reviewed 22 September 2016
","Vancouver, Canada",Visiting the museum is a must if you want to explore the Northeast Territories. There are many precious exhibits. It is also a good education centre.,5
39,"Reviewed 19 September 2016
","Toronto, Canada",Excellent exhibits and very educational. While there make time to dine in the Museum Café - the food is delicious.,5
40,"Reviewed 19 September 2016
",,"Excellent overview of the culture, people, and natural attributes of the Territiores! It is well worth a visit to see and 'experience the development of the North",5
41,"Reviewed 19 September 2016
","Silver Spring, Maryland",My wife and I walked up the paved 3km Flame Lake trail to this prominent building sitting at the north end. It opened at 10:30AM and was free to enter. After noting the restrooms on the entry floor we walked up to the cafe and noted its restroom. From here we walked down the beautiful wooden arched hall to enter...,5
42,"Reviewed 18 September 2016
",Manila Philippines,There's a lot to see and do in this place. History. Artifacts and information. We have enjoyed and stayed a few hours in this center.,5
43,"Reviewed 15 September 2016
","West Palm Beach, Florida","Well done museum with exhibits on mining, aboriginal settlement, and others. The aviation exhibit is excellent with a short film showing how aviation opened up the NWT and highlighting the pioneer spirit. There's a children's section for active play.",5
44,"Reviewed 13 September 2016
","Yellowknife, Canada","This is a must for anyone visiting Yellowknife. You need to allot a few hours to appreciate the displays. The centre gives you a comprehensive view of the land, peoples, and the animals, prehistoric and present day of the Northwest Territories.",5
45,"Reviewed 12 September 2016
","Yellowknife, Canada","Arrived and had many many allergy questions, staff was very helpful and knowledgable. Had an amazing lunch, it was awesome, very generous servings.Nice and bright area to eat. Staff is wonderful!!!!! Thank-you. Continued on with viewing the museum and as usual very interesting. Loved the TP",5
46,"Reviewed 11 September 2016
","Lower Sackville, Canada","Interesting architecture. Beautiful location. Nice display of local artifacts, regional animals (stuffed) and demonstration videos add to the experience. There were some very nice art installations: large stone carvings and paintings - my residential school experience. Very moving. Also on site was a very nice cafe serving lunch. Very busy at noon. Try to arrive before or after 12 noon.",5
47,"Reviewed 8 September 2016
",,"The building is clean, bright, and interesting. Great for families with young children. The play area for kids never disappoints. The Museum Cafe serves great food too, but wish they were open on Sunday when we went back.",4
48,"Reviewed 29 August 2016
","Montreal, Canada","they really need to advertise this museum differently. we went there and LOVED it there is fabulous displays and interesting exhibits , natural history lovers will enjoy the visit and anyone interested in northern history from expedition, fur trading and arts. a very worth while visit. we spent 2.5 hours there and it was not enough",5
49,"Reviewed 28 August 2016
","Ontario, Canada","When I heard that there wasn't an admission fee, I worried that it would not be all that nice. The folks at the visitor's center said it was worth going to, and it did not disapoint! Cool history facts, and they talk about how the natives used each animal that they hunted! some Great exhibits for sure! And good food...",5
50,"Reviewed 22 August 2016
","Edmonton, Canada","We spent a good portion of a morning here. The exhibits are wonderful. I loved the sculptures. There is a ton of information in a small building. You definitely get an education on Yellowknife and surrounding area as well as the people of the North.It is a beautiful location with walking trails close by, you can walk from the...",5
51,"Reviewed 16 August 2016
","Hong Kong, China","We came to Yellowknife with the sole purpose of aurora viewing. Hence, we woke up late, found a place to walk a bit, then have our dinner and prepare for the night.With this in mind, the centre would be a good place to learn about the history of Yellowknife, including the transport system, the people, the animals and various...",3
52,"Reviewed 12 August 2016
","Winnipeg, Canada",This is one of the best Museums we have been to! The detail of information is incredible! You walk away having a new appreciation of life in the north!The security is over zealous in the rules of not touching (which I firmly believe in)even if you point close they will be on you! To make their point they will...,3
53,"Reviewed 11 August 2016
","Cobourg, Canada",Lots of information about the formation of Yellowknife and the opening up of the North West Territories.,4
54,"Reviewed 10 August 2016
",,"We were fortunate enough today to be part of a guided tour of the museum... A not to miss experience. The displays, the narrative, so well done. A 1 hr well worth while. Thank you.",5
55,"Reviewed 7 August 2016
","Whitehorse, Canada","The quality of the displays, dioramas, videos and information provided here are excellent. I wish we had more time to stay but were pressed to make a flight. Ideally you'd have 1.5 hours to spend here. There is so much to see and watch, very educational and well done. And admission is by donation!",5
56,"Reviewed 2 August 2016
","North Miami Beach, Florida","First of all, I am not a museum person. But my sister insisted that I should give it a try. Well, it was definitely worth the time. Not only was the exhibit interesting, it was free and you can get lots of suovenirs for free also. I got the cd which shows the city of Yellowknife, a Yellowknife pin, and...",4
57,"Reviewed 31 July 2016
","London,ON",The history of this area as well as the flora and fauna of this magnificent area as well as it's rich history are all on display here. From mining (geology) to aviation this museum has numerous informative exhibits which shouldn't be missed. The dioramas of various mammals and birds of the Northwest Territories are on display here and are thoughtfully...,5
58,"Reviewed 29 July 2016
","Queens, New York","My husband and I really enjoyed the time we spent here. Our tour guide Jean was so knowledgeable and interesting and he was very willing to answer the many, many questions I asked during the tour!",5
59,"Reviewed 27 July 2016
","Brandon, Canada","one of my friends lives in Yellowknife and said, Let's go to the museum for lunch. I was so absolutely taken by this place. The food was amazingly well done. The menu choices were amazing. it tid not surprise me to see the place fill up by noon with customers wanting to eat.After we had our wonderful lunch we...",5
60,"Reviewed 24 July 2016
","Windsor, Canada",What an interesting place to wander about. We had personal tour and came away with a lot more knowledge for the area. The café was also good and our tour guide an expert in his field. He didn't rush us and tried to answer all our questions. The best part of this tour you would think would be costly but...,5
61,"Reviewed 22 July 2016
",,Had an excellent tour this morning at the Prince of Wales Museum. Not only was the museum very interesting but our tour guide Mike was fantastic. Best tour I have been on in my life as it was very interactive and informative.,5
62,"Reviewed 22 July 2016
","Westlock, Canada","This museum was very interesting and informative. The interactive activities were awesome. I loved the moose hide tanning demonstrations and the spear throwing was so much fun! Mike was an amazing tour guide, best one I've ever had!! thanks mike!",5
63,"Reviewed 22 July 2016
","Ottawa, Canada",Learn about the history of the land and the people of NWT. See art exhibits and eat at the cafe. A great half day experience - time well spent.,5
64,"Reviewed 18 July 2016
","Toronto, Canada",Usually you have to go to London U.K. or Washington D.C. to be able to explore museums for free but low and behold this fantastic northern museum is free of charge. It has some real interesting exhibits and definitely deserves an hour or more to view them all. I was really impressed by the art display on the impact on...,5
65,"Reviewed 16 July 2016
",Toronto,Quite a range of exhibits that give a nice overview of life and history in NWT. Great for families on a budget and there is a kids interactive area. Our daughter and friend were able to a scavenger hunt throughout the museum which helped keep them involved.,4
66,"Reviewed 10 July 2016
","Beamsville, Canada","This museum has stunning architecture, much like the legislative building. The arches made the place feel so airy. The cafeteria served excellent food. As for the displays- there was a wonderful carver being featured. I am afraid the museum displays were overshadowed by the architecture, food and carvings.",4
