,0,1,2,3
0,"Reviewed 2 days ago
","Bucharest, Romania","It's an interesting museum, with a bit of everything - from dinosaurs, to Indian statues, Egyptian tombs, natural history section (with some lovely birds) and interior design history to some gorgeous paintings by Canadian artist Rex Woods. There seem to be various interactive events for kids. I walked by some groups that were shown some huge live cockroaches and got...",4
1,"Reviewed 3 days ago
","Mississauga, Canada",The ROM is a must see when you're in Toronto. I've come here multiple times over the years and really enjoy visiting every time. They bring in different exhibits to see and there's always something new to learn about and check out. The building itself is reason enough for a visit. It's very easily accessible on transit too!,5
2,"Reviewed 3 days ago
","New Delhi, India","A must visit place while in Toronto. It was huge and requires at least couple of hours to view their normal items on display. Apart from their huge European coin collections?, Canadian navite historical collection, East Asian expositions, and the Dinosaurs collection, the most what I like was the display of European architectural evolution through ages. It's worth 20$. They...",4
3,"Reviewed 4 days ago
",,"I haven't been to the museum in years, but there wasn't enough hours in the day to refresh my memory and see it all. From Ancient Greece to Canada's own history, ROM has an excellent collection of exhibits to interest anyone, young to old.What I especially loved this visit was their addition of people at various booths throughout the...",4
4,"Reviewed 6 days ago
","London, United Kingdom","We went here during our trip to Toronto, because I'd read about the recent architectural addition of The Crystal, and was intrigued to see it.We found this to be an excellent museum, and particularly enjoyed the contrast of the dinosaur skeletons against the ultra modern architectural structure. The blue whale exhibition was interesting.This museum is worth a visit.",5
5,"Reviewed 6 days ago
","Barrie, Canada",Beautiful building and easy to get to. Went here on a day out with the family. Lots of things to see and do. I love the dinosaurs best. Multi levels and you can see some exhibits? from different angles.,5
6,"Reviewed 1 week ago
","Sydney, Australia",We visited on the last Saturday of March Break. Lines were out the door and it was CRAZY. We had pre purchased our tickets. Thank goodness.The exhibits are very good. We started on the highest level and worked out way down. We missed a gallery due to time. But we had a sensational time exploring what we did.Our...,4
7,"Reviewed 1 week ago
",ontario,I have been to better attractions but thats just my opinion.My wife and adult daughter thought it was awesome.I was disappointed that there was an extra charge for the new whale exhibit and also for a photo exhibit.The cost is high enough without charging extra to see more exhibits.,3
8,"Reviewed 1 week ago
",,All day..Amazing artifacts and exhibits. Very busy since we were there on the March break. Would totally visit again. Took us 3 hours and we could have spent more time but we were on peiple overload when we left,4
9,"Reviewed 1 week ago
",Ontario,"Went to the ROM as a family outing today, and loved it. Our kids are 11 and 8, and they were able to get much more out of it. We noticed many families with young children under 5, and the kids were bored and getting into trouble a lot. We did not attend the Blue Whale exhibit, as it was...",5
10,"Reviewed 1 week ago
",Ontario,We picked up a family membership this year for the ROM and have been absolutely thrilled with it so far. Over the march break we thought that it would be a little crowded (which it was) but surprisingly not so much that one could not enjoy themselves. We specifically stopped in to see the Whale exhibit and were so NOT...,5
11,"Reviewed 1 week ago
","Komoka, Canada",We took the kids for March break. 14 and 9. Lots to see and you could spend hours. After awhile the kids lose the thrill of seeing ancient exhibits. It would be good in small doses for kids. The venue holds and can handle large crowds,5
12,"Reviewed 1 week ago
",New Jersey,"The ROM is a very interesting and unique place -- a combination of natural history, anthropology and history museums, all under a single roof. There are departments featuring paleontology, ecology, zoology and mineralogy. Also, there are extensive sections of First Nations, Asian, Egyptian, Greek, Byzantine and Roman statues, costumes, textiles, furniture, pottery, coins, temples and other cultural artifacts. There are...",4
13,"Reviewed 1 week ago
","Toronto, Canada",We went for the Friday Night Live Beer night and it was amazing. The museum seems even more magical in the evening with music and food. Almost all the the exhibitions were open for viewing.,5
14,"Reviewed 1 week ago
","North Bay, Canada","It was an enjoyable day with excellent exhibits. Our family really enjoyed seeing all the history. A very impressive collection of items from all over the world. The dinosaurs, Egypt, Greece and Roman exhibits were our favourites. The Blue whale exhibit was not really worth the extra fee but I guess it is an important education tool and the extra...",4
15,"Reviewed 1 week ago
",,"I expected to go and spend maybe 2 hours here looking around. 4.5 hours later I left but missed a few things. Poor planning and I wish I had given myself more time. Great place, everyone should check it out. Well worth the money to visit.",5
16,"Reviewed 1 week ago
",,Spent the day at the ROM (if you by tickets online and use PERKS you can get a 10% discount). Great to see history and recent discoveries like the Franklin expedition. Different areas had little scavenger cards for the kids and a prize at the end (pin) so it kept their interest. Face painting and an interactive colouring wall were...,4
17,"Reviewed 1 week ago
","Toronto, Canada","We needed a warm place to go for the day. The ROM is a great mix of learning and exploration.My kids are 7 and 9. Here are the highlights for them:-new feature at the T-rex exhibit that allows you to take a photo with a ""live"" T-rex. Then you email the photo to yourself to keep.-the bat...",4
18,"Reviewed 1 week ago
","Windsor, Canada",During March Break is probably one of their busiest times but we still enjoyed it! Found a coupon online before going at attractionsontario.ca that saved us $3 per person which more than paid for our coat check ($2.50 per item). So much to see! I can already say we will be back!,5
19,"Reviewed 1 week ago
","Toronto, Canada","Gotta love the ROM. Just investigate what the main attractions are and you'll have a good time. Also, make sure to go with a little background knowledge of the displays at least if you're bringing children. It's too much to take in one day, so go with a plan. Unless yiu just want to see everything.",4
20,"Reviewed 1 week ago
","Windsor, Canada","I don't have kids but happened to be here as the guest of a member just as the Big Blue special exhibit was kicking off for spring break. Kids were EVERYWHERE delighting in all the hands-on and interactive, educational activities and displays aimed at them. There was something for every age. I managed to weave through all the small people...",4
21,"Reviewed 1 week ago
","Marco Island, Florida","The ROM itself is a treasure, and often they have special exhibits. We went for the Award Winning Photography display and weren't disappointed. Afterwards we wandered around the Dinasoars, Middle East, and Furniture and Weapons sections. As seniors it was a lot of walking and sitting areas weren't always there when you wanted them, but we managed. It is easy...",4
22,"Reviewed 1 week ago
","Carrboro, North Carolina","We have visited this museum several times and have enjoyed each visit. The highlight for us is their impressive Mineral Gallery with both natural samples and ones cut into gemstones. The gallery has minerals from around the world, not just from Ontario. The museum tends to be crowded and waiting for tickets can take awhile but since we belong to...",5
23,"Reviewed 1 week ago
",The Netherlands,The whale exhibition is amazing and the museum is worth visiting just for this. Beautifully presented and so informative,5
24,"Reviewed 1 week ago
","Welland, Canada",I always find new and interesting things that I seemed to miss the previous times I've visited.The staff are knowledgeable and seem interested in their jobs. They interact well with youth and seem to make the learning fun.I am a little disappointed in the fact that special exhibits are an extra fee. I understand they need to supplement...,4
25,"Reviewed 1 week ago
",,A fantastic museum that all museum lovers must go to. The building itself is great to look at. They have various different exhibits that take you on a historic tour across the different ages. Both young and old can enjoy these exhibits. It is very big so you will have to plan a day for the visit.,4
26,"Reviewed 1 week ago
",,"I spent over three hours here and still felt like I hadn't gotten to seen everything. The nature exhibits were my favorite. They have some great fossils on exhibit. The art was very good, and from all over the world. I learned lots of interesting new facts!",5
27,"Reviewed 1 week ago
","Winnipeg, Canada","The modern steel and glass, avantguard entrance and display space that has been added to the original neoclasical building is awful. while I admire it from tbe outside, the interior addtion has plywood walls, poor lighting, filthy windows and dust balls the size of muskrats. Truely a dissapointment.",1
28,"Reviewed 1 week ago
","Windsor, Ontario","Spent 3.5 hrs and could have stayed for six, so much to see, loved it! So many different display areas, it is not possible to be bored, something for everyone. They have a coat check and also take luggage for you at a small fee.",5
29,"Reviewed 1 week ago
","Timmins, Canada",The Mineral Gallery is spectacular with both natural samples and ones cut into gemstones. The collection includes material from Ontario as well as other famous mineral localities in the world. You do not want to miss this gem !,5
30,"Reviewed 1 week ago
",,"After living in Newfoundland, I was ecstatic to see the blue whale skeleton at the ROM. The exhibit is well designed, lots of hands on activities for all ages, and lots of interesting information about whales.The rest of the museum is huge so we only saw a small part. Enjoyed the staircase of wonders. The exhibition on Ghanian flags...",5
31,"Reviewed 1 week ago
","Perth, United Kingdom",We had hoped to see the Wildlife Photography exhibition here but having been charged a ridiculously high price to go into the museum they then wanted more money to view the exhibition so we didn't bother. Not worth the money!,2
32,"Reviewed 1 week ago
","Ontario, Canada",My husband and I love visiting thre ROM at least once a year. Always fantastic exhibits and we never get sick of it. Staff are always helpful and informative. Would highly reccommend for families! We are taking our grandchildren now :),5
33,"Reviewed 1 week ago
","Bowmanville, Canada","I went on my birthday, which also happens to be on March break, so there were so many kids running around all over. Try going when kids are in school for a better experience.It was quite hard to navigate around, and a lot of what we saw were old plates. The best part was the dinosaurs! I wish they...",3
34,"Reviewed 1 week ago
","Chandigarh, India",If you have a full day to get amazed and want to learn something new you can visit this place.Even I visited it last year all the memories are still fresh....I remember we were so tired that we couldn't visited all the sections but whatever we saw was just astonishing..Go and have experience...,5
35,"Reviewed 1 week ago
","Niagara Falls, Canada",Not reccommended to go with young children as you wont have a chance to pay attention to kids and exhibits at the same time.2nd floor dinosaurs and interactive dressup area is the only areas that kids were interested in and wanted to keep going back. The rest of the tour the kids were restless and just not interested.Reccommended...,3
36,"Reviewed 1 week ago
",toronto ontario canada,The exhibits and special exhibits and programs are great I remember taking my daughter when she was young to the children's programs now she is taking her son my grandson,5
37,"Reviewed 2 weeks ago
","Toronto, Canada","Please try to see the nature photography in the week that remains before it is closed. You won't regret it, au contraire. The photos are absolutely stunning! They don't benefit from being exhibited in the wretched Crystal, but no matter: they are magnificent, worthy of the ROM at its best.",5
38,"Reviewed 2 weeks ago
",,The ROM is a great Toronto destination. The permanent displays are always fascinating but check for new exhibits. Located with easy access from the subway.,5
39,"Reviewed 2 weeks ago
","Montreal, Canada",Wow I was really impressed with this museum!!! It is in a beautiful building with so much to see! I loved the Dinosaur exhibit. It was very impressive!! My 9 year old just loved it!!! He kept saying how fascinating it was!,5
40,"Reviewed 2 weeks ago
",cork,A visit to the ROM is a must for anyone visiting this great city. The museum is wel laid out in various sections and well documented and easy to follow. The First Nations section is most impressive paying tribute to the nations first people.,5
41,"Reviewed 2 weeks ago
",birmingham,"City pass attraction. The museum is easy to get to and massive. They offer a free 45 minute guide to what they deem as cool art and history. The guide was knowledgeable and clearly passionate, a volunteer who dons his time to share, a good way to see what's what before you go yourself. A massive museum with lots to...",4
42,"Reviewed 2 weeks ago
","St. Catharines, Canada","Swingin' Place - come with a friend, then never see them again until your through soaking up this joint a day later. I love coming here and emersing my head in whatever spectacular journey the curators have set up for us.",5
43,"Reviewed 2 weeks ago
",Uxbridge,"The exhibits are well curated, and there are enticing special exhibits. The special exhibits are interesting for the kids and they truly learn a lot!",5
44,"Reviewed 2 weeks ago
",Guinda,Went here to see the Japanese & Chinese historical art collections. Really excellent exhibits. It has many collections so more than one day should be planned to see multiple exhibits there.,5
45,"Reviewed 2 weeks ago
","Toronto, Canada",Just amazing in terms of the types of artifacts and sculptures throughout this museum. Lots to see - tons of history.,5
46,"Reviewed 2 weeks ago
","Welland, Canada","The exhibits are well maintained and well lit. Our visit was during the summer so it was fairly busy, but it didn't feel crowded.There's a wide variety of things to look at, you could spend quite a few hours looking at everything.It's located in a beautiful large building so you can enjoy the architecture inside and outside as...",5
47,"Reviewed 2 weeks ago
","Niagara Falls, Canada",A place not to be missed . Very large will take a few days to really enjoy .The special exhibits are worth it really really nice and well done . Extra charge for those but well worth it . So many thing to see and do . A wonderful place for the whole family .,5
48,"Reviewed 2 weeks ago
",,we purchased a city pass and this museum was one of the attractions that we good choose. We really enjoyed it. It is a big museum and has large displays of items.,4
49,"Reviewed 2 weeks ago
","Zvolen, Slovakia",I think it is really the best museum in the City of Toronto. Perfect for children as well with loots of activities for them and friendly staff.This is MUST SEE place!,5
50,"Reviewed 2 weeks ago
",,It's been a long time since I visited the ROM as a child. So much has changed but the feelings it bring hasn't. The ROM is a must see if your visiting Toronto or even if you live here and haven't been in a while.,5
51,"Reviewed 2 weeks ago
","San Francisco, California","First off if you plan on visiting this museum I recommend you come as early as possible, closing hours do vary from winter and summer months. That being said, this museum is HUGE!! There's 5 levels and a lot to cover if you want to check out everything. Just the outside geometric shape of the building draws attention to what...",4
52,"Reviewed 2 weeks ago
",,"The ""real dinosaurs"" are amazing. The Egypt exhibition is also very interesting. The only thing that is not perfect is the ""Asia"" areas besides China's section. A good place to spend time with family or friends. I spent around 3 hours walking through every sections.",5
53,"Reviewed 2 weeks ago
",,"Is the biggest museum I ever seen. A lot of things to see, best for family. You can spen a whole day in this museum, sometimes they have limited special shows.",5
54,"Reviewed 3 weeks ago
",BC,"Killing off a few hours one afternoon on a business trip, was not enough time at this museum. If we'd known just how big the place was and how much was in it, we would've definitely taken more time!From dinosaur discoveries to ancient civilizations, and artwork to geology this was just a wonderful place to visit.If you haven't...",5
55,"Reviewed 3 weeks ago
","Woodbridge, Canada","My kids, 8 and 12 really enjoyed the differerent exhibits, particularly the children's area and the dinosaur and biodiversity exhibits. The second floor is the place to be. The other areas although quieter, were more for adult tastes. (Ancient Rome, Greece, China, Africa, Egypt on the 3rd floor and Canada and First Nations on the first floor) although the kids...",4
56,"Reviewed 3 weeks ago
",Canada,Excellent exhibits - a great way to spend some time with family over on a long weekend! The building itself is really a piece of art. They have many collections and cover many topics,5
57,"Reviewed 3 weeks ago
","Toronto, Canada","This is a great museum, but my favorite part is to see it at night during Friday Night Live events and roam around while catching up with friends, getting different options of cool food and maybe a drink or two, learn while you're dancing to different beats! Special exhibits are only open during the day though, so if there is...",4
58,"Reviewed 3 weeks ago
",Canada,"This is a fun museum to visit, though I found the layout confusing. There were specific things I wanted to see and it took some searching to find them.That being said, there is something for everyone here. So many topics are covered you're sure to find something of interest. The temporary exhibit that was there when I visited was...",4
59,"Reviewed 3 weeks ago
",,It was bigger than I had expected! There are a lot of exhibitions in this museum! In every room has different taste and theme so I really enjoyed it!???????????????????????????????????????????????????,5
60,"Reviewed 3 weeks ago
",,Was visiting in TO and went to the ROM to see the Nature Photography Exhibit - great exhibit - make sure you take the time to read the narratives on the pictures - they are very informative,5
61,"Reviewed 3 weeks ago
","Toronto, Ontario, Canada","Go on a day when there are not huge crowds and your children can run free for hours. Bathrooms are top notch, our favourite exhibits are the minerals and mammals. Kids are terrified of the bat caves. Parking available for a few bucks along the side roads near U of T soccer arena. Have fun!",5
62,"Reviewed 3 weeks ago
",,"I love the ROM, go for a nice relaxing travel through time. The awesome dino exhibits are where its at. One of my other favorites is the area with different Rock types. Enjoy a fun day.",4
63,"Reviewed 3 weeks ago
","Chatham, Canada",Was looking forward to a great time but got not only tired from the sheer size of the place but ultimately got bored - and I love Museums!Excellent for doing Research but neither interactive nor entertaining.,3
64,"Reviewed 3 weeks ago
","Toronto, Canada","Living in Toronto I come here about once every couple of months. Always have great exhibits with fun stuffs around the world to look at.Got apps you can download to guide you through the exhibits. If you are not here for the featured exhibits, there are still tons of pieces from around the world in the past thousands of...",5
65,"Reviewed 3 weeks ago
",,Parking was close and admission was easy. There is a coat check near admission. They have many exhibits from minerals to medieval things. There is a lunch room on the lower level with bathrooms. The trip was from 11AM-3PM. Expected to be there for a full day anyway. I would go again.,5
66,"Reviewed 3 weeks ago
","Hermosillo, Mexico","It takes a while to go through the 4 floors of exhibits, there is place for everybody, there are dinosaurs, animals, coins, Roman, Egyptian, American, Asian. I don't think I have enough room to explain how good this is. I will recommend to plan a visit, it is not cheap but what you will see there is comparable with the...",5
67,"Reviewed 3 weeks ago
","New York City, New York",I always try to go to at least one museum when traveling. ROM had a lot of great exhibits including the Glass and the Japanese third gender exhibits. We spent a good amount of time in those two areas. The downside was that there was a separate charge for the glass exhibit.,5
68,"Reviewed 3 weeks ago
",canada,"The angulated metal and glass extensions to the original ROM exterior are unique and interesting. However, the new addition is awful to view new original exhibits. The exhibitIons tend to be found after entering a small, nondescript elevator. The exhibition areas have low ceilings and are relatively dark. I don't mean mood lighting! This new addition could have been so...",3
69,"Reviewed 3 weeks ago
",,"Definitely a must if you are in town! I love going they always have new things - listed on their online web page. It's good for kids, adults, families, and couples!Every floor offers something cool - Dinosaurs, Europe, Egypt, Asia, Animals.Super affordable especially for something that can be a fun activity for several ours. Definitely dedicate at least...",5
70,"Reviewed 3 weeks ago
",Toronto,We visited when the Pompeii exhibit was on. It had some great pieces but nothing like visiting Pompeii first hand. I found the rest of the Museum kinda boring to be honest. Lots of paintings but not much in selection of original pieces. I want to see a real mosaic or clothing from way back when and I found all...,3
71,"Reviewed 3 weeks ago
","Washington DC, District of Columbia",This is a full day trip. This place is huge and you can really spend all there day. I went to see the Chihuly exhibit which was amazing.A get way to get out of the snow.,4
72,"Reviewed 3 weeks ago
",Michigan,Enjoyed th Chahulli exhibit last summer and the nature photography one this winter. We downloaded a coupon that got us $3 off each ticket but the 9 day city pass is a good deal if seeing more than one museum per visit.,5
73,"Reviewed 3 weeks ago
","Santo Andre, SP",One of the best museums I've visited. It has some pieces of everything and is indicated to both families on inf=dividuals.,5
74,"Reviewed 3 weeks ago
",,Going there often with a 2yr old .we have a membership so it's a fun spot to go every week. Weekends are packed so we usually go on week days at 10am. They have a special area for toddlers to play. Lots of great exhibitions for adults too . We love it!,5
75,"Reviewed 4 weeks ago
","Newmarket, Canada","world class museum, one of the best in Canada. Our children and family lover it for the wonderful dinosaur fossil exhibits and enjoy the full range of exhibit from Indigenous peoples to natural history and wonderful special exhibits",5
76,"Reviewed 4 weeks ago
","Calgary, Canada",This is a beautiful museum. We spent most of our time in the Canadian and First Nations sections. The artifacts and details are beautiful. We visited on Family Day weekend and although the museum was quite busy there was still lots to see without feeling too crowded.,5
77,"Reviewed 4 weeks ago
",,One of the best museums I've been to (and I'm a history teacher). Great exhibits and a huge variety. Really enjoyed the world cultures on the third floor. I liked the dinosaurs because they told you what was real and what was replicated. Overall comparable to the Smithsonian Museum but smaller and way less crowded!!!,5
