,0,1,2,3
0,"Reviewed 1 week ago
","Oakville, Canada","This place was interesting and had knowledgable people. Great to see that we are saving history, get in free with parks pass.",5
1,"Reviewed 1 week ago
","Long Beach, California",The Klondike is parked at the shore and is visible but you are not able to board. The history is worth a look see.,5
2,"Reviewed 2 weeks ago
",Vancouver,"this is a nice spot to get good information on the Yukon river, the work done by these boats and the work done by the local nations.",4
3,"Reviewed 4 weeks ago
","Sherwood, AR","Gold brought people to Whitehorse and the Yukon but without boats like this, sustaining the community in those early days would have been impossible. Built with a shallow draft that permitted running the river even when the water levels were low made it possible to keep the town supplied and to haul gold and other products to market.The original...",4
4,"Reviewed 14 February 2017
","Alberta, Canada",It was closed today but I poked around with my camera and got some amazing shots. Very well kept and interesting.,5
5,"Reviewed 13 February 2017
",,"Like many of the things in Whitehorse the S.S Klondike tells a story. The S.S. Klondike is very historical, where you can learn about the past of Whitehorse and how it came to be named the S.S. Klondike. This spot is a great opportunity that i belive you should not miss. So if your stoping in Whitehorse go have a...",4
6,"Reviewed 12 February 2017
",Ontario,The S.S. Klondike has been beautifully restored and is a very interesting look into river travel of the early 1900's.,4
7,"Reviewed 18 January 2017
","Whitehorse, Canada","This is everyones favourite attraction in Whitehorse. Learn all about the history of Gold and see how people got to the Klondike. Lovely boat, lovely setting, Parks Canada. And yes people get married in front of the boat. I know because I'm a marriage Commissioner and I marry lots of lovely people there every year. Winter and summer.",5
8,"Reviewed 18 January 2017
",,This historic landmark has been well preserved and is iconic of days gone by. There are tours you can join for a more informative walk or just guide yourself.,4
9,"Reviewed 22 December 2016
",Calgary AB,A National Park attraction. Great visitor experience staff and we'll worth the visit with an overview of the importance of the riverboat during that period.,5
10,"Reviewed 22 December 2016
","Mexico City, Mexico","It is walking distance from the city center, and I would highly recommend visiting this all steam ship. It is a very important part of the Yukon's history that you don't want to miss.",4
11,"Reviewed 9 December 2016
",Vancouver,This is a really interesting National Historic Site that tells one of the many fascinating stories of the Yukon. The interior is great & well worth a visit.,5
12,"Reviewed 29 November 2016
","Juneau, Alaska","The wife and I visited in November. Did not get to see the inside, but was a cool spot for a picture!",4
13,"Reviewed 1 November 2016
","California City, California",This exhibit is free and available to all. It is located in a city park right along the bike/walking path that runs along the Yukon River. We parked the car here and did the exhibit then proceeded down bike/walking path to downtown. Chatted with a few locals on our way to explore some shops and go to dinner. Perfect. Easy...,4
14,"Reviewed 1 November 2016
","Haines, Alaska","The tour of this ship grants us a peek into the life of those living during the Gold Rush and how they experienced life and travel on the Yukon River. Clean, well-developed tour.",5
15,"Reviewed 31 October 2016
","Whitecourt, Canada","was a great piece if Yukons history,especially with all the cargo on board to show us what it all carryed,. and all the firewood it needed to run the bolier",5
16,"Reviewed 30 October 2016
","Folkestone, United Kingdom",The SS Klondike is open 09:30 to 17:00 during the season and admission is free. This was the largest of the British Yukon Navigation Company's fleet and plied the Yukon river between Whitehorse and Dawson City. The stern wheeler has been restored and gives you a glimpse into what life was like before roads when only trains and riverboats linked...,4
17,"Reviewed 17 October 2016
","Whitehorse, Canada","A super well conserved Boat, a must-see when you are in Whitehorse, history, tales, and a journey to the past of the beautiful Yukon River and Northen Territories",5
18,"Reviewed 12 October 2016
",,We walked through the park and crossed the road to the SS Klondike. Unfortunately it had closed for the season but we were still able to walk around and read the informative plaques that they had on the history of the ship.,4
19,"Reviewed 11 October 2016
",Cape Town,"a look into a bygone era of river boats, not in the best of repair but certainly worth a visit. Interesting to see how important this form of transport was not too long ago and make one appreciate their importance in trade in early days.",3
20,"Reviewed 9 October 2016
","West Vancouver, Canada","Very interesting old boat, neat to see the real thing, not just a picture. It must have been a tough life with the river, the rapids, the canyon and some big trees floating down. Never mind being the first few boats after the break up of the ice.Spent a comfortable hour here and could have spent another just looking...",5
21,"Reviewed 3 October 2016
","Victoria, Canada",Back when I lived in Whitehorse you couldn't board the Klondike. Despite having an arsonist attempt to burn it down some years back this tourist site is a must-see to get a feel for what riverboat traffic was like back during the gold rush.,4
22,"Reviewed 28 September 2016
","Tel Aviv, Israel","it is better to visit when it is not rainy, because on rainy days they close the upper deck where you can see the old kitchen, the cabins and the dining room.the visit is very interesting, and you get a good impression of life on board of the Klondike as it was those days.",4
23,"Reviewed 26 September 2016
",Haines,"No trip to Whitehorse, Yukon is complete without a visit to the S.S. Klondike. This ship is situated alongside the Yukon River where it flows through town. You can walk around on the deck and around the grounds where there are placards telling about history of this shipment and the Klondike gold rush.",5
24,"Reviewed 25 September 2016
","Sydney, Australia",We visited the S S Klondike as part of our tour of Whitehorse. It is an iconic part of the Yukon's history and has been restored and kept for all to enjoy.,4
25,"Reviewed 22 September 2016
",,"It was cooler when parks Canada did guided tours, but even without its a neat place to visit.There's a lot more to learn in there than you would think!",4
26,"Reviewed 21 September 2016
","Toronto, Canada",Great place to visit and learn more about the Yukon history. This is a must if you happen to be in Whitehorse.,5
27,"Reviewed 14 September 2016
","Vancouver, Canada",Free to get on board that was very nice .....Close your eyes and you are on your way to the Dawson city to strike it rich.,5
28,"Reviewed 12 September 2016
",British Columbia,Visited on a rainy day so could not go up on the deck but the parts we did see were well preserved and looked authentic.,4
29,"Reviewed 12 September 2016
",Regina,This display is very good. The downside is that due to govt cutbacks the upper level has not been maintained and is now closed to visitors. To bad because it looks very good from what we could see. The price is right.... free! A brochures costs you 2.00 and is necessary if you want to do a self tour. The...,5
30,"Reviewed 12 September 2016
","Hemet, United States",We learned a great deal about the Yukon by visiting. The view from the deck of the Yukon River is fabulous.,5
31,"Reviewed 9 September 2016
","Battle Ground, Washington",Well-preserved and historic boat. I learned new information to me about the Yukon River and how it served as a transportation hub.,5
32,"Reviewed 8 September 2016
","BC, Canada","We got to see the old paddlewheeler for free, because most of it was closed for renovations. Very interesting but I would have loved to get into see all parts of the old boat and not just the cargo deck.",3
33,"Reviewed 6 September 2016
","Gatineau, QC,","We came for a visit on a rainy day but because of the rain, they did not allow people to visit the upper decks--deemed too slippery. We went back another day to visit the rest of the ship and still we were limited on the upper deck because some structural issues. Use of the walking tour guide is a must...",3
34,"Reviewed 4 September 2016
",,I was lucky to see the boat on a beautiful day - makes for great photos. It's free and well worth walking around the quick tour (self guided) to see some history. Parks Canada has done a great job with the whole site and upkeep - really cool! It's right on the Yukon river with the Millennium Trail right beside...,4
