,0,1,2,3
0,"Reviewed 1 week ago
","Kensington, Canada",There is lots of fresh food great select of unique things I haven't seen in a long time and things from other countries. There is some interesting artisans we met Linda who has nice art on old city photos and maps she even hand colors them. I had to have a map Seeing how I'm a tour guide. They even...,5
1,"Reviewed 1 week ago
","Saint John, Canada","The market is a must see place for everyone visiting Saint John.The small restaurants provide relaxing,inexpensive opportunities for breakfast and lunch..not open for dinner.A visit to the Market is a step back into Saint John's rich history.As far as I am concerned,the Market is the number one attraction for all visitors to our city",5
2,"Reviewed 1 week ago
","Saint John, Canada",Good spot to grab a hand made souvenir from Saint John. There are different crafts and jewelry plus fresh fruit and nuts. You can get groceries here and the fresh sea food is excellent.The public washroom is located on the exit to the left half way through the market. You exit at the top right at King Square where...,5
3,"Reviewed 1 week ago
","New Brunswick, Canada","We like going to the City Market and seeing the different types of things offered. It is a interesting spot with lots of fresh produce, coffee, sweets and other things. Always a nice walk through and sometimes there are little tables set up with various vendors.",3
4,"Reviewed 1 week ago
","Saint John, Canada","When I lived in Saint John, all of my grocery needs were satisfied by the market. Not only did I avoid over-packaging, processed foods and unknown additives, I got fresh, reliable produce, locally made and wholesome products and great conversation.Smells, tastes, colours and sounds that are unique to the market can transport you to a completely different zone, just...",5
5,"Reviewed 1 week ago
","Roachville, NB","My wife and I try to visit the market at least once a year. Although vendors come and go, the city market is one of my favorite places to visit. I especially enjoy the various pastries available to the public with my most favorite ""Italian."" From T-shirts to farm fresh meats to lobster/seafood to small bakeries to various wines to...",5
6,"Reviewed 1 week ago
",,"Great place for souvenirs, fresh produce and variety of local products. Great store owners to talk to, talented artists selling their wares.",5
7,"Reviewed 2 weeks ago
",,"Very cute place to go for both travellers and people living around. Have from vegetables to seafood, meat store, bakery, and all kinds of prepared food that you will 99% find what you need. Plus, the store keepers are usually nice and friendly.- $-$$- time: 10mins",5
8,"Reviewed 4 weeks ago
","Citrus Heights, California","This was our first stop on the St John tour and it was a perfect way to start as it offers food, drink, produce, snacks, handicrafts and local made items. I bought snacks unable in the USA and enjoyed for several days. A must in St John.",5
9,"Reviewed 16 February 2017
","Grand Manan, Canada","Great place for fresh produce, meat, fish and souvenirs for the out of towners! Just love the selection of prepared foods!",4
