,0,1,2,3
0,"Reviewed 4 days ago
","Whitby, Canada",great place for a hike ! and a beautiful beach; plenty of picnic spots and even a few fishing spots; the marina restaurant is decent; free parking on weekdays until 5pm ( I hope they still have this),5
1,"Reviewed 5 days ago
",,Absolutely beautiful. Didn't realize that we were staying only 10 minutes away from such a beautiful place. Go during the off season and you very well could be the only ones there. It was an easy walk to the beach/shoreline below the bluffs but wear shoes that you don't mind destroying because it is MUDDY. We were lucky enough to...,5
2,"Reviewed 5 days ago
",Toronto,You can literally walk for kilometers toward the east.It may be crowded on weekends but it's a great place to go for a long walk along the beach,5
3,"Reviewed 1 week ago
","Sao Paulo, SP",Beautiful place very close to Toronto downtown. It's a must if you are with your family (kids) or with your boy/girlfriend. Very good of picnic and outdoor sports.,5
4,"Reviewed 1 week ago
","Toronto, Canada",Good experiences at these venue's. Would most definitely visit these places again and would strongly recommend them.,5
5,"Reviewed 1 week ago
","Toronto, Canada","Great place for hiking walking, safe, great view. Lots of strollers, bikes, and walkers. You can walk hours there and make sure you visit the Guild while you are in the area.",5
6,"Reviewed 2 weeks ago
",,"Although you have to drive to scenic spots in Toronto rather than be surrounded by them, this one is worth it. The cliffs almost make you think of the Bay of Naples when viewed from the top, and by the lake there are lots of scenic walking paths. You really don't feel ike you are in the city at all....",4
7,"Reviewed 2 weeks ago
",Philadelphia,"The place could a bit tricky to find but once you get there, you can appreciate the high rating by the visitors. The views are stunning and the for adventure seekers, there are rock climbing and other opportunities available.",5
8,"Reviewed 3 weeks ago
",Toronto,What an experience!!! Just 15 minutes from the city and a real must see. Spectacular cliffs overlooking Lake Ontario. If you have the chance to see them from the water while on a boat even better!!!,5
9,"Reviewed 3 weeks ago
","Toronto, Canada","This part of the province was originally settled by English Migrants for Yorkshire. So no wonder so many towns, villages in the GTA are named after towns in that part of England (Whitby, York, Scarborough). In the English town there are huge bluffs, hence the name of the eastern part of Toronto.Try to visit on off-peak times. Parking is...",5
