,0,1,2,3
0,"Reviewed 5 days ago
",Ontario,"Most Canadians will have learned about Signal Hill and Marconi in school, so it was a treat to visit this historic place. Even more interesting was learning the back story about the government's efforts to bring Marconi to St. John's, as well as the history of the construction of the building. A great view of the coastline as well.",5
1,"Reviewed 6 days ago
","St. John's, Canada","Very short distance from downtown, and worth the walk or drive. A free attraction and free parking, and fantastic view of the city and the ocean. St. John's best hiking path but only in fair weather.",5
2,"Reviewed 1 week ago
",,"I love coming here. The views of St. John's and the ocean, the information and gift shop inside the tower. There are beautiful hiking trails to take advantage of.",5
3,"Reviewed 1 week ago
","Saskatchewan, Canada","Signal Hill is a special point in St. John's, once on top of the hill, mind your hat so it doesn't blow away, and enjoy the picturesque views of the city and the ocean. There are signs posted to tell you where other places are in relation to you. While no advanced planning is needed to visit the hill, you...",5
4,"Reviewed 1 week ago
","Charlottesville, Virginia","Winter time makes this a very windy and cold location. But amazing views of the ocean . The building was closed ""Monday-Sunday"", so not open in winter I guess.",4
5,"Reviewed 1 week ago
","Ontario, Canada","Firstly, don't miss Signal Hill if you visit St John's! It's worth your time - and the blustery experience of walking the hill top, climbing the Cabot Tower, seeing the fortifications, and walking the paths around this mouth of the harbour. The views are unparalleled. Plan a little time. See the museum and displays, enjoy the souvenir shop in the...",5
6,"Reviewed 1 week ago
",st.john's,If you like sunrise picnics and a spot with a word class view..with some of the best hikeing ive ever seen. This is a bucket list must do,5
7,"Reviewed 1 week ago
","St. John's, Canada","Signal Hill is iconic, with Cabot Tower dominating the landscape as it overlooks the city. It was from here that Marconi received the very first Transatlantic wireless signal in 1901. So, if you visit make sure you go inside the Tower to view the exhibits. Of course, from Signal Hill you get the best views of the oldest city in...",5
8,"Reviewed 2 weeks ago
","Ottawa, Canada",Not the best time to visit this spot but it had beautiful views from every place you looked. It was too dangerous to walk on the trails near the ocean as the winds were to high. About 100 km. Highest Winds in 40 years. We will definitely return on a calmer day.,5
9,"Reviewed 2 weeks ago
","Bay City, Michigan","Though a bit cold and windy in the winter, views are just as picturesque. Never get tired of going there. Would recommend at sunrise/sunset.",5
10,"Reviewed 2 weeks ago
",,"Obviously you wantto go and see the site wherethe first trans Atlantic radio communication was completed. And this also gives you a good view of the Atlantic, and if you get there in the cold months, you could see an iceberg floating at a distance.",4
11,"Reviewed 3 weeks ago
",,If you've ever been to St. John's you have to go to signal hill. This is an absolute must. The views of the harbour is great and you may see a glacier if you're lucky. Go to the interpretive center and get the full experience. Your next visit should be Goerge Street for a pint and lunch. After that have...,5
12,"Reviewed 3 weeks ago
","Mount Pearl, Canada",Amazing views abound at this historical site.The trails are well-kept and some are in the process of being upgraded. The views from the hiking trails and the top of the hill are breath-taking. There are a variety of hiking trails to meet all fitness levels. The visitor center is always clean and there are park rangers to provide information. There...,5
13,"Reviewed 3 weeks ago
","Gothenburg, Sweden","Well worth the climb up the hill, amazing view if the weather is good! We had heavy fog so we could only enjoy the walk up.",3
14,"Reviewed 4 weeks ago
","Montreal, Canada","Great Place to view the Atlantic Ocean, vantage point as well over looking the Habour!! Free to visit and plenty of parking!",5
15,"Reviewed 5 weeks ago
","Regina, Canada","Incredible views of St. John's and area. You absolutely must bring your camera! Spent a few hours visiting here, and it was pretty remarkable to learn so much history in such a short period of time. If the day is nice, do wear comfortable walking shoes, and plan to do some of the trail in and around the area. Great...",5
16,"Reviewed 14 February 2017
","St. John's, Canada",Went to Signal Hill in early August. The wind was so strong it felt like it would hold you up if you leaned against it.The parking lot was full and visitor's were walking around the grounds and climbing up the tower. The view overlooking the harbour takes your breath away.,5
17,"Reviewed 13 February 2017
","St. John's, Canada",The construction of Cabot Tower which was started in 1898 sits on the top of Signal Hill . It is now a Federal Heritage building .The first transatlantic wireless telegraph was sent from there in 1902.It's a very popular site for both locals & tourist. You have an amazing view overlooking the City of St.Johns with its harbour on...,5
18,"Reviewed 13 February 2017
","St. John's, Canada",View is spectacular. History of this site is worthy of a visit by those near and far. When it St. John's is a must see attraction.,5
19,"Reviewed 5 February 2017
","Perth, Canada","A walk up to Signal Hill is part of visiting St. John's. The history of the hill, the view are all important.",4
20,"Reviewed 3 February 2017
","Bristol, United Kingdom",The walks up are not as strenuous as they look from St Johns harbour! Vegetation is interesting and views excellent if you're lucky enough to get a clear day. Can also recommend the cafe/chocolate shop part way up. Good road access but the pathways are more interesting and its great going down!,5
21,"Reviewed 2 February 2017
",,"It's a great place for tourists lots of hiking trails, and a souvenir shop inside signal hill. You can even walk to signal hill.",5
22,"Reviewed 29 January 2017
","St. John's, Canada",Lovely view looking out over the city!!! The tower itself is a beautiful old structure that looks similar to a castle..,4
23,"Reviewed 25 January 2017
","Labrador City, Canada","great place to visit... beautiful view of the harbour and ships around... lots of parking. went during the night for first time,,,and it was so nice to walk the trails to get to the fort...",5
24,"Reviewed 17 January 2017
",,"On Signal Hill is Cabot Tower, the castle which is where the 1st Trans- Atlantic wireless message to England.! You can tour the castle gift store, even go up to the top and look out at the colorful city of St. John's and you can see the narrows . Free. Poster boards available to read to learn history of the...",5
25,"Reviewed 17 January 2017
","St. John's, Canada",see icebergs whales fishing boats and cruise ships naviigate :The Narrows - grat view of the city of st john's snd its protected harbour and fort amherst,5
26,"Reviewed 17 January 2017
","St. John's, Canada","A view like no other. Ocean view on one side snd city,harbour view on the other. Stop in the cafe on the way up the hill for coffee snd a sweet. Walk the beautiful trail around the battery, or just enjoy the breath taking view!",4
27,"Reviewed 17 January 2017
",Kitchener,A must to do will in St. John's. A million dollar view but hold your hat it's windy. Be ready to walk around and have a jacket any time of year,4
28,"Reviewed 17 January 2017
","Red Deer, Canada","If the weather permits, we will always do the hike around the hill. We always try to go with two vehicles and we park one near the bottom of the hill (I think there is a museum or interpretation center there of some kind, also some public washrooms), and the other car we park at the end of the trail,...",5
29,"Reviewed 13 January 2017
","Holyrood, Canada","If you are visiting St. Johns you have visit Cabot Tower at Signal Hill. The history is rich.Breathtaking view! Excellent hiking trails! Whales, icebergs and much more! You will not be disappointed and its free!",5
30,"Reviewed 5 January 2017
","Niagara-on-the-Lake, Canada",Signal Hill so pretty but you have to do a bit of walking so be prepared and it was terribly wind you and cool,4
31,"Reviewed 3 January 2017
","Durham, United Kingdom",Great spot overlooking St. John's. Lots of good trails to wall up from downtown or Quidi Vidi but there is a road if you prefer.,5
