,0,1,2,3
0,"Reviewed 4 days ago
","Clanton, Alabama","Very big and beautiful older church. A lot of detail, pretty Windows, and religious artifacts. I love to check these old churches out.",5
1,"Reviewed 15 February 2017
","Nashville, Tennessee","Attend a mass, or just pop in to see the amazing architecture. 'Feel' the peace. Spend a few minutes or sit and have some alone time. Beautiful!",5
2,"Reviewed 14 February 2017
","Mississauga, Canada",Very nice Basilica . We went on Mass on Sunday. Very oldBasilica with lots of charm.The paintings are very nice.,5
3,"Reviewed 29 January 2017
",,"I am simply amazed with the architecture every time I step into this beautiful church. One truly feels the need to speak in hushed whispers in respect and reverence to the surroundings. From the beauty and majesty of the soaring ceilings to the grace of the stained glass, you are invited to just Be.",4
4,"Reviewed 25 January 2017
","Winnipeg, Canada","Even if you are not a spiritual person, you cannot help but feel something, anything, when here. This is a must see when on the Island.",5
5,"Reviewed 24 January 2017
",Charlottetown,"As a photographer St. Dunstan's Basilica is a remarkable building. From the outside, every crook and cranny has interest. The stones and carvings are intricate and beautiful, each telling a story of time and weathering history. Once you enter the doors you are swept away by the scents, sounds and sights from floor to ceilings to walls and windows. The...",5
6,"Reviewed 4 January 2017
",,Amazed architecture with such a large edifice. I absolutely loved walking around in it.It was spacious to say the least.,5
7,"Reviewed 29 December 2016
","Amherst, Canada","After visiting several amazing European cathedrals, it was interesting to see St. Dunstan's as it is a lovely, scaled down version. We did not tour too deeply as there were prayers we did not want to disturb but I would certainly recommend doing so when the schedule permits.",4
8,"Reviewed 12 December 2016
","Tucson, Arizona",This basilica is located on the walking town for the town. It is very nice old church. Maintenance and beautiful. KOne item of interest was the sigh said that cell phones were not permitted as were in-line skates!,5
9,"Reviewed 4 December 2016
","Calgary, Canada",Every time I bring someone to Charlottetown I cannot avoid a visit to the Basilica. It is an amazing structure full of history in one of the most historic neighbourhoods in Canada. Great George Street has beautiful rustic lantern style Street lamps with beautiful hanging flower baskets leading to the legislative building where PEI received its name the cradle of...,5
10,"Reviewed 29 November 2016
",,"This is my home parish now & for a number of years, but I'm reviewing it not so much as a review but as a method of sharing an exquisitely beautiful cathedral. Open daily, I attend Mass here on weekdays when I may (@ 12:05) and am a regular at the 5 o'clock on Sunday where the music will absolutely...",5
11,"Reviewed 27 November 2016
",Toms River,"If you enjoy visiting various houses of worship as we do, then I would say that this church deserves your attention. Although it is not the most ornate church that we have come across it is both pleasing to the eye and soul.",4
12,"Reviewed 21 November 2016
","Crossville, Tennessee","We had talked to a local couple that were eating at the Olde Dublin Pub, who were going to a wedding. As we walked by St. Dunstan's Basilica, we saw them come out.With a wedding going on we did not go inside. This was the Jubilee Year of Mercy and St. Dunstan's Basilica had the Holy Door.",4
13,"Reviewed 5 November 2016
","Thunder Bay, Canada",Having visted Gastonbury in England last year I was fascinated to find such a magnificent cathedral honouring this modest monk who rose to become the Arch Bishop of Canterbury...one of a long line canonized by the Roman Catholic Church. Today we think of Canterbury more in terms of the Anglican Communion making this place even more interesting. The building itself...,5
14,"Reviewed 27 October 2016
","Edmonton, Canada","Went to Sunday mass, bonus was the great architecture in well kept parish and pipe organ played well with soloist",4
15,"Reviewed 26 October 2016
","Halifax, Canada","Lovely Basilica and not busy when we visited. Some very interesting stain glass windows - some traditional, but some more modern styles which almost seemed out of place. Free entry, but obviously donations are welcome.",5
16,"Reviewed 26 October 2016
","Corunna, Canada","This is a very beauty church...if you are in Charlottetown it is a must see! The inside of St. Dunstan's Basilica is spectacular. The stain glass windows are breath taking. Enjoy your visit, you will not be disappointed.",5
17,"Reviewed 23 October 2016
","Albany, New York",This cathedral is beautiful and worth a visit. It is good to see an important religious structure being maintained. You can feel the presence of God.,5
18,"Reviewed 20 October 2016
","Ottawa, Canada",It is a lovely basilica. Very inviting for people come inside and look around. Very worth your time to look into.,5
19,"Reviewed 16 October 2016
",,"Definitely a must to visit. The basilica is beautiful, I wish we would have been able to attend mass there. There is a neat display with a small boat used by a former bishop to travel to different communities. There is an impressive pipe organ that I imagine sounds awesome. Next time we will make sure to attend mass there.",5
20,"Reviewed 14 October 2016
","Sandpoint, Idaho","Although this is beautiful church with an incredible organ, I didn't find it particularly interesting. The stained glass windows had modern looking individuals portrayed in them. The candles to light for others were the most expensive I've ever seen at any other catholic church.",3
21,"Reviewed 14 October 2016
","Jonesborough, Tennessee",The spires dominate the skyscape and the inside is just as amazing. The stained glass windows are modern scenes and compare easily to some of the best in Europe. A must see in Charlottetown!,5
22,"Reviewed 12 October 2016
","Charlottetown, Prince Edward Island, Canada","It's like stepping into history! Beautiful sculptures and paintings, the organ just envelopes the whole congression. Only downfall is that some tourists don't respect the signs when there is a private function, and just wonder through anyway.we were there for a wedding and tourists came right in and took pictures of the alter as we were waiting for the wedding...",5
23,"Reviewed 10 October 2016
","Oakville, Ontario, Canada","We hadn't plan on visiting the basilica on our trip to PEI but when we saw the outside of the church during our walk in old Charlottetown we decided to drop in and were not disappointed, just a spectacular church with great murals and stain glass windows.",5
24,"Reviewed 8 October 2016
","Edgewood, New Mexico","Over the years, we have seen many churches and each one is unique... do go inside and enjoy this one. It is not far from the port. Lots of other interesting buildings along Rue Great George ...",4
25,"Reviewed 7 October 2016
",Florida,"Built in the early 1900's, this church is worth the visit. It is open daily until 5PM so be sure you add this to your list of places to visit in Charlottetown.",4
26,"Reviewed 7 October 2016
","Miami, Florida","Take a nice long walk around the building, it is lovely to look at, easy to find. Then, take time to have a peaceful moment to be thankful. A nice addition to day visit to lovely town.",5
27,"Reviewed 4 October 2016
","Region of Waterloo, Canada",If you are into churches or architecture it is worth seeing. There is a parking lot close by and a pub just up the street so it's easy to make it a walk by stop when you are downtown.,5
28,"Reviewed 3 October 2016
","Leesburg, Florida","This is a beautiful place to visit, light a candle for a loved one who has passed, meditate. We love to visit cathedrals and were very happy to stumble across this one as we walked around Charlottetown.",5
29,"Reviewed 2 October 2016
","London, Canada",We were out walking before 8:00 am and the Basilica was open. Amazing workmanship inside and on the exterior of the church. I didn't see any literature on the inside of the church and did not see anyone to ask questions. When we continued on down the street a company was removing old cast bells from the basement area of...,5
30,"Reviewed 30 September 2016
","Prince Edward Island, Canada",Oh the beauty of this Church. You just can't drive by. Goose bumps when entering. Was very busy with so many tourists. It is just so amazing!!,5
31,"Reviewed 28 September 2016
","Philadelphia, New York",A gothic church that has far more to offer on the outside than on the inside. It is truly lovely from afar. I likrd the stain glass window over the altar but not the modern ones on the windows,3
32,"Reviewed 28 September 2016
",Calgary,This is an historic site in downtown Charlottetown. The visual effects are most enjoyed from outside. Had a chance to take a look inside but mass was starting so we did not venture too far. This is not an ostentatiously decorated church.,3
