,0,1,2,3
0,"Reviewed yesterday
",,"great market, so many various foods! great location and indoors - perfect for shopping this time of year.",4
1,"Reviewed 2 days ago
","Walton-On-Thames, United Kingdom","Mainly food market not to long a walk from centre. Colourful, wonderfully displayed fruit n veg. Lots of meat and fish also",4
2,"Reviewed 2 days ago
","London, United Kingdom",I travelled to Toronto with Friend of mine and we discover this place near Novotel Toronto downtown.On the outside it looks like ordinary shopping mall and it is after you enter that you realised it isn't. Good points - It has food from around a globe (well mostly.. almost Polish (I was born in Poland it their Cotlette isn't...,4
3,"Reviewed 4 days ago
",,"St Lawrence Market is a great spot, very busy with all the people and vendors, the spices the cheese the meat and the wine all makes for a very enjoyable experience. I recommend taking extra time to take it all in you will see foods from all around the world",5
4,"Reviewed 4 days ago
","San Diego, California","We had never been to Toronto, but our son recently moved there for his job and lives about two blocks from this market. I had heard about the excellent bacon peameal sandwiches at the Carousel Bakery, and insisted we go there our first day for lunch. The market is two stories of food, shops, and butcher/fish counters. If I lived...",5
5,"Reviewed 4 days ago
",,"I tend to make my visits on Saturday mornings, but always try to get there before 8:30am as after that it just gets too busy. From meats and cheeses, to homemade pastries and lasagnas, this place has everything. Plenty of seating outside to grab something for lunch and hang out in the sunshine. The vendors clearly take pride in their...",5
6,"Reviewed 4 days ago
","London, United Kingdom","Need somewhere with plenty of food options? This is the place!From fresh produce, to baked goods and anything else you might want, it's all here.There's also some souvenir shops to grab that little gift. Wander around, grab a bite to eat, and enjoy one of the oldest market squares in Toronto.",4
7,"Reviewed 5 days ago
",,"Great place to go when you are hungry. Historic venue with all the cheese, meats, pastries and cakes you could want. Skip lunch and go here instead.",5
8,"Reviewed 5 days ago
",Toronto,"There is just about everything you would need to make a plain or exotic meal.I wish however, there were more varied places to eat.",4
9,"Reviewed 5 days ago
","Montreal, Canada","It's a fun place to visit, easily accessible. You can just look, but fresh food or stop in for a bite. Open atmosphere and there are tables outside to eat. Or just come for a look around.",5
10,"Reviewed 5 days ago
",,A great place to walk around on a Saturday. So many different things to see. Awesome pea-meal sandwiches.,5
11,"Reviewed 6 days ago
","Windsor, Canada","A great place to sample foods, people watch,and enjoy all things great about Toronto . A must see destination for anyone visiting this vibrant city.",5
12,"Reviewed 1 week ago
",Stoney Creek,A great place to buy local and see some wonderful food. We thought it was a great snapshot of the city with vendors from all heritage backgrounds. Don't miss Kozlicks Mustards--so many flavors and excellent prices.,4
13,"Reviewed 1 week ago
","Bracebridge, Canada","If you can't find it at St Lawrence Market then it doesn't exist! Very knowledge and friendly shop staff. Great vibe, clean!! This market is in a great part of the city. It was just a 3 minute walk from our hotel too. Open all day long",4
14,"Reviewed 1 week ago
","Waterloo, Canada","Stopped here, shortly after arriving on the train. I had pictures in my mind of a much bigger market, think Budapest, and other European countries. I was disappointed. There was a decent mix of fish mongers, butchers etc... and there was some kitchy dealers in the basement, but overall, I was less than impressed. I expected more places to eat,...",3
15,"Reviewed 1 week ago
","Chicago, Illinois","At the St. Laurence Market you can stroll through every type of fresh food, bakeries and kitchen gadgets! If you go hungry lookout below! You will buy everything! Also for those visiting there are some fun souvenir shops!",4
16,"Reviewed 1 week ago
","Akron, Ohio","We're from Cleveland and while our West Side Market is great it doesn't compare. Ethnic foods and spices of all kinds, places to grab a bite and more. The bakery on the lower level is divine, and the place is full of fresh proteins and produce, cured meats, and several cheese mongers. If you like markets you'll like it. Only...",5
17,"Reviewed 1 week ago
","Montreal, Canada","The food options at this market are amazing.Must sees include: the mustard stand, the seafood place and the pasta place. Make sure you don't miss the dessert stop, the coffee haven, the freshly squeezed juice stand and the Eastern European food stand - all downstairs.The one thing that is a sore disappointment (and was an unbelievable shock when...",5
18,"Reviewed 1 week ago
",,A great place on wander around on the weekend. Lots of little places to grab breakfast or lunch. Lots to see.,5
19,"Reviewed 1 week ago
",,"stopped by here to check it out. I love checking out markets when I travel. This one was great. Lots of different things offered and the staff at the shops were extremely friendly and willing to tell you all about the local items. I wondered around for almost 2 hours and had lunch there. great place, just wish I had...",5
20,"Reviewed 1 week ago
","Toronto, Ontario, Canada",The peameal bacon sandwiches are not to be missed. A great vibe here on Saturday morning. Wonderful fresh food and produce and lots of activities. My kids used to love coming here on Saturday morning.,5
21,"Reviewed 1 week ago
","Mississauga, Canada","St. Lawrence Market it Toronto's ""cleaner"" market. Don't get me wrong, Kensington Market has it's appeal, but is you are looking for a slightly more upscale market then checkout St. Lawrence Market.",3
22,"Reviewed 1 week ago
","Toronto, Canada",The st. Lawrence Market is a landmark in the heart of Toronto's downtown district. Here you will find vendors supplying fresh food produce Meats Fish etc. If you can't find it at the st. Lawrence Market it doesn't exist.,5
23,"Reviewed 1 week ago
","Ottawa, Ontario, Canada","An interesting, fun market. Great food! We were there during the winter and it was still busy, I would imagine that during the summer it would be wonderful!",4
24,"Reviewed 1 week ago
","Toronto, Canada",only negative thing i have to say about the market is the practice of vendors increasing their prices on the weekend. why is a peameal sandwich 30% higher on the weekend? very bad practice and shame on you carousel,5
25,"Reviewed 1 week ago
",The Netherlands,"The market is definitely not worth a visit. You couldn't spend an hour or so just looking at beautiful displays of meat, every type of fish and sea food you could imagine and the fruit and vegetables are amazing. If I lived in Toronto, I'd be shopping here.",5
26,"Reviewed 1 week ago
","Toronto, Ontario, Canada","You can not leave the market empty handed .. they have everything from fruit/veggies to meat, fish, spices, cakes/pies ... and the day wouldn't be complete without picking up lunch ... Peameal bacon on a bun! The sights, smells, the people .. truly an experience you would not want to miss",5
27,"Reviewed 1 week ago
",,"Reminiscent of European markets in Old Toronto. Great to still have a stalwart market experience in a foodie city full of upscale chain markets. High quality stalls offering basic and unique ingredients, mostly local. Not fancy and full of real people shopping for good food along restraunteurs. Lovingly restored building with an upper gallery/museum space featuring old Georgian/Victorian Toronto. Too...",4
28,"Reviewed 1 week ago
","Toronto, Canada","Just don't go Sunday & Monday - they're closed!! If you have the opportunity to go mid week in the morning the selection is excellent and very fresh. You and get absolutely everything here ... most places will let you taste an item if you're shopping and not sure. Lots of local vegetables, imported cheeses from France and all over...",5
29,"Reviewed 1 week ago
","Toronto, Canada","A great place to sample a variety of food that makes Toronto so great. Everything you need to make a great meal in one place. Makes sure to grab some mustard, as you can find a variety of interesting and delicious combination at Kozliks. Plan to spend a least a few hours here and make sure to try the peameal...",5
30,"Reviewed 1 week ago
","Compiegne, France",Incontournable dans la visite de Toronto. Marché typique. Restauration rapide possible sur place. Unavoidable within your tour of Toronto. Typical market. Typical fast food. Right place to meet and discuss with native people.,5
31,"Reviewed 1 week ago
","Toronto, Canada","The stalls, the merchants, the people, the delicious smells and Buster's Cove (best fast food seafood in the city) ...what a great way to spend a couple of hours.Don't visit on Saturdays with kids...it is crazy busy. And don't expect to find anywhere to sit and enjoy a coffee...there is simply not enough seating areas given how popular it...",5
32,"Reviewed 1 week ago
",Southern California,"From Italy, France, Hong Kong, Los Angeles, Chicago etc, this market ranks one of the best in the world. It is a must see.Must experience. Located in a heritage building in downtown Toronto, easy access from Go Train, Go bus, subway and driving, it is worth a stop to this iconic foodie heaven.",5
33,"Reviewed 1 week ago
","Melbourne, Australia",Interesting place to spend an hour and have a nice lunch. Lots of stuff to see and it isnt too hard to get to especially on a hop on-hop off bus tour,3
34,"Reviewed 1 week ago
",,"Grab a bite to eat at the famous (?) Paddington Pub and your shopping for fantastic steak and veggies all at the same time, St. Lawrence Market has it all to offer. Organic produce, bakery delights or the freshest fish in the city....under one roof ...this place has it all. Come and enjoy one of Toronto's best food emporiums... you...",5
35,"Reviewed 1 week ago
","Toronto, Ontario",Largest farmers market in Ontario. Great experience to buy a variety of food items. Quaint small restaurants to rest sore feet and indulge in lighter fare. Busy on weekends and parking can be a chore. Both indoor and outdoor stalls to browse and here is more than food for the avid shopper.,5
36,"Reviewed 1 week ago
","Toronto, Canada",This is a great place to visit when you come to Toronto or if you live here and haven't been in a while head down.They have everything from fresh fish to cheese and plenty of samples .,4
37,"Reviewed 1 week ago
","Niagara Falls, Canada",This place is crawling woth people and very busy so keep eyes on kids at all times.Not much here but food and crafty sales and clothing. A typical flea market but more confined and lots ofnpeople.We wont be going again.,2
38,"Reviewed 1 week ago
","Toronto, Ontario, Canada","Oh for God's sake...it's a mess. Most of it is crap.....better to go to Parliament St. with butchers/fish mongers, cheese shops, Daniel & Daniel.",1
39,"Reviewed 1 week ago
","Toronto, Canada","Great place for shopping and browsing, has everything households items, food, you can have lunch as well.",4
40,"Reviewed 1 week ago
",toronto ontario canada,I love this market reminiscent of by gone daysGreat finds great food ? When I visit in Toronto I try to make this a must stop,5
41,"Reviewed 1 week ago
",Bowmanville,"We live over an hour East of Toronto, but it is always a fun day when we can stop in at the St. Lawrence Market. Great deals on the freshest of all your grocery, meat, seafood, and cheese items. Great place to grab a sandwich before heading up Yonge Street.",4
42,"Reviewed 1 week ago
",The Netherlands,"Take a walk along the indoor market and enjoy the fresh products from all over the world. Excellent meat, fisf, cheese, gruit, vegetables and Canadian wine and much more!",4
43,"Reviewed 1 week ago
",New Jersey,"A foodie's paradise with scores of shops and stalls offering various types of foods, both fresh and prepared, spanning various ethnic groups. One can get fresh seafood, meats, cheeses, wines, fruits, vegetables etc., yet also get various prepared and baked delicacies. There are places to eat your purchases on the premises. Downstairs, is a bit touristy with some shops hawking...",4
44,"Reviewed 1 week ago
","Lincolnshire, England",Stroll around the food stalls & sample the local produce - especially a Bacon peameal - I will never look at a bacon sandwich in the same way again - LOL!,4
45,"Reviewed 2 weeks ago
",,"Bustling market, some of the food vendors are not up to scratch with regards to food and safety. The guy who was selling freshly made pasta was great though. Stay away from the Chinese.",3
46,"Reviewed 2 weeks ago
","Toronto, Canada","Why not shop where many of the great Toronto chefs buy their seafood, meats and veg? The challenge will be deciding between all the great vendors at this market. Remember that it is closed on Sunday and Monday to avoid disappointment. If you are around on Saturday morning, the farmer's market has moved to a temporary structure just south of...",5
47,"Reviewed 2 weeks ago
",Perth,Too crowded not home feel tourists everywhere... if you can avoid...theFood you are served comes out of a packet unless you go for greasy food and it comes out of oil.. would recommend only for getting some rest from the cold outside if you come in winter,1
48,"Reviewed 2 weeks ago
",,"There are many local shops that sell food. The wine shop is a must go store. They have good ice wine (4,5 kinds) but don't expect to get it cheaper there because it's not ( and not more expensive ).",4
49,"Reviewed 2 weeks ago
","Toronto, Canada","Toronto is very multi-cultural and was to a large extent built by immigrants from Europe. The food at St. Lawrence Market is a reflection of that old world charm, with amazing cheeses, meats, fish, butchers and bakers. It is a foodie paradise, a great place to visit for a quick lunch (yummy Portuguese chicken sandwiches, fish and chips, peameal sandwiches,...",4
50,"Reviewed 2 weeks ago
","Niagara Falls, Canada",Loved this market every thing and more you can find here . Loved the diversity . Every thing in one spot . Summer months are the best .Alot more vendors inside and out . Busy place to be .Bring a cart you'll need it so much to buy .,5
51,"Reviewed 2 weeks ago
","Toronto, Canada","A lot things you can buy, try and look. I brought a lot organic vegetable and fruit. Had a yummy pasta for lunch. I will come back soon.",5
52,"Reviewed 2 weeks ago
",,"Great landmark to visit. One of the original places in Toronto. Lots to see, eat and just overall interesting place to visit.",5
53,"Reviewed 2 weeks ago
","Waterloo, Canada","The historic location of the market is a key feature. Beautiful architecture, the scenic location is worth the visit. Otherwise, similar to many markets with various meat, produce and cheese vendors along with a couple gift shops. Prices seemed high for market however, having everything in one location is a plus.",3
54,"Reviewed 2 weeks ago
",kw,Its nice the old structure housing the market but comparative to other markets like st jacobs its not the best representation of toronto...it does have variety.... just not as unique as i thought it would be,3
55,"Reviewed 2 weeks ago
","Toronto, Canada","The best seafood, cheese, vegetables and fruit, you name it they probably have it;worth checking out",5
56,"Reviewed 2 weeks ago
",,I found the market very overrated as it was super crowded but the prices is something which you can get at most of other places. Only advantage is you get all meat under one roof.,3
57,"Reviewed 2 weeks ago
","Toronto, Canada",Have been to many markets in Canada and Europe. The St. Lawrence Market is among the best and definitely world class.,5
58,"Reviewed 2 weeks ago
",Canada,We have visited the market on many occasions. This is a great place to buy many different types of food. This is a Toronto landmark and a good place to spend a Saturday morning. Love the selection of cheese and olives from various vendors.,5
59,"Reviewed 2 weeks ago
",,"Is not for kids there are not much things to play, but if you are first time visit Toronto is a good place to buy gift.",4
60,"Reviewed 2 weeks ago
","Windsor, Canada",Always worth the time to go to the market when in downtown Toronto. Stopped Saturday afternoon for about an hour and wandered throughout the stalls. For torontonians this is a real goldmine downtown. Everything's available and fresh. Worth the time even for out of towners. You can always find hard to find foods and spices not found in smaller areas.,5
61,"Reviewed 2 weeks ago
","Kenora, Canada","Great market as markets go - not too busy when we went so was easy to move around. Loads of fresh cheeses, meats, seafood and baking - whether looking for lunch or take away groceries there's a ton to shop!",4
62,"Reviewed 3 weeks ago
","Toronto, Canada",So many great stores. So much great food. Quality is very high in most of the stores and service is good as the people working the stalls are usually very knowledgable,3
63,"Reviewed 3 weeks ago
","Dubai, United Arab Emirates","St Lawrence Market has been listed as one of the top 10 farmers markets in the world. This building was actually built in 1870. Beautiful structure in an amazing area. Great place to go for tourists - Amazing collection of souvenirs, found to be cheaper than most places outside. Their selection of olives, antipasti, cheese, wine, fruits and vegetables, seafood,...",5
64,"Reviewed 3 weeks ago
","Sao Paulo, SP",You must go there on any Saturday to experiment the vibrant and happy Canadian food market. Several stores with fantastic different types of food. It is impossible get there ando don't buy anything.,5
65,"Reviewed 3 weeks ago
","Paris, France",Nice area the buildings really worth the visit !Some cute shops and local shops . A lot of thing to see around there just close to Chinatown,3
66,"Reviewed 3 weeks ago
","New York City, New York","We enjoyed our morning walk through the market, stopping at different stalls for coffee and food. Some great Canadian options which we enjoyed being from out of town.",4
67,"Reviewed 3 weeks ago
","Portishead, United Kingdom","You can get anything in this large market, the food and fish presentation is second to none, and the colours and aromas fill the senses, the stall holders take a real pride, and the prices are cheap, if you are self catering, then buy all the food you need here for a week, a truly remarkable market, Hope this has...",5
68,"Reviewed 3 weeks ago
","Hamilton, Canada","Went to the market with my 14 year old son and had the best afternoon I could have hoped for. Great tastes from around the globe, lots of neat stuff to see and people watching is probably as good as any where I've been.",5
69,"Reviewed 3 weeks ago
","Richmond Hill, Canada","I have been bringing out-of-town visitors here for years because there aren't a lot of places like it. But the market is full of every over-priced fake piece of Canadiana that you can imagine. There are a few good places to eat (Uno Mustachio has the best Italian sandwiches in the city), but most of the places serve tiny portions...",2
70,"Reviewed 3 weeks ago
","Toronto, Canada","Very cool spot in downtown Toronto, a variety of different foods, very fresh produce, fish, cheese. It's on the smaller side but you can find a variety of things including souvenirs. Bring cash, I seem to remember not everybody took credit",4
71,"Reviewed 3 weeks ago
","Stratford, Canada","St.Urbain bagels, Portuguese egg tarts, cheese shops, olives, great butchers.....where do we stop! Be sure to talk to the vendors, they're great.",4
72,"Reviewed 3 weeks ago
","Sherbrooke, Canada","Oh, luv luv luved this market! Very nice place to try so many different cuisine! If your looking to buy Cheese, meat,, organic food, souvenirs, or cooked food, this is the place. Highly recommended!",5
73,"Reviewed 3 weeks ago
",,Visiting TO and went to the market to get dinner for a special birthday party - lots of selection - the lamb was great as well as the cheese and the bread. Great for wandering around.,5
74,"Reviewed 3 weeks ago
","Ho Chi Minh City, Vietnam","St. Lawrence has high quality food stalls and oodles of delicious cheeses, olives, seafood, and other things. My favourite is the kitchen shop that sells all sorts of baking and kitchen items.The prices here are a bit higher than you'd find outside, although the novelty and area are the reason.",4
75,"Reviewed 3 weeks ago
",,"I love walking into the Market, great vibrs. The fish counters are my go to spots. I enjoy the fact that you can but fresh foods but also can sit and have a bite, try the Greek food downstairs or the Fish take out at the back. Go for some fish and veg and stop at one of the bakeries...",5
76,"Reviewed 3 weeks ago
","Fort Gratiot, United States","On our weekend away in Toronto. The hotel staff suggestions a visit to St Lawrence Market. I had no idea what to expect. There was wall to wall vendors, so many meats, produce, homemade pastas and pastries. The aromas were amazing.",5
77,"Reviewed 3 weeks ago
","Toronto, Ontario, Canada",Wonder where to get that special cheese you tasted in France on a croque-monsieur but cannot find it at Loblaws? How about creme fraiche for that unique dessert you want to prepare for your loved one? What about a filet mignon that will melt in your mouth? St. Lawrence market is the place to go! If you like vibrant and...,4
