,0,1,2,3
0,"Reviewed 1 week ago
",Toronto,"This street is good if you're looking for options of restaurants and some stores! We went to a great restaurant on this street called the Bank and Baron. It's a very old bank that has now turned into a pub. It holds a lot of history in there and they've decorated it really nicely. If you go, make sure you...",3
1,"Reviewed 2 weeks ago
",,I walk on Stephens avenue a lot and in the winter it can be very slippery. In the summer you need to be careful and watch for the cyclists as there is two way cycle traffic down the center of the walking street. Put the phone down and only take pictures when you are stationary otherwise you might wander into...,3
2,"Reviewed 2 weeks ago
","Calgary, Canada",Lots of places to stop by and shop/eat and people watch. More fun in the summer with attractions like bands and street performers.,4
3,"Reviewed 3 weeks ago
","League City, Texas","We visited the street several times during our time in Calgary. The restaurants, art, and buildings are interesting and it is a vibrant part of this city. Definitely great for people watching and for evening activities. There are quaint coffee shops, family owned restaurants, one of a kind chef owned restaurants, and a few chains as well.",4
4,"Reviewed 14 February 2017
","Calgary, Canada",Great places to shop and eat and to people watch. You are right downtown without the fear or noise of traffic. Most interesting.,5
5,"Reviewed 11 February 2017
","Calgary, Canada",I love being downtown but I would love to see more shops and markets here. It gets very quiet on the weekend!,3
6,"Reviewed 17 January 2017
",,Stephens Ave is a great place to find a lunch venue outside or to knock off a little early with some friends and meet for cocktails. A very diverse mix with f establishments ranging from shopping to restaurants and office buildings.,4
7,"Reviewed 2 January 2017
",,"great shops, i have visited in both July and December.In the summer it's lively with food trucks and buskersmany restarauts",5
8,"Reviewed 23 November 2016
","Calgary, Canada","Stephen Avenue (8th Avenue SW between 3rd St SW and 1st St SE) is a mostly pedestrian street with plenty of restaurants, coffee shops, pubs, and shopping. It is alive in an otherwise fairly dead downtown core area.Perhaps you can ignore the fact that the city is designed for cars instead of people and do a walking tour of...",4
9,"Reviewed 23 November 2016
",,"Feel downtown, Feel Live, Food, Drinks, Shopping you will find everything walking down the Stephen Avenue.",5
10,"Reviewed 15 November 2016
",galway ireland,if you like shopping this is the place for you and with some good restaurant's you will have a good day but you must be into shopping,5
11,"Reviewed 4 November 2016
","Okotoks, Canada","Stephen ave is nice to walk down, has some nice restaurants. Has a decent atmosphere in summer when everyone can sit on the balconies.",4
12,"Reviewed 2 November 2016
","Sydney, Australia","The trafficless Stephen Street mall is mainly paved and has established deciduous trees which are beautiful in the autumn and has a number of interesting historic buildings along with some interesting new designs.Lots of cafes and places to eat,buy souvenirs,clothes shopping or just enjoy the outdoors.Buskers and beggars go hand in hand.",4
13,"Reviewed 2 November 2016
","Ontario, Canada","Our first visit to Calgary was in October 2016 and our hotel concierge suggested we walk on Stephen Avenue, a pedestrian walkway void of cars and traffic with a large variety of different shops, bistros, restaurants, pubs and retail stores. At each end of Stephen Avenue are large pieces of artwork that confirm we were entering a different part of...",4
14,"Reviewed 1 November 2016
","Warwick, Canada",Enjoy the walk through Stephen avenue with lots of local pubs and entertainment spots to spend days enjoying the local Alberta way of life,5
