,0,1,2,3
0,"Reviewed 2 days ago
","Kitchener, Canada","My wife and I have been to several Stratford productions and we're happy to take guests along with us. There is impressive artistry in every costume and set design. Treat yourself and try to get a backstage tour that reveals the magic behind the incredible stage presence. These tours are only available at limited times, but, adds greatly to your...",5
1,"Reviewed 6 days ago
","Toronto, Canada","When you studied Shakespeare in high school, your teachers tried to explain what a real Shakespearean theatre was all about.... well, this is it....close to the audience... lots of clever ways to move characters onand off the stage... simple creative sets... but the best is the sound!These HUGELY talented actors can be heard in every corner of the theatre....",5
2,"Reviewed 1 week ago
","Ontario, Canada","reviewed the dates, prices, times of play on the stratford festival website. was going to purchase tickets for a birthday present. a day later after getting agreement on show, date, time, prices went to book the seats on line and prices for the same show, seats , time etc. had jumped 30 bucks. apparently they offer discounts to various groups...",1
3,"Reviewed 1 week ago
","Stratford, Canada","The quality of the workmanship that goes into every play staged at the Stratford Festival Theatres is outstanding. Costumes are true to the periods, sets, and characters. I enjoy looking at the sets, costumes and lighting effects almost as much as I do the plays. Excited about several coming up for the 2017 season. Hypocondriac and Shakespeare in Love were...",5
4,"Reviewed 1 week ago
","Toledo, Ohio","I have been going to the Stratford Festival for 24 years. We look forward to it every summer. We usually see two, three, sometimes four shows depending on timing and what is in production. The quality of the theatre is unmatched. We have taken our daughter, and now our son who loves it as well. We stay in different B&Bs,...",5
5,"Reviewed 2 weeks ago
","Oshawa, Canada","I go see at least one play every year at the festival, the Shakespeare is my favourite, but the family shows are excellent as well. I have yet to try one of the musicals, but I am looking forward to checking out Guys and Dolls this year. Lovely shops and great walks.",5
6,"Reviewed 18 February 2017
",,"Both were excellent! I wasn't sure about the Hypocondriac, but the satire was delicious. Stratford is wonderful with staging, so there isn't a bad seat in the house. Shakespeare in Love was fun too. Lightweight, but fun. You can't go wrong with live theatre.",5
7,"Reviewed 5 February 2017
","Toronto, Canada",we have visited Stratford every year for the last 35 years and enjoyed every one! It is a special place of theater excellence in SW Ontario with an amazing variety of shows from musicals to Shakespearean comedies and tragedies. We usually binge on four or five plays over a weekend along with gourmet dinners and a little shopping. Highly recommend...,5
8,"Reviewed 1 February 2017
","Greenville, South Carolina","Have you ever wondered where you could find high quality Shakespeare productions without having to pay to travel to England? Inquire no longer. Stratford, Ontario puts on the highest quality Shakespeare festival outside of London. The Stratford Shakespeare Festival runs the length of the summer and offers some of the best Shakespeare I've ever see. And, I've seen Shakespeare in...",5
9,"Reviewed 17 January 2017
",Canada,"It has been a number of years since last visiting Stratford, but after the last visit we have to make this a yearly escape. Last season we saw Shakespeare in Love and it was better than the movie on which the play is based. The acting. the costumes the sets were all first rate. Stratford is also such a pretty...",5
