,0,1,2,3
0,"Reviewed 19 December 2016
",Vernon,Unique and interesting if you know the history behind it. A bit bewildering if you just stop and look around. If you understand that by this date many if the signs are from descendants of American soldiers that help build the Alaska Highway. It is fascinating from that perspective.,3
1,"Reviewed 9 December 2016
",,"It was a bitterly cold day when I visited, but enjoyed it all the same. There is a lot of signs. If you are driving by, take a moment to stop. I was there off season, so that is all I can really say.",5
2,"Reviewed 2 November 2016
","Victoria Capital Regional District, Canada",It's fun to read the many different signs from all over the world and with over 1/2 acre of sign post you can be there all day!,5
3,"Reviewed 9 October 2016
","Dubai, Dubai, United Arab Emirates","A surprising ""museum"" that will take your attention for sure. Lots of signs and car plates from all countries.",5
4,"Reviewed 24 September 2016
","Eagle River, Alaska","78,000 signs from around the world, including streets, cities and family names. Must see to believe.",5
5,"Reviewed 23 September 2016
","Vancouver, Canada","We always felt very welcomed in all visitors centres in Yukon and there was always really nice and helpful staff there but here - WOW. Totally exceptional, ladies working here deserve ""best visitor centre worker ever"" award! Seriously, very efficient, knowledgeable, kind...thank you so much! Plus there is a nice display inside as well and of course signpost forest outside...",5
6,"Reviewed 22 September 2016
","Haida Gwaii (Queen Charlotte Islands), Canada","Great Info Centre, the ladies running it are excellent at there job, very friendly and very helpful. Best info centre I have been to in awhile.The sign post forest is something to be seen,,, with about 80,000 different signs nailed to trees or posts, it reall quite cool. We stopped here with the plan to hang our sign, you...",5
7,"Reviewed 21 September 2016
","Sundre, Canada",It is amazing to see so many different signs from all over words can explain how cool it is I never seen anything like that ever we walked around and looked at all and went to the interpretive centre and the people there we super helpful,5
8,"Reviewed 16 September 2016
","Penticton, Canada",we visted watson lake i ==we took the licence plate of the family car we had in scotland and added to the inventory of licence plates name tags etc this place is a great place to see all the signs from around the world and we left a bit of family histroy there the plate# VSF 61,5
9,"Reviewed 14 September 2016
","Vancouver, Canada",Amazing. make sure you Bring the sign ! I wish I did. Signs from around the world. Be prepared to stay and get lost around the world. :),5
10,"Reviewed 12 September 2016
","Campbell River, . B.C.","Looking around, I would have to say most of these signs must of been stolen from their respective towns, places etc. But very interesting all the different places people come from. Had I known about this place, I would have had a sign made.",4
11,"Reviewed 12 September 2016
","Kamloops, Canada","Tres cool! Amazing that so many people brought signs. We forgot, but will definitely bring some the next time. Awesome tourist centre here!",5
12,"Reviewed 9 September 2016
","Battle Ground, Washington","Hard to explain, but it's a can't-miss sight. Get out and walk through and you can appreciate how many people have stopped and put up a sign. They come from all over the world. Our caravan searched for all the previous caravan signs.",5
13,"Reviewed 8 September 2016
",,"When I drove into town my jaw dropped seeing the sign forest for the first time. I had never heard of it and was totally surprised! I was on a road trip on the Alaska Highway and this was the coolest addition. It's a must see! Go into the visitor centre right beside, the staff is so friendly and helpful...",5
14,"Reviewed 4 September 2016
","Melbourne, Australia","Fascinating collection of signs from around the world - some home made and some, obviously official, but somehow found there way here. At last count there are over 82000, so if you visit, add your own hometown sign.It is certainly worth wandering around the (outside) 'corridors' of signs, which are well maintained, to find familiar and not so familiar...",4
15,"Reviewed 1 September 2016
",,"This place is rich with the stories of thousands of travelers who have gone before. So many signs it's hard to take them all in. Well-kept and organized, definitely a must-see for all venturing along the road. You could get lost in the wonder of it all!Not to mention the ladies at the visitors Centre are AMAZING. They offer...",5
16,"Reviewed 27 August 2016
","Fussa, Japan","After hours of driving, this no cost oddity is a must do. It provides a great way to stretch the legs as a person instantly starts trying to find recognizable signs from all the travelers that have shared the adventure of driving that highway.",5
17,"Reviewed 24 August 2016
","Stanley, North Carolina","What a neat place, started because one homesick soldier tacked up his hometown direction sign. We really enjoyed walking thru.",5
18,"Reviewed 23 August 2016
",,"Be sure to bring your own sign. I felt like I was walking in a fairy tale. It is amazing where people come from to visit this place. Be sure to stop, you will not want to miss this.",5
19,"Reviewed 22 August 2016
","Cape Town, South Africa","It's fun to try to find your own hometown (not easy, as my husband was looking for Bulawayo). An entertaining place to wander about. The information centre, which is next door, is really excellent. We went in for washrooms and wifi, and came out with a lot of information about the Stewart-Cassiar highway (our route home). One really got the...",4
20,"Reviewed 14 August 2016
","Richmond, Canada","Giving this a very good rating because I haven't seen anything like it anywhere else. I couldn't find the original sign, hope it's still there somewhere! If you're travelling though Watson Lake, it's worth a look.",4
21,"Reviewed 10 August 2016
","White Rock, Canada","What a pleasant surprise, really needed a second look, an incredible array of signs from literally everywhere in the world, if you don't recognize a street name or city, then you've landed from Mars, LOL, dedicate at least an hour to look around.",5
22,"Reviewed 5 August 2016
",Orangeburg,"This place is really interesting. Signs, license plates, posters, left by visitors from all over the world! Makes you wonder about the story behind each one. ""Hey, I know someone from there!"" you think to yourself, or your own memories from a familiar location. Must see! And be sure you leave your own memento!",5
23,"Reviewed 5 August 2016
",,"Started by a homesick man many years ago, this ""forest"" holds an incredible number of ""we've been here"" momentos in the form of signs drawn on everything from paper plates to shoes. I believe the number of signs is around 88,000 now, creating a block-sized park of pathways to wander. Fascinating!",5
24,"Reviewed 5 August 2016
","grande prairie, ab",Don't miss this one and bring your sign to add to the group. Lots of RV parking even for big rigs. Visitor Center next door.,5
25,"Reviewed 3 August 2016
","Cincinnati, Ohio",It's kind of like a big guest book with only home towns an very few names.It was started by a soldier who really wanted to be somewhere else and its current popularity probably means that people still do.,4
26,"Reviewed 31 July 2016
",Ottawa,I had read about this place so I thought I knew what to expect but I did not expect the place to have some many signs. The sheer number impressed me but also the variety. I cannot describe the different signs out there. We had brought our own and we nailed it but then we spent quite a bit of...,5
27,"Reviewed 19 July 2016
",,"This is really a unique site to wander and see all the places in the world represented by people who have passed through here and brought a sign to post that is unique to them, from a sign identifying their home city to signs that identify their name and home town - some home made and others professional signs. Bring...",4
28,"Reviewed 19 July 2016
","Whitehorse,Yukon",Every year the forest increases in size. We have been travelling through Watson Lake for over 40 years and this is worth a wonder through.,4
29,"Reviewed 16 July 2016
","Indianapolis, Indiana","worth while to visits and bring your own sign to post , we were not aware before travel , so we did not bring a sigh, but the story of the forest is very cool and made me remember my military days",5
30,"Reviewed 10 July 2016
","Calgary, Canada","A wide variety of signs, some hand made, some road signs brought from far away places. Overall it is quite a bit of a mess, and not something that captures my interest",3
31,"Reviewed 9 July 2016
","Everett, Washington","We had heard about this attraction, but could not believe it when we stopped. As of our visit, over 82000 signs from all over the world placed here by travelers along the Alaska Hwy. We stayed for about 45 minutes looking for places we've been and where others are from. We will be placing our own sign on our return...",5
32,"Reviewed 9 July 2016
","Rawlings, Maryland","Take about 15 minutes minimum to stop and look around. If you try to read all the signs it could take a week. Only one like it anywhere. Get pics or a video, no one will believe you",5
33,"Reviewed 8 July 2016
",,Based on it being called the sign post forest I was quite surprised it wasn't a forest at all! It's right off the Alaska highway between a couple streets so it's quite small but it was a beat experience and cool that the posts are provided for you to put your signs up!,4
34,"Reviewed 8 July 2016
",Buchares,Sign Post Forest is sort of a haunting place given the background of the original sign placed there. Lots of interesting signs from all over the world. Worth a visit.,4
35,"Reviewed 4 July 2016
","Surrey, Canada","Before you come prepare to bring something, we did not. This is a very unique place. Signs were up 82 000 in June 2016. Signs are really from all over the world.",5
36,"Reviewed 27 June 2016
","Hackettstown, New Jersey","Over 80,000 signs from all over the world. It's right on the highway so you can't miss it. The visitor center was also very helpful on details of all the other places in the Yukon we were visiting.",5
37,"Reviewed 25 June 2016
","Vancouver, Canada","Nearly 80,000 licence plates, road and street signs, and everything else you can think of from all over the world. If you wanted to walk around and read all of them it will take you hours, literally hours. If you have the time you have to stop, bring your own sign and mark your spot. They have a ladder at...",4
38,"Reviewed 23 June 2016
","Scottsdale, Arizona",We knew we'd be stopping here so we made a wooden carved sign beforehand to put up. Check in at the Visitor's Center for the newest posts for putting up your sign - don't put on the trees as they are taken down and moved. Bring a sack lunch and wander around looking at all the signs. The visitor center...,5
39,"Reviewed 20 June 2016
",,"This place is pretty huge & definitely worth a stop if you travel the Alaska Highway. And most imprtant, it's free.",4
40,"Reviewed 17 June 2016
","Deming, New Mexico","You gotta stop by this place and see if your hometown is posted here! We're from a very small town and didn't find our town, so we'll have to go back with a post sign for it - ah shucks - another excuse to go back to Alaska - as if we need one!",5
41,"Reviewed 14 June 2016
","Youngstown, OH","Currently there are over 82,000 signs in the forest which covers a few acres. There is a very nice visitor center at the forest where the history of forest and area can be observed. They also have hammers and nails for you to borrow to nail up your sign should you bring one. We did but had to search a...",4
42,"Reviewed 12 June 2016
","O'Fallon, Missouri",So fun to see. Wish we had known a little bit more about this place before we came...we would have brought a sign from our home town to post!! So fun...allow a good amount of time. We got in 5000 steps just walking around these grounds!,5
43,"Reviewed 11 June 2016
","Whitehorse, Canada","I could spend a lot of time here. It was fun walking around looking for signs from places I've lived or been to. It was also enjoyable seeing how far some of these signs had come from! There are a few random vehicles in the middle of the ""forest"" including a vintage fire truck. I wasn't expecting that. This is...",4
44,"Reviewed 8 June 2016
","Green Cove Springs, Florida",The Sign Post Forest is a truly unique experience. There are signs from all over the world and you are encouraged to add your own sign to the forest. We were told that it holds the Guiness Record for the Largest Collection of Stolen Goods on Public Display.,5
45,"Reviewed 29 May 2016
","Chesapeake, Virginia","We camped in the Downtown RV park next door and had heard about the Sign Post Forest in Dawson Creek so we found some wood and made a sign to hang in the Forest. They advertised 78,000 signs and growing. Google the story on this place. Had a good time walking around in there.",5
46,"Reviewed 22 May 2016
",,"Fascinating to see so many signs of places you want to see, have seen and never heard of. Well done! Snapshots of people's lives.",5
47,"Reviewed 21 May 2016
",,"I highly recommend this stop, both for the Signpost Forrest and the very helpful staff. The staff is friendly and knowledgeable about everything related to the Alaska Highway. Bring your sign, but they have nails and hammers to borrow if you need them.",5
48,"Reviewed 20 May 2016
","Greensboro, North Carolina",We only got to drive past this one because of the weather when we came down the ALCAN but it looked neat. The more pictures I see of it the bigger I realize it is. It's kinda cool to think about how far some of those signs traveled to get there.,3
49,"Reviewed 12 May 2016
","Dease Lake, Canada",Fun little area to run around with the kids. We brought my sons bike and he had a blast scooting through the maze of signs.,4
50,"Reviewed 9 May 2016
","Oakland, California",This is a must see if you are driving through Watson Lake. It is far bigger than I thought it would be. It really is a forest. You could spend hours looking at all the signs from far far away.,5
51,"Reviewed 4 May 2016
","Kirkland, Washington","I haven't been to Watson Lake for many years and I couldn't believe how much the signposts have grown! The visitor's center opens in May, so we didn't get to go inside, however there were two women getting ready for the season who were exceptionally friendly and helpful. There was a grouchy maintenance worker out front and a boarded up...",3
52,"Reviewed 6 April 2016
",,"Really cool to see. We spent a lot of time looking at the signs. Next time we will bring our own. The only negative is the snow had not been cleared, making it difficult to see the ones in the middle.",5
53,"Reviewed 7 March 2016
","Grande Prairie, Canada",Too freaking fun to miss!It looks like a smaller attraction then you go in and it extends a long ways all the way around. We laughed a lot at all the places that steal signs and bring them here. Mainly because they would have had to have packed that in their luggage and we were envisioning the conversations with...,5
54,"Reviewed 26 February 2016
","White Rock, Canada","Signs, signs, signs. I did a walk through under the northern lights. It was a really cool experience.",5
55,"Reviewed 17 February 2016
","El Paso, Texas",It was fun to see all the signs people have brought and posted. There were signs from all over the world. Definitely stop by and take a look.,5
56,"Reviewed 30 December 2015
",Montreal,"Coming from the west and just outside of Watson Lake, this is definitely a must stop for anyone traveling in the area. There are probably a couple of thousand signs, left by people who have passed through here in the past from all over the world. If nothing else, makes for a fun read. We were on a motorcycle tour...",4
57,"Reviewed 24 December 2015
","Bracebridge, Canada","This is a place you could spend hrs. at, it was started in 1942 by a lonely solder working on the Alaskan hwy to be used in the event of war to get men and supplies around. There are thousands of them now over 2 acres and more being added every year by tourist from all over the world. People...",5
58,"Reviewed 15 December 2015
","Val Marie, SK",I really enjoyed walking around and checking out the signs. Spent a couple of hours there. I got a sign from John's gift shop and hung it up! Definitely worth a stop in!,5
59,"Reviewed 8 December 2015
","Charleston, West Virginia","This is an awesome place! Watson Lake is in the middle of nowhere, the last place you would expect a place like this. There is a very nice visitor center here which has pertinent information regarding the Alaskan Highway. The staff is super friendly and the facilities are very clean. Surrounding the center is the most amazing conglomeration of hometown...",5
60,"Reviewed 25 November 2015
","Las Vegas, Nevada",This is a cool way to see all the people that travel through! It's amazing to see the variety and signs. A must stop on your way thru town!!!,5
61,"Reviewed 20 November 2015
","Leduc, Canada",Very cool to see all the different place people have travelled from to use the Alaska highway. Take as much time as you want as you will never see every sign,4
62,"Reviewed 16 November 2015
","Anchorage, Alaska","This cheesy but must-stop attraction on the Alaska Highway has humble beginnings. In 1942, a sign post with distances was damaged. A service man who was tasked with the job added a sign with a distance to his home town. Soon other workers added distances to their home towns, and the idea exploded.The signs are a mix of stolen...",4
63,"Reviewed 27 October 2015
",ehingen,the ladies in the nearby visitor centre were the friendliest inAlaska. very helpful and asking for the next destinations they gave usa lot of information and material,5
64,"Reviewed 8 October 2015
","Eagle River, Alaska","Found this while driving from Anchorage, Alaska to the lower 48. Pretty cool stop to get out and stretch your legs. Signs from all over the the world, left by others traveling the Alaska-Canadian Hwy.",5
65,"Reviewed 6 October 2015
",Watson Lake,"This is a wonderful stop on your travels along the Alaska Highway. Now at close to 70,000, yes, that is 70 thousand signs it needs a visit. Bring along your own sign and put it in the forest, any sign will do, but the ones that last the longest have a weather protection of some sort on them. If you...",5
66,"Reviewed 28 September 2015
","Cookeville, Tennessee","The Sign Post Forest is awesome...very interesting roaming through and spotting sign posts from your home state. If you can, take one to put up!",5
67,"Reviewed 25 September 2015
","Rushville, Illinois",You have to see this and take some time as you walk thru. It's fun to spot places you know of and see the variety of people who have been here through the years. Interesting display of old equipment also with stories.,4
68,"Reviewed 18 September 2015
","Sandpoint, Idaho","Have been visiting the forest since the 1950's. It has really grown!It is fascinating. The adjacent visitor's center is great and the folks there are very helpful.If you want to post a sign, prepare it before you leave home and post it near a recognizable item--the small amphitheater or one of the pieces of mining equipment, so you...",5
69,"Reviewed 15 September 2015
","Chicago, Illinois","We did not add a sign, but there are now more than 8,000 signs at this location. The tradition was begun in the 1940's by a man from Illinois. A must-see in Watson Lake.",5
70,"Reviewed 10 September 2015
","Whitehorse, Yukon Territory, Canada","The largest public collection of stolen property! View thousands of signs, including many traffic and street signs from around the world. There are also many eclectic homemade signs posted throughout the park. It is worth pulling into the Visitor Information Center to park and then enjoy the benches, WWII era bulldozer, grader and crane to sit in an climb on,...",5
71,"Reviewed 10 September 2015
","West Palm Beach, Florida",Quite amazing how this has grown over the years. Liked looking at the signs from all over...definitely a trip around the world!,4
72,"Reviewed 10 September 2015
","The Villages, Florida",This was a really fun place to walk around for an hour or so....very unique...signs from everywhere you can imagine.,5
73,"Reviewed 7 September 2015
","Santa Fe, New Mexico","This place is a welcome change to the boredom on the ALCAN. One can wander around the sea of signs and if your home town is not represented, you've probably missed their sign.",4
74,"Reviewed 1 September 2015
","Campbell River, Canada",This is indeed an unusual attraction. We spent time wandering around looking at the various places the signs were from. I think perhaps this type of attraction is not my 'thing' because I didn't get all interested and inspired by it.,3
75,"Reviewed 1 September 2015
","Seattle, Washington","Great fun, and we found a couple of geocaches. We were disappointed to discover our sign (from 2002) had been removed. Evidently the paint had faded. Best to bring a metal sign!",5
76,"Reviewed 1 September 2015
","Hillsboro, Illinois","People have brought signs from all over the world and placed here. There is also a museum on how the Alaska Highway was built, plus some of the machinery they used to build it with.",5
77,"Reviewed 1 September 2015
",UK,Enjoyed looking at this. Maybe now worth going out of your way for too much but interesting all the same,4
78,"Reviewed 31 August 2015
","Springfield, Missouri","If you're traveling the Alaska Highway across northern British Columbia, you'll pass through Watson Lake, Yukon Territory. The Sign Post Forest is fun and there's lots to see. It seems to go on forever with it's more than 80,000 signs. You can post one of your own to let everyone know you were there and where you are from. It...",5
79,"Reviewed 29 August 2015
",South Bend IN,"A fun place to see, spent time looking for states and unusual places. Could have spent more time but it started to rain. Visitor center is right there and was very helpful.",5
80,"Reviewed 24 August 2015
","Homer, Alaska",We were lucky to get in on a warm sunny fall day. We walked up and down each row checking out all the signs left by other travelers. So much fun unique memories.,5
81,"Reviewed 24 August 2015
","Trochu, Canada","This place is amazing about 80,000 signs from around the world. and if you take the time you too can make up a sign. They say this started back when they were building the Alaska Highway. Also They have a information center there and the staff is fantastic,they have a movie presentation for you to watch it was very informative",5
82,"Reviewed 16 August 2015
","Glendive, Montana",The Sign Post Forest is something that needs to be seen while driving the Alaskan Highway. It's interesting and continues to grow. It's fun trying to spot different places you've been.,4
83,"Reviewed 15 August 2015
","Alberta, Canada",We wandered amongst the signs then visited the visitors centre and got info for the rest of our trip. The staff were very pleasant and helpful.,5
84,"Reviewed 8 August 2015
",,Very interesting and great way to spend an hour! Unique idea and entertaining to find and see all the different signs and places people are from,5
85,"Reviewed 6 August 2015
","Rego Park, New York",It Islas great to visit this amazing place for the third time and find the signs that we posted 10 years ago.,5
86,"Reviewed 4 August 2015
","Atlanta, GA",A very interesting bit of history on the Alaska (AlCan) Highway. Signs from all over the world. There are thousands. Worth a stop.,4
87,"Reviewed 2 August 2015
","Barrhead, Canada","awsome tourist attraction and great to walk through. surprising how many signs there are, well maintained grounds and surroundings",4
88,"Reviewed 2 August 2015
",,"So many signs... If you're planning to go here, don't forget to bring something you can add to their collection. You can ask for nails and hammer at the visitor information center.",5
89,"Reviewed 26 July 2015
","Calgary, Canada","So many signs, so little time! Really cute display and about the only thing to see in this little town.",5
90,"Reviewed 25 July 2015
","West Lafayette, Indiana","At one time, the signs here identified the direction and distance to major cities and hometowns. Most of the signs now just identify places around the world. It is still lots of fun and worth a 30 minute stop and a stroll.",4
91,"Reviewed 20 July 2015
","Fernie, Canada","This is a very neat stop especially for the kids, we were searching for our hometown, no luck, but saw many others near us.",4
92,"Reviewed 19 July 2015
","Edmonton, Canada","Very nice idea. Biggest collection of stolen property in onre location, lol. this was truly more then I expected.",5
93,"Reviewed 17 July 2015
",Melbourne,"A bit cliche but why not? Spent an hour or so reading some of the unusual posts. The man running the kiosk is a colourful character and full of smiles and charm, loved chatting to him with no pressure to purchase anything.",4
94,"Reviewed 16 July 2015
",Illinois,It's an entire City Block. Be sure to bring your sign and something to hang it with. It's free and people of all ages will love. It was started in 1942 as one post when someone went off to the war.,5
95,"Reviewed 14 July 2015
","Quesnel, Canada","Going through Watson Lake without stopping at the signposts, at least once, is like visiting Hawaii and not going to the beach - it's a must-do.",5
96,"Reviewed 13 July 2015
",Anytown,"If lots of signs from visitors around the world are interesting to you, this is your place. I wouldn't bother to do it again. This is an ok spot if you need a break from driving but I suggest that you use your time to get on down the road. If you're headed to Alaska, one of the worst roads...",2
97,"Reviewed 11 July 2015
","Phoenix, Arizona","Sign Post Forest is a collection of signs at Watson Lake, Yukon and is one of the most famous of the landmarks along the Alaska Highway. It was started by a homesick GI in 1942. Visitors may add their own signs to the 100,000 already present. I personally prefer the wood carved signs for the families that have traveled past....",5
98,"Reviewed 30 June 2015
",,"am amazing amount of signs there, some from right next door and others from around the world! We actually went back a few years ago, in the middle of winter. the roads were better than I thought they would be, but do take extra gas, as many of the gas stations are closed in the winter.",4
99,"Reviewed 26 June 2015
","Golden, Canada","There are signs from all corners. It's nice to be prepared and bring your own sign from home, if you're passing through.",4
100,"Reviewed 23 June 2015
",Edmonton,"This tourist trap on the Alaska Highway would not likely survive elsewhere but when you have been hours and hours on the road with nothing but trees and construction trucks, one looks forward to any bit of visual stimulation.The Sign Forest fills that need. Fun, whimsical and different, it's a great stop, if only to stretch your legs.",4
101,"Reviewed 17 June 2015
","Yellowknife, Canada",seems like as good as a reason to stop as any... bizarre collection of signs. Lots of talkative tourists and photo opportunities. a nice five minute stretch of the legs as you drive through.,3
