,0,1,2,3
0,"Reviewed 5 days ago
",,"This is one of my personal favorite places in the old town, it features a lengthy boardwalk, benches, and a beautiful view on Levis. It is also a great place to get great pictures to remember your trip to Quebec!",5
1,"Reviewed 1 week ago
","Montreal, Canada","I liked the slides, it is a fun activity to do with kids. Nice view of the St Lawrence river. Great ambiance!",4
2,"Reviewed 1 week ago
","Quebec City, Canada",Good place to check out. there is a slide in the winter that is fun and places to get snacks to eat. Nice view of the river also,4
3,"Reviewed 1 week ago
",Sheffield,Great place to have a rest if you've made it up from the lower part of Quebec. Great views over the St Lawrence River and the lower part of town. A few places for refreshments too.,4
4,"Reviewed 1 week ago
","Lancaster, Pennsylvania",It is so inspiring to walk on the plaza in front of the castle hotel that is so iconic for Quebec City - to imagine what it would be like to stay here today or in years past. And the view below to the river is grand. The area has many landscaped gardens to enjoy on a sunny summer day.,5
5,"Reviewed 2 weeks ago
",Tampa,This is a fantastic place to go and just relax.. Take in a great view of the St. Lawrence river and enjoy the vendors and performers..,5
6,"Reviewed 3 weeks ago
","Toronto, Canada","Great for the views and for people watching. When we were there a dancing flash mob broke out, even if it was the middle of winter. Great views of the St. Lawrence River and good connection to the Old Town.",4
7,"Reviewed 4 weeks ago
","Sydney, Australia",Dufferin terrace is a lovely place to wonder along. The views of the st Laurence river are stunning and the backdrop of the hotel Frontenac makes it more appealing. There is a toboggan course set up in winter looked a lot of fun. If you go to the end of the terrace there are a set of stairs that take...,5
8,"Reviewed 5 weeks ago
","Flower Mound, Texas","In Feb, it is completely snow covered and slick, a little surprised that they don't take care of like they do the rest of the city, but you still need to go. The toboggan is a blast, we did it twice! The man at the top said you reach speeds of over 45 mph! Let me be clear, it is...",5
9,"Reviewed 18 February 2017
",,Nice winter's day stroll overlooking the mighty St Lawrence and the Chateau Frontenac - it can be a little slippery in spots so he careful,4
10,"Reviewed 17 February 2017
",Mississauga,"Visited Terrasse Dufferin during Carnaval. Fun tobaggan slide has been set up for the winter - tickets are $3 per ride. During Carnaval, if you purchase your effigie at Au 1884, they give you a free slide ticket per effigie purchased. Great views of the St. Lawrence - lots of ice flows in winter! Can be quite windy and chilly...",4
11,"Reviewed 17 February 2017
","Fort Lauderdale, Florida","Whether is sunny, warm, cold or snowing this is a great place to stroll up and down to see people take in the breathtaking views and watch the Frontenac hosted toboggan run with kids and adults alike....great time!",5
