,0,1,2,3
0,"Reviewed 3 days ago
",,"I watched my first NHL game Toronto vs. Senators. Even though the Maple Leafs lost, the atmosphere was lot of fun, good people. Impressed by the whole stadium and staff who work during the game day. However met some nerds in the morning working there and wouldnt even help understand when the game is being played or who is coming.....",4
1,"Reviewed 3 days ago
","Tillsonburg, Canada","Always fun to go to a Leafs Game. Lots of excitement. The staff and ushers are very friendly. Food and beverage is outrageously priced, I would recommend you eat before you go.",4
2,"Reviewed 4 days ago
",,"The Air Canada Centre is a great destination for many sporting events, parking is usually ok the only draw back can be the traffic both before and after the game don't be in a rush",4
3,"Reviewed 4 days ago
","London, United Kingdom","We saw the Bulls vs Raptors at the ACC and it is an amazing arena! Finding our seats in the top tier (300 levels) was easy and getting good and drinks was also very easy.You can drink in your seats, which allows for a bit more enjoyment.This is one of the better NBA arenas I've been too!",5
4,"Reviewed 1 week ago
",,"Been to many NHL arenas and this is by far one of my favorites. Great sight lines, great acustics. The fact my Blackhawks won made it even better.",5
5,"Reviewed 1 week ago
",Toronto,"We were given free tickets to the Leafs-Flyers game March 9 - face value was $136 for ""greens"" up high in the corner. Even for free it seemed like poor value for our entertainment dollar. The seats are tiny and cramped. The access in and around the ACC is crowded and difficult. The quality of hockey is so bad and...",2
6,"Reviewed 1 week ago
","Owen Sound, Canada","Went to a Leafs game, which wasn't bad, but I much prefer Junior hockey, more action and effort I think. The air canada centre..... hard to get to, parking a premium, FOOD concessions way too expensive as well as the beer. An example, you can buy 24 bottles of water at No Frills for 1.99. and a bottle of water...",3
7,"Reviewed 1 week ago
","Hamar, Norway","Was here for three mathces in late february 17. Both Maple Leafs and Raptors. Great atmosphere, plenty of kiosks and very helpful staff! People told me it was very expensive inside ACC. Coming from Norway, it didn't really feel that expensive.",5
8,"Reviewed 1 week ago
","Ontario, Canada","The ACC is a great place for concerts, etc. as it holds a lot of people. But getting around and finding your seats, etc. is too much. If you are planning on attending a concert here - book a local hotel room and cab it. What a nightmare getting out! And parking - no way.",3
9,"Reviewed 1 week ago
","Melbourne, Australia","Enjoyed the experience of seeing the Toronto Raptors play basketball in this wonderful stadium. if you are a sports fan, it is worth the visit to see Ice Hockey or Basketball",5
10,"Reviewed 1 week ago
",,"What an amazing opportunity we had to catch a hockey game while in Toronto. Even if your team is not playing you should try to catch a game!!! The fans were amazing, so welcoming. The food was just never ending choices, and there is not a bad seat in the house...",5
11,"Reviewed 2 weeks ago
","Henfield, United Kingdom","a first time visit to watch the ice hockey every bit as exciting as I had hoped it would be. Guests in the platinum lounge it was a terrific evening, lots of action and a win for the home team.The dinner eaten in the bar area was probably the best filet mignon we had during our trip, as a...",5
12,"Reviewed 2 weeks ago
","Toronto, Ontario",Went down to see the Raptors play a game. Very nice building and atmosphere. The team didn't disappoint either as they won!,4
13,"Reviewed 2 weeks ago
","Toronto, Canada","Great experience always at the ACC. Been here for many Toronto Raptors Games including Toronto Maple Leaf Games, including the Playoffs for both teams. Also been here for some concerts like Drake. Great venue and one of the best in all of North America.",5
14,"Reviewed 2 weeks ago
","Toronto, Canada","Seen the Leafs play here a dozen times. TONS of food options now offered, and I love that you can find a bit of everything.",5
15,"Reviewed 2 weeks ago
",,"Went for the Raptors' game. As a fans, nothing is more important than the team you support won. The hotdog and the beer became less important though they were served in a reasonable price.",4
16,"Reviewed 2 weeks ago
","Toronto, Canada","An amazing entertainment experience, great sight lines for every event. Hockey games are great, The Toronto Maple Leafs are exciting to watch and the Basketball team Toronto Raptors and Lacrosse team Toronto Rock make up the teams that call The ACC home. Many big celebrity musicians such as Rush, Bon Jovi, Celine Dion have graced the stage for concerts.",5
17,"Reviewed 2 weeks ago
","Windsor, Canada","Visited the city with friends to see game of thrones concert. Very impressive surroundings with great acoustics.good visibility to the entire arena. Good services and facilities. Easy walking distance of downtown hotels. Well lit outside for walking public. Very nice seats for a two hour concert,few distractions. Definitely a must see.",5
18,"Reviewed 3 weeks ago
",,Had the best time ever at the ACC. Although the Raptors lost in game 6 it was a wonderful time. Then we ended our weekend trip with a Carrie Underwood concert. Which you haven't lived until you've seen this woman in concert. She truly has the voice of an angel. If you ever get a chance to take in a...,5
