,0,1,2,3
0,"Reviewed 6 days ago
","Toronto, Canada",Our tour guide was really great. Very knowledgeable and kept a group of 10 teens interested! Good anecdotes as well.,5
1,"Reviewed 1 week ago
",Western Canada,"I went on a day the Ledge was sitting so we didn't get in the main room. However, I guide took us places others don't normally see due to this. The guide was knowledgeable and spoke perfect English. there is a lot to see and you realize just how new the NWT really are!highly recommend a visit. To top...",5
2,"Reviewed 3 weeks ago
",USA,Interesting tour guide very friendly. They gave us souvenir pins and post cards for free. You could also listen to legislators.,5
3,"Reviewed 3 weeks ago
",toronto,"It is very interesting inside, and you can walk around in the public area, but if you are there at 10:30, you can go inside to the chamber and area off public. There are a few AY JACKSON paintings inside the chamber. I enjoy very much of my visit.",5
4,"Reviewed 4 weeks ago
",,"The free tour is impressive, takes maybe 40 minutes, and Strongly emphasizes the inclusive and consensus- building nature of this culture. We were fortunate that the legislature was actually in session when we visited, so we spent a further 20 minutes or so listening to the Q&A from the visitors gallery.The symbolism of the sculptures and paintings, including a...",5
5,"Reviewed 4 weeks ago
","Mexico City, Mexico","This is a hidden jewel in Yellowknife. They have many interesting objects of the aboriginal cultures. The staff give out a very interesting tour at 10:30 am which is great!! They are super friendly and very interesting in everyone getting to know their history, they even give you postcards and pins for free!! It is a beautiful building and a...",5
6,"Reviewed 16 February 2017
","Courtenay, Canada",Super tours in the am or by iPod as a self tour. Interesting and very informative. Visiting on a working in session would be vert educational,4
7,"Reviewed 3 January 2017
","Toronto, Canada",This is a spectacular facility and is certainly worth a visit. Our tour guide was equally impressive - polite and knowledgeable and easily handling the plethora of questions!,5
8,"Reviewed 11 November 2016
","Toronto, Canada","Tour was excellent gives a lot of information and the guide was open to questions. The building is beautiful, especially remarkable are the windows around the chamber itself. Small but interesting variety of art and artifacts.",5
9,"Reviewed 27 October 2016
","Yellowknife, Canada","The Ledge, as we call it, is beautifully designed and decorated. There is a rich history to the architectural design!!",5
10,"Reviewed 27 October 2016
","Parkhill, Canada","Arrived late and missed the last tour, but we were told just walk around ourselves. Took lots of pictures and wandered for a good 20 minutes. Allowed in the Legislative meeting room. Loved the art work all throughout. It was well worth the trip!",5
11,"Reviewed 15 October 2016
","Sebastian, Florida","This attractive low building blends perfectly into its surroundings and this was an intentional architectural choice. Just about every display inside is filled with lovely symbolism from the beautiful mace(s) to the Assembly chamber itself. While you can self-guide, you'll learn far more by joining a free guided tour. In September, they were being held daily at 10:30 am. The...",5
12,"Reviewed 14 October 2016
","Edmonton, Canada","If you're visiting the area, I'd highly recommend visiting their legislative building and taking the tour. The building features some very beautiful and unique architecture that in and of itself is worth seeing. The meaning behind the design, however, speaks to something much deeper within their culture as to how they chose to interact and govern themselves - ""one land,...",5
13,"Reviewed 3 October 2016
","Toronto, Canada","NWT Legislative Assembly offers daily tour at 10:30AM. It is a very nice, unique, and well-thought-out building. There's many little touches reference the 33 communities near Yellowknife.",5
14,"Reviewed 15 September 2016
","West Palm Beach, Florida","The building itself was designed to speak the voice of the people in so many ways. If you don't take the tour, you will have no clue as to the symbolism and idealism illustrated by the architecture. The tour is about an hour and you learn a lot of governance in the Northwest Territories as well as Canada. A highlight...",5
15,"Reviewed 11 September 2016
","Lower Sackville, Canada","Though it is well worth stopping by to see this building, I think you will be very glad you made time for the tour. Every part of this building was designed with much thought, creating a visible display of the values and cultures of the people of the NWT. I learned a lot about how territory government differs from provincial...",5
16,"Reviewed 10 September 2016
","Auckland Region, New Zealand","Free tour of a beautiful building with an interesting story. Enjoyed seeing meeting room and debating chamber, beautifull art work and loved the colour of the carpet!",5
17,"Reviewed 8 September 2016
","Medicine Hat, Canada","The staff were great. Tour guide was local. Very interesting...territorial government is much different than provinces. The building is new, modern and reflects the north.",5
18,"Reviewed 28 August 2016
","Ontario, Canada","The tour guide was very knowledgeable and we even got some free pins! Going on this was worth the hour or so it took. I learned about the building as well as some of the ways the government works. You'd think it would be boring, but they do a good job.",4
19,"Reviewed 23 August 2016
",,Took a tour of the legislature and it was an absolute beauty of a place to be walking around. Lots of interesting things to see and the tour guide for the day (Michael) was just awesome!Don't hesitate even if you are not a political person - just a lot of history and symbolism of NWT is ingrained in this...,5
20,"Reviewed 11 August 2016
","Cobourg, Canada",I highly recommend a tour of the legislative building. The building was designed to reflect the territories and to accommodate the consensus methodology of the legislature. Our town guides were great.,5
21,"Reviewed 7 August 2016
","Whitehorse, Canada","I'm not that into government stuff but really enjoyed our visit to ""The Ledge"". It's a beautiful modern building with large open foyer and cafe tucked in the back. We joined one of the tours which lasted about an hour and was both interesting and educational. There is a lot of neat art and history hidden in the restricted areas,...",5
22,"Reviewed 25 July 2016
","Nanaimo, Canada","Loved our visit here...wonderful tour with friendly, knowledgable staff. Impressive, unique building and beautiful art on display.",5
23,"Reviewed 24 July 2016
","Windsor, Canada",Another free tour. Very close to the Prince of Wales Museum. It is also a guided tour. The staff are very friendly and knowledgeable. No gift shops at the end of the tour that is quite refreshing,4
24,"Reviewed 18 July 2016
","Yellowknife, Canada","I go here at least once a year, and recommend it to all visitors in Yellowknife. Its an interesting place to say the least and has a lot of cool things to check out.",5
25,"Reviewed 17 July 2016
","Toronto, Canada","This is a special place! I would recommend a free tour (10:30, 1:30 and 3:30 - only 1:30 on Sundays) in the summer. The tour guide gives you a great overview of the significance of the artifacts and symbolism of what you see around you. The caucus room has one of the largest collections of A.Y. Jackson paintings (Group of...",5
26,"Reviewed 7 July 2016
","Guangzhou, China","I didn't get a chance to take the available tour, but just popping in for a quick look around was nice. Its a beautiful and unique building and there is some great art on display. You are able to access the public gallery above the chambers so you get a nice view. There are lots of photos and signs explaining...",4
27,"Reviewed 30 June 2016
","Beamsville, Canada","The building was beautifully designed using local input. Local materials were also highlighted. We were impressed with the round chambers and the consensual decision making process. Works of art that combined talent, symbolism and life in the north were at every juncture. There was even a room with eight A. Y. Jackson paintings. Likely the highlight of the true were...",5
28,"Reviewed 23 June 2016
","White Rock, Canada",The tour of the non partisan legislature is valuable to gain a full understanding of governance in the NWT. The Mace is a piece of art full of symbolism. Ask about the Polar Bear rug!,5
