,0,1,2,3
0,"Reviewed 3 days ago
","Toronto, Canada","What a treat to be able to escape the bustle of traffic and city noises, a short hop away. Just take the Toronto Island ferry at the Toronto harbor and enjoy the serenity of the lovely lagoons and greenery of Toronto's Islands.",4
1,"Reviewed 4 days ago
",,We rented bikes and biked around the island for an afternoon. Great views of the city from the island. It is very quaint. Beautiful cottages and beaches.,5
2,"Reviewed 5 days ago
",Toronto,I tell visitors to Toronto that is the best of the city. The gardens are well kept and you can walk or cycle. A real pleasure,5
3,"Reviewed 1 week ago
","Tegucigalpa, Honduras","After many business trips to Toronto that I had stated I would visit, I finally took the time to visit. To be honest, I did not prepare well. Next time I will take a bike and also a backpack with food to have a sunset dinner pick nick.But even with prepartation, I had a great time. On the way...",5
4,"Reviewed 1 week ago
",,"A great place to spend some free time during the summer. It's OK all year round, too, but during the summer it's bursting with life and fun!",4
5,"Reviewed 1 week ago
",,"Just a short ferry ride (10 minutes) from the hustle and bustle of the city are Toronto's 3 Islands - Hanlon's Point..a rustic green space featuring beaches, plenty of walking and cycling paths and a well hidden nude beach. Centre Island is very family oriented with a small and charming amusement park, petting zoo, snack bars and picnic areas. Ward's...",5
6,"Reviewed 1 week ago
","Toronto, Canada","A good place to get away from cars and crowds. There is a lot of green area to sit around, read a book or play some games, bike (can rent on island too), take some beautiful pictures of Toronto skyline. Some very important tips:1. Go during summer. Fall and Winter can get very cold and windy. We went in...",5
7,"Reviewed 1 week ago
","Richmond, British Columbia, Canada",Wonderful place to visit for the day in the summer This is a place for families and couples. There are places to sit on the beach and rentals for boats,5
8,"Reviewed 1 week ago
",,"Not gonna lie, we picked the wrong time of year to come to Toronto; it was bitterly cold and windy. But even though almost everything on the islands is closed in the winter, it's still completely worth it to ride the Wards Island ferry--nowhere else can you get such a spectacular view of the iconic Toronto skyline!",4
9,"Reviewed 1 week ago
","Toronto, Canada",Great place to spend the whole day. You begin with purchasing your ticket and boarding the ferry. A short ferry ride brings you to the three islands. Bring your bikes bring your strollers bring your picnic baskets. Petting zoo bike trails and amusement park or just a few of the many things to experience.,5
10,"Reviewed 1 week ago
","Toronto, Canada",Great family and couples picnic location. Ideal spot for active young couples. Very peaceful location to relax and reflect. Captures Toronto's shore line,3
11,"Reviewed 1 week ago
","Newcastle upon Tyne, United Kingdom","My husband and I first visited the Islands at Easter, when there were absolutely no facilities open, so it was only possible to walk around. I therefore recommend, especially if you have family, to visit in the Summer when it's warm and everything is open. It is still a very beautiful place whenever you visit though, with amazing views back...",4
12,"Reviewed 1 week ago
","Toronto, Canada",The Islands is a break away from the commotion of the city. I usually stand on the back deck of the ferry just to watch the city recede and feel the promise of a separate peace whether you're alone or in company. It's also the best place to observe the Toronto skyline especially towards the end of the day when...,5
13,"Reviewed 1 week ago
","Toronto, Canada","On a nice summer day Toronto Islands are a walkers dream. There are 3 basic ""islands' all joined by one continuous strip of land. You can take a fairy ride to any of the 3 islands and then walk across to the either another island or all of them.The fairies get busy in the summer, so the earlier you...",4
14,"Reviewed 1 week ago
","Perth, United Kingdom",This was a great trip over on the ferry and although there's not a lot open on the island in the winter it's still very pretty and well worth a visit.,4
15,"Reviewed 1 week ago
","Toronto, Canada",We met as a group here for a picnic. Just a few of us decided to do this but it soon became a big group picnic.It was fun and I will recommend this to everyone,5
16,"Reviewed 1 week ago
","Compiegne, France",Marvelous place to visit in all seasons. Forecast 1 day at least to visit each attraction. Take some good shoes to walk all around the islands. Nice people to meet.,5
17,"Reviewed 1 week ago
",,"In Toronto Island I have seen one of the most beautiful sunset, all the experience was amazing, the ferry, walking around the Island, Toronto view.. and of course the SUNSET.",5
18,"Reviewed 1 week ago
","Farnham, United Kingdom",We visited off peak in a very cold March. As such the islands were effectively closed and people were few and far between. Either way we walked around almost all of the islands and could clearly see there would lots to do in Summer.Recommended to visited and you will get great views of the city once there.,5
19,"Reviewed 1 week ago
","Toronto, Canada","It is a beautiful place which lack maintenance. Garden can be beautified. More adult spaces. Bikes are easy to rent; takes half an hour on the bike to tour the island. If you are a picky eater like me, bring your own food. Bring a hat and a towel to relax. Summer can be very hot in Toronto. There is...",3
20,"Reviewed 1 week ago
","Toronto, Canada",toronto is a great place and this island is a great place to hang out with your kids or someone you love,5
21,"Reviewed 1 week ago
","Toronto, Canada","The Islands are a mini escape. Take a boat, disembark, bike the carless roads under tree canopies, stop for an espresso or a beer, relax on the sandy beach watching the rippling waves or gaze at the skyline. Best summer excursion in the City.",5
22,"Reviewed 1 week ago
","Toronto, Canada","We are fortunate to have a boat, that allows us virtually every weekend to tour the inlets around the Toronto Islands. Its a great place to check out. Children have a great time at Centreville....ok adults can enjoy it as well. The island is huge and is great for cycling, walking, picnicking, etc. The south side of the island has...",4
