,0,1,2,3
0,"Reviewed 2 days ago
",Qatar,I hate shopping and I hate the cold so finding the underground city was a relief. I was able to sit whilst the others did their shopping. It was lovely and warm. What a great idea.,5
1,"Reviewed 4 days ago
","Timmins, Canada","We visited Montreal the day following a snow storm, so walking was much more pleasant underground. The streets above ground were difficult to navigate due to the snow, and it was very cold. Underground has so many shops and restaurants, and it's a great place for people watching.",5
2,"Reviewed 1 week ago
","Sao Paulo, SP",That is a different world under the city's ground. Very lively and happy place. One needs a couple of days to explore it.,5
3,"Reviewed 1 week ago
","Mississauga, Canada","Lots of places to eat and shop. Metro stations close by. Only warning is that instead of braving the cold, you will have to walk a lot more.",4
4,"Reviewed 1 week ago
","Chicago, Illinois","During a recent snowstorm (no surprise), I spent three hours exploring the maze. Fascinating. In the winter there's also an incredible public art walking tour w/ more than 50 installations. Fun!",4
5,"Reviewed 1 week ago
",,"We started at Eaton Centre and walked all the way to our hotel. The shops are nothing spectacular, standard to any other mall in American. I thought there would be more stores unique to Canada.",3
6,"Reviewed 1 week ago
",,Very cool concept! Love how you can get out of the cold and explore montreals underground shopping centres. Many different malls to choose from. Loved it!,5
7,"Reviewed 1 week ago
","Lancaster, Pennsylvania","While the main part of the underground city is easily accessible from ground level on Sainte Catherine Street, you can also access it from many block away through a maze of underground tunnel walkways, but it is also easy to get lost or disoriented! Enter from Sainte Catherine's Street and note the stores closest to your entrance and you will...",5
8,"Reviewed 1 week ago
","Great Barrington, Massachusetts","It makes complete sense. Montreal can be really cold, and snowy in the winter. And the winter can last a long time in Canada. So, why not have the malls interconnected, and other businesses too? While you're at it, connect different parts of the city so you can travel distances while staying warm and dry! Brilliant! There are no down...",4
9,"Reviewed 1 week ago
","Rexton, Canada","Regardless of the weather outside, get yourself underground and wander the shops. There are thousands of them adjoined from several city blocks above and are easy to navigate. There is something for everyone, boundless shops with eager shop keepers ready to serve you. A great way to get in tune with an awesome city and its people.",5
10,"Reviewed 2 weeks ago
",,Not sure what the sadness is about when it comes to this place. It's madebfor ppl that love to Shop as well as getting out of whatever weather is outside. For ppl saying they have last year's clothing so I'm guess old navy is selling pass year clothes huh. There's name brand appeals as well as small boutiques try it...,5
11,"Reviewed 2 weeks ago
",,you may enjoy lot of shopping with various counters having delicacies from all over the world. it connects 4 metro stations and is huge.,5
12,"Reviewed 3 weeks ago
",,"First, ""Underground City"" is an exaggeration. It really is a cluster of buildings surrounding a very large area connected in a tortuous way by underground walkways.While some signs are clear, others are misleading, inconsistent or downright non-existent. Even with the help of a map from the hotel, I had to stop twice to ask for directions. I had to...",2
13,"Reviewed 3 weeks ago
",,"The Reso (Network) has its own character, and while it could be considered as nothing but a number of concrete tunnels going from mid-town to out-skirt of old Montreal, I that visitors should experience it at leat once, and if it is cold or rainy day, it would be an option if you want to remain warm and dry!",4
14,"Reviewed 3 weeks ago
","Bonavista, Canada",When visiting Montreal I love to go shopping in the underground city. You don't have to worry about the weather and there are an array of shops for different taste and price range. While visiting we had the chance to see the Barbie Expo which was amazing to see.,4
15,"Reviewed 3 weeks ago
","Grand Falls Windsor, Canada",Visited the Underground City numerous times during our three day stay in Downtown. An interesting shopping experinence to say the least - and a convenient one especially in Winter.,5
16,"Reviewed 3 weeks ago
","Surfers Paradise, Australia","Luckily for me I had two weeks in Montreal to explore the maze of underground spaces that is the underground city. I had a map, I occasionally found maps on the walls that said you are here, however I was never confident that I would find my way around and back to where I had entered. Apparently there are over...",3
17,"Reviewed 3 weeks ago
","Yarmouth, Canada","This sure was a great experience, we arrived down one floor from our motel and started on our adventure of the Underground City. I would like to have a bit more signs directing in which directions you should go, for your needs. It is convenient, as you don't have to go outside, many shops, fast foods, etc",3
18,"Reviewed 3 weeks ago
","Orlando, Florida",Took my wife there so that she could understand where people go when the weather gets really cold. There were so many cool shops and restaurants that it kept us occupied for hours.,4
19,"Reviewed 3 weeks ago
",,"Even with a map, the signage is small and it's easy to get frustrated and lost! Next time I'll freeze my butt off....",2
20,"Reviewed 4 weeks ago
","Sandwich, Massachusetts","The Underground City sounds so cool... 1. It's not a City... 2. It's not Underground... and 3. It's a waste of time. All it is are a series of underground tunnels, connected to the subway, that open out into a mall with boutiques. The tunnels are very cold, same temperature as the outside, and they are extremely horrible to navigate....",1
21,"Reviewed 4 weeks ago
",,"The 3 big shopping malls are connected and it's extremely convenient for customers. They have various choice for food , clothing and accessories",5
22,"Reviewed 4 weeks ago
","Budapest, Hungary","Underground City has a large variety of stores.However, the quality of those stores is pretty low. While the concept of an underground might sound great, if you are looking for a great shopping experience, look elsewhere.",3
