,0,1,2,3
0,"Reviewed 1 week ago
",,The campus is nice to walk around. It is located near Spadina streets with restaurants and near parliament building,4
1,"Reviewed 1 week ago
","Toronto, Canada","As a U of T alumni, this is one place I love to spend time at. It's especially pretty in spring, summer and fall. A classic old university, full of tradition and glory. Beautiful",5
2,"Reviewed 2 weeks ago
",,It is a great campus to appreciate different architectures. The campus is pretty big so be prepared to give yourself some time to walk around.,5
3,"Reviewed 3 weeks ago
",,"- Experience 6/10- May be better in summer, large campus, but not so impressive, just like the other popular universities.",3
4,"Reviewed 3 weeks ago
","Barrington, Rhode Island","We were too late for an official tour, so we walked around the campus with our potential student teens. Lots of lovely old buildings mixed with new ones. Some huge and impressive libraries. Nice people. Clearly, students here (at the main downtown campus, not the two other campuses, which we didn't visit) can get a lot out of Toronto, too,...",4
5,"Reviewed 4 weeks ago
",,The campus is huge and in the middle of Toronto. Feel free to drive or bike through and explore some of the great architecture that the campus has to offer.,4
6,"Reviewed 5 weeks ago
","Sao Paulo, SP","As tourists, nothing really there to see.We went to the Pharmacy building. It took me a little to find the restrooms.",3
7,"Reviewed 5 weeks ago
","Perth, Australia",The architecture is stunning a real hot spot for photo buffs like myself definitely recommend the trek up here if you're staying downtown,4
8,"Reviewed 16 February 2017
","Toronto, Canada","If you get off at St George station on the bloor line, you can walk through the campus's of Uof T. The library is second to none and many of the buildings and faculties are all heritage buildings a must see!",5
9,"Reviewed 16 February 2017
","Liverpool, United Kingdom","A definite must see in Toronto, especially if you have a few hours to kill!I'd recommend (although I'm sure they wouldn't!) trying to blag your way around a few of the buildings - the insides are absolutely beautiful. The campus is stunning - well worth a walk on a wintery day.",5
10,"Reviewed 15 February 2017
",,Such a great place for visit and enjoy the beautiful view.Also a good idea if you are thinking about studying in Canada. This University is amazing!,5
11,"Reviewed 14 February 2017
",,A great campus with a lot of history. King's college area is a great place especially during the summer,5
12,"Reviewed 9 February 2017
","Toronto, Canada","This is a favorite for photographers, most likely thanks to its buildings which look pretty old compared to most in Toronto. It is a good looking campus, but it isn't much of a place to see other than looking around the outside. Like with most universities individual departments have displays or little museums and these can be found by looking...",3
13,"Reviewed 8 February 2017
","Toronto, Canada","Take a turn through UofT...philosophers walk, Trinity College student housing (wow - what a building), George Street, University College (the oldest and perhaps greatest), it is well worth a stroll. Mount the stairs and have a bite in Hart House! You'll love it. It will make you homesick for schooldays past.",5
14,"Reviewed 6 February 2017
","Hailsham, United Kingdom",Saw the uni on coach tour with snow gently falling. Magical scene and well worth a visit. Also surrounding area very interesting with some fine old homes.,4
15,"Reviewed 12 January 2017
","Toronto, Canada","A fun experience was recently had at this wonderful educational establishment. By chance, we heard of its Canine Cognition Lab. Having a young pup who fit the profile for ""research dog"" I enjoyed watching a session of her being tested. To get to the ""testing"" we were led through courtyards never seen and into basements that would not have been...",5
16,"Reviewed 5 January 2017
","Toronto, Canada","One of the most architecturally interesting buildings on the St George Campus, UC is well worth a tour. From the famous griffin curled into a newel post at the foot of the east staircase to the great halls and stained glass windows, as well as the cloisters and gargoyles, you will find something to marvel at at every turn. The...",5
