,0,1,2,3
0,"Reviewed 1 week ago
",,"Took a small group of students to Regina for a field trip. Our trip ended with lunch and a guided bird watching tour around the park. It was amazing and beautiful and our kids (despite being teenagers) thoroughly enjoyed running around the park, playing on the play structure and bird watching. We had a lovely time.",5
1,"Reviewed 1 week ago
","Regina, Canada",Wascana park is a spectacular part of Regina's landscape and a 'must see' when you are in this city. Regina has frequently been referred to as Canada's best kept secret. This park is one of its greatest assets.,5
2,"Reviewed 1 week ago
",,"I have been walking around Wascana Park since we moved here 16 years ago... There are a couple of kids playgrounds, a swimming pool, a great restaurant, the canoe club where you can rent a canoe or Kayak, the Legislature building, and the museum. It is a wonderful place to walk with a stroller with lots of benches for a...",5
3,"Reviewed 2 weeks ago
",,"Wascana is the jewel of Regina! The staff keep the park immaculate all year long. The pathways are great for walking, biking, jogging or just meandering along. There is sonny h to see that words cannot do it justice. Plan to spend a few hours there as there are so many sights to see like the Legislative Building, the canoe...",5
4,"Reviewed 2 weeks ago
","Saskatchewan, Canada",Beautiful park year round! I took my brownies (girl guides) to the Science Centre last summer and we had lunch and played at the park at Wascana! They had so much fun!,5
5,"Reviewed 2 weeks ago
","London, Canada","Went for a walk here before my flight back home. The park was easily accessible for parking and there was free 2 hour parking at the museum (Royal Saskatchewan Museum).A nice place to take a walk, lots of areas to sit down with public washrooms and a fountain.",5
6,"Reviewed 3 weeks ago
","Great Barrier Reef, Australia","Best and safest park in North America, sorry even more beautiful than Central Park in New York, perfect distance around the lake for a walk?",5
7,"Reviewed 15 February 2017
","Regina, Canada","What a beautiful park nestled in the center of the city of Regina, immaculately maintained , much to do and see, the lake is amazing, hard to believe it was man made in the 1930s. The legislative buildings and gardens are spectacular as well.",5
8,"Reviewed 15 February 2017
",,I love to walk around the park all year round.Great place to stop on a hectic day and take in some nature.I also ice skate in the winter beside the Willow restaurant.Beautiful view of the lake!We are lucky to have this in Regina!,5
9,"Reviewed 15 February 2017
",,Well we went for a nice long long long walk to the park that we've always really enjoyed going to the park specially this park this is a great park seems there's lots of happy people at the park and I will keep coming to this park,5
10,"Reviewed 14 February 2017
","Regina, Canada","An excellent ""people place"" featuring walking paths, picnic areas, water sports, and lounging around. A natural habitat for plants, trees, wild life, fish where you can get in touch with nature without leaving the city.",5
11,"Reviewed 14 February 2017
","Manitou Beach, Canada",Great walking or bicycle path around the lake. Scenery is wonderful. The provincial legislature buildings are on the site and present an architectural view from the outside and they can be toured. A summer visit would offer a spectacular view of the foliage and the lake as well. Well worth the visit.Dan,4
12,"Reviewed 13 February 2017
",Saskatchewan,The foreparents of Regina embarked in the early 1900's on the development of Wascana Park which has over the years served the citizens of Regina as an outdoor refuge of peace and beauty.,5
13,"Reviewed 13 February 2017
","Regina, Canada","When you are in Regina it is worth it to take the time to walk around the beautiful walkway that circles the Lake. You will see the Legislative building along with the grounds and the other facilities around the lake. In the summer you may see people out rowing, kayaking, or canoeing and in the winter with everything crisp and...",5
14,"Reviewed 28 January 2017
","Regina, Canada","Wascana Park is a great place to visit in Regina. The park is well maintained all year round but is especially beautiful in the summer.If you enjoy outdoor activities there is plenty of green space as well as a paved path that runs around the lake which is great for walking, jogging, roller blading and biking. In the summer...",4
15,"Reviewed 17 January 2017
",,"Awesome place to ride a bike, take a walk or just sit and relax. During the summer there's kayaking and other activities for the public. Looks great throughout the year, but specially during fall, and it's a nice spot for pictures. I love this place and go there whenever I can.",5
16,"Reviewed 17 January 2017
","Regina, Canada","Wascana Park is one of the largest urban parks in North America. What make it such a gem is that it is completely man made. When Saskatchewan became a Province in 1905, the decision was to build the Legislature building on the banks of a very humble Wascana Creek. Trees were planted, recreation spots created. In the depression, a ,...",5
17,"Reviewed 1 January 2017
",Canada,"This is a summer time favorite place. Lots to do! I hope to try the Canoe rides next summer. I love taking my dog for a walk here, and attending the many events that take place here. This last summer we did the parliament tour, it was actually pretty good. Home of Regina's first library! We always take our out...",5
18,"Reviewed 31 December 2016
",,Big and it is perfect forFamily Barbeques. The scenery is very pretty. Great Lake to rentKayaks and Canoes.,5
19,"Reviewed 19 December 2016
","Regina, Canada",Wonderful relaxing place to walk and enjoy nature in the city. Home to the Saskatchewan Legislative Buildings. Wascana Lake is a marvel of engineering being dug buy men on relief in the 1930's.,5
20,"Reviewed 19 December 2016
","Regina, Canada","This city park is awesome, in the center of the city with a walking trail all the way around the lake (Wascana Lake), picnic tables and BBQ fire boxes, washrooms, and is also where the Saskatchewan legislature is located. Great events are held on the lake and shores year round!",5
21,"Reviewed 19 December 2016
","Regina, Canada","Wascana Park is a beautiful space in Regina. This park is huge. It showcases a lake right in front of the Parliament building with a walking path all round. The views at sunset from any point around the lake are stunning ! There is more park to the east of the lake with great family outing facilities - play park,...",5
22,"Reviewed 19 December 2016
",Emerald Park,"Wascana Park is the heart of the city. The lake was dug by hand and the trees were all planted by hand. Beautiful spot for picnics, family gatherings and wedding pictures. Cannot imagine Regina without it.",5
23,"Reviewed 17 December 2016
","Toronto, Canada","This place is beautiful place summer or winter, people love this place, have different points, views is good, summer time have sports in the lake, it's very calm, sweet, beautiful place in the heart of city",5
24,"Reviewed 9 December 2016
","Calgary, Canada","Wascana Centre Park is a highlight of a visit to Regina. A beautiful lake surrounded by trees and flowers and at the heart of it all, the Saskatchewan Legislative Building - the crown jewel. Walking, cycling, adventuring are all in the heart of the city with many paths and trails throughout the large park. Don't miss it.",4
