,0,1,2,3
0,"Reviewed 5 days ago
",,"Definitely a great experience. A lot of money has been put in to this museum.. It is HUGE and has a lot of history. I took my daughter there for a school trip and had a blast! If you're from Saskatoon and are looking to get away from your iPhone for a few minutes, check it out!",5
1,"Reviewed 1 week ago
",YQR,"We really enjoyed our first visit to the Saskatoon WDM, including the visiting exhibit on the history of video games. The regular exhibits on the history of the province and especially of agriculture are first-rate. It's a great place to lose yourself in the past.",5
2,"Reviewed 1 week ago
",,"A fun museum and it has been a staple of the city for as many years as I can remember. A neat small town setup, cool items and they have enough to do there to keep busy for a couple hours.Best part, it is apparently haunted. Ghost sightings are regular! Check it out!",4
3,"Reviewed 2 weeks ago
",,Must visit if you are with kids - super entertaining and interactive. Lots of info on west territories growth and development. Great samples of agriculture equipment. And you feel how important is the community in your life.,5
4,"Reviewed 3 weeks ago
","Prince Albert, Canada",Just left the museum. Not too big but lots to see about the history of Saskatchewan. Well worth the $10 admission.,5
5,"Reviewed 3 weeks ago
","Helsinki, Finland","Was visiting Saskatoon over weekend and ended up visiting here - really great setting and immersive experience, loved it!",5
6,"Reviewed 4 weeks ago
","Moose Jaw, Saskatchewan, Canada",Awesome place to see and be apart of. Too much walking for the seniors we were with but they loved it too.,4
7,"Reviewed 17 February 2017
","Outlook, Canada","After driving by the museum more times then you could count we finally decided to venture in.On the day we went there were a number of school children going through the displays.While lots of the stuff on display predates my generation, there were still many things I recall using as a child. Hearing the kids comments about the...",5
8,"Reviewed 17 February 2017
",,this is a great place to take the family young and old lots of history and heritage here and u must have the pancakes at the restaurant,5
9,"Reviewed 15 February 2017
",,We go as a group for Breakfast..Self serve but so scrumptious.You will not be disappointed to do there!!,5
10,"Reviewed 14 February 2017
",,The Western Development Museum is a lovely location to host such events. The created realistic town is a wonderful backdrop to all of the beautiful trees and Christmas decorating. The festival helps you to get into the Christmas spirit. Another favourite is all the gingerbread houses.If you have never been to the museum it is an excellent time to...,4
11,"Reviewed 14 February 2017
",,Place looked great had a lot of fun and learned a few things too. Staff was very nice and they had a in house artist painting and a book author signing as well.,5
12,"Reviewed 14 February 2017
","Saskatoon, Canada",Great museum about the settlement of the prairies. There is an old town main street re-creation based on 1910. Shops often have volunteer staff for an air of friendly authenticity. The working blacksmith shop on Sundays is a must see.,5
13,"Reviewed 14 February 2017
","Apache Junction, Arizona",When we visited the western development museum I found it very well displayed and set up. It had a lot of artifacts in every part of the old western town displays. I totally enjoyed the railroad engine display. Found the whole museum with gift shop and food outlet very good value for the price of admission.,5
14,"Reviewed 14 February 2017
","Saskatoon, Canada",A great record of Saskatchewan s history .I found things I didn't know even though born and raised in Saskatchewan,4
15,"Reviewed 13 February 2017
","Saskatoon, Canada","An excellent insight into early Saskatchewan, Bonus are the fantastic old cars and the miniature farm displays",5
16,"Reviewed 13 February 2017
","Quebec City, Canada",I hadn't gone in 30+ years and then we went a while ago. It was interesting to see things that they have in the boomtown display. It is a far cry from today when they have fireplaces heating the water for horses downtown Saskatoon,3
17,"Reviewed 13 February 2017
","Saskatoon, Canada",Great place to visit whether you live in Saskatoon or are here for a visit. Friendly volunteers working there and lots of changing displays.,5
18,"Reviewed 13 February 2017
","Bon Accord, Canada","I thoroughly enjoyed the beautiful decorations, the by gone days of Christmas Past and the wonderful staff. I will be back to enjoy it one more time.",5
19,"Reviewed 13 February 2017
","Saskatoon, Canada","The Western Development Museum is a wonderful place to see for the artifacts and ways of life that our settlers experienced. There is something extra for various occasions that is sure to bring delight to everyone for wherever their interests lie and what they would like to do and experience. Lots of fun to be had, too. Boom Town and...",5
20,"Reviewed 13 February 2017
",Saskatoon,Quaint little restaurant in the museum very good food at a reasonable price! The museum is awesome lots to see beautiful cars and 1910 boom town is very cool!,5
21,"Reviewed 13 February 2017
","Saskatchewan, Canada",Excellent field trip. Brought a group of 13 year Olds and they really enjoyed it. There is lots to see and learn about our history of transportation. There's a wide variety from motor cycles to planes and even a couple of old trains at the train station.,4
22,"Reviewed 13 February 2017
","Saskatoon, Canada",Very interesting to tour at your own speed with well explained displays. Continual additions keep the museum enjoyable for return visits.,4
23,"Reviewed 13 February 2017
",,Ok! Here is the thing! Saskatoon is not a big city and you can't expect a big museum like the natural history museum or even the ripleys museum! But then again this one is good enough! It has collected history and culture of the prairie region! Its good for families with children as they can enjoy the most ! It...,4
24,"Reviewed 13 February 2017
","Saskatoon, Canada","If you love machines and you are able to roam through the dozens they have on display at the WDM, you will be in absolute heaven in this place. I loved all the different tractors they have on display - it took hours to get through this place. It was not likely my wife's favourite place but - hey, I...",5
25,"Reviewed 5 February 2017
","Saskatoon, Canada","Wonderful venue! took my grandson to the Minions Dance Party there - also got to see the Festival of Trees - lots of Christmas activities going on! I enjoyed the variety of decorated trees and he enjoyed the train, the (special event) dance party and the interactive pieces of history. We also got to sample some delicious food in the...",5
26,"Reviewed 4 February 2017
","Saskatoon, Canada",A great perspective on early prairie life. Lots of interactive displays for all ages. Well worth visiting!,5
27,"Reviewed 3 February 2017
","Prince Albert, Canada",I go every year during the prairie railroad show. A art from the train show the museum is second to none. There are so many great exhibits that are well done. Recent addition made this place twice as large.,5
28,"Reviewed 3 February 2017
","Fort Saskatchewan, Canada",We have an annual family pass and we go at least once a month. It's a great way to spend a cold or rainy day out with the kids. We especially love the train displays.,5
29,"Reviewed 1 February 2017
",,"One of the best museums to see with your children or grandchildren. They will be amazed and fascinated by life in the early days of Saskatchewan as depicted in Boomtown. Displays depicting the arrival of emigrants to the prairies and the lifestyle that developed over the last 100 years will captivate youngsters and adults. By the way, stop for a...",4
30,"Reviewed 1 February 2017
","Saskatoon, Canada","I have been many times. When ever I have guests visiting, I take them. Its like walking into the past. Exceptionally well done. I took friends from Nova Scotia. They said it was the high light of their visit.Great for young and old. Men and woman.",5
31,"Reviewed 29 January 2017
",,"I have been going here since I was young and nothing has changed, and I don't know if that's a good or bad thing. There aren't many activities or things to do, but the main stretch is my favourite. I enjoy when they have the festival of trees during Christmas.",3
32,"Reviewed 29 January 2017
","Regina, Canada",This museum is a great reflection of Saskatchewan's past. It is wonderfully maintained and staffed friendly people always willing to answer questions. They have a blacksmith shop that is fully functional and one can purchase their creations. One blacksmith was making a custom knife for a chef-it was amazing watching him forge it. We loved learning from them. My son...,5
33,"Reviewed 28 January 2017
",Estevan,The WDM in Saskatoon is unique just like the other WDM's in Saskatchewan and definitely my second favourite only to Moose Jaw. The kids love how you can get up close and learn and see so closely the details of what things were like for people so long ago. The opportunity to actually sit on some displays is awesome.,4
34,"Reviewed 25 January 2017
","Saskatoon, Canada",I take my dad here for breakfast a lot. Service is fast and friendly. Pancakes and oatmeal are particularly tasty.,4
35,"Reviewed 19 January 2017
","Prince Albert, Canada",A must see in Saskatoon. My son gets us to take him there 3 or 4 times a year! Great staff and totally authentic buildings and automobiles. Great annual train show as well!,5
36,"Reviewed 19 January 2017
",,Love this museum - the best in the city! Be sure to have lunch in the cafe - best cinnamon buns around.,5
37,"Reviewed 18 January 2017
",Saskatoon,This was a wonderful trip back in time. Great displays which interested the men and women both. Lots of cool places for photo ops including in the train engine. A relaxing museum with the fun of the hunt for a robber included.,4
38,"Reviewed 17 January 2017
","Saskatoon, Saskatchewan",Full of fun and excitements.Nice re-make and you feel like live in 18th century when you there.Love to go again.,5
39,"Reviewed 17 January 2017
","Saskatoon, Canada",We have been to the WDM many times and different seasons. My oldest is now 13 and she still enjoys going to the museum. It has something for everyone and is still exciting even the 10th and 11th time!The Christmas exhibit is my absolute favourite.,5
40,"Reviewed 17 January 2017
",,"A very interesting and wonderful place to visit. It has a great turn of the 20th century town built in timely inside to tour and explore at your own speed. It has a large display of bygone farm machines and steam engines. Also there are a few old cars, for car buffs. The restaurant serves great food, especially the home...",5
41,"Reviewed 17 January 2017
","Saskatoon, Canada",We took friends from Arizona who liked it so much they wanted to go back for another day. Very interesting indoor display of what life was like in the years around 1910 when Saskatoon was being settled. Highly recommended.,5
42,"Reviewed 14 January 2017
",,We were lucky enough to be there for Pioneer Days and had a great time! We would have enjoyed the museum even if this special event weren't going on. The museum and staff are wonderful and fun!,5
43,"Reviewed 4 January 2017
","Saskatoon, Canada",Very reasonably priced and you could spend a lot of time checking the exhibits.It is clean and very well presented.,5
44,"Reviewed 2 January 2017
",,It is a great place to see how the lives used to be lived when the old country side was beginning. From the way we lived on the prairies and the start of the new farm equipment to the beginning of the automobile. The trains that brought most folks to our region and the stores and offices that we originally...,5
45,"Reviewed 27 December 2016
","Saskatoon, Canada",Must be seen. The other 3 WDMs are also great places to visit. Unfortunately they aren't as friendly or interesting to the newest generation which must plug in for everything or it isn't true.,5
46,"Reviewed 22 December 2016
",,If I visit the Museum once or one hundred times I will never tire of taking a step into the past and enjoying the wide variety of items from the past! What an experience! Just taking a grand parent along or older family member will make the visit even more exciting as they reminisce of stories about items and places...,4
47,"Reviewed 19 December 2016
","Saskatchewan, Canada",A carefully preserved part of Saskatchewan history...well displayed and informative.We have enjoyed the changes made here over the years as well.,5
48,"Reviewed 19 December 2016
",Saskatchewan,"Wonderful, comfortable place to spend an afternoon. Not to be rushed through. Excellent nostalgia experience for older people as well as great learning for younger folks. Restaurant is an attraction as is gift shop. An asset to Saskatoon and very well done. Some attractions change, such as Eatons Christmas vintage display.",5
49,"Reviewed 19 December 2016
",saskatoon,"wear comfy shoes as there is a lot of walkinglots to see , be sure to go at Christmas as they create old nursery rhymsthe gift shop is well stocked with a lot of treasures to buythere is a coffee shop with some foodwe found the buns stale and not that great for the priceso...",3
50,"Reviewed 27 November 2016
",,I haven't been here since 1999 and I can honestly say I was pleasantly surprised. I actually went twice during the Festival of Trees with my family. The displays were informative and the audio effects were a nice touch. The restaurant was cafeteria style with many options. I was pleasantly surprised how good the hamberger and hot dogs were.,4
51,"Reviewed 27 November 2016
",,I found this museum very interesting and super surprised to see all these old vehicles in there and it gives you a good look at the past how things were!,5
52,"Reviewed 26 November 2016
","Toronto, Canada","This museum honestly goes on forever, and it's all fascinating. I thought it was more of a kids attraction, but I was wrong. There are some exhibits that you almost need to be an adult to truly appreciate, e.g. the behind the scenes of how a rotary phone works! So much to see and read. I could easily have spent...",5
53,"Reviewed 25 November 2016
","Saskatoon, Canada","A wonderful place to visit. Took my father and he connected immediately with the displays, the photographs and images and the theme.",5
54,"Reviewed 23 November 2016
",Saskatoon,A very interesting museum with a Saskatchewan historical town built indoors & several other high quality historical exhibits that will appeal to the whole family.,5
55,"Reviewed 17 November 2016
",Saskatoon,Boy if you what to see what it was like back in the day this is the place for you. How did we ever get by with out all the electronical devices ?,3
56,"Reviewed 16 November 2016
","Halifax, Canada","The museum is wonderful. The streetscape with all of the shops, the displays and history is wonderful and can be enjoyed year around as it is located inside. The history of the natives, the immigrants, and how they coped, and prospered is amazing. Highly recommend!",5
57,"Reviewed 15 November 2016
",Saskatoon,This place will bring you bace in time as you look at the way your forfathers had to make a living. You will find yourself lost in time with equipment and cooking things that were used and thought as the greatest stuff. Today we come them all...antique.You will be glad you stoped by.,5
58,"Reviewed 14 November 2016
",Saskatoon,This place is great to visit on a rainy/ cold day because it is all indoors. Love boom town :) it's one of my sons (he's 2) favourite places to visit. Lots of culture and artifacts here. Plus the gift shop is great too,3
59,"Reviewed 14 November 2016
",,Go every year because it changes and there is always things you missed before. Even if you spend your entire life in Saskatchewan you'll love the WDM.,5
60,"Reviewed 14 November 2016
","Saskatoon, Canada","If you are of my age (old) and grew up in the prairies, you will recognise many displays, buildings and equipment. If you are not from here, or you are but are young, you will see how things were on main street small town Saskatchewan 100 years ago (more or less). The old drug store even smells like the one...",5
61,"Reviewed 14 November 2016
","Saskatoon, Canada","It was really awesome , we had a great time . Everyone was really helpful and really friendly . I would tell everyone to go , you learn lots while having fun.",5
62,"Reviewed 13 November 2016
",Maryland,We stopped here on a trip to Saskatoon to visit family. The museum was interesting and nothing like a stuffy city museum. You walk into a prairie town from the early 1900's. You walk through the town and visit the many shops and businesses. My kids enjoyed every minute and we spent at least 2 hours here. I felt like...,5
63,"Reviewed 9 November 2016
","Saskatoon, Sask.",WDM puts on a great evening of entertainment and treats. The kids all looked super in their costumes (and some adults too). Many of the kids were very interested in the various building displays of days gone by. The WDM is a great place to visit any time of the year.,5
64,"Reviewed 5 November 2016
","Southfield, Michigan","During a recent trip to Saskatoon we stopped to visit Boomtown, which is a ""real"" street indoors that recreates a Saskatoon commercial street in 1910. We enjoyed being able to see the various offices, including the doctor, solicitor and dentist offices -- life was sure hard if you had a toothache in 1910!The highlight for us was the old-time...",5
65,"Reviewed 31 October 2016
","Saskatoon, Canada","Boom town is wonderful! Walking down the street of historic town is such an education for all ages! Festival of Trees in December transforms that street into a winter wonderland. This is an excellent place to go as a family, winter or summer. Something for everyone. Also the gift shop is full of exciting finds that you can't find anywhere...",4
66,"Reviewed 29 October 2016
",,"Loved Boom Town and the dioramas to put things in context. The ability to walk through time to the present was fun. The old machinery, vehicles and especially the steam locomotive were incredible!! Stopped by for a quick tour with a friend from Ontario, and didn't have nearly enough time. Could have used a full day to browse around. Although...",5
67,"Reviewed 25 October 2016
","Regina, Canada",We decided to visit the museum and were very impressed. We spent 3 hours going through it and also had a old fashioned photo done there.,5
68,"Reviewed 24 October 2016
","Alberta, Canada",AWESOME museum! It had amazing displays that were very interactive and informative. The gift shop is full of fun/cute things as well. My favourite items were the train and sod house. Great for all ages!,5
69,"Reviewed 18 October 2016
","Saskatoon, Saskatchewan","There is lots to see. Depending on the day and season, there are activities for the kids. There are added interactive displays and many things one can climb on and get into.",5
70,"Reviewed 18 October 2016
",Connecticut,This place is amazing. They have an extensive display of memorabilia set against the background of a Main Street of a century ago. Great classic car and farm equipment displays. Very interesting. Allow at least two hours to see everything. Definitely kid friendly. Nice little cafe with great soups.,5
