,0,1,2,3
0,"Reviewed 2 weeks ago
","Ottawa, Canada","a great little museum and really worth a visit, the history of the region is very interesting with staff who have great knowledge.",4
1,"Reviewed 4 weeks ago
",,"I liked this little museum, especially for the history of the area, and the resort in particular. There is some natural history, but the focus is largely on the personalities of the resort's early movers and shakers. Good for about an hour of your time. By donation ($5 suggested).",4
2,"Reviewed 11 February 2017
","Heber City, Utah","I loved this museum. It isn't very big, just right with enough info to get a feel of Whistler and the surrounding areas. Was very educational on how the resort got it's start.",5
3,"Reviewed 3 January 2017
","New York City, New York",This museum collection is a preservation of artifacts from an indigenous people group.All the items are well documented and displayed.The history and information was well presented in an interesting and understandable fashion.Great indoor activity when the weather is bad outside,5
4,"Reviewed 21 December 2016
","Buderim, Australia",A small and quaint museum - but very interesting. They cover the Olympic bids. I found the stories and pictures of the early pioneering days most interesting. Great to read about the people with the vision to create a ski resort at Whistler and the evolution of ski equipment. Also some educational displays on the wildlife in Whistler. Definitely worth...,4
5,"Reviewed 13 December 2016
",,"It's short, to the point and super interesting. Donation only, they ask for 5 a person. The history of how whistler came to be and the drive for Olympic bid is great.Then there is a little sedation of natural history.Stop by. It's cheap and it's good local info for life!",5
6,"Reviewed 28 November 2016
","Budapest, Hungary","If you are not Canadian and just a tourist in the town for a day, you may not give this museum a second thought. You will be missing out.For a donation ($5 is suggested, but there is no one to monitor you), you can be educated and entertained for an hour or more. There is a display of the...",5
7,"Reviewed 14 November 2016
",,"for sure you should visit this museun to know better the city, there is a lot about history, life and animals, etc! you pay as much as you want to get in and you can learn a lot!",5
8,"Reviewed 3 October 2016
",,It's a a very small building that houses a lot of treasures and information pertaining to whistler. It's a good stop or a place to kill time for a a good 30 minutes or an hour.,5
9,"Reviewed 19 September 2016
","Austin, Texas",Great learning experience! I enjoyed learning about this area of Whistler! It was very well organized and employees were very helpful.,5
10,"Reviewed 13 September 2016
","Tetbury, United Kingdom",Small museum well worth the visit. Entry is by voluntary donation and there's lots to see. The history of Whistler from early 1900's to the present day explained in a very easy style. A good hour and a half learning lots. Recommended.,5
11,"Reviewed 12 September 2016
",,"I'd wondered about the history of the mountain for our whole stay and we wandered in here and got our answers. Very authentic, quite fascinating to see the story of Whistler. Great collection of artifacts, thoroughly enjoyed it.",5
12,"Reviewed 7 September 2016
","Canterbury, United Kingdom","We were drawn to this museum as we wanted to get a bit of the history behind Whistler, it was informative about the early days and how it had evolved over time. The only thing that we couldn't find were any photographs of the very early days of Whistler,",4
13,"Reviewed 30 August 2016
","Fremont, California",We went to this small but very interesting Whistler Museum. It has a variety of things to see about the Whistler history and area. There are video tapes to watch. We watched one on the Olympics and Paraolympics that were held in Whistler in 2010.Admission is by donation. Suggestion is $5 Canadian which we paid.,4
