,0,1,2,3
0,"Reviewed 4 days ago
",,"It's gorgeous to walk along the waterfront and view the Detroit River, Detroit Skyline and the huge ships that pass through.",5
1,"Reviewed 1 week ago
","Windsor, Canada","The Riverfront is a beautiful place to take a walk, a jog, go rollerblading or for a bike ride with lots of clear paved walk/pathways for both. There are all kinds of monuments and tributes to honour veterans and war heroes, there is a wildflower garden and of course you will get to see the sculpture garden if you walk...",5
2,"Reviewed 1 week ago
","Windsor, Canada","The waterfront parks..flower gardens, sculptures,picnic areas,concerts,festivals , peace fountain,and Ambassador bridge",5
3,"Reviewed 1 week ago
","Toronto, Canada",Beautiful riverfront view of Detroit and Windsor. Amazing view at night. Caesars is not far either. One of my favourite riverfront view.,5
4,"Reviewed 1 week ago
",,"The view and the riverside walk is just great.Day or night, grab a coffee and enjoy. It's also a good choice for a morning run.",4
5,"Reviewed 1 week ago
",,We love going there to chill out people watch and go to whatever event is on. Blues fest ribfest and lots more,4
6,"Reviewed 2 weeks ago
",,Our visit was on an extremely cold and breezy day (high of 23F)!We managed only a few moments before returning to our car.,5
7,"Reviewed 2 weeks ago
",,"Walked along the riverfront with the family. Some really nice war memorials, and statues. A coast guard ship was docked while we were there, which was a nice surprise. As a bonus, the Detroit city skyline across the river is actually quite beautiful.",4
8,"Reviewed 3 weeks ago
",,"Had great trip to the riverfront with my youngest. Views river birds rocks and everything clean. Surprised to have to pay for parking in early March on a Sunday, but everything else good.",5
9,"Reviewed 3 weeks ago
","Whitby, Canada",After spending the day touring the University of Windsor open house we went to see what else there was to do. It is a pleasant walk along the river with nice views of Detroit.,4
10,"Reviewed 3 weeks ago
","New York City, New York","A nice well kept riverfront. A mix of walking areas, parking lots and green space right along the river with beautiful views of the river, Detroit and Windsor. Lots of Pokestops and towers too.",5
11,"Reviewed 3 weeks ago
",On Canada,"Whether you are here for the freedom festival, fireworks or a visit downtown you can stroll along the waterfront. There are a few different parks for kids to enjoy.",5
12,"Reviewed 3 weeks ago
",,"Beautiful river front, very nice to just go sit and relax. The whole stretch is just amazing and highly suggest the trip down there",4
13,"Reviewed 4 weeks ago
","Windsor, Canada",Perfect for walks or to sit and people watch. Great view of Detroit skyline. You can even do a little fishing.,4
14,"Reviewed 4 weeks ago
",,Great for walks and taking pictures. Do not park by parent and river as its always full on the weekends. Park closer to the bridge.,3
15,"Reviewed 14 February 2017
",,"A scenic City view of Windsor and Detroit skylines and a large spacious river. It is a park with parking, benches, flowers, an old train and walkways bordering the river. Strolling and or jogging will certainly not be boring and restaurants are nearby should you get hungry. A good place to clear your head when the luck of the slots...",5
16,"Reviewed 13 February 2017
","Niagara Falls,","Full of rum runner history and modern art. You wont want to miss the walk along the river.Its a great place to get to know someone. An even better place to get engaged and have wedding photos.Now, our children love to go and play with the dog by the peacefountain.",5
17,"Reviewed 13 February 2017
",Romulus,"When I am Home Alone, I love going down to the Riverfront with my Sqeeze Box, and just sit and play, and watch the People, Boats and Detroit Skyline. Brings back Memories for when I first Immigrated to Windsor as a 7 year old.",5
18,"Reviewed 13 February 2017
","Windsor, Canada",The riverfront is the pride of Windsor. A long stretch of green grass and trails along with a sculpture garden and easy access to downtown make it a must see for visitors.,5
19,"Reviewed 12 February 2017
","Taichung, Taiwan","Windsor Riverfront is always worth visiting, regardless of the weather. You can walk as far as you want (the sculptures go for 6 km along the river)! There are gardens, boats/ships on the river and always something to see. It can be brutally cold, but this is Canada, eh!",5
